Datum,Zeit,BEN,CO,NO,NO2,O3,PM10,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,mg/m3,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2000-03-01,,,,,,,7,,
2000-03-01,01:00,,0.1,1,10,77,,,2.7
2000-03-01,02:00,,0.1,1,9,78,,,2.2
2000-03-01,03:00,,0.1,1,9,76,,,1.5
2000-03-01,04:00,,0.1,1,8,77,,,1.6
2000-03-01,05:00,,0.1,1,8,77,,,1.0
2000-03-01,06:00,,0.1,1,9,74,,,1.3
2000-03-01,07:00,,0.1,1,13,71,,,1.5
2000-03-01,08:00,,0.1,1,15,70,,,1.6
2000-03-01,09:00,,0.1,1,17,69,,,2.2
2000-03-01,10:00,,0.1,1,17,60,,,1.3
2000-03-01,11:00,,0.1,1,14,,,,1.3
2000-03-01,12:00,,0.1,,,61,,,2.3
2000-03-01,13:00,,0.1,1,13,68,,,1.7
2000-03-01,14:00,,0.1,1,13,69,,,7.1
2000-03-01,15:00,,0.1,1,14,66,,,6.5
2000-03-01,16:00,,0.1,2,16,62,,,
2000-03-01,17:00,,0.1,1,16,60,,,7.1
2000-03-01,18:00,,0.1,1,20,54,,,7.5
2000-03-01,19:00,,0.1,1,26,47,,,9.4
2000-03-01,20:00,,0.1,1,24,46,,,10.7
2000-03-01,21:00,,0.1,1,23,48,,,7.7
2000-03-01,22:00,,0.1,1,21,46,,,5.6
2000-03-01,23:00,,0.1,1,16,53,,,3.2
2000-03-02,,,,,,,11,,
2000-03-02,00:00,,0.1,1,13,56,,,2.8
2000-03-02,01:00,,0.1,1,14,53,,,4.5
2000-03-02,02:00,,0.1,1,11,59,,,4.3
2000-03-02,03:00,,0.1,1,8,65,,,2.9
2000-03-02,04:00,,0.1,1,9,63,,,3.1
2000-03-02,05:00,,0.1,1,9,61,,,4.3
2000-03-02,06:00,,0.1,1,9,61,,,5.4
2000-03-02,07:00,,0.1,1,10,63,,,5.0
2000-03-02,08:00,,0.1,1,10,68,,,3.3
2000-03-02,09:00,,0.1,1,9,74,,,2.4
2000-03-02,10:00,,0.1,1,7,79,,,2.3
2000-03-02,11:00,,0.1,,,,,,2.2
2000-03-02,12:00,,0.1,1,10,79,,,2.4
2000-03-02,13:00,,0.1,1,10,79,,,3.3
