Datum,Zeit,BEN,CO,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,mg/m3,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2000-06-01,01:00,,0.3,8,15,28,,,,1.0
2000-06-01,02:00,,0.2,2,12,26,,,,1.0
2000-06-01,03:00,,0.2,,,21,,,,
2000-06-01,04:00,,0.2,3,14,19,,,,1.3
2000-06-01,05:00,,0.2,1,14,16,,,,1.0
2000-06-01,06:00,,0.2,4,15,16,,,,1.0
2000-06-01,07:00,,0.3,11,19,26,,,,1.0
2000-06-01,08:00,,0.2,8,25,65,,,,11.3
2000-06-01,09:00,,0.2,10,19,86,,,,3.9
2000-06-02,12:00,,,20,28,,,,,
2000-06-02,13:00,,,,,86,,,,
2000-06-02,14:00,,0.2,19,27,89,,,,
2000-06-02,15:00,,0.1,16,27,95,,,,
2000-06-02,16:00,,0.1,8,19,101,,,,
2000-06-02,17:00,,0.1,13,23,97,,,,
2000-06-02,18:00,,0.2,15,31,89,,,,
2000-06-02,19:00,,0.4,29,52,65,,,,
2000-06-02,20:00,,1.2,38,81,26,,,,
2000-06-02,21:00,,0.7,13,56,29,,,,
2000-06-02,22:00,,0.9,14,54,26,,,,
2000-06-02,23:00,,0.6,10,38,38,,,,
2000-06-03,00:00,,0.4,6,34,41,,,,
2000-06-03,01:00,,0.5,7,31,40,,,,2.6
2000-06-03,02:00,,0.8,10,32,39,,,,2.2
2000-06-03,03:00,,0.5,6,26,42,,,,2.5
2000-06-03,04:00,,0.3,4,24,36,,,,1.5
2000-06-03,05:00,,0.2,6,21,41,,,,1.1
2000-06-03,06:00,,0.3,10,26,40,,,,1.4
2000-06-03,07:00,,0.3,11,27,40,,,,2.4
2000-06-03,08:00,,0.4,16,34,65,,,,3.0
2000-06-03,09:00,,0.3,11,34,99,,,,3.6
2000-06-03,10:00,,0.2,7,25,109,,,,
2000-06-03,11:00,,0.1,6,21,116,,,,3.1
2000-06-03,12:00,,0.1,9,24,121,,,,3.0
2000-06-03,13:00,,0.2,,,,,,,3.9
2000-06-03,14:00,,0.2,7,23,112,,,,4.5
2000-06-03,15:00,,0.1,11,29,120,,,,8.6
2000-06-03,16:00,,0.1,7,23,129,,,,6.7
2000-06-03,17:00,,0.3,11,44,96,,,,8.9
2000-06-03,18:00,,0.6,15,44,81,,,,3.3
2000-06-03,19:00,,1.0,21,65,64,,,,4.6
2000-06-03,20:00,,2.2,45,104,17,,,,4.2
2000-06-03,21:00,,1.9,67,110,6,,,,4.6
2000-06-03,22:00,,1.2,23,78,26,,,,4.6
2000-06-03,23:00,,0.5,12,49,49,,,,4.0
2000-06-04,00:00,,0.3,3,33,73,,,,
2000-06-04,01:00,,0.4,2,39,56,,,,3.5
2000-06-04,02:00,,0.5,3,43,39,,,,2.9
2000-06-04,03:00,,0.3,1,20,50,,,,1.4
2000-06-04,04:00,,0.3,2,18,47,,,,1.0
2000-06-04,05:00,,0.3,1,16,40,,,,1.2
2000-06-04,06:00,,0.3,3,17,43,,,,1.0
2000-06-04,07:00,,0.3,2,13,50,,,,1.7
2000-06-04,08:00,,0.4,6,19,59,,,,3.9
2000-06-04,09:00,,0.3,5,15,77,,,,5.2
2000-06-04,10:00,,0.1,1,9,106,,,,
2000-06-04,11:00,,0.1,4,13,114,,,,1.9
2000-06-04,12:00,,,,,119,,,,1.6
2000-06-04,13:00,,0.1,2,11,117,,,,1.0
2000-06-04,14:00,,0.2,6,16,97,,,,1.3
2000-06-04,15:00,,0.1,5,14,,,,,1.3
2000-06-04,16:00,,0.3,9,22,,,,,1.0
2000-06-04,17:00,,0.4,9,21,,,,,1.3
2000-06-04,18:00,,0.5,12,24,,,,,1.0
2000-06-04,19:00,,0.7,18,35,,,,,2.0
2000-06-04,20:00,,1.0,17,46,,,,,1.6
2000-06-04,21:00,,1.0,18,34,,,,,1.5
2000-06-04,22:00,,0.6,6,26,,,,,1.3
2000-06-04,23:00,,0.4,4,20,,,,,1.7
2000-06-05,00:00,,0.3,3,15,,,,,
2000-06-05,01:00,,0.3,3,16,,,,,1.0
2000-06-05,02:00,,0.3,1,15,,,,,1.0
2000-06-05,03:00,,0.4,4,14,,,,,1.0
2000-06-05,04:00,,0.6,11,18,,,,,1.0
2000-06-05,05:00,,0.7,34,29,,,,,1.0
2000-06-05,06:00,,1.7,88,48,,,,,1.0
2000-06-05,07:00,,1.4,75,54,,,,,1.5
2000-06-05,08:00,,0.6,56,85,,,,,56.0
2000-06-05,09:00,,0.5,32,52,,,,,
2000-06-05,10:00,,0.4,23,39,,,,,10.2
2000-06-05,11:00,,0.3,24,43,,,,,5.4
2000-06-05,12:00,,0.5,,,,,,,11.6
2000-06-05,13:00,,0.9,37,68,,,,,20.9
2000-06-05,14:00,,0.4,31,72,,,,,14.9
2000-06-05,15:00,,0.8,42,60,,,,,2.6
2000-06-05,16:00,,0.5,23,42,,,,,2.4
2000-06-05,17:00,,0.3,14,32,,,,,3.0
2000-06-05,18:00,,0.8,26,57,,,,,1.0
2000-06-05,19:00,,0.6,13,43,,,,,1.0
2000-06-05,20:00,,0.6,13,41,,,,,1.0
2000-06-05,21:00,,0.4,10,29,,,,,1.0
2000-06-05,22:00,,0.4,3,20,,,,,1.0
2000-06-05,23:00,,0.3,2,13,,,,,1.0
2000-06-06,00:00,,0.2,1,8,,,,,
2000-06-06,01:00,,0.2,1,8,,,,,1.0
2000-06-06,02:00,,0.2,5,13,,,,,1.0
2000-06-06,03:00,,0.2,3,11,,,,,1.0
2000-06-06,04:00,,0.3,4,18,,,,,1.0
2000-06-06,05:00,,0.3,13,22,,,,,1.0
2000-06-06,06:00,,1.2,50,62,,,,,1.0
2000-06-06,07:00,,1.0,32,46,,,,,1.0
2000-06-06,08:00,,,28,28,,,,,1.0
2000-06-06,09:00,,0.3,16,19,,,,,
2000-06-06,10:00,,0.3,21,29,,,,,1.0
2000-06-06,11:00,,0.3,,,,,,,1.0
2000-06-06,12:00,,0.3,15,24,,,,,1.0
2000-06-06,13:00,,0.3,21,28,,,,,1.0
2000-06-06,14:00,,0.2,12,25,,,,,1.0
2000-06-06,15:00,,0.4,24,37,,,,,1.0
2000-06-06,16:00,,0.3,15,31,,,,,1.0
2000-06-06,17:00,,0.2,17,30,,,,,1.0
2000-06-06,18:00,,0.2,16,28,,,,,1.0
2000-06-06,19:00,,0.1,7,22,,,,,1.0
2000-06-06,20:00,,0.2,6,21,,,,,1.0
2000-06-06,21:00,,0.2,3,17,,,,,1.0
2000-06-06,22:00,,0.2,7,24,,,,,1.0
2000-06-06,23:00,,0.1,2,13,,,,,1.0
2000-06-07,00:00,,0.2,4,21,,,,,
2000-06-07,01:00,,0.1,1,13,,,,,1.0
2000-06-07,02:00,,0.1,1,10,,,,,1.0
2000-06-07,03:00,,0.1,1,13,,,,,1.0
2000-06-07,04:00,,0.2,3,18,,,,,1.0
2000-06-07,05:00,,0.6,24,38,,,,,1.0
2000-06-07,06:00,,0.6,40,50,,,,,1.0
2000-06-07,07:00,,0.2,22,28,,,,,1.0
2000-06-07,08:00,,0.2,16,24,,,,,
2000-06-07,09:00,,0.1,16,24,64,,,,1.0
2000-06-07,10:00,,0.1,21,26,58,,,,1.0
2000-06-07,11:00,,0.1,,,66,,,,1.0
2000-06-07,12:00,,0.1,17,21,67,,,,1.0
2000-06-07,13:00,,0.2,20,24,70,,,,1.0
2000-06-07,14:00,,0.3,16,25,74,,,,1.0
2000-06-07,15:00,,0.1,10,19,82,,,,1.0
2000-06-07,16:00,,0.1,13,20,84,,,,1.0
2000-06-07,17:00,,0.1,8,16,81,,,,1.0
2000-06-07,18:00,,0.1,3,12,85,,,,1.0
2000-06-07,19:00,,0.1,5,16,74,,,,1.0
2000-06-07,20:00,,0.1,2,15,70,,,,1.0
2000-06-07,21:00,,0.1,2,13,68,,,,1.0
2000-06-07,22:00,,0.1,3,14,62,,,,1.0
2000-06-07,23:00,,0.1,4,15,52,,,,1.0
2000-06-08,00:00,,0.2,2,17,33,,,,
2000-06-08,01:00,,0.1,3,17,23,,,,1.0
2000-06-08,02:00,,0.1,1,12,21,,,,1.0
2000-06-08,03:00,,0.1,2,12,18,,,,1.0
2000-06-08,04:00,,0.1,4,16,22,,,,1.0
2000-06-08,05:00,,0.2,7,28,18,,,,1.0
2000-06-08,06:00,,0.4,31,45,15,,,,1.0
2000-06-08,07:00,,0.4,38,42,40,,,,1.0
2000-06-08,08:00,,,20,32,,,,,
2000-06-08,09:00,,0.1,21,30,68,,,,1.2
2000-06-08,10:00,,0.1,,,72,,,,1.1
2000-06-08,11:00,,0.1,27,34,72,,,,3.2
2000-06-08,12:00,,0.1,20,30,75,,,,4.3
2000-06-08,13:00,,0.1,19,31,76,,,,2.6
2000-06-08,14:00,,0.3,43,50,65,,,,3.0
2000-06-08,15:00,,0.2,27,35,82,,,,1.9
2000-06-08,16:00,,0.1,22,30,88,,,,1.6
2000-06-08,17:00,,0.2,21,31,88,,,,1.0
2000-06-08,18:00,,0.3,26,39,88,,,,2.7
2000-06-08,19:00,,0.3,18,39,84,,,,1.5
2000-06-08,20:00,,0.4,20,63,52,,,,10.4
2000-06-08,21:00,,0.3,8,42,60,,,,13.6
2000-06-08,22:00,,0.3,4,31,55,,,,4.6
2000-06-08,23:00,,0.3,5,26,59,,,,2.0
2000-06-09,00:00,,0.2,3,20,66,,,,
2000-06-09,01:00,,0.2,2,21,64,,,,2.0
2000-06-09,02:00,,0.1,2,34,54,,,,13.5
2000-06-09,03:00,,0.2,2,20,81,,,,9.6
2000-06-09,04:00,,0.3,8,35,63,,,,5.8
2000-06-09,05:00,,0.8,48,72,38,,,,14.7
2000-06-09,06:00,,1.7,118,107,11,,,,62.3
2000-06-09,07:00,,1.0,82,87,,,,,
2000-06-09,08:00,,0.4,38,57,63,,,,20.2
2000-06-09,09:00,,0.4,35,55,68,,,,28.4
