Datum,Zeit,BEN,CO,NO,NO2,O3,PM10,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,mg/m3,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2000-08-01,01:00,2.2,0.2,4,54,11,,,1.0
2000-08-01,02:00,2.3,0.1,1,31,16,,,1.0
2000-08-01,03:00,1.5,0.1,1,22,19,,,1.0
2000-08-01,04:00,1.3,0.1,4,28,13,,,1.0
2000-08-01,05:00,1.8,0.1,12,37,4,,,1.0
2000-08-01,06:00,2.4,,,,7,,,1.0
2000-08-01,07:00,3.0,0.1,50,45,10,,,2.1
2000-08-01,08:00,2.3,0.1,29,44,,,,2.3
2000-08-01,09:00,2.1,0.1,17,48,42,,,1.2
2000-08-01,10:00,2.1,0.1,8,33,76,,,1.0
2000-08-01,11:00,1.4,0.1,1,13,108,,,1.0
2000-08-01,12:00,1.1,0.1,2,14,112,,,1.0
2000-08-01,13:00,0.9,0.1,1,10,121,,,1.0
2000-08-01,14:00,0.9,0.1,2,13,124,,,1.0
2000-08-01,15:00,1.0,0.1,2,15,126,,,1.0
2000-08-01,16:00,1.2,0.1,3,14,125,,,
2000-08-01,17:00,1.2,0.1,3,18,119,,,1.0
2000-08-01,18:00,1.7,0.1,2,18,122,,,1.0
2000-08-01,19:00,1.3,0.1,1,16,118,,,1.0
2000-08-01,20:00,1.8,0.1,4,66,65,,,1.0
2000-08-01,21:00,4.9,0.6,20,123,6,,,1.3
2000-08-01,22:00,5.3,0.3,2,84,20,,,1.0
2000-08-01,23:00,3.6,0.2,1,52,38,,,1.0
2000-08-02,00:00,2.3,0.1,1,29,55,,,1.0
2000-08-02,01:00,1.8,0.1,1,24,51,,,1.0
2000-08-02,02:00,1.5,0.1,1,19,56,,,1.0
2000-08-02,03:00,1.7,0.1,1,30,33,,,1.0
2000-08-02,04:00,2.3,0.1,11,54,8,,,1.0
2000-08-02,05:00,3.3,0.3,,,4,,,1.0
2000-08-02,06:00,5.0,1.1,166,90,4,,,1.7
2000-08-02,07:00,9.2,2.2,181,119,,,,3.1
2000-08-02,08:00,7.8,0.6,44,96,29,,,3.4
2000-08-02,09:00,2.8,0.1,3,26,100,,,1.6
2000-08-02,10:00,1.6,0.1,1,16,127,,,1.6
2000-08-02,11:00,1.5,0.1,1,18,132,,,2.3
