Datum,Zeit,BEN,CO,NO,NO2,O3,PM10,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,mg/m3,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2000-09-01,,,,,,,38,,
2000-09-01,01:00,1.7,0.1,11,48,7,,,1.6
2000-09-01,02:00,1.9,0.1,2,31,9,,,1.3
2000-09-01,03:00,2.1,0.1,7,33,6,,,1.3
2000-09-01,04:00,1.9,0.1,11,32,4,,,1.2
2000-09-01,05:00,1.8,0.2,33,40,1,,,1.8
2000-09-01,06:00,2.6,0.2,74,50,1,,,1.7
2000-09-01,07:00,3.0,0.3,79,49,2,,,2.6
2000-09-01,08:00,3.2,0.4,98,51,3,,,3.5
2000-09-01,09:00,3.3,0.3,54,46,,,,6.2
2000-09-01,10:00,3.1,0.3,42,51,20,,,6.0
2000-09-01,11:00,3.2,0.1,38,55,45,,,7.5
2000-09-01,12:00,2.3,0.1,35,56,69,,,10.1
2000-09-01,13:00,,0.1,22,55,80,,,9.2
2000-09-01,14:00,2.8,0.1,28,61,75,,,8.6
2000-09-01,15:00,2.3,0.2,,,55,,,
2000-09-01,16:00,3.2,0.3,34,74,47,,,10.6
2000-09-01,17:00,3.3,0.5,43,92,32,,,13.8
2000-09-01,18:00,3.5,0.4,34,80,37,,,11.3
2000-09-01,19:00,4.9,,61,107,12,,,11.3
2000-09-01,20:00,5.8,0.9,49,97,12,,,9.8
2000-09-01,21:00,5.0,0.8,44,85,8,,,7.7
2000-09-01,22:00,5.4,0.9,51,78,2,,,7.4
2000-09-01,23:00,4.4,0.3,33,51,10,,,5.9
2000-09-02,,,,,,,38,,
2000-09-02,00:00,2.7,0.2,46,55,16,,,5.0
2000-09-02,01:00,2.3,0.1,27,53,44,,,3.7
2000-09-02,02:00,1.5,0.1,20,47,48,,,2.1
2000-09-02,03:00,1.6,0.2,7,34,51,,,1.4
2000-09-02,04:00,1.8,0.2,14,43,39,,,1.2
2000-09-02,05:00,1.7,0.1,52,58,28,,,2.4
2000-09-02,06:00,1.4,0.1,64,56,27,,,2.6
2000-09-02,07:00,1.3,0.1,64,51,29,,,3.8
2000-09-02,08:00,1.2,0.1,87,56,,,,4.9
2000-09-02,09:00,1.7,0.1,53,41,28,,,4.3
2000-09-02,10:00,2.3,0.1,74,48,27,,,4.0
2000-09-02,11:00,2.1,0.1,94,58,22,,,4.5
2000-09-02,12:00,2.4,0.1,70,52,29,,,4.3
2000-09-02,13:00,2.0,0.1,53,42,42,,,3.3
2000-09-02,14:00,2.1,0.1,79,57,34,,,4.9
2000-09-02,15:00,1.9,0.2,,,29,,,
2000-09-02,16:00,2.8,0.1,74,63,31,,,2.9
2000-09-02,17:00,2.1,0.1,86,65,28,,,3.6
2000-09-02,18:00,2.1,0.1,60,56,27,,,3.9
2000-09-02,19:00,1.7,0.1,62,53,24,,,2.9
2000-09-02,20:00,2.0,0.1,64,53,20,,,4.1
2000-09-02,21:00,1.8,0.1,43,42,29,,,3.3
2000-09-02,22:00,1.7,0.1,56,47,24,,,2.6
2000-09-02,23:00,2.0,0.1,49,44,26,,,1.8
2000-09-03,,,,,,,17,,
2000-09-03,00:00,1.8,0.2,49,47,25,,,3.4
2000-09-03,01:00,1.9,0.1,63,45,24,,,4.4
2000-09-03,02:00,1.6,0.1,56,46,20,,,3.6
2000-09-03,03:00,1.3,0.1,50,42,20,,,2.5
2000-09-03,04:00,1.4,0.1,53,41,19,,,1.4
2000-09-03,05:00,,0.1,44,37,23,,,2.0
2000-09-03,06:00,,0.1,25,30,30,,,2.4
2000-09-03,07:00,,0.1,30,31,31,,,2.2
2000-09-03,08:00,,0.1,34,31,,,,2.3
2000-09-03,09:00,1.0,0.1,29,29,36,,,2.0
2000-09-03,10:00,1.4,0.1,38,33,38,,,2.3
2000-09-03,11:00,1.5,0.1,38,35,42,,,2.3
2000-09-03,12:00,1.6,0.1,30,32,48,,,1.8
2000-09-03,13:00,1.3,0.1,23,28,55,,,1.2
2000-09-03,14:00,1.4,0.1,,,40,,,
2000-09-03,15:00,1.6,0.1,38,40,40,,,2.4
2000-09-03,16:00,1.7,0.1,34,34,40,,,1.1
2000-09-03,17:00,1.4,0.1,22,25,43,,,1.4
2000-09-03,18:00,1.4,0.1,35,34,37,,,1.4
2000-09-03,19:00,1.5,,44,36,34,,,1.9
2000-09-03,20:00,1.4,0.1,33,39,31,,,1.2
2000-09-03,21:00,1.3,0.1,29,35,37,,,1.9
2000-09-03,22:00,1.9,0.1,46,50,29,,,5.4
2000-09-03,23:00,1.2,0.1,24,30,37,,,2.9
2000-09-04,,,,,,,25,,
2000-09-04,00:00,1.1,0.1,23,28,40,,,1.9
2000-09-04,01:00,0.7,0.1,6,13,50,,,1.2
2000-09-04,02:00,0.4,0.1,6,11,51,,,1.0
2000-09-04,03:00,0.5,0.1,8,14,48,,,1.0
2000-09-04,04:00,0.5,0.1,21,27,37,,,1.0
2000-09-04,05:00,0.8,0.1,39,38,25,,,1.0
2000-09-04,06:00,1.7,0.5,88,64,11,,,1.5
2000-09-04,07:00,3.0,0.4,114,77,,,,2.3
2000-09-04,08:00,3.0,0.3,116,70,8,,,2.8
2000-09-04,09:00,2.3,0.2,119,70,8,,,2.7
2000-09-04,10:00,2.1,0.2,106,66,11,,,3.7
2000-09-04,11:00,2.2,0.2,120,68,10,,,3.8
2000-09-04,12:00,2.2,0.1,91,63,18,,,3.7
2000-09-04,13:00,2.3,0.1,81,57,18,,,3.3
2000-09-04,14:00,3.0,0.2,,,17,,,
2000-09-04,15:00,2.6,0.3,87,60,15,,,3.3
2000-09-04,16:00,3.1,0.3,64,49,14,,,2.8
2000-09-04,17:00,2.0,0.3,69,56,12,,,2.0
2000-09-04,18:00,2.3,0.4,67,55,11,,,1.9
2000-09-04,19:00,3.1,0.4,54,56,8,,,2.3
2000-09-04,20:00,2.4,0.6,84,66,2,,,2.2
2000-09-04,21:00,3.3,0.4,59,51,5,,,2.2
2000-09-04,22:00,2.5,0.2,56,47,5,,,2.5
2000-09-04,23:00,2.9,0.2,45,48,6,,,1.7
2000-09-05,,,,,,,32,,
2000-09-05,00:00,1.6,0.1,22,36,12,,,1.1
2000-09-05,01:00,1.1,0.1,22,40,7,,,1.0
2000-09-05,02:00,1.1,0.1,17,41,3,,,1.0
2000-09-05,03:00,1.2,0.1,21,40,3,,,1.0
2000-09-05,04:00,1.1,0.1,40,44,2,,,1.3
2000-09-05,05:00,2.2,0.2,71,53,2,,,2.3
2000-09-05,06:00,3.3,0.7,124,65,1,,,4.3
2000-09-05,07:00,4.4,0.8,176,76,,,,5.3
2000-09-05,08:00,3.6,0.6,164,75,3,,,7.0
2000-09-05,09:00,2.6,0.3,117,61,6,,,7.5
2000-09-05,10:00,2.6,0.3,119,60,9,,,8.3
2000-09-05,11:00,2.9,0.2,110,65,12,,,6.0
2000-09-05,12:00,3.4,0.2,115,73,8,,,5.4
2000-09-05,13:00,3.3,0.3,,,8,,,
2000-09-05,14:00,3.5,0.3,117,79,13,,,5.5
2000-09-05,15:00,3.4,0.3,96,73,17,,,4.2
2000-09-05,16:00,3.4,0.5,94,73,16,,,4.7
2000-09-05,17:00,3.3,0.4,96,74,11,,,5.1
2000-09-05,18:00,3.9,,66,60,14,,,6.7
2000-09-05,19:00,3.1,0.5,62,63,8,,,3.5
2000-09-05,20:00,4.0,0.5,91,70,5,,,3.5
2000-09-05,21:00,2.6,0.3,49,57,8,,,3.8
2000-09-05,22:00,2.3,0.2,34,41,16,,,2.1
2000-09-05,23:00,2.2,0.2,31,42,12,,,1.6
2000-09-06,,,,,,,38,,
2000-09-06,00:00,2.0,0.1,23,43,10,,,2.6
2000-09-06,01:00,1.4,0.1,16,34,14,,,1.8
2000-09-06,02:00,1.4,0.1,15,35,9,,,1.9
2000-09-06,03:00,1.1,0.1,10,34,8,,,2.2
2000-09-06,04:00,1.2,0.1,36,42,5,,,3.3
2000-09-06,05:00,2.8,0.3,89,53,2,,,3.6
2000-09-06,06:00,3.6,0.5,94,57,,,,5.0
2000-09-06,07:00,3.9,0.5,157,66,2,,,7.5
2000-09-06,08:00,10.8,0.8,123,61,4,,,64.9
2000-09-06,09:00,2.1,0.1,90,46,8,,,8.0
2000-09-06,10:00,2.2,0.1,71,42,18,,,8.4
2000-09-06,11:00,2.2,0.2,79,64,21,,,10.2
2000-09-06,12:00,2.6,0.1,113,68,17,,,10.2
2000-09-06,13:00,2.5,0.2,,,20,,,
2000-09-06,14:00,2.9,0.2,113,74,20,,,10.0
2000-09-06,15:00,2.3,0.1,79,60,24,,,7.9
2000-09-06,16:00,2.1,0.1,65,61,26,,,7.8
2000-09-06,17:00,2.5,0.2,50,60,28,,,11.3
2000-09-06,18:00,2.6,0.1,30,65,17,,,22.2
2000-09-06,19:00,3.1,0.2,23,65,14,,,25.4
2000-09-06,20:00,3.3,0.7,41,64,13,,,17.7
2000-09-06,21:00,2.9,0.4,42,58,18,,,10.7
2000-09-06,22:00,2.1,0.1,8,33,33,,,9.7
2000-09-06,23:00,1.5,0.1,4,31,36,,,8.7
2000-09-07,,,,,,,35,,
2000-09-07,00:00,,0.1,6,29,35,,,5.3
2000-09-07,01:00,,0.1,2,23,38,,,3.2
2000-09-07,02:00,,0.1,1,21,38,,,3.2
2000-09-07,03:00,,0.1,1,21,36,,,2.6
2000-09-07,04:00,1.0,0.1,3,30,24,,,3.2
2000-09-07,05:00,1.7,0.1,46,53,10,,,3.5
2000-09-07,06:00,4.6,0.3,128,79,,,,5.3
2000-09-07,07:00,4.0,0.3,151,82,2,,,5.2
2000-09-07,08:00,3.6,0.1,133,72,5,,,9.1
2000-09-07,09:00,2.5,0.1,143,67,9,,,9.5
2000-09-07,10:00,2.5,0.1,132,69,8,,,7.8
2000-09-07,11:00,2.7,0.1,84,55,11,,,6.3
2000-09-07,12:00,2.1,0.1,,,15,,,
2000-09-07,13:00,1.1,0.1,28,34,28,,,4.8
2000-09-07,14:00,2.4,0.1,117,67,12,,,6.2
2000-09-07,15:00,5.0,0.2,119,79,6,,,6.0
2000-09-07,16:00,3.8,0.1,96,70,11,,,7.1
2000-09-07,17:00,1.6,0.1,41,47,28,,,6.0
2000-09-07,18:00,1.7,,44,53,26,,,4.9
2000-09-07,19:00,4.1,0.4,91,80,3,,,6.1
2000-09-07,20:00,7.5,1.0,171,83,1,,,6.9
2000-09-07,21:00,6.6,1.0,156,71,1,,,6.6
2000-09-07,22:00,9.4,1.3,146,54,1,,,8.6
2000-09-07,23:00,7.0,0.8,99,43,1,,,5.7
2000-09-08,,,,,,,39,,
2000-09-08,00:00,4.8,0.4,77,38,1,,,3.2
2000-09-08,01:00,4.6,0.4,83,34,1,,,3.3
2000-09-08,02:00,5.6,0.5,70,30,1,,,2.4
2000-09-08,03:00,3.8,0.2,48,28,1,,,2.3
2000-09-08,04:00,2.7,0.1,48,30,1,,,1.7
2000-09-08,05:00,2.4,0.2,58,32,,,,1.9
2000-09-08,06:00,3.8,0.5,141,42,1,,,2.4
2000-09-08,07:00,4.1,0.5,119,40,1,,,3.2
2000-09-08,08:00,3.9,0.3,134,47,1,,,4.1
2000-09-08,09:00,2.8,0.1,87,41,3,,,4.6
2000-09-08,10:00,2.9,0.1,94,49,5,,,6.2
2000-09-08,11:00,2.6,0.1,73,48,6,,,5.8
2000-09-08,12:00,2.5,0.1,,,15,,,
2000-09-08,13:00,2.2,0.1,84,60,21,,,5.1
2000-09-08,14:00,4.0,0.3,80,68,24,,,5.9
2000-09-08,15:00,3.6,0.3,76,68,26,,,5.1
2000-09-08,16:00,3.1,0.2,73,70,26,,,3.6
2000-09-08,17:00,3.2,0.2,68,73,23,,,4.1
2000-09-08,18:00,3.8,0.3,75,76,17,,,4.4
2000-09-08,19:00,3.5,0.4,91,85,8,,,4.6
2000-09-08,20:00,4.5,0.7,88,88,6,,,5.9
2000-09-08,21:00,5.4,0.5,70,79,3,,,4.3
2000-09-08,22:00,4.5,0.6,67,72,4,,,6.6
2000-09-08,23:00,3.6,0.3,44,64,4,,,6.3
2000-09-09,,,,,,,41,,
2000-09-09,00:00,3.5,0.2,30,57,8,,,5.4
2000-09-09,01:00,3.1,0.5,32,57,5,,,4.1
2000-09-09,02:00,3.9,0.5,33,53,3,,,2.7
2000-09-09,03:00,2.6,0.1,12,35,12,,,1.2
2000-09-09,04:00,1.5,0.1,14,25,16,,,1.4
2000-09-09,05:00,1.4,0.1,22,30,,,,1.8
2000-09-09,06:00,1.6,0.1,34,34,6,,,2.5
2000-09-09,07:00,1.8,0.1,65,41,3,,,4.0
2000-09-09,08:00,2.7,0.3,62,44,4,,,7.5
2000-09-09,09:00,3.9,0.5,54,43,7,,,10.1
2000-09-09,10:00,3.2,1.2,54,44,16,,,9.9
2000-09-09,11:00,5.6,2.0,,,29,,,
2000-09-09,12:00,4.3,0.9,28,44,44,,,5.9
2000-09-09,13:00,4.0,1.4,23,38,58,,,3.3
2000-09-09,14:00,3.4,1.5,25,40,63,,,2.4
2000-09-09,15:00,5.5,1.7,25,46,63,,,2.9
2000-09-09,16:00,6.5,2.8,30,53,64,,,3.2
2000-09-09,17:00,5.5,,35,62,60,,,2.4
2000-09-09,18:00,3.8,,40,63,58,,,2.3
2000-09-09,19:00,3.6,,52,84,35,,,4.9
2000-09-09,20:00,5.8,,53,94,20,,,5.5
2000-09-09,21:00,6.4,,52,104,3,,,5.8
2000-09-09,22:00,7.2,,63,96,2,,,5.3
2000-09-09,23:00,6.5,,80,94,1,,,4.8
2000-09-10,,,,,,,33,,
2000-09-10,00:00,5.9,,54,79,1,,,6.6
2000-09-10,01:00,3.4,,15,53,10,,,5.6
2000-09-10,02:00,2.5,,13,34,17,,,3.6
2000-09-10,03:00,2.7,,16,33,16,,,4.1
2000-09-10,04:00,2.8,,26,46,,,,4.6
2000-09-10,05:00,2.2,,10,30,15,,,2.5
2000-09-10,06:00,1.8,,7,24,18,,,2.7
2000-09-10,07:00,1.3,,5,17,25,,,2.5
2000-09-10,08:00,1.6,,20,22,25,,,3.0
2000-09-10,09:00,1.8,,15,22,32,,,3.5
2000-09-10,10:00,1.7,,15,25,32,,,5.2
2000-09-10,11:00,1.7,,,,33,,,
2000-09-10,12:00,1.4,,15,22,46,,,3.8
2000-09-10,13:00,2.7,,20,28,50,,,3.6
2000-09-10,14:00,3.3,,36,34,44,,,4.3
2000-09-10,15:00,3.0,,42,40,46,,,3.8
2000-09-10,16:00,3.0,,39,41,42,,,3.8
2000-09-10,17:00,2.6,,35,44,39,,,3.9
2000-09-10,18:00,3.9,,47,50,32,,,3.5
2000-09-10,19:00,,,61,73,12,,,5.0
2000-09-10,20:00,,,125,84,1,,,7.5
2000-09-10,21:00,,,96,70,1,,,7.1
2000-09-10,22:00,,,49,62,1,,,4.6
2000-09-10,23:00,4.0,,108,68,1,,,5.4
2000-09-11,,,,,,,38,,
2000-09-11,00:00,3.5,,27,48,1,,,4.6
2000-09-11,01:00,2.1,,11,34,4,,,3.8
2000-09-11,02:00,1.6,,12,26,8,,,2.6
2000-09-11,03:00,1.3,,17,25,10,,,3.2
2000-09-11,04:00,1.1,,19,28,,,,3.5
2000-09-11,05:00,1.3,,20,30,3,,,3.3
2000-09-11,06:00,2.5,,57,38,1,,,3.4
2000-09-11,07:00,3.7,,86,45,1,,,4.9
2000-09-11,08:00,4.3,,133,49,1,,,7.6
2000-09-11,09:00,4.0,0.4,129,51,1,,,8.1
2000-09-11,10:00,3.8,0.4,,,3,,,
2000-09-11,11:00,3.6,0.3,159,82,8,,,11.7
2000-09-11,12:00,2.8,0.1,104,74,19,,,9.2
2000-09-11,13:00,1.9,0.1,67,60,34,,,7.0
2000-09-11,14:00,1.7,0.1,53,53,46,,,5.3
2000-09-11,15:00,2.4,0.2,79,63,38,,,7.1
2000-09-11,16:00,1.3,0.2,40,51,47,,,5.7
2000-09-11,17:00,2.3,0.4,70,72,32,,,6.2
2000-09-11,18:00,1.5,,11,35,48,,,3.8
2000-09-11,19:00,1.4,0.1,15,46,28,,,3.3
2000-09-11,20:00,1.3,0.1,9,34,28,,,3.4
2000-09-11,21:00,1.0,0.1,9,29,27,,,2.6
2000-09-11,22:00,0.8,0.1,4,22,29,,,3.3
2000-09-11,23:00,0.7,0.1,4,23,24,,,3.2
2000-09-12,,,,,,,37,,
2000-09-12,00:00,0.8,0.1,4,21,21,,,2.1
2000-09-12,01:00,0.8,0.1,2,18,18,,,1.8
