Datum,Zeit,BEN,CO,NO,NO2,O3,PM10,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,mg/m3,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2000-11-01,,,,,,,19,,
2000-11-01,01:00,0.8,0.1,5,12,50,,,2.3
2000-11-01,02:00,0.7,0.1,2,12,46,,,2.9
2000-11-01,03:00,0.7,0.1,2,12,44,,,2.8
2000-11-01,04:00,0.6,0.1,6,14,43,,,3.0
2000-11-01,05:00,0.6,0.1,7,15,42,,,3.1
2000-11-01,06:00,1.5,0.3,31,26,34,,,4.3
2000-11-01,07:00,3.1,,51,36,26,,,4.8
2000-11-01,08:00,4.6,,,,20,,,
2000-11-01,09:00,3.6,,84,49,20,,,6.5
2000-11-01,10:00,2.9,,74,41,28,,,7.4
2000-11-01,11:00,3.1,,72,39,30,,,8.6
2000-11-01,12:00,2.9,,82,42,29,,,11.7
2000-11-01,13:00,2.5,,65,38,35,,,12.4
2000-11-01,14:00,2.7,,78,43,31,,,7.3
2000-11-01,15:00,3.8,,83,45,28,,,9.9
2000-11-01,16:00,,,110,58,20,,,11.9
2000-11-01,17:00,,,158,70,10,,,8.2
2000-11-01,18:00,,,124,64,9,,,13.7
2000-11-01,19:00,,,80,48,18,,,6.6
2000-11-01,20:00,,,45,35,27,,,4.7
2000-11-01,21:00,2.8,,37,34,26,,,4.7
2000-11-01,22:00,2.2,,25,37,,,,4.6
2000-11-01,23:00,2.2,,26,23,35,,,6.0
2000-11-02,,,,,,,23,,
2000-11-02,00:00,1.4,,11,25,31,,,7.9
2000-11-02,01:00,1.1,,6,22,36,,,6.6
2000-11-02,02:00,1.0,,3,16,40,,,4.8
2000-11-02,03:00,0.8,,2,12,41,,,3.8
2000-11-02,04:00,0.8,,5,13,39,,,3.4
2000-11-02,05:00,0.8,,10,16,38,,,2.5
2000-11-02,06:00,1.4,,26,23,30,,,3.4
2000-11-02,07:00,3.7,,62,40,18,,,4.4
2000-11-02,08:00,4.1,,,,16,,,
2000-11-02,09:00,4.2,,86,49,17,,,7.2
2000-11-02,10:00,4.4,,91,46,19,,,8.9
2000-11-02,11:00,4.4,,106,47,20,,,9.3
2000-11-02,12:00,3.6,,82,43,28,,,7.2
2000-11-02,13:00,3.1,,80,44,29,,,29.7
2000-11-02,14:00,3.9,,90,51,27,,,48.4
2000-11-02,15:00,5.4,,111,58,24,,,31.4
2000-11-02,16:00,7.9,,92,62,23,,,13.5
2000-11-02,17:00,9.7,,87,73,11,,,8.4
2000-11-02,18:00,9.1,,154,73,7,,,7.5
2000-11-02,19:00,18.7,,265,80,3,,,7.0
2000-11-02,20:00,6.8,,80,68,10,,,7.6
2000-11-02,21:00,4.3,,45,47,20,,,5.3
2000-11-02,22:00,1.8,,18,25,,,,10.7
2000-11-02,23:00,1.7,,16,17,52,,,3.9
2000-11-03,,,,,,,35,,
2000-11-03,00:00,0.9,,16,18,49,,,3.9
2000-11-03,01:00,0.9,,6,15,47,,,3.3
2000-11-03,02:00,0.8,,10,30,30,,,47.4
2000-11-03,03:00,0.8,,3,26,29,,,46.4
2000-11-03,04:00,0.9,,6,25,29,,,44.4
2000-11-03,05:00,1.0,,7,22,32,,,26.5
2000-11-03,06:00,1.4,,23,28,26,,,33.2
2000-11-03,07:00,4.1,,,,9,,,
2000-11-03,08:00,5.0,,85,58,8,,,85.8
2000-11-03,09:00,4.0,,97,59,6,,,133.3
2000-11-03,10:00,,,96,58,8,,,207.8
2000-11-03,11:00,4.5,,,,,,,
2000-11-03,12:00,5.3,,,,6,,,
2000-11-03,13:00,6.5,,,,,,,
2000-11-03,14:00,2.6,,17,29,31,,,21.6
2000-11-03,15:00,2.6,,41,38,29,,,10.9
2000-11-03,16:00,10.5,,145,72,13,,,7.2
2000-11-03,17:00,12.2,,206,79,3,,,9.1
2000-11-03,18:00,18.0,,289,79,2,,,9.4
2000-11-03,19:00,18.2,,241,73,2,,,8.1
2000-11-03,20:00,10.0,,85,57,1,,,6.2
2000-11-03,21:00,10.6,,106,59,1,,,7.4
2000-11-03,22:00,3.8,,23,43,12,,,31.9
2000-11-03,23:00,4.7,,37,37,23,,,21.7
2000-11-04,,,,,,,17,,
2000-11-04,00:00,2.6,,29,40,20,,,43.3
2000-11-04,01:00,1.5,,16,21,28,,,15.7
2000-11-04,02:00,1.5,,7,27,12,,,5.6
2000-11-04,03:00,1.6,,16,32,11,,,5.1
2000-11-04,04:00,1.5,,21,32,9,,,4.1
2000-11-04,05:00,1.6,,25,31,7,,,3.1
2000-11-04,06:00,1.6,,18,30,12,,,2.5
2000-11-04,07:00,1.3,,27,25,26,,,2.8
2000-11-04,08:00,2.6,,52,33,18,,,2.8
