Datum,Zeit,BEN,CO,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,mg/m3,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2001-05-01,,,,,,,41,,,
2001-05-01,01:00,,0.1,1,19,68,,,,7.0
2001-05-01,02:00,,0.1,1,16,69,,,,7.8
2001-05-01,03:00,,0.1,1,16,68,,,,8.4
2001-05-01,04:00,,0.1,1,15,66,,,,7.9
2001-05-01,05:00,,0.1,1,13,65,,,,7.3
2001-05-01,06:00,,0.1,1,14,62,,,,6.8
2001-05-01,07:00,,0.1,1,14,64,,,,6.5
2001-05-01,08:00,,0.1,1,15,68,,,,6.4
2001-05-01,09:00,,,,,,,,,7.8
2001-05-01,10:00,,0.1,1,13,89,,,,7.9
2001-05-01,11:00,,0.1,1,12,102,,,,7.3
2001-05-01,12:00,,0.1,1,11,121,,,,7.1
2001-05-01,13:00,,0.1,1,10,124,,,,6.6
2001-05-01,14:00,,0.1,1,9,128,,,,5.9
2001-05-01,15:00,,0.1,1,8,126,,,,6.4
2001-05-01,16:00,,0.1,1,8,120,,,,4.8
2001-05-01,17:00,,0.1,1,8,113,,,,4.1
2001-05-01,18:00,,0.1,1,8,100,,,,2.6
2001-05-01,19:00,,0.1,1,9,98,,,,2.2
2001-05-01,20:00,,0.1,1,12,97,,,,2.8
2001-05-01,21:00,,0.1,1,10,99,,,,
2001-05-01,22:00,,0.1,1,10,89,,,,8.4
2001-05-01,23:00,,0.1,1,10,81,,,,8.2
2001-05-02,,,,,,,16,,,
2001-05-02,00:00,,0.1,1,10,72,,,,
2001-05-02,01:00,,0.1,1,10,70,,,,6.1
2001-05-02,02:00,,0.1,1,10,72,,,,5.9
2001-05-02,03:00,,0.1,1,9,70,,,,5.5
2001-05-02,04:00,,0.1,1,8,62,,,,3.6
2001-05-02,05:00,,0.1,1,12,57,,,,3.9
2001-05-02,06:00,,0.1,1,16,54,,,,4.5
2001-05-02,07:00,,0.1,2,17,62,,,,5.9
2001-05-02,08:00,,0.1,2,13,68,,,,4.9
2001-05-02,09:00,,0.1,,,,,,,5.6
2001-05-02,10:00,,0.1,3,16,71,,,,4.9
2001-05-02,11:00,,0.1,2,13,75,,,,3.5
2001-05-02,12:00,,0.1,1,9,83,,,,2.2
2001-05-02,13:00,,0.1,1,8,93,,,,1.1
2001-05-02,14:00,,0.1,1,7,100,,,,1.2
2001-05-02,15:00,,0.1,1,8,103,,,,2.8
2001-05-02,16:00,,0.1,1,8,102,,,,2.3
2001-05-02,17:00,,0.1,1,8,104,,,,1.6
2001-05-02,18:00,,0.1,1,9,100,,,,1.8
2001-05-02,19:00,,0.1,1,16,92,,,,2.2
2001-05-02,20:00,,0.1,1,25,80,,,,3.1
2001-05-02,21:00,,0.1,1,19,79,,,,
2001-05-02,22:00,,0.1,1,12,90,,,,1.3
2001-05-02,23:00,,0.1,1,12,85,,,,1.3
2001-05-03,,,,,,,30,,,
2001-05-03,00:00,,0.1,1,9,87,,,,
2001-05-03,01:00,,0.1,1,10,83,,,,7.1
2001-05-03,02:00,,0.1,1,10,84,,,,11.9
2001-05-03,03:00,,0.1,1,10,86,,,,9.6
2001-05-03,04:00,,0.1,1,10,86,,,,7.3
2001-05-03,05:00,,0.1,1,12,85,,,,6.7
2001-05-03,06:00,,0.1,1,20,82,,,,7.3
2001-05-03,07:00,,0.1,1,24,82,,,,9.7
2001-05-03,08:00,,,,,,,,,11.9
2001-05-03,09:00,,0.1,1,16,95,,,,11.9
2001-05-03,10:00,,0.1,1,15,103,,,,9.2
2001-05-03,11:00,,0.1,1,14,115,,,,7.7
2001-05-03,12:00,,0.1,2,15,121,,,,9.2
2001-05-03,13:00,,0.1,4,16,120,,,,10.6
2001-05-03,14:00,,0.1,1,12,130,,,,7.2
2001-05-03,15:00,,0.3,1,11,134,,,,5.5
2001-05-03,16:00,,0.1,1,10,130,,,,3.8
2001-05-03,17:00,,0.1,1,11,123,,,,2.6
2001-05-03,18:00,,0.1,1,13,121,,,,2.7
2001-05-03,19:00,,0.1,1,17,111,,,,2.4
2001-05-03,20:00,,0.1,1,19,98,,,,
2001-05-03,21:00,,0.1,1,15,94,,,,1.8
2001-05-03,22:00,,0.1,1,16,93,,,,2.9
2001-05-03,23:00,,0.1,1,14,97,,,,1.8
2001-05-04,,,,,,,42,,,
2001-05-04,00:00,,0.1,1,15,93,,,,
2001-05-04,01:00,,0.1,1,13,88,,,,2.2
2001-05-04,02:00,,0.1,1,13,81,,,,1.9
2001-05-04,03:00,,0.1,1,13,76,,,,1.7
2001-05-04,04:00,,0.1,1,15,68,,,,1.3
2001-05-04,05:00,,0.1,1,20,64,,,,1.4
2001-05-04,06:00,,0.1,1,17,59,,,,1.9
2001-05-04,07:00,,0.2,1,27,40,,,,2.9
2001-05-04,08:00,,0.2,,,,,,,1.9
2001-05-04,09:00,,0.2,2,24,35,,,,2.9
2001-05-04,10:00,,0.2,4,21,47,,,,3.0
2001-05-04,11:00,,0.1,2,19,58,,,,1.6
2001-05-04,12:00,,0.1,2,20,60,,,,1.8
2001-05-04,13:00,,0.1,1,18,66,,,,1.3
2001-05-04,14:00,,0.1,1,15,66,,,,1.3
2001-05-04,15:00,,0.1,1,14,74,,,,1.2
2001-05-04,16:00,,0.1,1,14,81,,,,1.0
2001-05-04,17:00,,0.1,1,15,76,,,,1.0
2001-05-04,18:00,,0.1,1,17,64,,,,1.2
2001-05-04,19:00,,0.1,1,32,41,,,,1.7
2001-05-04,20:00,,0.1,1,25,45,,,,
2001-05-04,21:00,,0.1,1,20,39,,,,1.0
2001-05-04,22:00,,0.1,1,19,39,,,,1.0
2001-05-04,23:00,,0.1,1,19,38,,,,1.0
2001-05-05,,,,,,,15,,,
2001-05-05,00:00,,0.1,1,15,59,,,,
2001-05-05,01:00,,0.1,1,9,57,,,,5.0
2001-05-05,02:00,,0.1,1,9,51,,,,4.8
2001-05-05,03:00,,0.1,1,9,52,,,,3.1
2001-05-05,04:00,,0.1,1,9,75,,,,3.8
2001-05-05,05:00,,0.1,1,6,82,,,,1.6
2001-05-05,06:00,,0.1,1,6,79,,,,1.5
2001-05-05,07:00,,0.1,,,,,,,3.1
2001-05-05,08:00,,,1,8,69,,,,3.2
2001-05-05,09:00,,0.1,1,7,66,,,,1.0
2001-05-05,10:00,,0.1,1,8,61,,,,1.2
2001-05-05,11:00,,0.1,1,9,58,,,,1.3
2001-05-05,12:00,,0.1,1,8,66,,,,1.0
2001-05-05,13:00,,0.1,1,7,66,,,,1.0
2001-05-05,14:00,,0.1,1,7,64,,,,1.0
2001-05-05,15:00,,0.1,1,8,60,,,,1.0
2001-05-05,16:00,,0.1,1,8,58,,,,1.0
2001-05-05,17:00,,0.1,1,9,53,,,,1.0
2001-05-05,18:00,,0.1,1,8,52,,,,1.0
2001-05-05,19:00,,0.1,1,7,54,,,,
2001-05-05,20:00,,0.1,1,6,57,,,,1.0
2001-05-05,21:00,,0.1,1,6,62,,,,1.0
2001-05-05,22:00,,0.1,1,6,64,,,,1.0
2001-05-05,23:00,,0.1,1,6,61,,,,1.0
2001-05-06,,,,,,,7,,,
2001-05-06,00:00,,0.1,1,5,64,,,,
2001-05-06,01:00,,0.1,1,5,63,,,,1.0
2001-05-06,02:00,,0.1,1,5,59,,,,1.0
2001-05-06,03:00,,0.1,1,5,65,,,,1.0
2001-05-06,04:00,,0.1,1,4,65,,,,1.0
2001-05-06,05:00,,0.1,1,5,62,,,,1.2
2001-05-06,06:00,,0.1,1,4,60,,,,1.3
2001-05-06,07:00,,0.1,,,,,,,1.2
2001-05-06,08:00,,0.1,1,6,57,,,,1.2
2001-05-06,09:00,,0.1,1,6,62,,,,1.6
2001-05-06,10:00,,0.1,1,6,61,,,,1.9
2001-05-06,11:00,,0.2,1,7,59,,,,1.6
2001-05-06,12:00,,0.1,1,6,59,,,,1.1
2001-05-06,13:00,,0.1,1,5,60,,,,1.1
2001-05-06,14:00,,0.1,1,6,55,,,,1.1
2001-05-06,15:00,,0.1,1,6,56,,,,1.0
2001-05-06,16:00,,0.1,1,6,58,,,,1.0
2001-05-06,17:00,,0.1,1,7,56,,,,1.1
2001-05-06,18:00,,0.1,1,7,56,,,,1.0
2001-05-06,19:00,,0.1,1,7,53,,,,
2001-05-06,20:00,,0.1,1,6,54,,,,1.0
2001-05-06,21:00,,0.1,1,7,51,,,,1.0
2001-05-06,22:00,,0.1,1,7,50,,,,1.1
2001-05-06,23:00,,0.1,1,6,49,,,,1.2
2001-05-07,,,,,,,12,,,
2001-05-07,00:00,,0.1,1,6,53,,,,
2001-05-07,01:00,,0.1,1,6,55,,,,1.0
2001-05-07,02:00,,0.1,1,5,58,,,,1.0
2001-05-07,03:00,,0.1,1,6,56,,,,1.0
2001-05-07,04:00,,0.1,1,6,56,,,,1.0
2001-05-07,05:00,,0.1,1,7,54,,,,1.0
2001-05-07,06:00,,0.1,,,,,,,1.0
2001-05-07,07:00,,,1,10,52,,,,1.0
2001-05-07,08:00,,0.1,1,10,51,,,,1.0
2001-05-07,09:00,,0.1,1,9,50,,,,1.0
2001-05-07,10:00,,0.1,1,10,50,,,,1.0
2001-05-07,11:00,,0.1,1,9,50,,,,1.0
2001-05-07,12:00,,0.1,1,8,52,,,,1.0
2001-05-07,13:00,,0.1,1,8,52,,,,1.0
2001-05-07,14:00,,0.1,1,9,50,,,,1.0
2001-05-07,15:00,,0.3,4,11,48,,,,1.3
2001-05-07,16:00,,0.1,1,11,46,,,,1.3
2001-05-07,17:00,,0.1,1,13,42,,,,1.1
2001-05-07,18:00,,0.1,1,16,42,,,,
2001-05-07,19:00,,0.1,1,22,35,,,,2.8
2001-05-07,20:00,,0.1,1,20,35,,,,1.8
2001-05-07,21:00,,0.1,1,21,34,,,,1.3
2001-05-07,22:00,,0.1,1,19,35,,,,2.0
2001-05-07,23:00,,0.1,1,16,37,,,,3.3
2001-05-08,,,,,,,19,,,
2001-05-08,00:00,,0.1,1,17,32,,,,
2001-05-08,01:00,,0.1,1,15,29,,,,2.5
2001-05-08,02:00,,0.1,1,14,28,,,,2.5
2001-05-08,03:00,,0.1,1,13,27,,,,1.4
2001-05-08,04:00,,0.1,1,14,24,,,,1.2
