Datum,Zeit,BEN,CO,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,mg/m3,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2001-08-01,,,,,,,18,13.50,,
2001-08-01,01:00,1.3,0.1,1,19,57,,,,1.0
2001-08-01,02:00,0.9,0.1,1,11,67,,,,1.0
2001-08-01,03:00,0.6,0.1,1,8,63,,,,1.0
2001-08-01,04:00,0.4,0.1,1,8,59,,,,1.0
2001-08-01,05:00,0.4,0.1,1,14,49,,,,1.0
2001-08-01,06:00,0.9,0.1,4,23,44,,,,1.0
2001-08-01,07:00,1.0,0.1,,,,,,,
2001-08-01,08:00,1.0,0.1,9,26,44,,,,1.2
2001-08-01,09:00,1.2,0.1,5,21,47,,,,1.0
2001-08-01,10:00,1.5,0.1,5,22,50,,,,1.3
2001-08-01,11:00,1.7,0.1,4,20,59,,,,2.8
2001-08-01,12:00,2.0,0.1,4,16,73,,,,1.9
2001-08-01,13:00,1.5,0.1,3,18,78,,,,1.4
2001-08-01,14:00,0.9,0.1,4,17,81,,,,1.0
2001-08-01,15:00,1.1,0.1,3,18,83,,,,2.2
2001-08-01,16:00,1.4,0.1,4,19,84,,,,1.0
2001-08-01,17:00,1.6,0.1,7,23,84,,,,1.0
2001-08-01,18:00,1.2,0.1,3,20,83,,,,1.0
2001-08-01,19:00,,0.1,1,13,87,,,,1.0
2001-08-01,20:00,,0.1,2,22,76,,,,1.0
2001-08-01,21:00,,0.1,2,37,54,,,,1.0
2001-08-01,22:00,,0.1,1,27,50,,,,1.0
2001-08-01,23:00,1.5,0.1,1,33,35,,,,1.0
2001-08-02,,,,,,,27,,,
2001-08-02,00:00,1.7,0.1,2,43,17,,,,
2001-08-02,01:00,1.3,0.1,3,34,21,,,,1.0
2001-08-02,02:00,1.2,0.1,1,27,23,,,,1.0
2001-08-02,03:00,1.0,0.1,1,20,27,,,,1.0
2001-08-02,04:00,1.4,0.1,6,32,8,,,,1.0
2001-08-02,05:00,1.9,0.1,17,34,1,,,,1.0
2001-08-02,06:00,3.4,0.3,68,44,1,,,,1.0
2001-08-02,07:00,4.6,0.4,,,,,,,
2001-08-02,08:00,2.2,0.1,26,48,24,,,,10.7
2001-08-02,09:00,1.2,0.1,14,32,41,,,,10.8
2001-08-02,10:00,0.8,,8,27,53,,,,10.0
2001-08-02,11:00,0.9,0.1,6,26,62,,,,10.2
2001-08-02,12:00,1.6,0.1,5,22,84,,,,8.6
2001-08-02,13:00,1.7,0.1,4,22,81,,,,9.4
2001-08-02,14:00,2.1,0.1,8,27,81,,,,5.3
2001-08-02,15:00,1.4,0.1,4,25,82,,,,5.5
2001-08-02,16:00,1.1,0.1,2,24,96,,,,5.8
2001-08-02,17:00,2.5,0.2,13,37,103,,,,6.8
2001-08-02,18:00,2.3,0.2,9,40,105,,,,4.6
2001-08-02,19:00,1.6,0.1,1,27,105,,,,3.3
2001-08-02,20:00,1.7,0.1,2,26,92,,,,5.5
2001-08-02,21:00,2.1,0.1,2,25,85,,,,8.2
2001-08-02,22:00,2.0,0.2,2,25,82,,,,6.8
2001-08-02,23:00,1.6,0.1,2,25,79,,,,9.0
2001-08-03,,,,,,,37,,,
2001-08-03,00:00,1.6,0.1,2,22,75,,,,
2001-08-03,01:00,0.8,0.1,1,20,72,,,,11.9
2001-08-03,02:00,0.7,0.1,1,27,62,,,,21.7
2001-08-03,03:00,0.9,0.1,1,43,49,,,,35.9
2001-08-03,04:00,1.1,0.1,1,40,53,,,,27.0
2001-08-03,05:00,1.1,0.1,2,44,53,,,,19.3
2001-08-03,06:00,2.7,0.3,,,,,,,
2001-08-03,07:00,4.5,0.5,30,96,12,,,,8.3
2001-08-03,08:00,5.0,0.5,46,102,6,,,,5.5
2001-08-03,09:00,6.1,0.6,46,91,16,,,,4.0
2001-08-03,10:00,2.0,0.1,7,33,74,,,,1.9
