Datum,Zeit,BEN,CO,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,mg/m3,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2001-09-01,01:00,3.9,0.2,1,42,9,,,,1.9
2001-09-01,02:00,3.1,0.2,1,36,10,,,,1.6
2001-09-01,03:00,2.9,0.2,,,5,,,,
2001-09-01,04:00,2.8,0.2,8,50,,,,,2.4
2001-09-01,05:00,2.6,0.2,14,48,3,,,,2.4
2001-09-01,06:00,2.0,0.2,8,40,5,,,,1.5
2001-09-01,07:00,1.7,0.2,8,39,6,,,,1.5
2001-09-01,08:00,1.6,0.2,9,42,10,,,,2.0
2001-09-01,09:00,1.5,0.2,7,37,20,,,,2.4
2001-09-01,10:00,1.3,0.2,3,29,39,,,,2.1
2001-09-01,11:00,1.1,0.1,1,20,68,,,,3.0
2001-09-01,12:00,1.0,0.1,2,21,76,,,,3.9
2001-09-01,13:00,1.0,0.1,1,17,89,,,,3.8
2001-09-01,14:00,1.1,0.1,1,18,96,,,,10.9
2001-09-01,15:00,0.8,0.1,1,13,97,,,,3.8
2001-09-01,16:00,0.6,0.1,1,11,102,,,,1.4
2001-09-01,17:00,,0.1,1,9,94,,,,1.6
2001-09-01,18:00,,0.1,1,8,92,,,,1.0
2001-09-01,19:00,,0.1,1,9,81,,,,1.1
2001-09-01,20:00,,0.1,1,12,70,,,,2.4
2001-09-01,21:00,0.5,0.1,1,12,69,,,,1.6
2001-09-01,22:00,0.5,0.1,1,11,67,,,,1.5
2001-09-01,23:00,0.5,0.1,1,10,68,,,,1.0
2001-09-02,00:00,0.6,0.1,1,9,64,,,,2.0
2001-09-02,01:00,0.3,0.1,1,7,64,,,,2.9
2001-09-02,02:00,0.3,0.1,,,61,,,,
2001-09-02,03:00,0.2,0.1,1,7,55,,,,2.9
2001-09-02,04:00,0.3,0.1,1,7,,,,,3.1
2001-09-02,05:00,0.3,,1,7,51,,,,2.7
2001-09-02,06:00,0.3,0.1,1,9,49,,,,4.3
2001-09-02,07:00,0.3,0.1,1,9,49,,,,5.0
2001-09-02,08:00,0.3,0.1,1,9,51,,,,4.0
2001-09-02,09:00,0.3,0.1,1,7,56,,,,3.1
2001-09-02,10:00,0.3,0.1,1,7,61,,,,4.0
2001-09-02,11:00,0.2,0.1,1,5,67,,,,2.1
2001-09-02,12:00,0.2,0.1,1,4,71,,,,1.9
2001-09-02,13:00,0.4,0.1,1,6,73,,,,2.0
2001-09-02,14:00,0.3,0.1,1,5,78,,,,2.0
2001-09-02,15:00,0.2,0.1,1,5,83,,,,1.7
2001-09-02,16:00,0.3,0.1,1,6,86,,,,2.0
2001-09-02,17:00,0.4,0.1,1,6,87,,,,2.3
2001-09-02,18:00,0.4,0.1,1,8,82,,,,2.8
2001-09-02,19:00,0.5,0.1,1,11,77,,,,3.4
2001-09-02,20:00,0.4,0.1,1,9,82,,,,3.1
2001-09-02,21:00,0.5,0.1,1,10,81,,,,3.9
2001-09-02,22:00,0.5,0.1,1,12,71,,,,3.2
2001-09-02,23:00,0.4,0.2,1,12,65,,,,2.6
2001-09-03,00:00,0.4,0.4,1,13,59,,,,2.1
2001-09-03,01:00,0.5,0.4,1,17,55,,,,1.3
2001-09-03,02:00,0.5,0.4,,,57,,,,
2001-09-03,03:00,0.5,0.4,1,17,,,,,10.1
2001-09-03,04:00,0.5,0.4,1,12,53,,,,4.7
2001-09-03,05:00,0.7,0.5,2,16,43,,,,1.0
2001-09-03,06:00,1.1,0.6,5,25,30,,,,1.7
2001-09-03,07:00,1.1,0.6,6,31,22,,,,
2001-09-03,08:00,0.9,0.5,7,34,19,,,,2.3
2001-09-03,09:00,1.1,0.5,12,34,18,,,,1.8
2001-09-03,10:00,1.0,0.6,11,32,22,,,,2.1
2001-09-03,11:00,1.3,0.6,12,29,29,,,,1.8
2001-09-03,12:00,0.9,0.5,7,19,44,,,,1.1
2001-09-03,13:00,0.8,0.5,7,17,47,,,,1.1
2001-09-03,14:00,0.7,0.4,8,16,55,,,,1.0
2001-09-03,15:00,0.9,0.4,6,16,55,,,,1.1
2001-09-03,16:00,0.8,0.4,4,16,59,,,,1.3
2001-09-03,17:00,1.1,0.5,5,20,53,,,,1.0
2001-09-03,18:00,0.9,0.5,4,19,53,,,,1.0
2001-09-03,19:00,0.8,0.5,3,22,46,,,,1.2
2001-09-03,20:00,0.9,0.5,1,25,39,,,,1.9
