Datum,Zeit,BEN,CO,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,mg/m3,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2002-02-01,01:00,3.7,0.3,7,25,2,,,,
2002-02-01,02:00,3.1,0.3,6,24,1,,,,1.1
2002-02-01,03:00,2.9,0.2,2,23,3,,,,1.0
2002-02-01,04:00,2.6,0.3,4,27,3,,,,2.3
2002-02-01,05:00,3.3,0.3,6,27,3,,,,1.5
2002-02-01,06:00,2.8,0.2,19,29,4,,,,1.0
2002-02-01,07:00,3.2,0.4,39,33,3,,,,1.0
2002-02-01,08:00,3.2,1.0,,,,,,,2.7
2002-02-01,09:00,6.9,1.3,61,37,3,,,,4.6
2002-02-01,10:00,3.5,1.4,48,34,9,,,,12.2
2002-02-01,11:00,4.7,0.3,16,19,50,,,,4.0
2002-02-01,12:00,6.4,0.4,17,18,57,,,,1.4
2002-02-01,13:00,1.8,0.2,9,17,58,,,,1.0
2002-02-01,14:00,2.0,,,,,,,,
2002-02-01,15:00,2.0,0.4,13,23,54,,,,1.3
2002-02-01,16:00,2.2,0.4,13,22,54,,,,1.0
2002-02-01,17:00,2.1,0.3,9,22,55,,,,1.0
2002-02-01,18:00,2.2,0.4,6,19,58,,,,2.1
2002-02-01,19:00,2.3,0.2,5,17,61,,,,2.9
2002-02-01,20:00,1.4,0.1,2,22,42,,,,6.1
2002-02-01,21:00,2.0,0.2,4,19,25,,,,1.0
2002-02-01,22:00,1.5,0.3,3,24,16,,,,7.3
2002-02-01,23:00,2.6,0.2,2,21,31,,,,9.6
2002-02-02,00:00,2.3,0.2,2,19,37,,,,
2002-02-02,01:00,1.3,0.1,1,15,36,,,,3.9
2002-02-02,02:00,1.3,0.1,1,13,30,,,,3.7
2002-02-02,03:00,1.5,0.1,1,9,20,,,,5.1
2002-02-02,04:00,0.8,0.1,2,13,36,,,,1.0
2002-02-02,05:00,1.1,0.1,1,14,25,,,,1.5
2002-02-02,06:00,1.0,0.2,8,14,8,,,,1.1
2002-02-02,07:00,2.4,0.3,33,27,2,,,,3.4
2002-02-02,08:00,2.6,0.8,40,25,2,,,,3.9
2002-02-02,09:00,3.6,0.6,26,20,4,,,,1.9
