Datum,Zeit,BEN,CO,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,mg/m3,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2002-04-01,,,,,,,52,,,
2002-04-01,01:00,4.1,0.9,13,33,15,,,,1.0
2002-04-01,02:00,3.1,0.8,9,30,11,,,,1.0
2002-04-01,03:00,3.3,0.7,6,26,11,,,,1.0
2002-04-01,04:00,2.8,0.7,6,25,10,,,,1.0
2002-04-01,05:00,3.6,0.9,8,29,6,,,,1.0
2002-04-01,06:00,3.4,0.8,15,27,6,,,,1.0
2002-04-01,07:00,2.6,0.7,10,21,11,,,,1.0
2002-04-01,08:00,3.8,0.9,20,24,16,,,,1.4
2002-04-01,09:00,3.5,1.0,30,27,26,,,,3.7
2002-04-01,10:00,5.0,1.0,30,32,44,,,,6.2
2002-04-01,11:00,4.3,1.0,27,33,63,,,,8.6
2002-04-01,12:00,3.9,0.7,22,29,84,,,,12.5
2002-04-01,13:00,2.5,0.7,16,27,109,,,,12.2
2002-04-01,14:00,3.2,0.7,20,30,114,,,,5.6
2002-04-01,15:00,1.5,0.5,7,18,123,,,,3.9
2002-04-01,16:00,1.6,0.3,1,10,133,,,,1.7
2002-04-01,17:00,2.1,0.6,12,25,121,,,,2.0
2002-04-01,18:00,2.3,0.7,17,36,104,,,,1.6
2002-04-01,19:00,3.6,1.2,36,63,69,,,,3.8
2002-04-01,20:00,4.9,1.2,29,69,44,,,,3.3
2002-04-01,21:00,6.5,1.5,86,84,11,,,,3.3
2002-04-01,22:00,5.4,0.9,54,59,16,,,,1.8
2002-04-01,23:00,3.8,0.7,32,50,12,,,,1.3
2002-04-02,,,,,,,54,,,
2002-04-02,00:00,3.4,0.8,22,43,9,,,,1.0
2002-04-02,01:00,3.4,0.7,27,38,7,,,,1.0
2002-04-02,02:00,2.2,0.5,12,33,7,,,,1.0
2002-04-02,03:00,2.8,0.9,54,42,5,,,,1.0
2002-04-02,04:00,3.3,0.8,64,40,2,,,,1.0
2002-04-02,05:00,5.4,1.5,98,44,1,,,,1.1
2002-04-02,06:00,9.9,2.0,159,51,1,,,,1.2
2002-04-02,07:00,8.7,2.0,187,55,1,,,,1.6
2002-04-02,08:00,9.2,1.8,167,58,4,,,,3.4
2002-04-02,09:00,9.4,1.8,159,61,10,,,,6.8
2002-04-02,10:00,,,109,60,23,,,,10.1
2002-04-02,11:00,5.6,1.2,102,64,34,,,,13.0
2002-04-02,12:00,,0.8,130,67,46,,,,12.0
2002-04-02,13:00,,0.7,69,57,73,,,,13.6
2002-04-02,14:00,,0.9,53,58,80,,,,8.2
2002-04-02,15:00,,0.8,50,54,96,,,,5.0
2002-04-02,16:00,3.4,0.9,52,55,95,,,,4.4
2002-04-02,17:00,3.4,0.9,45,54,95,,,,5.5
