Datum,Zeit,BEN,CO,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,mg/m3,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2002-06-01,01:00,,0.2,2,22,60,,,,2.3
2002-06-01,02:00,,0.3,3,20,50,,,,2.0
2002-06-01,03:00,,0.1,3,14,53,,,,1.3
2002-06-01,04:00,,0.2,2,17,48,,,,1.2
2002-06-01,05:00,,0.2,6,29,39,,,,1.4
2002-06-01,06:00,,0.2,5,24,46,,,,1.4
2002-06-01,07:00,,0.2,5,18,60,,,,1.6
2002-06-01,08:00,,0.1,3,12,67,,,,1.8
2002-06-01,09:00,,0.1,3,11,77,,,,1.7
2002-06-01,10:00,,0.1,3,10,82,,,,1.3
2002-06-01,11:00,,0.1,4,11,82,,,,1.1
2002-06-01,12:00,,0.1,3,10,85,,,,1.2
2002-06-01,13:00,,0.1,2,9,86,,,,1.3
2002-06-01,14:00,,0.1,2,9,85,,,,1.0
2002-06-01,15:00,,0.1,2,9,88,,,,1.1
2002-06-01,16:00,,0.1,1,8,88,,,,1.3
2002-06-01,17:00,,0.1,2,8,91,,,,1.1
2002-06-01,18:00,,0.1,1,8,91,,,,1.3
2002-06-01,19:00,,0.1,1,11,89,,,,1.5
2002-06-01,20:00,,0.1,1,14,83,,,,1.9
2002-06-01,21:00,,0.2,3,24,69,,,,1.7
2002-06-01,22:00,,0.3,4,39,39,,,,1.7
2002-06-01,23:00,,0.1,1,23,59,,,,2.2
2002-06-02,00:00,,0.2,2,21,58,,,,1.4
2002-06-02,01:00,,0.4,2,25,31,,,,1.0
2002-06-02,02:00,,0.4,4,27,26,,,,1.3
2002-06-02,03:00,,0.4,4,23,31,,,,1.1
2002-06-02,04:00,,0.4,3,21,30,,,,1.0
2002-06-02,05:00,,0.5,11,23,22,,,,1.8
2002-06-02,06:00,,0.2,4,19,36,,,,1.5
2002-06-02,07:00,,0.2,1,11,59,,,,2.2
2002-06-02,08:00,,0.2,1,9,72,,,,2.8
2002-06-02,09:00,,0.2,1,8,84,,,,2.0
2002-06-02,10:00,,0.2,1,9,96,,,,2.1
2002-06-02,11:00,,0.2,1,11,99,,,,2.4
2002-06-02,12:00,,0.2,1,9,108,,,,2.4
2002-06-02,13:00,,0.2,1,9,114,,,,2.1
2002-06-02,14:00,,0.1,1,9,121,,,,3.1
2002-06-02,15:00,,0.1,1,10,121,,,,3.5
2002-06-02,16:00,,0.2,1,13,122,,,,4.3
2002-06-02,17:00,,0.2,1,12,120,,,,3.9
2002-06-02,18:00,,0.2,1,13,119,,,,3.2
2002-06-02,19:00,,0.2,1,14,114,,,,2.9
2002-06-02,20:00,,0.3,2,23,99,,,,2.0
2002-06-02,21:00,,0.4,7,45,69,,,,2.3
2002-06-02,22:00,,0.6,4,44,45,,,,2.5
2002-06-02,23:00,,0.4,6,44,31,,,,2.2
2002-06-03,00:00,,0.3,2,31,37,,,,1.6
2002-06-03,01:00,,0.3,1,30,31,,,,1.7
2002-06-03,02:00,,0.3,7,26,28,,,,1.6
2002-06-03,03:00,,0.3,11,29,26,,,,1.9
2002-06-03,04:00,,0.4,48,47,6,,,,1.7
2002-06-03,05:00,,0.7,70,55,4,,,,2.4
2002-06-03,06:00,,0.7,44,46,11,,,,3.1
2002-06-03,07:00,,0.5,26,43,32,,,,3.0
2002-06-03,08:00,,0.4,16,33,52,,,,2.7
2002-06-03,09:00,,0.3,16,25,74,,,,2.8
2002-06-03,10:00,,0.3,10,22,75,,,,2.6
2002-06-03,13:00,,0.3,,,97,,,,
2002-06-03,14:00,,0.3,8,18,97,,,,1.6
2002-06-03,15:00,,0.3,9,21,94,,,,1.5
2002-06-03,16:00,,0.3,6,17,98,,,,3.0
2002-06-03,17:00,,0.3,5,14,101,,,,2.0
2002-06-03,18:00,,0.3,4,16,102,,,,1.8
2002-06-03,19:00,,0.3,3,20,92,,,,1.8
2002-06-03,20:00,,0.4,4,32,69,,,,2.2
2002-06-03,21:00,,0.4,6,38,51,,,,2.2
2002-06-03,22:00,,0.4,3,28,55,,,,1.8
2002-06-03,23:00,,0.3,3,25,54,,,,1.9
2002-06-04,00:00,,0.3,5,22,50,,,,1.6
2002-06-04,01:00,,0.1,2,21,40,,,,1.0
2002-06-04,02:00,,0.1,4,18,51,,,,1.0
2002-06-04,03:00,,0.1,2,14,56,,,,1.0
2002-06-04,04:00,,0.1,5,16,64,,,,1.0
2002-06-04,05:00,,0.7,32,52,27,,,,1.0
2002-06-04,06:00,,0.9,67,65,18,,,,2.3
2002-06-04,07:00,,0.4,27,37,59,,,,4.3
2002-06-04,08:00,,0.1,3,13,91,,,,5.5
2002-06-04,09:00,,0.1,2,12,99,,,,5.6
2002-06-04,10:00,,0.1,3,12,115,,,,2.1
2002-06-04,11:00,,0.1,1,9,121,,,,1.7
2002-06-04,12:00,,0.1,3,12,121,,,,1.4
2002-06-04,13:00,,0.1,3,12,122,,,,1.1
2002-06-04,14:00,,0.1,1,8,127,,,,1.0
2002-06-04,15:00,,0.1,2,9,129,,,,1.0
2002-06-04,16:00,,0.1,3,10,130,,,,1.2
2002-06-04,17:00,,0.1,1,7,135,,,,1.0
2002-06-04,18:00,,0.1,1,9,133,,,,1.0
2002-06-04,19:00,,0.1,2,12,124,,,,1.6
2002-06-04,20:00,,0.1,1,19,107,,,,3.4
2002-06-04,21:00,,0.2,2,19,91,,,,2.0
2002-06-04,22:00,,0.3,3,21,89,,,,1.3
2002-06-04,23:00,,0.3,4,26,69,,,,1.4
2002-06-05,00:00,,0.3,1,28,51,,,,1.6
2002-06-05,01:00,,0.3,1,27,53,,,,1.9
2002-06-05,02:00,,0.3,2,24,59,,,,2.1
2002-06-05,03:00,,0.3,4,21,67,,,,1.9
2002-06-05,04:00,,0.2,5,28,71,,,,2.8
2002-06-05,05:00,,0.4,13,38,64,,,,3.4
2002-06-05,06:00,,0.7,53,71,28,,,,5.2
2002-06-05,07:00,,0.4,14,30,84,,,,7.6
2002-06-05,08:00,,0.3,5,21,102,,,,11.8
2002-06-05,09:00,,0.3,7,18,108,,,,9.6
2002-06-05,10:00,,0.2,2,11,124,,,,5.5
2002-06-05,11:00,,0.1,4,14,,,,,9.5
2002-06-05,12:00,,0.2,5,17,,,,,5.6
2002-06-05,13:00,,0.3,7,19,,,,,2.4
2002-06-05,14:00,,0.2,2,13,,,,,2.4
2002-06-05,15:00,,0.3,5,16,,,,,2.6
2002-06-05,16:00,,0.2,5,18,,,,,2.8
2002-06-05,17:00,,0.2,6,20,,,,,4.1
2002-06-05,18:00,,0.2,3,14,,,,,3.6
2002-06-05,19:00,,0.2,1,13,,,,,4.4
2002-06-05,20:00,,0.3,1,15,,,,,4.6
2002-06-05,21:00,,0.3,1,14,,,,,5.6
2002-06-05,22:00,,0.3,1,14,,,,,7.5
2002-06-05,23:00,,0.2,1,13,,,,,7.0
2002-06-06,00:00,,0.3,1,11,,,,,6.3
2002-06-06,01:00,,0.3,1,12,,,,,6.1
2002-06-06,02:00,,0.3,1,11,,,,,6.1
2002-06-06,03:00,,0.2,1,9,,,,,4.7
2002-06-06,04:00,,0.2,1,9,,,,,1.4
2002-06-06,05:00,,0.3,2,15,,,,,1.1
2002-06-06,06:00,,0.4,13,25,,,,,1.2
2002-06-06,07:00,,0.4,10,28,,,,,1.2
2002-06-06,08:00,,0.4,28,43,57,,,,1.0
2002-06-06,09:00,,0.3,14,29,69,,,,1.0
2002-06-06,10:00,,0.4,26,40,48,,,,2.0
2002-06-06,11:00,,0.5,26,41,48,,,,1.3
2002-06-06,12:00,,0.4,16,30,61,,,,1.0
2002-06-06,13:00,,0.4,19,31,55,,,,1.0
2002-06-06,14:00,,0.4,12,26,58,,,,1.0
2002-06-06,15:00,,0.6,19,31,54,,,,1.0
2002-06-06,16:00,,0.4,13,24,60,,,,1.0
2002-06-06,17:00,,0.4,11,23,59,,,,1.0
2002-06-06,18:00,,0.4,7,21,56,,,,1.0
2002-06-06,19:00,,0.5,9,26,42,,,,1.0
2002-06-06,20:00,,0.4,5,20,49,,,,1.0
2002-06-06,21:00,,0.3,2,13,66,,,,1.0
2002-06-06,22:00,,0.3,1,9,71,,,,1.0
2002-06-06,23:00,,0.3,1,9,68,,,,1.0
2002-06-07,00:00,,0.3,1,10,64,,,,1.0
2002-06-07,01:00,,0.2,1,8,62,,,,1.0
2002-06-07,02:00,,0.3,2,9,58,,,,1.1
2002-06-07,03:00,,0.3,1,9,55,,,,1.0
2002-06-07,04:00,,0.3,4,14,46,,,,1.0
2002-06-07,05:00,,0.4,16,25,42,,,,1.0
2002-06-07,06:00,,0.6,26,38,35,,,,1.1
2002-06-07,07:00,,0.6,34,41,33,,,,1.4
2002-06-07,08:00,,0.5,22,37,,,,,1.1
2002-06-07,09:00,,0.5,24,33,39,,,,1.1
2002-06-07,10:00,,0.5,25,32,36,,,,1.1
2002-06-07,11:00,,0.5,31,36,31,,,,1.2
2002-06-07,12:00,,0.5,23,30,34,,,,1.0
2002-06-07,13:00,,0.5,24,29,36,,,,1.1
2002-06-07,14:00,,0.5,19,26,37,,,,1.2
2002-06-07,15:00,,0.5,14,25,45,,,,1.5
2002-06-07,16:00,,0.4,9,18,50,,,,1.9
2002-06-07,17:00,,0.4,9,21,47,,,,2.1
2002-06-07,18:00,,0.5,10,29,43,,,,1.1
2002-06-07,19:00,,0.5,18,38,47,,,,1.2
2002-06-07,20:00,,0.4,9,28,52,,,,1.6
2002-06-07,21:00,,0.6,11,43,46,,,,2.5
2002-06-07,22:00,,0.5,7,46,31,,,,7.0
2002-06-07,23:00,,0.5,14,38,27,,,,3.4
2002-06-08,00:00,,0.2,1,16,61,,,,1.6
2002-06-08,01:00,,0.2,2,14,60,,,,1.0
2002-06-08,02:00,,0.2,1,15,52,,,,1.2
2002-06-08,03:00,,0.2,2,13,50,,,,1.0
2002-06-08,04:00,,0.1,1,11,47,,,,1.0
2002-06-08,05:00,,0.2,2,12,40,,,,1.1
2002-06-08,06:00,,0.2,9,15,35,,,,1.0
2002-06-08,07:00,,0.2,8,18,34,,,,1.2
2002-06-08,08:00,,0.4,10,21,36,,,,1.9
2002-06-08,09:00,,0.4,10,19,45,,,,2.0
2002-06-08,10:00,,0.3,8,19,53,,,,1.5
2002-06-08,11:00,,0.3,7,20,51,,,,1.4
2002-06-08,12:00,,0.3,5,17,57,,,,1.4
2002-06-08,13:00,,0.3,8,22,54,,,,2.7
2002-06-08,14:00,,0.3,7,20,58,,,,1.4
2002-06-08,15:00,,0.2,4,14,69,,,,3.0
2002-06-08,16:00,,0.2,2,10,74,,,,2.8
2002-06-08,17:00,,0.2,2,12,74,,,,2.2
2002-06-08,18:00,,0.2,3,15,69,,,,2.2
2002-06-08,19:00,,0.3,3,16,58,,,,1.9
2002-06-08,20:00,,0.4,10,21,52,,,,1.6
2002-06-08,21:00,,0.4,9,27,37,,,,2.1
2002-06-08,22:00,,0.4,8,21,27,,,,1.3
2002-06-08,23:00,,0.3,5,22,35,,,,1.8
2002-06-09,00:00,,0.3,1,20,29,,,,1.7
2002-06-09,01:00,,0.4,9,23,15,,,,1.0
2002-06-09,02:00,,0.4,10,20,11,,,,1.0
2002-06-09,03:00,,0.3,1,12,28,,,,1.0
2002-06-09,04:00,,0.2,1,10,40,,,,1.0
2002-06-09,05:00,,0.2,1,10,43,,,,1.0
2002-06-09,06:00,,0.2,1,7,49,,,,1.0
2002-06-09,07:00,,0.2,1,8,46,,,,1.0
2002-06-09,08:00,,0.3,3,13,39,,,,1.3
2002-06-09,09:00,,0.3,2,10,49,,,,1.0
2002-06-09,10:00,,0.3,2,11,53,,,,1.0
2002-06-09,11:00,,0.2,2,11,58,,,,1.0
2002-06-09,12:00,,0.2,2,8,71,,,,1.0
2002-06-09,13:00,,0.2,1,8,74,,,,1.0
2002-06-09,14:00,,0.2,2,10,76,,,,1.0
2002-06-09,15:00,,0.2,1,10,73,,,,2.1
2002-06-09,16:00,,0.2,2,10,72,,,,1.6
2002-06-09,17:00,,0.2,3,10,74,,,,1.0
2002-06-09,18:00,,0.3,4,12,69,,,,1.0
2002-06-09,19:00,,0.3,3,12,60,,,,1.0
2002-06-09,20:00,,0.3,3,15,53,,,,1.0
2002-06-09,21:00,,0.4,6,21,39,,,,1.0
2002-06-09,22:00,,0.3,4,20,33,,,,1.0
2002-06-09,23:00,,0.2,3,17,34,,,,1.0
2002-06-10,00:00,,0.3,4,17,24,,,,1.0
2002-06-10,01:00,,0.2,1,16,21,,,,1.0
2002-06-10,02:00,,0.2,6,14,15,,,,1.0
2002-06-10,03:00,,0.2,2,15,11,,,,1.0
2002-06-10,04:00,,0.3,19,23,4,,,,1.0
2002-06-10,05:00,,0.5,43,29,1,,,,1.0
2002-06-10,06:00,,0.3,9,18,7,,,,1.0
2002-06-10,07:00,,0.3,8,21,25,,,,1.0
2002-06-10,08:00,,0.3,14,27,32,,,,1.0
2002-06-10,09:00,,0.4,17,28,38,,,,1.0
2002-06-10,10:00,,0.3,14,24,44,,,,1.0
2002-06-10,11:00,,0.2,8,17,72,,,,1.2
2002-06-10,12:00,,0.2,7,16,86,,,,1.0
2002-06-10,13:00,,0.2,7,19,88,,,,1.0
2002-06-10,14:00,,0.2,7,26,83,,,,1.0
2002-06-10,15:00,,0.3,11,29,76,,,,1.2
2002-06-10,16:00,,0.3,7,24,75,,,,2.6
2002-06-10,17:00,,0.3,5,20,85,,,,1.0
2002-06-10,18:00,,0.3,3,21,86,,,,1.0
2002-06-10,19:00,,0.3,2,17,73,,,,1.0
2002-06-10,20:00,,0.2,2,16,60,,,,1.0
2002-06-10,21:00,,0.2,1,17,54,,,,1.0
2002-06-10,22:00,,0.1,1,12,55,,,,1.0
2002-06-10,23:00,,0.1,1,11,58,,,,1.0
2002-06-11,00:00,,0.1,1,12,52,,,,1.4
2002-06-11,01:00,,0.1,1,12,48,,,,2.0
2002-06-11,02:00,,0.1,1,12,45,,,,1.6
2002-06-11,03:00,,0.1,3,14,41,,,,1.3
2002-06-11,04:00,,0.1,2,18,35,,,,1.5
2002-06-11,05:00,,0.2,4,18,36,,,,1.0
2002-06-11,06:00,,0.3,18,24,31,,,,1.6
2002-06-11,07:00,,0.3,19,25,34,,,,2.2
2002-06-11,08:00,,0.2,15,22,37,,,,2.3
2002-06-11,09:00,,0.2,11,19,43,,,,2.2
2002-06-11,10:00,,0.2,8,18,52,,,,1.6
2002-06-11,11:00,,0.1,9,17,,,,,1.3
2002-06-11,12:00,,0.1,6,16,,,,,1.8
2002-06-11,13:00,,0.1,7,16,80,,,,1.8
2002-06-11,14:00,,0.1,8,17,83,,,,2.0
2002-06-11,15:00,,0.1,7,19,83,,,,1.1
2002-06-11,16:00,,0.2,12,24,77,,,,1.0
2002-06-11,17:00,,0.2,9,22,77,,,,1.1
2002-06-11,18:00,,0.2,6,18,77,,,,1.0
2002-06-11,19:00,,0.2,5,20,73,,,,1.0
2002-06-11,20:00,,0.2,9,31,56,,,,1.2
2002-06-11,21:00,,0.3,10,32,44,,,,1.1
2002-06-11,22:00,,0.2,1,14,56,,,,1.2
2002-06-11,23:00,,0.1,1,14,54,,,,1.1
2002-06-12,00:00,,0.1,1,8,57,,,,1.1
2002-06-12,01:00,,0.1,1,7,57,,,,2.0
2002-06-12,02:00,,0.1,1,8,53,,,,2.3
2002-06-12,03:00,,0.1,1,8,53,,,,1.9
2002-06-12,04:00,,0.1,9,21,43,,,,2.0
2002-06-12,05:00,,0.2,8,20,44,,,,1.9
2002-06-12,06:00,,0.2,13,23,42,,,,1.8
2002-06-12,07:00,,0.3,18,26,47,,,,1.9
2002-06-12,08:00,,0.2,14,21,58,,,,2.5
2002-06-12,09:00,,0.2,11,18,77,,,,2.4
2002-06-12,10:00,,0.1,10,19,80,,,,4.2
2002-06-12,11:00,,0.1,12,22,78,,,,9.8
2002-06-12,12:00,,0.2,10,25,80,,,,10.5
2002-06-12,13:00,,0.2,13,26,80,,,,13.1
2002-06-12,14:00,,0.2,12,26,83,,,,10.5
2002-06-12,15:00,,0.3,12,28,74,,,,9.7
2002-06-12,16:00,,0.1,7,15,81,,,,4.7
2002-06-12,17:00,,0.1,2,13,81,,,,4.2
2002-06-12,18:00,,0.1,1,14,78,,,,7.6
2002-06-12,19:00,,0.1,1,15,76,,,,8.1
2002-06-12,20:00,,0.3,5,25,58,,,,7.2
2002-06-12,21:00,,0.3,8,30,51,,,,7.4
2002-06-12,22:00,,0.2,1,16,63,,,,4.6
2002-06-12,23:00,,0.1,1,11,73,,,,4.3
2002-06-13,00:00,,0.1,2,13,66,,,,4.6
2002-06-13,01:00,,0.1,1,10,66,,,,4.9
2002-06-13,02:00,,0.1,1,11,62,,,,5.1
2002-06-13,03:00,,0.1,1,12,58,,,,3.7
2002-06-13,04:00,,0.1,2,15,60,,,,5.8
2002-06-13,05:00,,0.2,7,22,48,,,,6.8
2002-06-13,06:00,,0.2,2,21,45,,,,8.4
2002-06-13,07:00,,0.3,7,26,41,,,,18.2
2002-06-13,08:00,,0.3,12,27,45,,,,12.4
2002-06-13,09:00,,0.3,16,24,50,,,,3.0
2002-06-13,10:00,,0.2,13,21,49,,,,1.6
2002-06-13,11:00,,0.2,16,24,56,,,,1.6
2002-06-13,12:00,,0.2,8,17,76,,,,1.4
2002-06-13,13:00,,0.2,8,19,79,,,,1.1
2002-06-13,14:00,,0.2,10,23,76,,,,1.3
2002-06-13,15:00,,0.3,10,26,73,,,,1.4
2002-06-13,16:00,,0.3,5,21,54,,,,1.7
2002-06-13,17:00,,0.4,7,25,38,,,,2.5
2002-06-13,18:00,,0.3,6,19,43,,,,1.3
2002-06-13,19:00,,0.3,6,21,43,,,,1.0
2002-06-13,20:00,,0.2,3,18,41,,,,1.0
2002-06-13,21:00,,0.2,2,17,41,,,,1.0
2002-06-13,22:00,,0.2,1,13,46,,,,1.1
2002-06-13,23:00,,0.2,1,12,46,,,,1.2
2002-06-14,00:00,,0.2,1,13,41,,,,3.7
2002-06-14,01:00,,0.1,1,11,34,,,,3.0
2002-06-14,02:00,,0.1,1,10,39,,,,2.0
2002-06-14,03:00,,0.1,1,11,37,,,,1.4
2002-06-14,04:00,,0.1,1,18,31,,,,1.1
2002-06-14,05:00,,0.3,6,20,27,,,,2.7
2002-06-14,06:00,,0.3,29,31,16,,,,2.7
2002-06-14,07:00,,0.4,24,32,15,,,,2.6
2002-06-14,08:00,,0.3,17,27,23,,,,4.1
2002-06-14,09:00,,0.3,17,25,29,,,,3.9
2002-06-14,10:00,,0.3,18,26,30,,,,4.3
2002-06-14,11:00,,0.2,16,24,35,,,,3.5
2002-06-14,12:00,,0.2,9,20,53,,,,2.6
2002-06-14,13:00,,0.3,10,23,47,,,,2.1
2002-06-14,14:00,,0.3,16,28,40,,,,2.9
2002-06-14,15:00,,0.3,16,27,36,,,,2.7
2002-06-14,16:00,,0.3,12,24,40,,,,3.2
2002-06-14,17:00,,0.2,10,21,41,,,,3.6
2002-06-14,18:00,,0.2,6,19,45,,,,3.1
2002-06-14,19:00,,0.2,7,19,47,,,,3.2
2002-06-14,20:00,,0.3,5,25,39,,,,2.9
2002-06-14,21:00,,0.3,5,25,34,,,,2.5
2002-06-14,22:00,,0.4,9,31,13,,,,2.2
2002-06-14,23:00,,0.5,19,33,2,,,,2.4
2002-06-15,00:00,,0.6,26,30,2,,,,1.3
2002-06-15,01:00,,0.5,10,22,2,,,,1.0
2002-06-15,02:00,,0.3,11,18,6,,,,1.3
2002-06-15,03:00,,0.2,4,14,10,,,,1.0
2002-06-15,04:00,,0.3,5,17,15,,,,1.0
2002-06-15,05:00,,0.2,1,9,35,,,,1.0
2002-06-15,06:00,,0.2,2,10,37,,,,1.1
2002-06-15,07:00,,0.2,2,10,42,,,,1.4
2002-06-15,08:00,,0.2,1,10,52,,,,1.2
2002-06-15,09:00,,0.2,3,12,58,,,,2.2
2002-06-15,10:00,,0.3,6,15,59,,,,2.0
2002-06-15,11:00,,0.2,1,10,62,,,,2.2
2002-06-15,12:00,,0.2,2,12,60,,,,4.1
2002-06-15,13:00,,0.2,2,15,71,,,,8.6
2002-06-15,14:00,,0.2,3,17,83,,,,9.5
2002-06-15,15:00,,0.2,3,22,83,,,,8.5
2002-06-15,16:00,,0.3,2,17,83,,,,4.6
2002-06-15,17:00,,0.2,1,9,84,,,,1.6
2002-06-15,18:00,,0.2,1,9,86,,,,1.1
2002-06-15,19:00,,0.3,4,15,76,,,,1.0
2002-06-15,20:00,,0.2,1,9,81,,,,1.0
2002-06-15,21:00,,0.2,1,14,68,,,,2.8
2002-06-15,22:00,,0.3,2,22,49,,,,3.5
2002-06-15,23:00,,0.4,3,18,52,,,,1.5
2002-06-16,00:00,,0.3,1,12,65,,,,1.0
2002-06-16,01:00,,0.2,1,9,63,,,,1.0
2002-06-16,02:00,,0.2,1,11,53,,,,1.0
2002-06-16,03:00,,0.2,1,10,51,,,,1.0
2002-06-16,04:00,,0.2,1,11,46,,,,1.0
2002-06-16,05:00,,0.2,1,12,42,,,,1.0
2002-06-16,06:00,,0.2,1,12,45,,,,1.0
2002-06-16,07:00,,0.2,1,11,50,,,,1.0
2002-06-16,08:00,,0.2,1,10,55,,,,1.0
2002-06-16,09:00,,0.2,1,10,61,,,,1.2
2002-06-16,10:00,,0.2,1,9,79,,,,1.0
2002-06-16,11:00,,0.1,1,8,91,,,,1.1
2002-06-16,12:00,,0.1,1,8,95,,,,1.2
2002-06-16,13:00,,0.1,1,7,100,,,,1.1
2002-06-16,14:00,,0.1,1,9,102,,,,1.0
2002-06-16,15:00,,0.1,1,8,103,,,,1.1
2002-06-16,16:00,,0.1,1,10,105,,,,2.7
2002-06-16,17:00,,0.2,1,15,94,,,,2.1
2002-06-16,18:00,,0.2,1,12,97,,,,2.0
