Datum,Zeit,BEN,CO,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,mg/m3,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2002-08-01,,,,,,,37,,,
2002-08-01,01:00,2.2,0.5,3,24,55,,,,1.0
2002-08-01,02:00,1.9,0.5,11,33,28,,,,1.0
2002-08-01,03:00,2.6,0.5,8,47,8,,,,1.0
2002-08-01,04:00,2.1,0.5,15,36,20,,,,1.0
2002-08-01,05:00,3.5,0.8,44,44,5,,,,1.0
2002-08-01,06:00,5.0,1.3,126,53,4,,,,1.2
2002-08-01,07:00,4.5,1.1,105,55,8,,,,1.2
2002-08-01,08:00,3.5,1.0,79,57,19,,,,2.3
2002-08-01,09:00,4.6,1.2,104,66,17,,,,2.9
2002-08-01,10:00,5.2,1.3,113,70,28,,,,4.9
2002-08-01,11:00,3.3,1.1,76,54,47,,,,3.8
2002-08-01,12:00,3.6,1.0,70,50,60,,,,6.1
2002-08-01,13:00,2.8,0.9,65,54,71,,,,11.9
2002-08-01,14:00,4.3,1.0,68,66,68,,,,41.9
2002-08-01,15:00,3.0,0.7,40,49,85,,,,12.7
2002-08-01,16:00,4.6,1.0,68,54,74,,,,1.2
2002-08-01,17:00,5.1,1.2,68,65,48,,,,1.0
2002-08-01,18:00,3.9,1.1,67,58,39,,,,1.0
2002-08-01,19:00,4.6,1.1,60,52,37,,,,1.0
2002-08-01,20:00,2.5,0.6,39,42,51,,,,1.0
2002-08-01,21:00,3.2,0.7,37,40,47,,,,1.0
2002-08-01,22:00,2.7,0.7,28,32,59,,,,1.0
2002-08-01,23:00,1.6,0.3,20,24,57,,,,1.0
2002-08-02,,,,,,,25,,,
2002-08-02,00:00,1.1,0.3,12,16,69,,,,1.0
2002-08-02,01:00,0.8,0.4,8,15,72,,,,1.0
2002-08-02,02:00,0.9,0.4,10,15,62,,,,1.2
