Datum,Zeit,BEN,CO,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,mg/m3,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2002-09-01,01:00,,,1,5,52,,,,1.0
2002-09-01,02:00,,,1,5,54,,,,1.0
2002-09-01,03:00,,,1,4,54,,,,1.0
2002-09-01,04:00,,,1,4,51,,,,1.0
2002-09-01,05:00,,,1,4,48,,,,1.0
2002-09-01,06:00,,,1,5,44,,,,1.0
2002-09-01,07:00,,,1,5,43,,,,1.0
2002-09-01,08:00,,,1,6,46,,,,1.0
2002-09-01,09:00,,,1,5,57,,,,1.0
2002-09-01,10:00,,,1,4,62,,,,1.0
2002-09-01,11:00,,,1,3,76,,,,1.0
2002-09-01,12:00,,,1,2,77,,,,1.0
2002-09-01,13:00,,,1,3,77,,,,1.0
2002-09-01,14:00,,,1,3,80,,,,1.0
2002-09-01,15:00,,,1,3,81,,,,1.0
2002-09-01,16:00,,,1,3,81,,,,1.0
2002-09-01,17:00,,,1,3,83,,,,1.0
2002-09-01,18:00,,,1,4,78,,,,1.0
2002-09-01,19:00,,,1,5,74,,,,1.0
2002-09-01,20:00,,,1,5,72,,,,1.0
2002-09-01,21:00,,,1,4,71,,,,1.0
2002-09-01,22:00,,,1,4,74,,,,1.0
2002-09-01,23:00,,,1,4,71,,,,1.0
2002-09-02,00:00,,,1,5,64,,,,1.0
2002-09-02,01:00,,,1,6,57,,,,1.1
2002-09-02,02:00,,,1,6,55,,,,1.2
2002-09-02,03:00,,,1,6,55,,,,2.0
2002-09-02,04:00,,,1,6,54,,,,1.9
2002-09-02,05:00,,,1,6,52,,,,1.8
2002-09-02,06:00,,,1,7,52,,,,2.1
2002-09-02,07:00,,,1,8,49,,,,2.3
2002-09-02,08:00,,,1,8,47,,,,1.8
2002-09-02,09:00,,,1,9,53,,,,2.0
2002-09-02,10:00,,,1,7,65,,,,4.2
2002-09-02,11:00,,,1,5,76,,,,3.1
