Datum,Zeit,BEN,CO,NO,NO2,O3,PM10,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,mg/m3,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2003-04-01,01:00,1.2,0.5,16,32,,,,
2003-04-01,02:00,1.3,0.4,17,33,,,,
2003-04-01,03:00,1.1,0.4,33,34,,,,
2003-04-01,04:00,1.2,0.3,3,26,,,,
2003-04-01,05:00,0.8,0.4,29,29,,,,
2003-04-01,06:00,3.3,1.2,100,41,,,,
2003-04-01,07:00,6.1,0.7,44,34,,,,
2003-04-01,08:00,4.8,0.9,63,44,,,,
2003-04-01,09:00,2.5,0.6,49,45,,,,
2003-04-01,10:00,2.1,0.5,43,39,,,,
2003-04-01,11:00,1.5,0.4,30,33,,,,
2003-04-01,12:00,3.1,0.6,28,36,,,,
2003-04-01,13:00,4.2,0.7,32,34,,,,
2003-04-01,14:00,1.8,0.5,26,34,,,,
2003-04-01,15:00,1.5,0.5,25,35,,,,
2003-04-01,16:00,1.8,0.5,25,38,,,,
2003-04-01,17:00,1.6,0.4,16,31,,,,
2003-04-01,18:00,1.6,0.6,25,42,,,,
2003-04-01,19:00,2.9,0.7,31,52,,,,
2003-04-01,20:00,1.9,0.6,22,51,,,,
2003-04-01,21:00,1.7,0.6,19,44,,,,
2003-04-01,22:00,1.1,0.5,12,34,,,,
2003-04-01,23:00,0.8,0.4,5,21,,,,
2003-04-02,00:00,0.8,0.3,2,17,,,,
2003-04-02,01:00,0.7,0.2,1,11,,,,
2003-04-02,02:00,0.6,0.2,1,8,,,,
2003-04-02,03:00,0.5,0.2,2,12,,,,
2003-04-02,04:00,0.4,0.3,15,19,,,,
2003-04-02,05:00,1.1,0.7,33,45,,,,
2003-04-02,06:00,4.7,1.2,43,55,,,,
2003-04-02,07:00,2.1,0.6,35,44,,,,
2003-04-02,08:00,2.2,0.5,19,30,,,,
2003-04-02,09:00,1.8,0.5,24,30,,,,
2003-04-02,10:00,1.6,0.5,16,24,,,,
2003-04-02,11:00,2.1,0.5,11,20,,,,
2003-04-02,12:00,2.6,1.0,68,53,,,,
2003-04-02,13:00,1.8,0.4,16,19,,,,
2003-04-02,14:00,0.9,0.3,11,16,,,,
2003-04-02,15:00,1.6,0.4,20,22,,,,
2003-04-02,16:00,1.2,0.4,15,23,,,,
2003-04-02,17:00,1.3,0.3,14,20,,,,
2003-04-02,18:00,1.1,0.3,11,18,,,,
2003-04-02,19:00,1.8,0.9,64,63,,,,
2003-04-02,20:00,3.1,0.7,41,52,,,,
2003-04-02,21:00,2.4,0.8,62,57,,,,
2003-04-02,22:00,2.0,0.5,37,47,,,,
2003-04-02,23:00,1.2,0.3,12,26,,,,
2003-04-03,00:00,0.7,0.3,1,16,,,,
2003-04-03,01:00,0.5,0.3,1,12,,,,
2003-04-03,02:00,0.5,0.3,1,10,,,,
2003-04-03,03:00,0.5,0.3,5,11,,,,
2003-04-03,04:00,0.5,0.4,20,27,,,,
2003-04-03,05:00,1.1,0.3,10,22,,,,
2003-04-03,06:00,0.7,0.4,13,24,,,,
2003-04-03,07:00,1.3,0.6,19,32,,,,
2003-04-03,08:00,2.1,0.7,33,37,,,,
2003-04-03,09:00,1.2,0.4,20,22,,,,
2003-04-03,10:00,1.3,0.4,9,17,,,,
2003-04-03,11:00,1.5,0.4,21,21,,,,
2003-04-03,12:00,1.0,0.4,15,19,,,,
2003-04-03,13:00,1.2,0.4,12,20,,,,
2003-04-03,14:00,1.0,0.4,20,23,,,,
2003-04-03,15:00,1.5,0.5,16,21,,,,
2003-04-03,16:00,1.6,0.5,15,20,,,,
2003-04-03,17:00,1.3,0.4,12,19,,,,
2003-04-03,18:00,1.7,0.5,11,24,,,,
2003-04-03,19:00,1.2,0.4,10,25,,,,
2003-04-03,20:00,2.5,1.0,35,54,,,,
2003-04-03,21:00,2.5,0.6,24,58,,,,
2003-04-03,22:00,2.0,0.7,47,50,,,,
2003-04-03,23:00,1.2,0.4,14,32,,,,
2003-04-04,00:00,0.9,0.3,10,19,,,,
2003-04-04,01:00,0.8,0.4,13,26,,,,
2003-04-04,02:00,0.7,0.2,1,15,,,,
2003-04-04,03:00,0.5,0.3,16,24,,,,
2003-04-04,04:00,0.7,0.5,40,46,,,,
2003-04-04,05:00,2.5,0.9,53,42,,,,
2003-04-04,06:00,4.6,1.9,89,59,,,,
2003-04-04,07:00,8.2,1.5,123,65,,,,
2003-04-04,08:00,3.9,0.8,76,50,,,,
2003-04-04,09:00,2.3,0.7,57,38,,,,
2003-04-04,10:00,2.8,0.6,41,33,,,,
2003-04-04,11:00,1.7,0.5,20,20,,,,
2003-04-04,12:00,1.5,0.6,32,24,,,,
2003-04-04,13:00,1.4,0.5,30,26,,,,
2003-04-04,14:00,1.7,0.5,27,22,,,,
2003-04-04,15:00,,0.4,19,18,,,,
2003-04-04,16:00,,0.6,30,29,,,,
2003-04-04,17:00,,0.4,13,18,,,,
2003-04-04,18:00,,0.3,8,16,,,,
2003-04-04,19:00,,0.6,30,43,,,,
2003-04-04,20:00,3.4,1.0,60,60,,,,
2003-04-04,21:00,2.8,0.8,39,40,,,,
2003-04-04,22:00,2.4,0.7,45,43,,,,
