Datum,Zeit,BEN,CO,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,mg/m3,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2003-08-01,,,,,,,38,,26.88,
2003-08-01,01:00,2.8,0.7,38,52,1,,,,
2003-08-01,02:00,2.1,0.4,52,51,1,,,,
2003-08-01,03:00,1.6,0.5,42,46,1,,,,
2003-08-01,04:00,1.4,0.5,66,45,1,,,,
2003-08-01,05:00,2.3,0.8,92,51,1,,,,
2003-08-01,06:00,2.2,0.8,134,74,1,,,,
2003-08-01,07:00,,0.7,109,59,1,,,,
2003-08-01,08:00,,0.7,72,59,7,,,,
2003-08-01,09:00,,0.7,65,58,16,,,,
2003-08-01,10:00,,0.7,58,60,29,,,,
2003-08-01,11:00,,0.5,35,41,54,,,,
2003-08-01,12:00,1.3,0.4,25,39,65,,,,
2003-08-01,13:00,1.1,0.4,25,45,75,,,,
2003-08-01,14:00,1.0,0.4,14,40,91,,,,
2003-08-01,15:00,1.2,0.7,41,78,60,,,,
2003-08-01,16:00,1.9,0.6,33,70,67,,,,
2003-08-01,17:00,2.1,0.5,28,63,81,,,,
2003-08-01,18:00,0.9,0.3,12,39,90,,,,
2003-08-01,19:00,1.0,0.5,13,50,77,,,,
2003-08-01,20:00,1.7,0.6,29,70,51,,,,
2003-08-01,21:00,1.8,0.7,45,85,31,,,,
2003-08-01,22:00,2.3,0.7,33,70,31,,,,
2003-08-01,23:00,3.2,1.1,51,88,3,,,,
2003-08-02,,,,,,,33,,22.74,
2003-08-02,00:00,3.9,1.0,51,73,2,,,,
2003-08-02,01:00,3.7,0.8,17,57,6,,,,
2003-08-02,02:00,2.6,0.6,8,43,11,,,,
2003-08-02,03:00,2.1,0.5,12,38,10,,,,
2003-08-02,04:00,1.8,0.4,10,30,12,,,,
2003-08-02,05:00,1.4,0.4,23,34,8,,,,
2003-08-02,06:00,1.5,0.4,25,28,10,,,,
2003-08-02,07:00,1.3,0.4,25,29,14,,,,
2003-08-02,08:00,1.3,0.6,28,32,22,,,,
2003-08-02,09:00,2.0,0.6,24,41,33,,,,
2003-08-02,10:00,2.3,0.7,33,56,48,,,,
2003-08-02,11:00,2.0,0.4,27,40,81,,,,
2003-08-02,12:00,1.3,0.4,14,38,92,,,,
2003-08-02,13:00,1.7,0.4,19,41,101,,,,
2003-08-02,14:00,1.7,0.6,51,59,95,,,,
2003-08-02,15:00,1.6,0.5,17,35,115,,,,
2003-08-02,16:00,1.3,0.6,21,46,111,,,,
2003-08-02,17:00,1.6,0.5,41,60,94,,,,
2003-08-02,18:00,1.4,0.4,22,61,85,,,,
2003-08-02,19:00,1.6,0.4,15,40,96,,,,
2003-08-02,20:00,1.3,0.3,11,38,87,,,,
2003-08-02,21:00,1.1,0.5,17,41,74,,,,
2003-08-02,22:00,1.6,0.7,13,48,43,,,,
2003-08-02,23:00,1.8,0.7,16,44,31,,,,
2003-08-03,,,,,,,38,,26.04,
2003-08-03,00:00,2.3,0.8,26,53,14,,,,
2003-08-03,01:00,2.4,0.8,17,43,8,,,,
2003-08-03,02:00,2.1,0.7,7,34,7,,,,
2003-08-03,03:00,1.7,0.5,14,28,13,,,,
2003-08-03,04:00,1.5,0.5,7,26,11,,,,
2003-08-03,05:00,1.3,0.5,15,27,8,,,,
2003-08-03,06:00,1.3,0.5,29,28,9,,,,
2003-08-03,07:00,1.2,0.4,31,26,20,,,,
2003-08-03,08:00,0.9,0.4,18,22,34,,,,
2003-08-03,09:00,1.1,0.5,15,28,42,,,,
2003-08-03,10:00,2.0,0.6,22,37,62,,,,
2003-08-03,11:00,2.2,0.6,37,45,83,,,,
2003-08-03,12:00,2.4,0.7,18,43,109,,,,
2003-08-03,13:00,1.8,0.7,28,52,129,,,,
2003-08-03,14:00,2.0,0.6,25,47,137,,,,
2003-08-03,15:00,1.4,0.6,55,55,129,,,,
2003-08-03,16:00,1.5,0.6,24,55,134,,,,
2003-08-03,17:00,1.7,0.8,126,98,89,,,,
2003-08-03,18:00,2.6,0.8,34,81,109,,,,
2003-08-03,19:00,2.5,0.7,30,78,114,,,,
2003-08-03,20:00,2.3,1.3,43,123,57,,,,
2003-08-03,21:00,4.5,1.4,117,156,6,,,,
2003-08-03,22:00,6.8,1.2,123,111,15,,,,
2003-08-03,23:00,3.9,0.8,23,69,26,,,,
2003-08-04,,,,,,,42,,30.54,
2003-08-04,00:00,3.1,0.6,11,51,35,,,,
2003-08-04,01:00,2.2,0.4,2,29,56,,,,
2003-08-04,02:00,1.5,0.3,2,26,55,,,,
2003-08-04,03:00,1.4,0.3,11,40,36,,,,
2003-08-04,04:00,1.6,0.5,45,65,7,,,,
2003-08-04,05:00,2.1,0.7,107,90,1,,,,
2003-08-04,06:00,3.2,1.0,117,90,1,,,,
2003-08-04,07:00,3.2,0.8,126,89,6,,,,
2003-08-04,08:00,2.6,0.8,75,83,17,,,,
2003-08-04,09:00,2.4,0.6,60,73,33,,,,
2003-08-04,10:00,2.2,0.6,46,73,45,,,,
2003-08-04,11:00,2.3,0.4,16,44,87,,,,
2003-08-04,12:00,1.3,0.4,20,55,101,,,,
2003-08-04,13:00,1.0,0.4,32,60,111,,,,
2003-08-04,14:00,1.4,0.5,32,73,115,,,,
2003-08-04,15:00,1.2,0.4,63,79,103,,,,
2003-08-04,16:00,1.5,0.3,22,61,111,,,,
2003-08-04,17:00,1.2,0.4,19,60,117,,,,
2003-08-04,18:00,0.9,0.3,21,68,93,,,,
2003-08-04,19:00,1.1,0.3,14,53,96,,,,
2003-08-04,20:00,1.2,0.4,21,65,76,,,,
2003-08-04,21:00,1.3,0.3,16,68,58,,,,
2003-08-04,22:00,1.3,0.4,13,62,60,,,,
2003-08-04,23:00,1.1,0.4,6,28,90,,,,
2003-08-05,,,,,,,27,,18.06,
2003-08-05,00:00,0.9,0.4,10,31,82,,,,
2003-08-05,01:00,0.9,0.3,1,19,80,,,,
2003-08-05,02:00,0.8,0.3,2,14,82,,,,
2003-08-05,03:00,,0.2,1,15,73,,,,
2003-08-05,04:00,,0.2,3,16,66,,,,
2003-08-05,05:00,,0.2,9,23,57,,,,
2003-08-05,06:00,,0.3,12,35,43,,,,
2003-08-05,07:00,,0.4,44,51,34,,,,
2003-08-05,08:00,1.4,0.4,30,46,40,,,,
2003-08-05,09:00,1.2,0.5,34,48,46,,,,
2003-08-05,10:00,1.8,0.5,30,45,68,,,,
2003-08-05,11:00,1.2,0.3,21,37,92,,,,
2003-08-05,12:00,0.8,0.2,15,32,106,,,,
2003-08-05,13:00,1.0,0.3,21,43,103,,,,
2003-08-05,14:00,0.8,0.2,25,48,97,,,,
2003-08-05,15:00,0.7,0.2,30,44,114,,,,
2003-08-05,16:00,0.8,0.2,13,46,117,,,,
2003-08-05,17:00,0.9,0.2,23,48,111,,,,
2003-08-05,18:00,1.0,0.2,19,60,101,,,,
2003-08-05,19:00,1.0,0.3,25,85,84,,,,
2003-08-05,20:00,1.5,0.3,23,78,74,,,,
2003-08-05,21:00,1.2,0.3,21,58,83,,,,
2003-08-05,22:00,1.2,0.4,20,60,68,,,,
2003-08-05,23:00,1.0,0.3,17,48,70,,,,
2003-08-06,,,,,,,30,,18.44,
2003-08-06,00:00,1.4,0.5,16,54,46,,,,
2003-08-06,01:00,1.7,0.3,3,32,53,,,,
2003-08-06,02:00,1.4,0.2,2,23,60,,,,
2003-08-06,03:00,0.9,0.2,3,23,54,,,,
2003-08-06,04:00,1.0,0.2,6,28,41,,,,
2003-08-06,05:00,1.1,0.3,39,45,27,,,,
2003-08-06,06:00,1.7,0.5,34,51,16,,,,
2003-08-06,07:00,2.1,0.5,65,61,14,,,,
2003-08-06,08:00,1.9,0.6,47,59,18,,,,
2003-08-06,09:00,2.2,0.5,45,54,34,,,,
2003-08-06,10:00,1.7,0.4,31,57,45,,,,
2003-08-06,11:00,1.4,0.3,32,50,73,,,,
2003-08-06,12:00,1.1,0.2,19,40,97,,,,
2003-08-06,13:00,0.8,0.2,16,40,108,,,,
2003-08-06,14:00,0.8,0.2,19,46,107,,,,
2003-08-06,15:00,0.8,0.2,12,36,118,,,,
2003-08-06,16:00,0.9,0.2,12,34,127,,,,
2003-08-06,17:00,0.9,0.2,24,41,119,,,,
2003-08-06,18:00,0.8,0.2,9,31,121,,,,
2003-08-06,19:00,0.8,0.3,12,35,114,,,,
2003-08-06,20:00,1.0,0.4,13,45,93,,,,
2003-08-06,21:00,1.2,0.4,17,65,64,,,,
2003-08-06,22:00,1.4,0.4,14,43,80,,,,
2003-08-06,23:00,1.4,0.4,6,32,79,,,,
2003-08-07,,,,,,,30,,18.99,
2003-08-07,00:00,1.6,0.4,4,37,60,,,,
2003-08-07,01:00,1.5,0.3,3,30,56,,,,
2003-08-07,02:00,1.1,0.3,3,28,48,,,,
2003-08-07,03:00,1.2,0.3,2,23,46,,,,
2003-08-07,04:00,1.1,0.2,3,26,38,,,,
2003-08-07,05:00,1.1,0.3,20,41,25,,,,
2003-08-07,06:00,1.6,0.5,41,52,17,,,,
2003-08-07,07:00,1.8,0.5,56,60,16,,,,
2003-08-07,08:00,1.9,0.6,48,58,25,,,,
2003-08-07,09:00,2.2,0.6,51,60,43,,,,
2003-08-07,10:00,1.8,0.5,49,58,59,,,,
2003-08-07,11:00,1.8,0.4,65,60,78,,,,
2003-08-07,12:00,1.6,0.4,39,64,81,,,,
2003-08-07,13:00,1.5,0.4,28,52,97,,,,
2003-08-07,14:00,1.1,0.3,36,46,113,,,,
2003-08-07,15:00,1.1,0.2,13,32,121,,,,
2003-08-07,16:00,0.8,0.2,17,41,121,,,,
2003-08-07,17:00,1.1,0.2,16,40,127,,,,
2003-08-07,18:00,0.8,0.1,5,27,137,,,,
2003-08-07,19:00,0.9,0.3,5,31,124,,,,
2003-08-07,20:00,1.4,0.4,15,46,96,,,,
2003-08-07,21:00,1.5,0.4,7,40,84,,,,
2003-08-07,22:00,2.2,0.8,22,82,38,,,,
2003-08-07,23:00,3.3,0.8,23,78,25,,,,
2003-08-08,,,,,,,32,,18.17,
2003-08-08,00:00,2.9,0.6,7,52,37,,,,
2003-08-08,01:00,2.0,0.5,7,38,43,,,,
2003-08-08,02:00,1.4,0.3,2,26,55,,,,
2003-08-08,03:00,1.3,0.2,2,24,57,,,,
2003-08-08,04:00,1.1,0.2,3,27,51,,,,
2003-08-08,05:00,1.4,0.4,34,50,30,,,,
2003-08-08,06:00,1.9,0.6,37,61,18,,,,
2003-08-08,07:00,2.4,0.5,43,65,22,,,,
2003-08-08,08:00,2.3,0.7,67,71,26,,,,
2003-08-08,09:00,2.9,0.7,41,74,39,,,,
2003-08-08,10:00,2.3,0.7,44,86,52,,,,
2003-08-08,11:00,2.5,0.7,71,97,59,,,,
2003-08-08,12:00,2.6,0.7,53,76,73,,,,
2003-08-08,13:00,2.1,0.5,35,66,95,,,,
2003-08-08,14:00,1.4,0.3,22,52,109,,,,
2003-08-08,15:00,0.9,0.3,17,50,121,,,,
2003-08-08,16:00,0.9,0.3,20,46,118,,,,
2003-08-08,17:00,1.0,0.3,18,43,113,,,,
2003-08-08,18:00,0.9,0.3,14,45,106,,,,
2003-08-08,19:00,1.0,0.3,8,34,107,,,,
2003-08-08,20:00,1.3,0.4,10,35,100,,,,
2003-08-08,21:00,1.4,0.5,15,45,83,,,,
2003-08-08,22:00,,0.9,31,88,31,,,,
2003-08-08,23:00,,0.7,29,75,26,,,,
2003-08-09,,,,,,,27,,17.89,
2003-08-09,00:00,,0.7,11,53,35,,,,
2003-08-09,01:00,,0.5,6,38,40,,,,
2003-08-09,02:00,,0.5,3,34,39,,,,
