Datum,Zeit,BEN,CO,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,mg/m3,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2004-05-01,01:00,,,,,101,,,,1.0
2004-05-01,02:00,,,,,101,,,,1.0
2004-05-01,03:00,,,,,98,,,,1.3
2004-05-01,04:00,,,,,95,,,,1.3
2004-05-01,05:00,,,,,91,,,,1.5
2004-05-01,06:00,,,,,89,,,,1.5
2004-05-01,07:00,,,,,89,,,,1.3
2004-05-01,08:00,,,,,94,,,,1.4
2004-05-01,09:00,,,,,97,,,,1.8
2004-05-01,10:00,,,,,98,,,,4.8
2004-05-01,11:00,,,,,104,,,,4.4
2004-05-01,12:00,,,,,112,,,,3.9
2004-05-01,13:00,,,,,117,,,,2.0
2004-05-01,14:00,,,,,118,,,,1.4
2004-05-01,15:00,,,,,115,,,,1.0
2004-05-01,16:00,,,,,113,,,,1.0
2004-05-01,17:00,,,,,106,,,,1.0
2004-05-01,18:00,,,,,105,,,,1.0
2004-05-01,19:00,,,,,107,,,,1.0
2004-05-01,20:00,,,,,113,,,,1.0
2004-05-01,21:00,,,,,100,,,,1.0
2004-05-01,22:00,,,,,91,,,,1.0
2004-05-01,23:00,,,,,91,,,,1.0
2004-05-02,00:00,,,,,86,,,,1.0
2004-05-02,01:00,,,,,85,,,,1.0
2004-05-02,02:00,,,,,85,,,,1.0
2004-05-02,03:00,,,,,83,,,,1.0
2004-05-02,04:00,,,,,92,,,,1.0
2004-05-02,05:00,,,,,83,,,,1.0
2004-05-02,06:00,,,,,77,,,,1.0
2004-05-02,07:00,,,,,75,,,,1.0
2004-05-02,08:00,,,,,76,,,,1.0
2004-05-02,09:00,,,,,77,,,,1.0
2004-05-02,10:00,,,,,83,,,,1.0
2004-05-02,11:00,,,,,107,,,,1.0
2004-05-02,12:00,,,,,110,,,,1.0
2004-05-02,13:00,,,,,108,,,,1.0
2004-05-02,14:00,,,,,108,,,,1.0
2004-05-02,15:00,,,,,102,,,,1.0
2004-05-02,16:00,,,,,102,,,,1.0
2004-05-02,17:00,,,,,102,,,,1.0
2004-05-02,18:00,,,,,95,,,,1.0
2004-05-02,19:00,,,,,80,,,,1.0
