Datum,Zeit,BEN,CO,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,mg/m3,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2004-08-01,01:00,,,,,151,,,,1.1
2004-08-01,02:00,,,,,151,,,,1.0
2004-08-01,03:00,,,,,151,,,,1.0
2004-08-01,04:00,,,,,138,,,,1.0
2004-08-01,05:00,,,,,152,,,,1.0
2004-08-01,06:00,,,,,154,,,,1.0
2004-08-01,07:00,,,,,146,,,,1.0
2004-08-01,08:00,,,,,145,,,,1.2
2004-08-01,09:00,,,,,140,,,,1.1
2004-08-01,10:00,,,,,135,,,,1.2
2004-08-01,11:00,,,,,136,,,,1.2
2004-08-01,12:00,,,,,142,,,,1.1
2004-08-01,13:00,,,,,151,,,,1.6
2004-08-01,14:00,,,,,148,,,,1.1
2004-08-01,15:00,,,,,151,,,,1.0
2004-08-01,16:00,,,,,145,,,,1.0
2004-08-01,17:00,,,,,144,,,,1.0
2004-08-01,18:00,,,,,138,,,,1.0
2004-08-01,19:00,,,,,129,,,,1.0
2004-08-01,20:00,,,,,129,,,,1.0
2004-08-01,21:00,,,,,128,,,,1.0
2004-08-01,22:00,,,,,128,,,,1.0
2004-08-01,23:00,,,,,128,,,,1.1
2004-08-02,00:00,,,,,123,,,,1.3
2004-08-02,01:00,,,,,120,,,,1.1
2004-08-02,02:00,,,,,122,,,,1.0
2004-08-02,03:00,,,,,125,,,,1.0
2004-08-02,04:00,,,,,127,,,,1.0
2004-08-02,05:00,,,,,123,,,,1.0
2004-08-02,06:00,,,,,120,,,,1.0
2004-08-02,07:00,,,,,114,,,,1.0
2004-08-02,08:00,,,,,115,,,,1.0
2004-08-02,09:00,,,,,120,,,,1.0
2004-08-02,10:00,,,,,117,,,,1.0
2004-08-02,11:00,,,,,118,,,,1.0
2004-08-02,12:00,,,,,117,,,,1.0
2004-08-02,13:00,,,,,119,,,,1.0
2004-08-02,14:00,,,,,118,,,,1.1
2004-08-02,15:00,,,,,117,,,,1.0
2004-08-02,16:00,,,,,118,,,,1.2
2004-08-02,17:00,,,,,120,,,,1.4
2004-08-02,18:00,,,,,121,,,,1.0
2004-08-02,19:00,,,,,121,,,,1.0
2004-08-02,20:00,,,,,116,,,,1.5
2004-08-02,21:00,,,,,118,,,,2.5
2004-08-02,22:00,,,,,116,,,,2.4
2004-08-02,23:00,,,,,111,,,,1.0
2004-08-03,00:00,,,,,106,,,,1.3
2004-08-03,01:00,,,,,104,,,,1.6
2004-08-03,02:00,,,,,107,,,,1.0
2004-08-03,03:00,,,,,106,,,,1.0
2004-08-03,04:00,,,,,106,,,,1.0
2004-08-03,05:00,,,,,107,,,,1.0
