Datum,Zeit,BEN,CO,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,mg/m3,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2004-10-01,,,,,,,22,26.56,,
2004-10-01,01:00,1.7,0.2,2,20,15,,,,
2004-10-01,02:00,,0.1,1,16,17,,,,
2004-10-01,03:00,,0.1,2,16,14,,,,
2004-10-01,04:00,,0.1,4,23,6,,,,
2004-10-01,05:00,,0.3,18,27,4,,,,
2004-10-01,06:00,,0.7,48,37,2,,,,
2004-10-01,07:00,3.4,0.9,77,46,2,,,,
2004-10-01,08:00,3.1,0.6,59,37,4,,,,
2004-10-01,09:00,3.0,0.6,79,44,2,,,,
2004-10-01,10:00,3.8,0.6,67,45,10,,,,
2004-10-01,11:00,2.9,0.5,28,28,46,,,,
2004-10-01,12:00,1.9,0.7,32,31,50,,,,
2004-10-01,13:00,1.6,0.5,27,27,54,,,,
2004-10-01,14:00,1.4,0.3,25,29,51,,,,
2004-10-01,15:00,1.2,0.2,26,29,49,,,,
2004-10-01,16:00,1.3,0.3,25,29,47,,,,
2004-10-01,17:00,1.7,0.4,28,46,27,,,,
2004-10-01,18:00,2.5,0.8,46,65,9,,,,
2004-10-01,19:00,3.7,0.8,43,63,5,,,,
2004-10-01,20:00,3.9,0.8,37,55,2,,,,
2004-10-01,21:00,2.8,0.4,11,38,10,,,,
2004-10-01,22:00,2.4,0.4,11,30,11,,,,
2004-10-01,23:00,2.4,0.2,7,28,14,,,,
2004-10-02,,,,,,,20,,,
2004-10-02,00:00,1.7,0.4,16,29,12,,,,
2004-10-02,01:00,1.9,0.3,15,33,15,,,,
2004-10-02,02:00,1.7,0.2,2,29,17,,,,
2004-10-02,03:00,1.5,0.3,6,36,8,,,,
2004-10-02,04:00,1.9,0.3,3,27,15,,,,
2004-10-02,05:00,1.5,0.3,7,20,24,,,,
2004-10-02,06:00,1.5,0.3,6,22,24,,,,
2004-10-02,07:00,1.0,0.4,14,27,21,,,,
2004-10-02,08:00,1.6,0.4,15,25,20,,,,
2004-10-02,09:00,1.7,0.4,19,22,26,,,,
2004-10-02,10:00,2.5,0.6,27,26,31,,,,
2004-10-02,11:00,2.6,0.9,29,33,26,,,,
2004-10-02,12:00,3.9,1.1,36,41,15,,,,
2004-10-02,13:00,3.7,1.0,36,40,18,,,,
2004-10-02,14:00,3.2,0.9,33,32,20,,,,
2004-10-02,15:00,3.2,0.7,18,29,31,,,,
2004-10-02,16:00,1.8,0.5,8,24,34,,,,
2004-10-02,17:00,1.4,0.5,5,19,34,,,,
2004-10-02,18:00,1.4,0.7,21,36,20,,,,
2004-10-02,19:00,2.9,0.7,14,35,17,,,,
2004-10-02,20:00,2.3,0.8,19,38,16,,,,
2004-10-02,21:00,2.3,0.7,20,34,19,,,,
2004-10-02,22:00,2.7,0.7,15,30,16,,,,
2004-10-02,23:00,2.3,0.8,16,27,20,,,,
2004-10-03,,,,,,,17,,,
2004-10-03,00:00,2.6,0.5,6,20,23,,,,
2004-10-03,01:00,1.1,0.4,8,17,33,,,,
2004-10-03,02:00,1.0,0.2,2,13,37,,,,
2004-10-03,03:00,0.7,0.3,4,14,37,,,,
2004-10-03,04:00,0.8,0.2,3,12,39,,,,
2004-10-03,05:00,0.8,0.3,4,13,39,,,,
2004-10-03,06:00,0.9,0.3,4,15,35,,,,
2004-10-03,07:00,0.8,0.3,4,13,36,,,,
2004-10-03,08:00,1.7,0.6,12,21,32,,,,
2004-10-03,09:00,1.6,0.5,7,17,41,,,,
2004-10-03,10:00,1.5,0.5,11,16,45,,,,
2004-10-03,11:00,1.5,0.3,8,15,47,,,,
2004-10-03,12:00,1.0,0.4,11,19,48,,,,
2004-10-03,13:00,1.6,0.3,7,15,62,,,,
