Datum,Zeit,BEN,CO,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,mg/m3,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2005-04-01,01:00,,,1,27,88,,,,20.2
2005-04-01,02:00,,,1,23,91,,,,20.2
2005-04-01,03:00,,,1,24,88,,,,34.2
2005-04-01,04:00,,,1,21,92,,,,13.1
2005-04-01,05:00,,,1,24,88,,,,11.9
2005-04-01,06:00,,,1,12,103,,,,5.1
2005-04-01,07:00,,,1,13,103,,,,6.1
2005-04-01,08:00,,,2,19,99,,,,29.9
2005-04-01,09:00,,,1,12,105,,,,11.1
2005-04-01,10:00,,,1,13,103,,,,12.6
2005-04-01,11:00,,,2,12,105,,,,15.1
2005-04-01,12:00,,,2,14,103,,,,18.3
2005-04-01,13:00,,,1,11,108,,,,11.9
2005-04-01,14:00,,,1,11,110,,,,12.4
2005-04-01,15:00,,,1,11,113,,,,11.7
2005-04-01,16:00,,,1,11,115,,,,10.3
2005-04-01,17:00,,,1,11,115,,,,8.5
2005-04-01,18:00,,,1,16,109,,,,7.9
2005-04-01,19:00,,,1,34,88,,,,8.4
2005-04-01,20:00,,,1,32,86,,,,9.6
2005-04-01,21:00,,,1,38,77,,,,17.4
2005-04-01,22:00,,,1,28,91,,,,29.5
2005-04-01,23:00,,,1,15,103,,,,16.2
2005-04-02,00:00,,,1,20,97,,,,34.0
2005-04-02,01:00,,,1,17,98,,,,17.4
2005-04-02,02:00,,,1,18,89,,,,18.9
2005-04-02,03:00,,,1,17,88,,,,17.3
2005-04-02,04:00,,,1,15,86,,,,16.4
2005-04-02,05:00,,,1,15,85,,,,17.3
2005-04-02,06:00,,,1,17,84,,,,17.9
2005-04-02,07:00,,,1,14,91,,,,15.7
2005-04-02,08:00,,,2,21,88,,,,22.4
2005-04-02,09:00,,,4,23,89,,,,24.4
2005-04-02,10:00,,,3,18,100,,,,23.2
2005-04-02,11:00,,,2,15,112,,,,16.4
2005-04-02,12:00,,,2,15,116,,,,13.9
2005-04-02,13:00,,,1,14,121,,,,13.4
2005-04-02,14:00,,,2,17,111,,,,13.4
2005-04-02,15:00,,,2,16,111,,,,13.0
2005-04-02,16:00,,,1,12,121,,,,7.8
2005-04-02,17:00,,,1,13,119,,,,8.2
2005-04-02,18:00,,,1,19,110,,,,7.4
2005-04-02,19:00,,,1,17,111,,,,9.9
2005-04-02,20:00,,,1,15,112,,,,17.4
2005-04-02,21:00,,,1,20,109,,,,11.0
2005-04-02,22:00,,,1,20,107,,,,9.0
2005-04-02,23:00,,,1,28,95,,,,18.6
2005-04-03,00:00,,,1,26,95,,,,14.9
2005-04-03,01:00,,,1,17,105,,,,16.8
2005-04-03,02:00,,,1,18,103,,,,14.9
2005-04-03,03:00,,,1,17,106,,,,12.6
2005-04-03,04:00,,,1,14,113,,,,13.2
2005-04-03,05:00,,,1,16,105,,,,13.9
2005-04-03,06:00,,,1,18,105,,,,16.6
2005-04-03,07:00,,,1,18,111,,,,14.2
2005-04-03,08:00,,,1,17,114,,,,12.5
2005-04-03,09:00,,,1,17,116,,,,12.4
2005-04-03,10:00,,,1,13,118,,,,8.8
2005-04-03,11:00,,,1,13,116,,,,10.3
2005-04-03,12:00,,,1,12,117,,,,7.0
2005-04-03,13:00,,,1,11,117,,,,5.7
2005-04-03,14:00,,,1,12,117,,,,5.0
2005-04-03,15:00,,,1,11,119,,,,4.5
2005-04-03,16:00,,,1,10,123,,,,4.1
2005-04-03,17:00,,,1,10,122,,,,3.8
2005-04-03,18:00,,,1,12,118,,,,2.2
2005-04-03,19:00,,,1,10,116,,,,6.6
2005-04-03,20:00,,,1,10,115,,,,5.7
2005-04-03,21:00,,,1,16,111,,,,5.3
2005-04-03,22:00,,,1,19,108,,,,5.5
2005-04-03,23:00,,,1,20,105,,,,7.7
2005-04-04,00:00,,,1,16,109,,,,8.1
2005-04-04,01:00,,,1,22,99,,,,17.0
2005-04-04,02:00,,,1,37,81,,,,18.4
2005-04-04,03:00,,,1,26,92,,,,26.3
2005-04-04,04:00,,,1,15,99,,,,18.3
2005-04-04,05:00,,,1,12,104,,,,10.7
2005-04-04,06:00,,,1,18,100,,,,23.5
2005-04-04,07:00,,,1,26,98,,,,45.6
2005-04-04,08:00,,,3,31,91,,,,36.0
2005-04-04,09:00,,,3,22,103,,,,14.2
2005-04-04,10:00,,,1,16,115,,,,9.4
2005-04-04,11:00,,,2,16,118,,,,9.7
2005-04-04,12:00,,,3,20,114,,,,14.7
2005-04-04,13:00,,,7,33,101,,,,23.2
2005-04-04,14:00,,,5,29,95,,,,19.0
2005-04-04,15:00,,,4,24,110,,,,26.6
2005-04-04,16:00,,,1,16,120,,,,17.9
2005-04-04,17:00,,,1,17,121,,,,6.7
2005-04-04,18:00,,,1,22,115,,,,8.3
2005-04-04,19:00,,,1,20,116,,,,10.0
2005-04-04,20:00,,,1,16,122,,,,6.6
2005-04-04,21:00,,,1,14,122,,,,6.7
2005-04-04,22:00,,,1,17,114,,,,7.4
2005-04-04,23:00,,,1,15,114,,,,9.2
2005-04-05,00:00,,,1,18,109,,,,12.6
2005-04-05,01:00,,,1,21,101,,,,18.0
2005-04-05,02:00,,,1,16,103,,,,12.8
2005-04-05,03:00,,,1,20,103,,,,26.6
2005-04-05,04:00,,,1,12,122,,,,9.2
2005-04-05,05:00,,,1,11,123,,,,7.4
2005-04-05,06:00,,,1,11,120,,,,5.7
2005-04-05,07:00,,,1,21,105,,,,16.6
