Datum,Zeit,BEN,CO,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,mg/m3,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2005-06-01,01:00,,,1,13,63,,,,
2005-06-01,02:00,,,1,14,54,,,,
2005-06-01,03:00,,,1,14,49,,,,
2005-06-01,04:00,,,2,16,43,,,,
2005-06-01,05:00,,,8,22,38,,,,
2005-06-01,06:00,,,17,35,29,,,,
2005-06-01,07:00,,,20,34,42,,,,
2005-06-01,08:00,,,13,27,48,,,,
2005-06-01,09:00,,,10,19,64,,,,
2005-06-01,10:00,,,7,16,71,,,,
2005-06-01,11:00,,,9,17,71,,,,
2005-06-01,12:00,,,11,17,72,,,,
2005-06-01,13:00,,,7,15,75,,,,
2005-06-01,14:00,,,10,18,73,,,,
2005-06-01,15:00,,,13,20,76,,,,
2005-06-01,16:00,,,11,27,79,,,,
2005-06-01,17:00,,,5,19,83,,,,
2005-06-01,18:00,,,5,20,85,,,,
2005-06-01,19:00,,,5,23,80,,,,
2005-06-01,20:00,,,3,26,70,,,,
2005-06-01,21:00,,,1,31,54,,,,
2005-06-01,22:00,,,1,27,51,,,,
2005-06-01,23:00,,,1,38,27,,,,
2005-06-02,00:00,,,1,29,25,,,,
2005-06-02,01:00,,,1,29,19,,,,
2005-06-02,02:00,,,1,30,14,,,,
2005-06-02,03:00,,,4,35,3,,,,
2005-06-02,04:00,,,1,18,17,,,,
2005-06-02,05:00,,,8,28,15,,,,
2005-06-02,06:00,,,9,32,16,,,,
2005-06-02,07:00,,,21,49,21,,,,
2005-06-02,08:00,,,16,41,29,,,,
2005-06-02,09:00,,,20,52,44,,,,
2005-06-02,10:00,,,10,33,77,,,,
2005-06-02,11:00,,,7,30,89,,,,
2005-06-02,12:00,,,7,31,103,,,,
2005-06-02,13:00,,,7,33,97,,,,
2005-06-02,14:00,,,8,35,102,,,,
2005-06-02,15:00,,,13,46,89,,,,
2005-06-02,16:00,,,10,42,89,,,,
2005-06-02,17:00,,,10,48,86,,,,
2005-06-02,18:00,,,6,41,77,,,,
2005-06-02,19:00,,,4,33,75,,,,
2005-06-02,20:00,,,1,21,74,,,,
2005-06-02,21:00,,,2,44,52,,,,
2005-06-02,22:00,,,1,46,38,,,,
2005-06-02,23:00,,,1,27,46,,,,
2005-06-03,00:00,,,1,26,38,,,,
2005-06-03,01:00,,,2,29,26,,,,
2005-06-03,02:00,,,1,22,30,,,,
2005-06-03,03:00,,,1,23,24,,,,
2005-06-03,04:00,,,1,22,19,,,,
2005-06-03,05:00,,,2,20,21,,,,
2005-06-03,06:00,,,23,49,20,,,,
2005-06-03,07:00,,,22,57,24,,,,
2005-06-03,08:00,,,16,50,37,,,,
2005-06-03,09:00,,,12,46,72,,,,
2005-06-03,10:00,,,10,42,107,,,,
2005-06-03,11:00,,,7,33,115,,,,
2005-06-03,12:00,,,5,28,116,,,,
2005-06-03,13:00,,,6,29,119,,,,
2005-06-03,14:00,,,6,27,119,,,,
2005-06-03,15:00,,,6,27,115,,,,
2005-06-03,16:00,,,3,20,111,,,,
2005-06-03,17:00,,,2,17,109,,,,
2005-06-03,18:00,,,4,24,103,,,,
2005-06-03,19:00,,,3,28,87,,,,
2005-06-03,20:00,,,2,33,74,,,,
2005-06-03,21:00,,,2,38,71,,,,
2005-06-03,22:00,,,17,78,28,,,,
2005-06-03,23:00,,,7,74,12,,,,
2005-06-04,00:00,,,4,69,9,,,,
2005-06-04,01:00,,,1,24,71,,,,
2005-06-04,02:00,,,1,12,99,,,,
2005-06-04,03:00,,,1,10,105,,,,
2005-06-04,04:00,,,1,7,100,,,,
2005-06-04,05:00,,,1,8,92,,,,
2005-06-04,06:00,,,1,11,80,,,,
2005-06-04,07:00,,,1,14,75,,,,
2005-06-04,08:00,,,3,15,75,,,,
2005-06-04,09:00,,,3,15,78,,,,
