Datum,Zeit,BEN,CO,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,mg/m3,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2006-09-01,,,,,,,29,,,
2006-09-01,01:00,0.3,0.2,1,16,,,,,
2006-09-01,02:00,0.4,0.2,3,17,,,,,
2006-09-01,03:00,0.4,0.2,6,17,,,,,
2006-09-01,04:00,0.5,0.4,31,35,,,,,
2006-09-01,05:00,1.8,0.7,69,48,,,,,
2006-09-01,06:00,1.9,1.0,82,55,,,,,
2006-09-01,07:00,2.3,0.8,90,56,,,,,
2006-09-01,08:00,1.3,0.6,77,49,,,,,
2006-09-01,09:00,2.5,0.7,70,49,,,,,
2006-09-01,10:00,1.4,0.6,55,42,,,,,
2006-09-01,11:00,1.1,0.7,57,41,,,,,
2006-09-01,12:00,1.5,0.7,44,39,,,,,
2006-09-01,13:00,4.2,0.9,63,45,,,,,
2006-09-01,14:00,,0.6,49,36,,,,,
2006-09-01,15:00,,0.5,24,24,,,,,
2006-09-01,16:00,,0.5,25,27,,,,,
2006-09-01,17:00,,0.5,26,31,,,,,
2006-09-01,18:00,,0.9,49,60,,,,,
2006-09-01,19:00,,1.1,92,72,,,,,
2006-09-01,20:00,,0.8,64,49,,,,,
2006-09-01,21:00,,0.8,77,42,,,,,
2006-09-01,22:00,,0.7,71,42,,,,,
2006-09-01,23:00,,0.6,41,33,,,,,
2006-09-02,,,,,,,19,,,
2006-09-02,00:00,,0.4,28,30,,,,,
2006-09-02,01:00,,0.2,9,19,,,,,
2006-09-02,02:00,,0.1,3,14,,,,,
2006-09-02,03:00,,0.1,4,13,,,,,
2006-09-02,04:00,,0.1,7,15,,,,,
2006-09-02,05:00,,0.1,6,15,,,,,
2006-09-02,06:00,,0.2,13,21,,,,,
2006-09-02,07:00,,0.2,20,27,,,,,
2006-09-02,08:00,,0.4,20,26,,,,,
2006-09-02,09:00,,0.5,29,31,,,,,
2006-09-02,10:00,,0.6,38,34,,,,,
2006-09-02,11:00,,0.4,21,29,,,,,
2006-09-02,12:00,,0.4,21,34,,,,,
2006-09-02,13:00,,0.5,18,35,,,,,
2006-09-02,14:00,,0.5,17,35,,,,,
2006-09-02,15:00,,0.5,16,40,,,,,
2006-09-02,16:00,,0.5,13,36,,,,,
2006-09-02,17:00,,0.6,14,42,,,,,
2006-09-02,18:00,,0.9,16,61,,,,,
2006-09-02,19:00,,1.0,29,66,,,,,
2006-09-02,20:00,,0.6,9,40,,,,,
2006-09-02,21:00,,0.4,3,33,,,,,
2006-09-02,22:00,,0.4,6,28,,,,,
2006-09-02,23:00,,0.3,2,20,,,,,
2006-09-03,,,,,,,18,,,
2006-09-03,00:00,,0.3,1,17,,,,,
2006-09-03,01:00,,0.2,2,19,,,,,
2006-09-03,02:00,,0.2,2,16,,,,,
2006-09-03,03:00,,0.2,1,10,,,,,
2006-09-03,04:00,,0.2,1,11,,,,,
2006-09-03,05:00,,0.2,1,10,,,,,
2006-09-03,06:00,,0.2,2,13,,,,,
2006-09-03,07:00,,0.2,2,10,,,,,
2006-09-03,08:00,,0.6,10,22,,,,,
2006-09-03,09:00,,0.7,12,17,,,,,
2006-09-03,10:00,,0.7,6,11,,,,,
2006-09-03,11:00,,0.5,7,11,,,,,
2006-09-03,12:00,,0.3,8,12,,,,,
2006-09-03,13:00,,0.5,10,16,,,,,
2006-09-03,14:00,,0.6,13,18,,,,,
2006-09-03,15:00,,0.3,11,18,,,,,
2006-09-03,16:00,,0.4,12,20,,,,,
2006-09-03,17:00,,0.4,16,19,,,,,
2006-09-03,18:00,,0.3,7,13,,,,,
2006-09-03,19:00,,0.2,7,12,,,,,
2006-09-03,20:00,,0.2,3,9,,,,,
2006-09-03,21:00,,0.2,3,6,,,,,
2006-09-03,22:00,,0.2,8,8,,,,,
2006-09-03,23:00,,0.2,10,7,,,,,
2006-09-04,,,,,,,18,,,
2006-09-04,00:00,,0.1,2,7,,,,,
2006-09-04,01:00,,0.1,4,10,,,,,
2006-09-04,02:00,,0.1,4,10,,,,,
2006-09-04,03:00,,0.1,10,11,,,,,
2006-09-04,04:00,,0.5,52,33,,,,,
2006-09-04,05:00,,0.2,22,20,,,,,
2006-09-04,06:00,,0.9,113,58,,,,,
2006-09-04,07:00,,0.8,116,64,,,,,
2006-09-04,08:00,,0.3,48,32,,,,,
2006-09-04,09:00,,0.3,33,22,,,,,
2006-09-04,10:00,,0.2,22,22,,,,,
2006-09-04,11:00,,0.1,11,16,,,,,
2006-09-04,12:00,,0.1,14,16,,,,,
2006-09-04,13:00,,0.2,20,20,,,,,
2006-09-04,14:00,,0.2,17,20,,,,,
2006-09-04,15:00,,0.1,7,14,,,,,
2006-09-04,16:00,,0.2,17,22,,,,,
2006-09-04,17:00,,0.4,21,31,,,,,
2006-09-04,18:00,,0.5,38,46,,,,,
2006-09-04,19:00,,0.5,27,57,,,,,
2006-09-04,20:00,,0.4,44,58,,,,,
2006-09-04,21:00,,0.4,22,42,,,,,
2006-09-04,22:00,,0.1,12,33,,,,,
2006-09-04,23:00,,0.2,4,22,,,,,
2006-09-05,,,,,,,17,,,
2006-09-05,00:00,,0.1,3,17,,,,,
2006-09-05,01:00,,0.1,2,14,,,,,
2006-09-05,02:00,,0.1,10,21,,,,,
2006-09-05,03:00,,0.1,26,32,,,,,
2006-09-05,04:00,,0.3,58,35,,,,,
2006-09-05,05:00,,0.6,109,45,,,,,
2006-09-05,06:00,,1.1,184,49,,,,,
2006-09-05,07:00,,1.0,211,59,,,,,
2006-09-05,08:00,,0.5,84,35,,,,,
2006-09-05,09:00,,0.1,14,15,,,,,
2006-09-05,10:00,,0.2,18,17,,,,,
2006-09-05,11:00,,0.1,12,14,,,,,
2006-09-05,12:00,,0.2,11,12,,,,,
2006-09-05,13:00,,0.3,19,20,,,,,
2006-09-05,14:00,,0.2,16,17,,,,,
2006-09-05,15:00,,0.2,12,17,,,,,
2006-09-05,16:00,,0.2,16,20,,,,,
2006-09-05,17:00,,0.3,16,23,,,,,
2006-09-05,18:00,,0.3,10,20,,,,,
2006-09-05,19:00,,0.3,17,28,,,,,
2006-09-05,20:00,,0.2,6,16,,,,,
2006-09-05,21:00,,0.5,38,45,,,,,
2006-09-05,22:00,,0.5,16,37,,,,,
2006-09-05,23:00,,0.3,8,26,,,,,
2006-09-06,,,,,,,29,,,
2006-09-06,00:00,,0.3,6,22,,,,,
2006-09-06,01:00,,0.2,4,19,,,,,
2006-09-06,02:00,,0.2,10,17,,,,,
2006-09-06,03:00,,0.2,30,24,,,,,
2006-09-06,04:00,,0.3,71,27,,,,,
2006-09-06,05:00,,0.9,171,35,,,,,
2006-09-06,06:00,,1.5,222,48,,,,,
2006-09-06,07:00,,0.7,99,36,,,,,
2006-09-06,08:00,,0.8,141,44,,,,,
2006-09-06,09:00,,0.8,112,49,,,,,
2006-09-06,10:00,,0.6,60,38,,,,,
2006-09-06,11:00,,0.5,72,36,,,,,
2006-09-06,12:00,,0.5,53,35,,,,,
2006-09-06,13:00,,0.4,48,35,,,,,
2006-09-06,14:00,,0.4,41,38,,,,,
2006-09-06,15:00,,0.6,55,47,,,,,
2006-09-06,16:00,,0.7,58,58,,,,,
2006-09-06,17:00,,1.0,54,63,,,,,
2006-09-06,18:00,,1.0,65,80,,,,,
2006-09-06,19:00,,1.0,90,71,,,,,
2006-09-06,20:00,,0.7,61,54,,,,,
2006-09-06,21:00,,0.4,23,38,,,,,
2006-09-06,22:00,,0.3,21,30,,,,,
2006-09-06,23:00,,0.4,46,26,,,,,
2006-09-07,,,,,,,23,,,
2006-09-07,00:00,,0.4,48,26,,,,,
2006-09-07,01:00,,0.3,26,21,,,,,
2006-09-07,02:00,,0.2,48,23,,,,,
2006-09-07,03:00,,0.2,24,19,,,,,
2006-09-07,04:00,,0.5,84,23,,,,,
2006-09-07,05:00,,0.9,136,29,,,,,
2006-09-07,06:00,,0.5,69,23,,,,,
2006-09-07,07:00,,0.4,55,25,,,,,
2006-09-07,08:00,,0.7,117,40,,,,,
2006-09-07,09:00,,0.9,105,46,,,,,
2006-09-07,10:00,,0.6,52,42,,,,,
2006-09-07,11:00,,0.6,49,43,,,,,
2006-09-07,12:00,,0.4,36,38,,,,,
2006-09-07,13:00,,0.4,38,38,,,,,
2006-09-07,14:00,,0.4,28,41,,,,,
2006-09-07,15:00,,0.4,25,33,,,,,
2006-09-07,16:00,,0.4,16,28,,,,,
2006-09-07,17:00,,0.7,26,57,,,,,
2006-09-07,18:00,,0.5,15,40,,,,,
2006-09-07,19:00,,0.5,9,29,,,,,
2006-09-07,20:00,,0.3,5,14,,,,,
2006-09-07,21:00,,0.2,7,13,,,,,
2006-09-07,22:00,,0.2,3,12,,,,,
2006-09-07,23:00,,0.2,6,12,,,,,
2006-09-08,,,,,,,18,,,
2006-09-08,00:00,,0.1,4,9,,,,,
2006-09-08,01:00,,0.1,3,6,,,,,
2006-09-08,02:00,,0.1,11,16,,,,,
2006-09-08,03:00,,0.1,5,18,,,,,
2006-09-08,04:00,,0.1,5,8,,,,,
2006-09-08,05:00,,0.1,12,12,,,,,
2006-09-08,06:00,,0.2,15,13,,,,,
2006-09-08,07:00,,0.2,17,19,,,,,
2006-09-08,08:00,,0.2,16,17,,,,,
2006-09-08,09:00,,0.3,16,20,,,,,
2006-09-08,10:00,,0.2,17,20,,,,,
2006-09-08,11:00,,0.2,17,19,,,,,
2006-09-08,12:00,,0.2,19,19,,,,,
2006-09-08,13:00,,0.2,17,19,,,,,
2006-09-08,14:00,,0.2,17,18,,,,,
2006-09-08,15:00,,0.3,17,17,,,,,
2006-09-08,16:00,,0.3,17,19,,,,,
2006-09-08,17:00,,0.3,17,21,,,,,
2006-09-08,18:00,,0.2,8,16,,,,,
2006-09-08,19:00,,0.4,45,41,,,,,
2006-09-08,20:00,,0.5,26,52,,,,,
2006-09-08,21:00,,0.4,45,51,,,,,
2006-09-08,22:00,,0.2,23,35,,,,,
2006-09-08,23:00,,0.3,18,24,,,,,
2006-09-09,,,,,,,19,,,
2006-09-09,00:00,,0.3,11,19,,,,,
2006-09-09,01:00,,0.2,9,18,,,,,
2006-09-09,02:00,,0.1,12,15,,,,,
2006-09-09,03:00,,0.1,5,18,,,,,
2006-09-09,04:00,,0.2,30,18,,,,,
2006-09-09,05:00,,0.4,32,15,,,,,
2006-09-09,06:00,,0.3,41,14,,,,,
2006-09-09,07:00,,0.5,70,16,,,,,
2006-09-09,08:00,,0.5,67,17,,,,,
2006-09-09,09:00,,1.0,78,33,,,,,
2006-09-09,10:00,,0.7,45,34,,,,,
2006-09-09,11:00,,0.4,23,23,,,,,
2006-09-09,12:00,,0.4,16,18,,,,,
2006-09-09,13:00,,0.3,20,19,,,,,
2006-09-09,14:00,,0.4,15,17,,,,,
2006-09-09,15:00,,0.4,18,18,,,,,
2006-09-09,16:00,,0.4,14,18,,,,,
2006-09-09,17:00,,0.4,11,18,,,,,
2006-09-09,18:00,,0.4,12,21,,,,,
2006-09-09,19:00,,0.5,12,25,,,,,
2006-09-09,20:00,,0.5,13,27,,,,,
2006-09-09,21:00,,0.5,12,27,,,,,
2006-09-09,22:00,,0.4,10,23,,,,,
2006-09-09,23:00,,0.7,25,23,,,,,
2006-09-10,,,,,,,16,,,
2006-09-10,00:00,,0.6,20,19,,,,,
2006-09-10,01:00,,0.4,11,13,,,,,
2006-09-10,02:00,,0.3,7,11,,,,,
2006-09-10,03:00,,0.3,5,10,,,,,
2006-09-10,04:00,,0.2,5,8,,,,,
2006-09-10,05:00,,0.2,8,8,,,,,
2006-09-10,06:00,,0.3,15,8,,,,,
2006-09-10,07:00,,0.3,26,8,,,,,
2006-09-10,08:00,,0.5,40,13,,,,,
2006-09-10,09:00,,0.9,39,21,,,,,
2006-09-10,10:00,,0.8,32,28,,,,,
2006-09-10,11:00,,0.5,11,21,,,,,
2006-09-10,12:00,,0.4,7,17,,,,,
2006-09-10,13:00,,0.6,15,25,,,,,
2006-09-10,14:00,,0.4,9,22,,,,,
2006-09-10,15:00,,0.5,8,23,,,,,
2006-09-10,16:00,,0.5,15,33,,,,,
2006-09-10,17:00,,0.6,15,34,,,,,
2006-09-10,18:00,,0.6,12,35,,,,,
2006-09-10,19:00,,0.5,6,31,,,,,
2006-09-10,20:00,,0.6,15,44,,,,,
2006-09-10,21:00,,0.6,23,63,,,,,
2006-09-10,22:00,,0.6,46,48,,,,,
2006-09-10,23:00,,0.4,29,36,,,,,
2006-09-11,00:00,,0.2,7,26,,,,,
2006-09-11,01:00,,0.2,7,19,,,,,
2006-09-11,02:00,,0.2,33,22,,,,,
2006-09-11,03:00,,0.2,24,24,,,,,
2006-09-11,04:00,,0.4,60,28,,,,,
2006-09-11,05:00,,0.6,139,43,,,,,
2006-09-11,06:00,,1.5,206,51,,,,,
2006-09-11,07:00,,2.0,314,76,,,,,
2006-09-11,08:00,,0.9,113,57,,,,,
2006-09-11,09:00,,1.0,98,66,,,,,
2006-09-11,10:00,,0.5,41,42,,,,,
2006-09-11,11:00,,0.4,32,39,,,,,
2006-09-11,12:00,,0.4,37,45,,,,,
2006-09-11,13:00,,0.5,36,45,,,,,
2006-09-11,14:00,,0.4,28,43,,,,,
2006-09-11,15:00,,0.5,24,45,,,,,
2006-09-11,16:00,,0.5,27,42,,,,,
2006-09-11,17:00,,0.6,23,47,,,,,
2006-09-11,18:00,,0.9,38,76,,,,,
2006-09-11,19:00,,0.8,42,75,,,,,
2006-09-11,20:00,,0.7,39,61,,,,,
2006-09-11,21:00,,0.5,20,39,,,,,
2006-09-11,22:00,,0.3,16,30,,,,,
2006-09-11,23:00,,0.3,12,26,,,,,
2006-09-12,,,,,,,37,,,
2006-09-12,00:00,,0.2,4,16,,,,,
2006-09-12,01:00,,0.1,3,14,,,,,
2006-09-12,02:00,,0.1,8,17,,,,,
2006-09-12,03:00,,0.1,29,27,,,,,
2006-09-12,04:00,,0.4,43,31,,,,,
2006-09-12,05:00,,0.6,67,35,,,,,
2006-09-12,06:00,,1.0,91,44,,,,,
2006-09-12,07:00,,0.5,48,42,,,,,
2006-09-12,08:00,,0.4,29,37,,,,,
2006-09-12,09:00,,0.7,41,39,,,,,
2006-09-12,10:00,,0.7,39,42,,,,,
2006-09-12,11:00,,0.6,37,41,,,,,
2006-09-12,12:00,,0.7,53,47,,,,,
2006-09-12,13:00,,0.7,35,43,,,,,
2006-09-12,14:00,,0.6,26,41,,,,,
2006-09-12,15:00,,0.7,30,48,,,,,
2006-09-12,16:00,,0.7,30,52,,,,,
2006-09-12,17:00,,0.6,27,60,,,,,
2006-09-12,18:00,,0.8,28,62,,,,,
2006-09-12,19:00,,0.8,28,65,,,,,
2006-09-12,20:00,,0.6,13,57,,,,,
2006-09-12,21:00,,0.8,35,70,,,,,
2006-09-12,22:00,,0.6,27,57,,,,,
2006-09-12,23:00,,0.4,10,32,,,,,
2006-09-13,,,,,,,39,,,
2006-09-13,00:00,,0.4,38,46,,,,,
2006-09-13,01:00,,0.2,3,27,,,,,
2006-09-13,02:00,,0.2,13,24,,,,,
2006-09-13,03:00,,0.3,36,32,,,,,
2006-09-13,04:00,,0.2,6,19,,,,,
2006-09-13,05:00,,0.5,48,26,,,,,
2006-09-13,06:00,,1.0,123,41,,,,,
2006-09-13,07:00,,0.7,107,41,,,,,
2006-09-13,08:00,,0.4,39,36,,,,,
2006-09-13,09:00,,0.8,82,54,,,,,
2006-09-13,10:00,,0.9,70,57,,,,,
2006-09-13,11:00,,0.6,46,53,,,,,
2006-09-13,12:00,,0.6,42,48,,,,,
2006-09-13,13:00,,0.6,39,48,,,,,
2006-09-13,14:00,,0.6,39,51,,,,,
2006-09-13,15:00,,0.7,34,53,,,,,
2006-09-13,16:00,,0.7,42,59,,,,,
2006-09-13,17:00,2.9,0.6,39,69,,,,,
2006-09-13,18:00,2.5,0.5,17,52,,,,,
2006-09-13,19:00,3.1,0.6,43,72,,,,,
2006-09-13,20:00,1.8,0.4,13,37,,,,,
2006-09-13,21:00,1.4,0.3,8,28,,,,,
2006-09-13,22:00,1.6,0.5,16,35,,,,,
2006-09-13,23:00,2.0,0.4,6,40,,,,,
2006-09-14,,,,,,,42,,,
2006-09-14,00:00,1.9,0.4,39,50,,,,,
