Datum,Zeit,BEN,CO,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,mg/m3,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2007-03-01,,,,,,,13,,,
2007-03-01,01:00,,,1,14,,,,,
2007-03-01,02:00,,,3,15,,,,,
2007-03-01,03:00,,,2,15,,,,,
2007-03-01,04:00,,,2,15,,,,,
2007-03-01,05:00,,,23,27,,,,,
2007-03-01,06:00,,,8,22,,,,,
2007-03-01,07:00,,,14,29,,,,,
2007-03-01,08:00,,,15,34,,,,,
2007-03-01,09:00,,,8,27,,,,,
2007-03-01,10:00,,,22,32,,,,,
2007-03-01,11:00,,,33,42,,,,,
2007-03-01,12:00,,,31,42,,,,,
2007-03-01,13:00,,,43,51,,,,,
2007-03-01,14:00,,,14,33,,,,,
2007-03-01,15:00,,,25,44,,,,,
2007-03-01,16:00,,,16,40,,,,,
2007-03-01,17:00,,,64,81,,,,,
2007-03-01,18:00,,,30,52,,,,,
2007-03-01,19:00,,,23,50,,,,,
2007-03-01,20:00,,,40,61,,,,,
2007-03-01,21:00,,,29,50,,,,,
2007-03-01,22:00,,,20,41,,,,,
2007-03-01,23:00,,,15,33,,,,,
2007-03-02,,,,,,,13,,,
2007-03-02,00:00,,,9,25,,,,,
2007-03-02,01:00,,,5,19,,,,,
2007-03-02,02:00,,,4,18,,,,,
2007-03-02,03:00,,,3,14,,,,,
2007-03-02,04:00,,,2,14,,,,,
2007-03-02,05:00,,,4,20,,,,,
2007-03-02,06:00,,,4,21,,,,,
2007-03-02,07:00,,,5,23,,,,,
2007-03-02,08:00,,,11,32,,,,,
2007-03-02,09:00,,,11,29,,,,,
2007-03-02,10:00,,,9,26,,,,,
2007-03-02,11:00,,,15,33,,,,,
2007-03-02,12:00,,,17,36,,,,,
2007-03-02,13:00,,,13,34,,,,,
2007-03-02,14:00,,,15,35,,,,,
2007-03-02,15:00,,,13,33,,,,,
2007-03-02,16:00,,,15,36,,,,,
2007-03-02,17:00,,,10,34,,,,,
2007-03-02,18:00,,,11,41,,,,,
2007-03-02,19:00,,,9,41,,,,,
2007-03-02,20:00,,,6,35,,,,,
2007-03-02,21:00,,,6,33,,,,,
2007-03-02,22:00,,,5,34,,,,,
2007-03-02,23:00,,,7,39,,,,,
2007-03-03,,,,,,,20,,,
2007-03-03,00:00,,,13,45,,,,,
2007-03-03,01:00,,,8,38,,,,,
2007-03-03,02:00,,,13,37,,,,,
2007-03-03,03:00,,,4,36,,,,,
2007-03-03,04:00,,,4,29,,,,,
2007-03-03,05:00,,,14,35,,,,,
2007-03-03,06:00,,,10,31,,,,,
2007-03-03,07:00,,,11,31,,,,,
2007-03-03,08:00,,,16,34,,,,,
2007-03-03,09:00,,,25,44,,,,,
2007-03-03,10:00,,,39,49,,,,,
2007-03-03,11:00,,,44,57,,,,,
2007-03-03,12:00,,,30,45,,,,,
2007-03-03,13:00,,,45,52,,,,,
2007-03-03,14:00,,,42,53,,,,,
2007-03-03,15:00,,,90,80,,,,,
2007-03-03,16:00,,,114,90,,,,,
2007-03-03,17:00,,,84,84,,,,,
2007-03-03,18:00,,,50,68,,,,,
2007-03-03,19:00,,,60,65,,,,,
2007-03-03,20:00,,,38,44,,,,,
2007-03-03,21:00,,,47,46,,,,,
2007-03-03,22:00,,,24,34,,,,,
2007-03-03,23:00,,,27,38,,,,,
2007-03-04,,,,,,,32,,,
2007-03-04,00:00,,,22,35,,,,,
2007-03-04,01:00,,,13,28,,,,,
2007-03-04,02:00,,,15,29,,,,,
2007-03-04,03:00,,,5,22,,,,,
2007-03-04,04:00,,,3,20,,,,,
2007-03-04,05:00,,,5,20,,,,,
2007-03-04,06:00,,,1,18,,,,,
2007-03-04,07:00,,,3,26,,,,,
2007-03-04,08:00,,,10,31,,,,,
2007-03-04,09:00,,,22,43,,,,,
2007-03-04,10:00,,,22,41,,,,,
2007-03-04,11:00,,,28,42,,,,,
2007-03-04,12:00,,,25,37,,,,,
2007-03-04,13:00,,,33,39,,,,,
2007-03-04,14:00,,,19,34,,,,,
2007-03-04,15:00,,,15,34,,,,,
2007-03-04,16:00,,,19,38,,,,,
2007-03-04,17:00,,,31,54,,,,,
2007-03-04,18:00,,,32,61,,,,,
2007-03-04,19:00,,,42,74,,,,,
2007-03-04,20:00,,,51,74,,,,,
2007-03-04,21:00,,,59,80,,,,,
2007-03-04,22:00,,,36,55,,,,,
2007-03-04,23:00,,,35,55,,,,,
2007-03-05,,,,,,,24,,,
2007-03-05,00:00,,,15,43,,,,,
2007-03-05,01:00,,,16,37,,,,,
2007-03-05,02:00,,,2,36,,,,,
2007-03-05,03:00,,,6,37,,,,,
2007-03-05,04:00,,,13,42,,,,,
2007-03-05,05:00,,,27,46,,,,,
2007-03-05,06:00,,,23,47,,,,,
2007-03-05,07:00,,,56,67,,,,,
2007-03-05,08:00,,,82,89,,,,,
2007-03-05,09:00,,,48,69,,,,,
2007-03-05,10:00,,,26,51,,,,,
2007-03-05,11:00,,,12,34,,,,,
2007-03-05,12:00,,,34,51,,,,,
2007-03-05,13:00,,,72,69,,,,,
2007-03-05,15:00,,,26,48,,,,,
2007-03-05,16:00,,,55,72,,,,,
2007-03-05,17:00,,,31,62,,,,,
2007-03-05,18:00,,,19,53,,,,,
2007-03-05,19:00,,,32,63,,,,,
2007-03-05,20:00,,,18,55,,,,,
2007-03-05,21:00,,,6,33,,,,,
2007-03-05,22:00,,,6,30,,,,,
2007-03-05,23:00,,,8,39,,,,,
2007-03-06,,,,,,,24,,,
2007-03-06,00:00,,,8,30,,,,,
2007-03-06,01:00,,,8,37,,,,,
2007-03-06,02:00,,,2,30,,,,,
