Datum,Zeit,BEN,CO,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,mg/m3,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2007-06-01,01:00,,,,,28,,,,
2007-06-01,02:00,,,,,21,,,,
2007-06-01,03:00,,,,,10,,,,
2007-06-01,04:00,,,,,8,,,,
2007-06-01,05:00,,,,,5,,,,
2007-06-01,06:00,,,,,8,,,,
2007-06-01,07:00,,,,,20,,,,
2007-06-01,08:00,,,,,24,,,,
2007-06-01,09:00,,,,,59,,,,
2007-06-01,10:00,,,,,66,,,,
2007-06-01,11:00,,,,,75,,,,
2007-06-01,12:00,,,,,90,,,,
2007-06-01,13:00,,,,,95,,,,
2007-06-01,14:00,,,,,102,,,,
2007-06-01,15:00,,,,,110,,,,
2007-06-01,16:00,,,,,114,,,,
2007-06-01,17:00,,,,,116,,,,
2007-06-01,18:00,,,,,111,,,,
2007-06-01,19:00,,,,,112,,,,
2007-06-01,20:00,,,,,102,,,,
2007-06-01,21:00,,,,,93,,,,
2007-06-01,22:00,,,,,83,,,,
2007-06-01,23:00,,,,,76,,,,
2007-06-02,00:00,,,,,71,,,,
2007-06-02,01:00,,,,,66,,,,
2007-06-02,02:00,,,,,61,,,,
2007-06-02,03:00,,,,,58,,,,
2007-06-02,04:00,,,,,48,,,,
2007-06-02,05:00,,,,,41,,,,
2007-06-02,06:00,,,,,38,,,,
2007-06-02,07:00,,,,,40,,,,
2007-06-02,08:00,,,,,39,,,,
2007-06-02,09:00,,,,,34,,,,
2007-06-02,10:00,,,,,27,,,,
2007-06-02,11:00,,,,,29,,,,
2007-06-02,12:00,,,,,36,,,,
2007-06-02,13:00,,,,,42,,,,
2007-06-02,14:00,,,,,48,,,,
2007-06-02,15:00,,,,,56,,,,
2007-06-02,16:00,,,,,66,,,,
2007-06-02,17:00,,,,,70,,,,
2007-06-02,18:00,,,,,69,,,,
2007-06-02,19:00,,,,,75,,,,
2007-06-02,20:00,,,,,69,,,,
2007-06-02,21:00,,,,,60,,,,
2007-06-02,22:00,,,,,56,,,,
2007-06-02,23:00,,,,,46,,,,
2007-06-03,00:00,,,,,42,,,,
2007-06-03,01:00,,,,,42,,,,
2007-06-03,02:00,,,,,38,,,,
2007-06-03,03:00,,,,,40,,,,
2007-06-03,04:00,,,,,35,,,,
2007-06-03,05:00,,,,,29,,,,
2007-06-03,06:00,,,,,27,,,,
2007-06-03,07:00,,,,,32,,,,
2007-06-03,08:00,,,,,28,,,,
2007-06-03,09:00,,,,,41,,,,
2007-06-03,10:00,,,,,50,,,,
2007-06-03,11:00,,,,,56,,,,
2007-06-03,12:00,,,,,61,,,,
2007-06-03,13:00,,,,,60,,,,
2007-06-03,14:00,,,,,62,,,,
2007-06-03,15:00,,,,,61,,,,
2007-06-03,16:00,,,,,55,,,,
2007-06-03,17:00,,,,,52,,,,
2007-06-03,18:00,,,,,52,,,,
2007-06-03,19:00,,,,,50,,,,
2007-06-03,20:00,,,,,45,,,,
2007-06-03,21:00,,,,,41,,,,
2007-06-03,22:00,,,,,35,,,,
2007-06-03,23:00,,,,,35,,,,
2007-06-04,00:00,,,,,35,,,,
2007-06-04,01:00,,,,,34,,,,
2007-06-04,02:00,,,,,31,,,,
2007-06-04,03:00,,,,,27,,,,
2007-06-04,04:00,,,,,26,,,,
2007-06-04,05:00,,,,,20,,,,
2007-06-04,06:00,,,,,15,,,,
2007-06-04,07:00,,,,,16,,,,
