Datum,Zeit,BEN,CO,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,mg/m3,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2007-08-01,,,,,,,24,,11.70,
2007-08-01,01:00,,,9,29,,,,,
2007-08-01,02:00,,,13,22,,,,,
2007-08-01,03:00,,,21,27,,,,,
2007-08-01,04:00,,,37,35,,,,,
2007-08-01,05:00,,,114,49,,,,,
2007-08-01,06:00,,,174,72,,,,,
2007-08-01,07:00,,,196,90,,,,,
2007-08-01,08:00,,,106,71,,,,,
2007-08-01,09:00,,,105,72,,,,,
2007-08-01,10:00,,,95,64,,,,,
2007-08-01,11:00,,,66,55,,,,,
2007-08-01,12:00,,,58,60,,,,,
2007-08-01,13:00,,,42,44,,,,,
2007-08-01,14:00,,,86,73,,,,,
2007-08-01,15:00,,,62,65,,,,,
2007-08-01,16:00,,,51,60,,,,,
2007-08-01,17:00,,,61,61,,,,,
2007-08-01,18:00,,,56,70,,,,,
2007-08-01,19:00,,,37,57,,,,,
2007-08-01,20:00,,,21,45,,,,,
2007-08-01,21:00,,,35,62,,,,,
2007-08-01,22:00,,,46,73,,,,,
2007-08-01,23:00,,,33,60,,,,,
2007-08-02,,,,,,,28,,,
2007-08-02,00:00,,,13,38,,,,,
2007-08-02,01:00,,,8,28,,,,,
2007-08-02,02:00,,,6,27,,,,,
2007-08-02,03:00,,,10,36,,,,,
2007-08-02,04:00,,,31,44,,,,,
2007-08-02,05:00,,,68,75,,,,,
2007-08-02,06:00,,,123,97,,,,,
2007-08-02,07:00,,,153,113,,,,,
2007-08-02,08:00,,,118,102,,,,,
2007-08-02,09:00,,,140,108,,,,,
2007-08-02,10:00,,,104,96,,,,,
2007-08-02,11:00,,,92,102,,,,,
2007-08-02,12:00,,,81,107,,,,,
2007-08-02,13:00,,,78,94,,,,,
2007-08-02,14:00,,,104,127,,,,,
2007-08-02,15:00,,,98,122,,,,,
2007-08-02,16:00,,,87,111,,,,,
2007-08-02,17:00,,,88,111,,,,,
2007-08-02,18:00,,,67,108,,,,,
2007-08-02,19:00,,,35,56,,,,,
2007-08-02,20:00,,,41,74,,,,,
2007-08-02,21:00,,,26,58,,,,,
2007-08-02,22:00,,,15,30,,,,,
2007-08-02,23:00,,,4,15,,,,,
2007-08-03,,,,,,,37,,23.96,
2007-08-03,00:00,,,7,17,,,,,
2007-08-03,01:00,,,5,14,,,,,
2007-08-03,02:00,,,9,23,,,,,
2007-08-03,03:00,,,8,19,,,,,
2007-08-03,04:00,,,19,24,,,,,
2007-08-03,05:00,,,44,36,,,,,
2007-08-03,06:00,,,80,57,,,,,
2007-08-03,07:00,,,90,67,,,,,
2007-08-03,08:00,,,68,60,,,,,
2007-08-03,09:00,,,58,56,,,,,
2007-08-03,10:00,,,69,69,,,,,
2007-08-03,11:00,,,71,67,,,,,
2007-08-03,12:00,,,63,63,,,,,
2007-08-03,13:00,,,67,61,,,,,
2007-08-03,14:00,,,62,55,,,,,
2007-08-03,15:00,,,62,49,,,,,
2007-08-03,16:00,,,73,57,,,,,
2007-08-03,17:00,,,72,62,,,,,
2007-08-03,18:00,,,62,56,,,,,
2007-08-03,19:00,,,46,49,,,,,
2007-08-03,20:00,,,49,57,,,,,
2007-08-03,21:00,,,26,43,,,,,
2007-08-03,22:00,,,27,47,,,,,
2007-08-03,23:00,,,34,52,,,,,
2007-08-04,,,,,,,28,,,
2007-08-04,00:00,,,27,48,,,,,
2007-08-04,01:00,,,23,44,,,,,
2007-08-04,02:00,,,27,41,,,,,
2007-08-04,03:00,,,29,38,,,,,
2007-08-04,04:00,,,23,36,,,,,
2007-08-04,05:00,,,44,40,,,,,
2007-08-04,06:00,,,45,38,,,,,
2007-08-04,07:00,,,43,37,,,,,
2007-08-04,08:00,,,57,42,,,,,
2007-08-04,09:00,,,53,43,,,,,
2007-08-04,10:00,,,30,37,,,,,
2007-08-04,11:00,,,14,25,,,,,
2007-08-04,12:00,,,23,28,,,,,
2007-08-04,13:00,,,13,28,,,,,
2007-08-04,14:00,,,25,41,,,,,
2007-08-04,15:00,,,24,39,,,,,
2007-08-04,16:00,,,32,53,,,,,
2007-08-04,17:00,,,29,54,,,,,
2007-08-04,18:00,,,14,35,,,,,
2007-08-04,19:00,,,11,36,,,,,
2007-08-04,20:00,,,25,60,,,,,
2007-08-04,21:00,,,26,68,,,,,
2007-08-04,22:00,,,38,83,,,,,
2007-08-04,23:00,,,33,69,,,,,
2007-08-05,,,,,,,26,,18.11,
2007-08-05,00:00,,,35,63,,,,,
2007-08-05,01:00,,,34,54,,,,,
2007-08-05,02:00,,,21,43,,,,,
2007-08-05,03:00,,,17,32,,,,,
2007-08-05,04:00,,,22,36,,,,,
2007-08-05,05:00,,,14,36,,,,,
2007-08-05,06:00,,,14,34,,,,,
2007-08-05,07:00,,,17,29,,,,,
2007-08-05,08:00,,,32,38,,,,,
2007-08-05,09:00,,,22,37,,,,,
2007-08-05,10:00,,,17,31,,,,,
2007-08-05,11:00,,,5,15,,,,,
2007-08-05,12:00,,,3,12,,,,,
2007-08-05,13:00,,,8,18,,,,,
2007-08-05,14:00,,,8,19,,,,,
2007-08-05,15:00,,,14,35,,,,,
2007-08-05,16:00,,,6,30,,,,,
2007-08-05,17:00,,,10,39,,,,,
2007-08-05,18:00,,,11,44,,,,,
2007-08-05,19:00,,,20,66,,,,,
2007-08-05,20:00,,,10,37,,,,,
2007-08-05,21:00,,,17,52,,,,,
2007-08-05,22:00,,,36,79,,,,,
2007-08-05,23:00,,,13,53,,,,,
2007-08-06,,,,,,,31,,,
2007-08-06,00:00,,,9,42,,,,,
2007-08-06,01:00,,,9,35,,,,,
2007-08-06,02:00,,,5,31,,,,,
2007-08-06,03:00,,,34,54,,,,,
2007-08-06,04:00,,,48,58,,,,,
2007-08-06,05:00,,,114,79,,,,,
2007-08-06,06:00,,,188,99,,,,,
2007-08-06,07:00,,,138,95,,,,,
2007-08-06,08:00,,,107,88,,,,,
2007-08-06,09:00,,,99,90,,,,,
2007-08-06,10:00,,,72,83,,,,,
2007-08-06,11:00,,,70,76,,,,,
2007-08-06,12:00,,,47,65,,,,,
2007-08-06,13:00,,,62,82,,,,,
2007-08-06,14:00,,,37,62,,,,,
2007-08-06,15:00,,,25,48,,,,,
2007-08-06,16:00,,,20,44,,,,,
2007-08-06,17:00,,,24,57,,,,,
2007-08-06,18:00,,,33,75,,,,,
2007-08-06,19:00,,,11,57,,,,,
2007-08-06,20:00,,,14,67,,,,,
2007-08-06,21:00,,,8,51,,,,,
2007-08-06,22:00,,,7,32,,,,,
2007-08-06,23:00,,,8,52,,,,,
2007-08-07,,,,,,,38,,22.87,
2007-08-07,00:00,,,11,57,,,,,
2007-08-07,01:00,,,3,32,,,,,
2007-08-07,02:00,,,4,27,,,,,
2007-08-07,03:00,,,7,34,,,,,
2007-08-07,04:00,,,24,41,,,,,
2007-08-07,05:00,,,79,64,,,,,
2007-08-07,06:00,,,184,80,,,,,
2007-08-07,07:00,,,178,104,,,,,
2007-08-07,08:00,,,116,97,,,,,
2007-08-07,09:00,,,78,95,,,,,
2007-08-07,10:00,,,64,83,,,,,
2007-08-07,11:00,,,24,45,,,,,
2007-08-07,12:00,,,12,40,,,,,
2007-08-07,13:00,,,14,36,,,,,
2007-08-07,14:00,,,24,52,,,,,
2007-08-07,15:00,,,19,52,,,,,
2007-08-07,16:00,,,15,44,,,,,
2007-08-07,17:00,,,14,43,,,,,
2007-08-07,18:00,,,13,46,,,,,
2007-08-07,19:00,,,17,55,,,,,
2007-08-07,20:00,,,6,38,,,,,
2007-08-07,21:00,,,8,42,,,,,
2007-08-07,22:00,,,9,49,,,,,
2007-08-07,23:00,,,9,61,,,,,
2007-08-08,,,,,,,47,,,
2007-08-08,00:00,,,3,38,,,,,
2007-08-08,01:00,,,4,20,,,,,
2007-08-08,02:00,,,4,18,,,,,
2007-08-08,03:00,,,4,20,,,,,
2007-08-08,04:00,,,2,15,,,,,
2007-08-08,05:00,,,15,31,,,,,
2007-08-08,06:00,,,57,61,,,,,
2007-08-08,07:00,,,73,71,,,,,
