Datum,Zeit,BEN,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2008-06-01,,,,,,27,,,
2008-06-01,01:00,,4,21,,,,,
2008-06-01,02:00,,3,19,,,,,
2008-06-01,03:00,,2,17,,,,,
2008-06-01,04:00,,4,20,,,,,
2008-06-01,05:00,,2,20,,,,,
2008-06-01,06:00,,5,24,,,,,
2008-06-01,07:00,,5,20,,,,,
2008-06-01,08:00,,3,13,,,,,
2008-06-01,09:00,,6,16,,,,,
2008-06-01,10:00,,4,14,,,,,
2008-06-01,11:00,,4,15,,,,,
2008-06-01,12:00,,2,11,,,,,
2008-06-01,13:00,,3,13,,,,,
2008-06-01,14:00,,5,16,,,,,
2008-06-01,15:00,,4,17,,,,,
2008-06-01,16:00,,4,18,,,,,
2008-06-01,17:00,,5,20,,,,,
2008-06-01,18:00,,6,21,,,,,
2008-06-01,19:00,,3,16,,,,,
2008-06-01,20:00,,4,17,,,,,
2008-06-01,21:00,,1,20,,,,,
2008-06-01,22:00,,3,39,,,,,
2008-06-01,23:00,,2,37,,,,,
2008-06-02,,,,,,37,,,
2008-06-02,00:00,,2,39,,,,,
2008-06-02,01:00,,5,35,,,,,
2008-06-02,02:00,,5,32,,,,,
2008-06-02,03:00,,5,32,,,,,
2008-06-02,04:00,,12,34,,,,,
2008-06-02,05:00,,34,42,,,,,
2008-06-02,06:00,,48,44,,,,,
2008-06-02,07:00,,49,52,,,,,
2008-06-02,08:00,,49,64,,,,,
2008-06-02,09:00,,33,58,,,,,
2008-06-02,10:00,,30,49,,,,,
2008-06-02,11:00,,29,53,,,,,
2008-06-02,12:00,,15,43,,,,,
2008-06-02,13:00,,11,39,,,,,
2008-06-02,14:00,,9,36,,,,,
2008-06-02,15:00,,10,42,,,,,
2008-06-02,16:00,,9,35,,,,,
2008-06-02,17:00,,5,30,,,,,
2008-06-02,18:00,,4,29,,,,,
2008-06-02,19:00,,1,22,,,,,
2008-06-02,20:00,,5,36,,,,,
2008-06-02,21:00,,1,30,,,,,
2008-06-02,22:00,,3,37,,,,,
2008-06-02,23:00,,1,34,,,,,
2008-06-03,,,,,,25,,,
2008-06-03,00:00,,1,36,,,,,
2008-06-03,01:00,,2,36,,,,,
2008-06-03,02:00,,1,37,,,,,
2008-06-03,03:00,,2,36,,,,,
2008-06-03,04:00,,3,30,,,,,
2008-06-03,05:00,,20,58,,,,,
2008-06-03,06:00,,44,77,,,,,
2008-06-03,07:00,,37,59,,,,,
2008-06-03,08:00,,30,49,,,,,
2008-06-03,09:00,,32,57,,,,,
2008-06-03,10:00,,24,45,,,,,
2008-06-03,11:00,,26,42,,,,,
