Datum,Zeit,BEN,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2009-02-01,01:00,,1,11,52,,,,
2009-02-01,02:00,,1,10,53,,,,
2009-02-01,03:00,,1,9,51,,,,
2009-02-01,04:00,,1,13,46,,,,
2009-02-01,05:00,,1,12,46,,,,
2009-02-01,06:00,,1,13,42,,,,
2009-02-01,07:00,,7,25,31,,,,
2009-02-01,08:00,,3,27,28,,,,
2009-02-01,09:00,,4,25,31,,,,
2009-02-01,10:00,,6,22,34,,,,
2009-02-01,11:00,,6,19,37,,,,
2009-02-01,12:00,,7,21,34,,,,
2009-02-01,13:00,,5,19,36,,,,
2009-02-01,14:00,,4,16,45,,,,
2009-02-01,15:00,,9,20,47,,,,
2009-02-01,16:00,,9,23,49,,,,
2009-02-01,17:00,,7,23,52,,,,
2009-02-01,18:00,,6,23,51,,,,
2009-02-01,19:00,,7,23,44,,,,
2009-02-01,20:00,,5,20,46,,,,
2009-02-01,21:00,,3,14,55,,,,
2009-02-01,22:00,,2,12,58,,,,
2009-02-01,23:00,,3,13,59,,,,
2009-02-02,00:00,,2,11,60,,,,
2009-02-02,01:00,,1,8,62,,,,
2009-02-02,02:00,,1,8,61,,,,
2009-02-02,03:00,,1,9,56,,,,
2009-02-02,04:00,,2,10,55,,,,
2009-02-02,05:00,,5,17,49,,,,
2009-02-02,06:00,,8,24,41,,,,
2009-02-02,07:00,,18,29,37,,,,
2009-02-02,08:00,,25,32,33,,,,
2009-02-02,09:00,,19,26,37,,,,
2009-02-02,10:00,,23,28,36,,,,
2009-02-02,11:00,,22,27,39,,,,
2009-02-02,12:00,,26,31,35,,,,
2009-02-02,13:00,,26,30,35,,,,
2009-02-02,14:00,,18,27,36,,,,
2009-02-02,15:00,,20,28,35,,,,
2009-02-02,16:00,,19,31,32,,,,
2009-02-02,17:00,,19,32,31,,,,
2009-02-02,18:00,,13,26,35,,,,
2009-02-02,19:00,,10,25,36,,,,
2009-02-02,20:00,,6,21,42,,,,
2009-02-02,21:00,,4,21,42,,,,
2009-02-02,22:00,,8,23,42,,,,
2009-02-02,23:00,,3,19,47,,,,
2009-02-03,00:00,,2,16,49,,,,
2009-02-03,01:00,,1,24,39,,,,
2009-02-03,02:00,,1,21,43,,,,
2009-02-03,03:00,,1,26,38,,,,
2009-02-03,04:00,,1,25,37,,,,
2009-02-03,05:00,,1,26,38,,,,
2009-02-03,06:00,,9,23,42,,,,
2009-02-03,07:00,,19,28,39,,,,
2009-02-03,08:00,,29,35,35,,,,
2009-02-03,09:00,,30,37,33,,,,
2009-02-03,10:00,,28,34,33,,,,
2009-02-03,11:00,,32,36,32,,,,
2009-02-03,12:00,,33,41,27,,,,
2009-02-03,13:00,,34,45,23,,,,
2009-02-03,14:00,,45,49,21,,,,
2009-02-03,15:00,,45,48,22,,,,
2009-02-03,16:00,,39,43,24,,,,
2009-02-03,17:00,,38,47,21,,,,
2009-02-03,18:00,,44,55,14,,,,
2009-02-03,19:00,,40,60,7,,,,
2009-02-03,20:00,,22,44,14,,,,
2009-02-03,21:00,,26,57,3,,,,
2009-02-03,22:00,,40,62,3,,,,
2009-02-03,23:00,,38,59,3,,,,
2009-02-04,00:00,,8,37,9,,,,
2009-02-04,01:00,,2,28,15,,,,
2009-02-04,02:00,,1,21,20,,,,
2009-02-04,03:00,,1,20,21,,,,
2009-02-04,04:00,,1,21,18,,,,
2009-02-04,05:00,,8,33,9,,,,
2009-02-04,06:00,,42,47,7,,,,
2009-02-04,07:00,,75,62,3,,,,
2009-02-04,08:00,,92,69,3,,,,
2009-02-04,09:00,,93,68,5,,,,
2009-02-04,10:00,,74,58,9,,,,
2009-02-04,11:00,,60,53,14,,,,
2009-02-04,12:00,,56,54,23,,,,
2009-02-04,13:00,,30,38,34,,,,
2009-02-04,14:00,,24,38,39,,,,
2009-02-04,15:00,,27,42,40,,,,
2009-02-04,16:00,,43,58,31,,,,
2009-02-04,17:00,,101,99,10,,,,
2009-02-04,18:00,,85,98,3,,,,
2009-02-04,19:00,,84,84,4,,,,
2009-02-04,20:00,,55,69,4,,,,
2009-02-04,21:00,,47,62,4,,,,
2009-02-04,22:00,,28,54,4,,,,
2009-02-04,23:00,,21,51,3,,,,
2009-02-05,00:00,,11,43,4,,,,
2009-02-05,01:00,,3,34,7,,,,
2009-02-05,02:00,,1,28,13,,,,
2009-02-05,03:00,,1,23,19,,,,
2009-02-05,04:00,,2,23,23,,,,
2009-02-05,05:00,,13,43,19,,,,
2009-02-05,06:00,,27,52,14,,,,
2009-02-05,07:00,,80,79,4,,,,
2009-02-05,08:00,,98,88,3,,,,
2009-02-05,09:00,,95,86,6,,,,
2009-02-05,10:00,,70,76,13,,,,
2009-02-05,11:00,,85,83,15,,,,
2009-02-05,12:00,,61,70,27,,,,
2009-02-05,13:00,,41,53,35,,,,
2009-02-05,14:00,,47,60,30,,,,
2009-02-05,15:00,,52,68,36,,,,
2009-02-05,16:00,,43,62,36,,,,
2009-02-05,17:00,,71,86,20,,,,
2009-02-05,18:00,,83,100,10,,,,
2009-02-05,19:00,,80,97,5,,,,
2009-02-05,20:00,,61,91,5,,,,
2009-02-05,21:00,,43,85,5,,,,
2009-02-05,22:00,,15,57,16,,,,
2009-02-05,23:00,,22,62,14,,,,
2009-02-06,00:00,,29,64,2,,,,
2009-02-06,01:00,,4,46,10,,,,
2009-02-06,02:00,,1,36,18,,,,
2009-02-06,03:00,,1,24,33,,,,
2009-02-06,04:00,,1,27,27,,,,
2009-02-06,05:00,,19,49,12,,,,
2009-02-06,06:00,,53,67,2,,,,
2009-02-06,07:00,,146,99,2,,,,
2009-02-06,08:00,,175,109,3,,,,
2009-02-06,09:00,,126,95,3,,,,
2009-02-06,10:00,,129,87,6,,,,
2009-02-06,11:00,,138,84,12,,,,
2009-02-06,12:00,,163,90,14,,,,
2009-02-06,13:00,,56,46,18,,,,
2009-02-06,14:00,,35,41,22,,,,
2009-02-06,15:00,,36,43,24,,,,
2009-02-06,16:00,,41,48,14,,,,
2009-02-06,17:00,,49,60,7,,,,
2009-02-06,18:00,,66,70,3,,,,
2009-02-06,19:00,,77,77,4,,,,
2009-02-06,20:00,,43,58,5,,,,
2009-02-06,21:00,,17,40,16,,,,
2009-02-06,22:00,,12,43,13,,,,
2009-02-06,23:00,,24,58,3,,,,
2009-02-07,00:00,,22,58,2,,,,
2009-02-07,01:00,,13,54,2,,,,
2009-02-07,02:00,,7,51,2,,,,
2009-02-07,03:00,,5,50,4,,,,
2009-02-07,04:00,,8,54,4,,,,
2009-02-07,05:00,,16,59,2,,,,
2009-02-07,06:00,,22,61,2,,,,
2009-02-07,07:00,,31,57,4,,,,
2009-02-07,08:00,,21,53,5,,,,
2009-02-07,09:00,,80,72,4,,,,
2009-02-07,10:00,,67,65,8,,,,
2009-02-07,11:00,,43,57,15,,,,
2009-02-07,12:00,,41,52,17,,,,
2009-02-07,13:00,,30,43,24,,,,
2009-02-07,14:00,,30,48,21,,,,
2009-02-07,15:00,,30,49,22,,,,
2009-02-07,16:00,,55,66,13,,,,
2009-02-07,17:00,,110,91,3,,,,
2009-02-07,18:00,,112,90,3,,,,
2009-02-07,19:00,,73,77,4,,,,
2009-02-07,20:00,,60,70,2,,,,
2009-02-07,21:00,,42,61,3,,,,
2009-02-07,22:00,,38,56,2,,,,
2009-02-07,23:00,,12,39,10,,,,
2009-02-08,00:00,,7,31,16,,,,
2009-02-08,01:00,,1,27,14,,,,
2009-02-08,02:00,,2,25,14,,,,
2009-02-08,03:00,,2,25,16,,,,
2009-02-08,04:00,,2,23,18,,,,
2009-02-08,05:00,,1,21,18,,,,
2009-02-08,06:00,,1,27,11,,,,
2009-02-08,07:00,,2,28,13,,,,
2009-02-08,08:00,,1,22,18,,,,
2009-02-08,09:00,,1,14,38,,,,
2009-02-08,10:00,,2,15,48,,,,
2009-02-08,11:00,,1,10,50,,,,
2009-02-08,12:00,,1,8,65,,,,
2009-02-08,13:00,,1,9,66,,,,
2009-02-08,14:00,,2,10,67,,,,
2009-02-08,15:00,,2,10,70,,,,
2009-02-08,16:00,,2,11,69,,,,
2009-02-08,17:00,,1,10,71,,,,
2009-02-08,18:00,,3,15,66,,,,
2009-02-08,19:00,,5,20,59,,,,
2009-02-08,20:00,,5,23,55,,,,
2009-02-08,21:00,,3,20,54,,,,
2009-02-08,22:00,,1,16,59,,,,
2009-02-08,23:00,,1,13,58,,,,
2009-02-09,00:00,,6,23,42,,,,
2009-02-09,01:00,,1,24,34,,,,
2009-02-09,02:00,,1,15,42,,,,
2009-02-09,03:00,,2,20,37,,,,
2009-02-09,04:00,,3,29,27,,,,
2009-02-09,05:00,,11,41,18,,,,
2009-02-09,06:00,,21,41,26,,,,
2009-02-09,07:00,,71,69,11,,,,
2009-02-09,08:00,,73,81,6,,,,
2009-02-09,09:00,,70,78,10,,,,
2009-02-09,10:00,,29,34,38,,,,
2009-02-09,11:00,,20,22,52,,,,
2009-02-09,12:00,,19,20,56,,,,
2009-02-09,13:00,,13,15,70,,,,
2009-02-09,14:00,,16,19,62,,,,
2009-02-09,15:00,,18,24,59,,,,
2009-02-09,16:00,,23,32,53,,,,
2009-02-09,17:00,,29,43,42,,,,
2009-02-09,18:00,,28,47,38,,,,
2009-02-09,19:00,,24,44,35,,,,
2009-02-09,20:00,,18,36,38,,,,
2009-02-09,21:00,,8,33,36,,,,
2009-02-09,22:00,,10,37,29,,,,
2009-02-09,23:00,,3,42,19,,,,
2009-02-10,00:00,,8,38,21,,,,
2009-02-10,01:00,,1,11,55,,,,
2009-02-10,02:00,,1,10,61,,,,
2009-02-10,03:00,,1,11,57,,,,
2009-02-10,04:00,,1,11,51,,,,
2009-02-10,05:00,,3,10,64,,,,
2009-02-10,06:00,,13,19,56,,,,
2009-02-10,07:00,,24,28,48,,,,
2009-02-10,08:00,,26,33,42,,,,
2009-02-10,09:00,,25,31,43,,,,
2009-02-10,10:00,,23,26,49,,,,
2009-02-10,11:00,,27,27,46,,,,
2009-02-10,12:00,,28,29,46,,,,
2009-02-10,13:00,,19,27,53,,,,
2009-02-10,14:00,,17,23,56,,,,
2009-02-10,15:00,,17,20,52,,,,
2009-02-10,16:00,,10,18,44,,,,
2009-02-10,17:00,,12,20,40,,,,
2009-02-10,18:00,,7,19,39,,,,
2009-02-10,19:00,,6,19,38,,,,
2009-02-10,20:00,,4,17,38,,,,
2009-02-10,21:00,,2,17,33,,,,
2009-02-10,22:00,,1,18,30,,,,
2009-02-10,23:00,,1,21,23,,,,
2009-02-11,00:00,,1,20,20,,,,
2009-02-11,01:00,,1,16,26,,,,
2009-02-11,02:00,,,,34,,,,
2009-02-11,03:00,,,,40,,,,
2009-02-11,04:00,,,,46,,,,
2009-02-11,05:00,,,,46,,,,
2009-02-11,06:00,,,,47,,,,
2009-02-11,07:00,,,,51,,,,
2009-02-11,08:00,,,,55,,,,
2009-02-11,09:00,,,,56,,,,
2009-02-11,10:00,,,,59,,,,
2009-02-11,11:00,,,,65,,,,
2009-02-11,12:00,,,,64,,,,
2009-02-11,13:00,,,,60,,,,
2009-02-11,14:00,,,,61,,,,
2009-02-11,15:00,,9,17,61,,,,
2009-02-11,16:00,,3,11,62,,,,
2009-02-11,17:00,,6,13,61,,,,
2009-02-11,18:00,,8,18,61,,,,
2009-02-11,19:00,,4,17,65,,,,
2009-02-11,20:00,,3,15,67,,,,
2009-02-11,21:00,,6,16,66,,,,
2009-02-11,22:00,,1,11,66,,,,
2009-02-11,23:00,,1,12,66,,,,
2009-02-12,00:00,,1,14,60,,,,
2009-02-12,01:00,,1,13,57,,,,
2009-02-12,02:00,,1,13,56,,,,
2009-02-12,03:00,,1,13,55,,,,
2009-02-12,04:00,,2,12,63,,,,
2009-02-12,05:00,,2,18,61,,,,
2009-02-12,06:00,,5,16,54,,,,
2009-02-12,07:00,,5,15,59,,,,
2009-02-12,08:00,,7,16,61,,,,
2009-02-12,09:00,,6,18,59,,,,
2009-02-12,10:00,,13,22,55,,,,
2009-02-12,11:00,,8,17,60,,,,
2009-02-12,12:00,,10,15,66,,,,
2009-02-12,13:00,,8,14,64,,,,
2009-02-12,14:00,,7,16,66,,,,
2009-02-12,15:00,,7,15,67,,,,
2009-02-12,16:00,,6,15,70,,,,
2009-02-12,17:00,,10,21,66,,,,
2009-02-12,18:00,,11,30,57,,,,
2009-02-12,19:00,,9,32,50,,,,
2009-02-12,20:00,,3,21,59,,,,
2009-02-12,21:00,,3,20,59,,,,
2009-02-12,22:00,,1,13,67,,,,
2009-02-12,23:00,,2,13,68,,,,
2009-02-13,00:00,,1,12,66,,,,
2009-02-13,01:00,,1,12,65,,,,
2009-02-13,02:00,,1,10,65,,,,
