Datum,Zeit,BEN,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2009-02-01,,,,,,24,,,
2009-02-01,01:00,,11,18,,,,,
2009-02-01,02:00,,7,18,,,,,
2009-02-01,03:00,,6,13,,,,,
2009-02-01,04:00,,2,12,,,,,
2009-02-01,05:00,,2,12,,,,,
2009-02-01,06:00,,4,13,,,,,
2009-02-01,07:00,,6,15,,,,,
2009-02-01,08:00,,12,18,,,,,
2009-02-01,09:00,,14,20,,,,,
2009-02-01,10:00,,21,23,,,,,
2009-02-01,11:00,,38,29,,,,,
2009-02-01,12:00,,32,28,,,,,
2009-02-01,13:00,,27,25,,,,,
2009-02-01,14:00,,22,20,,,,,
2009-02-01,15:00,,21,23,,,,,
2009-02-01,16:00,,16,25,,,,,
2009-02-01,17:00,,23,33,,,,,
2009-02-01,18:00,,31,34,,,,,
2009-02-01,19:00,,25,29,,,,,
2009-02-01,20:00,,28,32,,,,,
2009-02-01,21:00,,17,27,,,,,
2009-02-01,22:00,,4,13,,,,,
2009-02-01,23:00,,4,13,,,,,
2009-02-02,,,,,,37,,,
2009-02-02,00:00,,8,15,,,,,
2009-02-02,01:00,,6,14,,,,,
2009-02-02,02:00,,19,29,,,,,
2009-02-02,03:00,,24,36,,,,,
2009-02-02,04:00,,31,27,,,,,
2009-02-02,05:00,,51,47,,,,,
2009-02-02,06:00,,77,58,,,,,
2009-02-02,07:00,,117,60,,,,,
2009-02-02,08:00,,184,68,,,,,
2009-02-02,09:00,,218,74,,,,,
2009-02-02,10:00,,189,68,,,,,
2009-02-02,11:00,,156,72,,,,,
2009-02-02,12:00,,128,59,,,,,
2009-02-02,13:00,,40,27,,,,,
2009-02-02,14:00,,43,33,,,,,
2009-02-02,15:00,,39,30,,,,,
2009-02-02,16:00,,51,37,,,,,
2009-02-02,17:00,,95,56,,,,,
2009-02-02,18:00,,49,39,,,,,
2009-02-02,19:00,,17,24,,,,,
2009-02-02,20:00,,15,21,,,,,
2009-02-02,21:00,,17,27,,,,,
2009-02-02,22:00,,22,30,,,,,
2009-02-02,23:00,,21,31,,,,,
2009-02-03,,,,,,37,,,
2009-02-03,00:00,,7,19,,,,,
2009-02-03,01:00,,2,12,,,,,
2009-02-03,02:00,,2,18,,,,,
2009-02-03,03:00,,6,31,,,,,
2009-02-03,04:00,,54,39,,,,,
2009-02-03,05:00,,45,39,,,,,
2009-02-03,06:00,,73,42,,,,,
2009-02-03,07:00,,53,40,,,,,
2009-02-03,08:00,,155,55,,,,,
2009-02-03,09:00,,135,52,,,,,
2009-02-03,10:00,,30,31,,,,,
2009-02-03,11:00,,29,30,,,,,
2009-02-03,12:00,,45,34,,,,,
2009-02-03,13:00,,38,30,,,,,
2009-02-03,14:00,,49,34,,,,,
2009-02-03,15:00,,35,30,,,,,
2009-02-03,16:00,,43,37,,,,,
2009-02-03,17:00,,54,45,,,,,
2009-02-03,18:00,,71,56,,,,,
2009-02-03,19:00,,186,74,,,,,
2009-02-03,20:00,,80,54,,,,,
2009-02-03,21:00,,38,44,,,,,
2009-02-03,22:00,,10,26,,,,,
2009-02-03,23:00,,10,23,,,,,
2009-02-04,,,,,,33,,,
2009-02-04,00:00,,1,14,,,,,
2009-02-04,01:00,,1,14,,,,,
2009-02-04,02:00,,1,13,,,,,
2009-02-04,03:00,,3,12,,,,,
2009-02-04,04:00,,2,13,,,,,
2009-02-04,05:00,,9,20,,,,,
2009-02-04,06:00,,3,17,,,,,
2009-02-04,07:00,,6,19,,,,,
2009-02-04,08:00,,26,28,,,,,
2009-02-04,09:00,,12,24,,,,,
2009-02-04,10:00,,14,21,,,,,
2009-02-04,11:00,,39,27,,,,,
2009-02-04,12:00,,49,29,,,,,
2009-02-04,13:00,,51,29,,,,,
2009-02-04,14:00,,44,29,,,,,
2009-02-04,15:00,,46,31,,,,,
2009-02-04,16:00,,56,37,,,,,
2009-02-04,17:00,,62,50,,,,,
2009-02-04,18:00,,48,44,,,,,
2009-02-04,19:00,,31,47,,,,,
2009-02-04,20:00,,28,47,,,,,
2009-02-04,21:00,,30,52,,,,,
2009-02-04,22:00,,33,51,,,,,
2009-02-04,23:00,,24,50,,,,,
2009-02-05,,,,,,31,,,
2009-02-05,00:00,,23,49,,,,,
2009-02-05,01:00,,19,46,,,,,
2009-02-05,02:00,,5,36,,,,,
2009-02-05,03:00,,1,27,,,,,
2009-02-05,04:00,,8,24,,,,,
2009-02-05,05:00,,11,23,,,,,
2009-02-05,06:00,,16,26,,,,,
2009-02-05,07:00,,19,28,,,,,
2009-02-05,08:00,,36,32,,,,,
2009-02-05,09:00,,35,30,,,,,
2009-02-05,10:00,,19,21,,,,,
2009-02-05,11:00,,35,25,,,,,
2009-02-05,12:00,,42,35,,,,,
2009-02-05,13:00,,36,44,,,,,
2009-02-05,14:00,,47,49,,,,,
2009-02-05,15:00,,65,57,,,,,
2009-02-05,16:00,,27,48,,,,,
2009-02-05,17:00,,31,44,,,,,
2009-02-05,18:00,,38,49,,,,,
2009-02-05,19:00,,36,50,,,,,
2009-02-05,20:00,,17,40,,,,,
2009-02-05,21:00,,21,44,,,,,
2009-02-05,22:00,,5,38,,,,,
2009-02-05,23:00,,14,43,,,,,
2009-02-06,,,,,,29,,,
2009-02-06,00:00,,11,47,,,,,
2009-02-06,01:00,,16,46,,,,,
2009-02-06,02:00,,9,44,,,,,
2009-02-06,03:00,,1,38,,,,,
2009-02-06,04:00,,4,32,,,,,
2009-02-06,05:00,,15,41,,,,,
2009-02-06,06:00,,42,44,,,,,
2009-02-06,07:00,,43,46,,,,,
2009-02-06,08:00,,46,48,,,,,
2009-02-06,09:00,,72,46,,,,,
2009-02-06,10:00,,74,43,,,,,
2009-02-06,11:00,,51,37,,,,,
2009-02-06,12:00,,71,42,,,,,
2009-02-06,13:00,,69,40,,,,,
2009-02-06,14:00,,64,43,,,,,
2009-02-06,15:00,,68,45,,,,,
2009-02-06,16:00,,55,46,,,,,
2009-02-06,17:00,,36,45,,,,,
2009-02-06,18:00,,21,45,,,,,
2009-02-06,19:00,,23,47,,,,,
2009-02-06,20:00,,16,43,,,,,
2009-02-06,21:00,,21,48,,,,,
2009-02-06,22:00,,17,44,,,,,
2009-02-06,23:00,,8,36,,,,,
2009-02-07,,,,,,31,,,
2009-02-07,00:00,,10,40,,,,,
2009-02-07,01:00,,2,38,,,,,
2009-02-07,02:00,,3,37,,,,,
2009-02-07,03:00,,4,30,,,,,
2009-02-07,04:00,,1,23,,,,,
2009-02-07,05:00,,1,34,,,,,
2009-02-07,06:00,,8,27,,,,,
2009-02-07,07:00,,46,40,,,,,
2009-02-07,08:00,,92,37,,,,,
2009-02-07,09:00,,83,41,,,,,
2009-02-07,10:00,,37,31,,,,,
2009-02-07,11:00,,31,29,,,,,
2009-02-07,12:00,,39,31,,,,,
2009-02-07,13:00,,32,34,,,,,
2009-02-07,14:00,,24,33,,,,,
2009-02-07,15:00,,41,43,,,,,
2009-02-07,16:00,,42,48,,,,,
2009-02-07,17:00,,29,44,,,,,
2009-02-07,18:00,,30,42,,,,,
2009-02-07,19:00,,108,58,,,,,
2009-02-07,20:00,,59,43,,,,,
2009-02-07,21:00,,38,40,,,,,
2009-02-07,22:00,,10,31,,,,,
2009-02-07,23:00,,18,32,,,,,
2009-02-08,,,,,,16,,,
2009-02-08,00:00,,23,33,,,,,
2009-02-08,01:00,,24,31,,,,,
2009-02-08,02:00,,4,26,,,,,
2009-02-08,03:00,,1,25,,,,,
2009-02-08,04:00,,1,32,,,,,
2009-02-08,05:00,,1,38,,,,,
2009-02-08,06:00,,2,39,,,,,
2009-02-08,07:00,,1,34,,,,,
2009-02-08,08:00,,1,20,,,,,
2009-02-08,09:00,,1,12,,,,,
2009-02-08,10:00,,5,11,,,,,
2009-02-08,11:00,,5,11,,,,,
2009-02-08,12:00,,2,8,,,,,
2009-02-08,13:00,,3,7,,,,,
2009-02-08,14:00,,2,7,,,,,
2009-02-08,15:00,,6,10,,,,,
2009-02-08,16:00,,8,11,,,,,
