Datum,Zeit,BEN,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2009-05-01,,,,,,41,3.67,,
2009-05-01,01:00,2.6,24,48,,,,,1.0
2009-05-01,02:00,2.1,15,43,,,,,1.0
2009-05-01,03:00,2.0,30,48,,,,,1.0
2009-05-01,04:00,1.8,19,44,,,,,1.0
2009-05-01,05:00,1.5,19,37,,,,,1.0
2009-05-01,06:00,1.2,11,29,,,,,1.0
2009-05-01,07:00,1.1,14,25,,,,,1.0
2009-05-01,08:00,0.8,21,32,,,,,1.0
2009-05-01,09:00,1.0,21,27,,,,,1.0
2009-05-01,10:00,1.2,23,25,,,,,1.0
2009-05-01,11:00,1.3,35,33,,,,,1.0
2009-05-01,12:00,1.0,26,26,,,,,1.0
2009-05-01,13:00,1.5,35,34,,,,,1.0
2009-05-01,14:00,2.0,35,38,,,,,1.0
2009-05-01,15:00,2.2,36,42,,,,,1.5
2009-05-01,16:00,1.7,33,39,,,,,2.2
2009-05-01,17:00,1.5,24,37,,,,,2.5
2009-05-01,18:00,1.1,21,42,,,,,1.0
2009-05-01,19:00,1.3,19,40,,,,,1.0
2009-05-01,20:00,1.2,14,43,,,,,1.0
2009-05-01,21:00,1.6,20,41,,,,,1.0
2009-05-01,22:00,2.0,18,49,,,,,1.1
2009-05-01,23:00,2.4,31,62,,,,,1.2
2009-05-02,,,,,,30,,18.95,
2009-05-02,00:00,1.4,11,33,,,,,1.0
2009-05-02,01:00,0.8,12,33,,,,,1.0
2009-05-02,02:00,0.9,15,30,,,,,1.0
2009-05-02,03:00,0.6,22,35,,,,,1.0
2009-05-02,04:00,1.2,32,51,,,,,1.0
2009-05-02,05:00,0.9,16,32,,,,,1.0
2009-05-02,06:00,1.7,,,,,,,
2009-05-02,07:00,1.0,,,,,,,
2009-05-02,08:00,0.9,,,,,,,
2009-05-02,09:00,0.9,,,,,,,
2009-05-02,10:00,1.4,49,43,,,,,4.8
2009-05-02,11:00,1.0,45,43,,,,,3.4
2009-05-02,12:00,1.2,34,38,,,,,1.3
2009-05-02,13:00,1.4,40,43,,,,,1.0
2009-05-02,14:00,1.3,39,41,,,,,1.0
2009-05-02,15:00,1.8,33,42,,,,,1.2
2009-05-02,16:00,1.1,35,44,,,,,1.8
2009-05-02,17:00,1.4,35,47,,,,,1.6
2009-05-02,18:00,1.9,33,53,,,,,1.0
2009-05-02,19:00,1.1,34,58,,,,,1.0
2009-05-02,20:00,2.2,15,47,,,,,1.0
2009-05-02,21:00,2.2,21,60,,,,,1.0
2009-05-02,23:00,3.5,22,78,,,,,1.0
2009-05-03,,,,,,34,,,
2009-05-03,00:00,3.0,31,83,,,,,1.0
2009-05-03,01:00,3.6,46,89,,,,,1.0
2009-05-03,02:00,3.1,37,66,,,,,1.0
2009-05-03,03:00,2.3,24,45,,,,,1.0
2009-05-03,04:00,1.8,18,39,,,,,1.0
2009-05-03,05:00,,18,36,,,,,1.0
2009-05-03,06:00,,14,27,,,,,1.0
2009-05-03,07:00,,6,16,,,,,1.0
2009-05-03,08:00,,16,19,,,,,1.0
2009-05-03,09:00,1.3,25,24,,,,,1.0
2009-05-03,10:00,0.9,21,26,,,,,1.0
2009-05-03,11:00,1.2,29,40,,,,,2.0
2009-05-03,12:00,1.2,13,22,,,,,3.5
2009-05-03,13:00,1.0,16,24,,,,,1.3
2009-05-03,14:00,1.1,24,31,,,,,1.0
2009-05-03,15:00,1.1,25,31,,,,,1.0
2009-05-03,16:00,2.0,18,32,,,,,1.0
2009-05-03,17:00,1.1,21,37,,,,,5.7
2009-05-03,18:00,5.8,30,54,,,,,6.9
2009-05-03,19:00,1.6,17,44,,,,,2.2
2009-05-03,20:00,1.1,16,31,,,,,1.0
2009-05-03,21:00,0.8,15,27,,,,,1.0
2009-05-03,22:00,0.9,14,24,,,,,1.0
2009-05-03,23:00,0.9,15,21,,,,,1.0
2009-05-04,,,,,,21,,9.49,
2009-05-04,00:00,0.7,3,14,,,,,1.0
2009-05-04,01:00,0.6,3,14,,,,,1.0
2009-05-04,02:00,0.4,2,15,,,,,1.2
2009-05-04,03:00,0.4,9,16,,,,,1.0
2009-05-04,04:00,0.3,11,18,,,,,1.0
2009-05-04,05:00,0.5,13,24,,,,,1.0
2009-05-04,06:00,1.0,29,40,,,,,1.0
2009-05-04,07:00,1.6,69,58,,,,,1.0
2009-05-04,08:00,1.4,48,44,,,,,1.0
2009-05-04,09:00,1.1,54,46,,,,,1.0
2009-05-04,10:00,1.6,52,49,,,,,1.0
2009-05-04,11:00,1.6,47,46,,,,,1.0
2009-05-04,12:00,1.2,57,44,,,,,1.0
2009-05-04,13:00,1.2,45,41,,,,,1.0
2009-05-04,14:00,1.9,44,39,,,,,1.1
2009-05-04,15:00,1.5,46,46,,,,,2.0
2009-05-04,16:00,1.6,48,44,,,,,1.6
2009-05-04,17:00,2.1,44,47,,,,,1.3
2009-05-04,18:00,1.9,42,49,,,,,1.0
2009-05-04,19:00,1.3,38,47,,,,,1.0
2009-05-04,20:00,2.0,40,56,,,,,1.0
2009-05-04,21:00,1.6,22,45,,,,,1.0
2009-05-04,22:00,2.1,32,54,,,,,1.1
2009-05-04,23:00,2.2,21,51,,,,,1.0
2009-05-05,,,,,,17,,,
2009-05-05,00:00,3.0,12,43,,,,,1.0
2009-05-05,01:00,0.9,9,26,,,,,1.0
2009-05-05,02:00,1.2,4,20,,,,,1.0
2009-05-05,03:00,0.6,9,22,,,,,1.0
2009-05-05,04:00,0.7,7,21,,,,,1.0
2009-05-05,05:00,0.5,15,25,,,,,1.0
2009-05-05,06:00,0.7,23,31,,,,,1.0
2009-05-05,07:00,1.3,67,55,,,,,1.0
2009-05-05,08:00,1.8,60,50,,,,,1.0
2009-05-05,09:00,1.6,61,50,,,,,1.0
2009-05-05,10:00,1.2,70,47,,,,,1.4
2009-05-05,11:00,0.9,41,38,,,,,
2009-05-05,12:00,1.2,41,39,,,,,
2009-05-05,13:00,1.0,37,37,,,,,
2009-05-05,14:00,1.3,40,,,,,,1.0
2009-05-05,15:00,1.7,38,,,,,,1.4
2009-05-05,16:00,1.6,,,,,,,
2009-05-05,17:00,2.2,,,,,,,
2009-05-05,18:00,2.1,,,,,,,
2009-05-05,19:00,1.5,,,,,,,
2009-05-05,20:00,1.1,,,,,,,
2009-05-05,21:00,1.0,,,,,,,
2009-05-05,22:00,1.3,,,,,,,
2009-05-05,23:00,1.2,19,30,,,,,1.0
2009-05-06,,,,,,12,,,
2009-05-06,00:00,2.0,9,22,,,,,1.0
2009-05-06,01:00,0.6,7,19,,,,,1.0
2009-05-06,02:00,,4,16,,,,,1.0
2009-05-06,03:00,,5,15,,,,,1.0
2009-05-06,04:00,,4,14,,,,,1.0
2009-05-06,05:00,,28,22,,,,,1.0
2009-05-06,06:00,0.9,37,28,,,,,1.0
2009-05-06,07:00,1.4,51,41,,,,,1.0
2009-05-06,08:00,1.4,51,39,,,,,1.0
2009-05-06,09:00,1.2,39,42,,,,,1.0
2009-05-06,10:00,0.8,35,33,,,,,3.7
2009-05-06,11:00,1.4,39,32,,,,,7.7
2009-05-06,12:00,0.9,28,27,,,,,1.3
2009-05-06,13:00,1.1,29,29,,,,,3.0
2009-05-06,14:00,0.6,24,24,,,,,3.1
2009-05-06,15:00,0.8,25,26,,,,,2.5
2009-05-06,16:00,1.2,37,35,,,,,1.0
2009-05-06,17:00,1.6,30,32,,,,,1.0
2009-05-06,18:00,2.2,27,33,,,,,1.0
2009-05-06,19:00,1.9,21,30,,,,,1.0
2009-05-06,20:00,0.8,11,25,,,,,1.0
2009-05-06,21:00,0.7,9,23,,,,,1.0
2009-05-06,22:00,0.9,15,28,,,,,1.0
2009-05-06,23:00,0.8,11,20,,,,,1.0
2009-05-07,,,,,,26,,,
2009-05-07,00:00,0.7,6,20,,,,,4.2
2009-05-07,01:00,0.5,6,19,,,,,5.2
2009-05-07,02:00,0.5,7,18,,,,,5.2
2009-05-07,03:00,0.5,2,19,,,,,5.3
2009-05-07,04:00,0.5,7,21,,,,,5.0
