Datum,Zeit,BEN,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2009-11-01,,,,,,52,,,
2009-11-01,01:00,,1,20,22,,,,
2009-11-01,02:00,,1,26,14,,,,
2009-11-01,03:00,,1,31,11,,,,
2009-11-01,04:00,,1,31,11,,,,
2009-11-01,05:00,,1,40,5,,,,
2009-11-01,06:00,,1,33,11,,,,
2009-11-01,07:00,,1,21,22,,,,
2009-11-01,08:00,,2,19,23,,,,
2009-11-01,09:00,,5,18,26,,,,
2009-11-01,10:00,,3,10,35,,,,
2009-11-01,11:00,,2,7,40,,,,
2009-11-01,12:00,,2,8,38,,,,
2009-11-01,13:00,,2,9,37,,,,
2009-11-01,14:00,,2,8,40,,,,
2009-11-01,15:00,,2,9,40,,,,
2009-11-01,16:00,,1,12,37,,,,
2009-11-01,17:00,,1,12,36,,,,
2009-11-01,18:00,,1,12,37,,,,
2009-11-01,19:00,,1,10,40,,,,
2009-11-01,20:00,,1,10,44,,,,
2009-11-01,21:00,,1,11,43,,,,
2009-11-01,22:00,,1,13,37,,,,
2009-11-01,23:00,,1,15,35,,,,
2009-11-02,,,,,,40,,,
2009-11-02,00:00,,1,14,35,,,,
2009-11-02,01:00,,1,11,36,,,,
2009-11-02,02:00,,1,11,35,,,,
2009-11-02,03:00,,1,10,34,,,,
2009-11-02,04:00,,1,9,38,,,,
2009-11-02,05:00,,1,9,42,,,,
2009-11-02,06:00,,1,9,44,,,,
2009-11-02,07:00,,3,10,45,,,,
2009-11-02,08:00,,5,12,45,,,,
2009-11-02,09:00,,3,12,47,,,,
2009-11-02,10:00,,2,12,46,,,,
2009-11-02,11:00,,4,13,45,,,,
2009-11-02,12:00,,2,11,47,,,,
2009-11-02,13:00,,3,15,44,,,,
2009-11-02,14:00,,1,14,48,,,,
2009-11-02,15:00,,4,16,47,,,,
2009-11-02,16:00,,1,16,49,,,,
2009-11-02,17:00,,1,16,49,,,,
2009-11-02,18:00,,3,18,46,,,,
2009-11-02,19:00,,15,28,38,,,,
2009-11-02,20:00,,6,23,41,,,,
2009-11-02,21:00,,1,15,48,,,,
2009-11-02,22:00,,1,13,49,,,,
2009-11-02,23:00,,1,13,47,,,,
2009-11-03,,,,,,27,,,
2009-11-03,00:00,,1,13,45,,,,
2009-11-03,01:00,,2,13,43,,,,
2009-11-03,02:00,,1,11,42,,,,
2009-11-03,03:00,,1,11,40,,,,
2009-11-03,04:00,,1,12,37,,,,
2009-11-03,05:00,,3,15,34,,,,
2009-11-03,06:00,,4,16,33,,,,
2009-11-03,07:00,,8,19,30,,,,
2009-11-03,08:00,,4,14,33,,,,
2009-11-03,09:00,,2,15,31,,,,
2009-11-03,10:00,,3,15,30,,,,
2009-11-03,11:00,,10,17,26,,,,
2009-11-03,12:00,,8,16,26,,,,
2009-11-03,13:00,,6,16,24,,,,
2009-11-03,14:00,,9,20,21,,,,
2009-11-03,15:00,,6,20,20,,,,
2009-11-03,16:00,,5,22,17,,,,
2009-11-03,17:00,,2,23,14,,,,
2009-11-03,18:00,,2,25,12,,,,
2009-11-03,19:00,,2,24,12,,,,
2009-11-03,20:00,,1,23,13,,,,
2009-11-03,21:00,,1,25,12,,,,
2009-11-03,22:00,,1,27,9,,,,
2009-11-03,23:00,,1,26,10,,,,
