Datum,Zeit,BEN,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2010-02-01,,,,,,15,,14.72,
2010-02-01,01:00,,1,15,55,,,,
2010-02-01,02:00,,1,15,55,,,,
2010-02-01,03:00,,1,15,54,,,,
2010-02-01,04:00,,1,16,54,,,,
2010-02-01,05:00,,1,16,54,,,,
2010-02-01,06:00,,1,15,54,,,,
2010-02-01,07:00,,1,15,54,,,,
2010-02-01,08:00,,1,18,51,,,,
2010-02-01,09:00,,1,18,50,,,,
2010-02-01,10:00,,2,17,54,,,,
2010-02-01,11:00,,2,15,60,,,,
2010-02-01,12:00,,2,13,63,,,,
2010-02-01,13:00,,2,13,64,,,,
2010-02-01,14:00,,1,13,68,,,,
2010-02-01,15:00,,1,13,70,,,,
2010-02-01,16:00,,1,14,69,,,,
2010-02-01,17:00,,1,15,66,,,,
2010-02-01,18:00,,1,17,64,,,,
2010-02-01,19:00,,1,19,63,,,,
2010-02-01,20:00,,1,19,62,,,,
2010-02-01,21:00,,1,19,60,,,,
2010-02-01,22:00,,1,18,59,,,,
2010-02-01,23:00,,1,18,56,,,,
2010-02-02,,,,,,12,,10.90,
2010-02-02,00:00,,1,17,55,,,,
2010-02-02,01:00,,1,17,53,,,,
2010-02-02,02:00,,1,18,51,,,,
2010-02-02,03:00,,1,14,51,,,,
2010-02-02,04:00,,1,11,63,,,,
2010-02-02,05:00,,1,8,66,,,,
2010-02-02,06:00,,1,9,67,,,,
2010-02-02,07:00,,1,9,66,,,,
2010-02-02,08:00,,1,10,64,,,,
2010-02-02,09:00,,1,14,60,,,,
2010-02-02,10:00,,1,13,62,,,,
2010-02-02,11:00,,2,13,63,,,,
2010-02-02,12:00,,2,12,66,,,,
2010-02-02,13:00,,2,13,65,,,,
2010-02-02,14:00,,2,12,67,,,,
2010-02-02,15:00,,1,12,69,,,,
2010-02-02,16:00,,1,13,70,,,,
2010-02-02,17:00,,1,14,71,,,,
2010-02-02,18:00,,1,13,72,,,,
2010-02-02,19:00,,1,13,71,,,,
2010-02-02,20:00,,1,13,70,,,,
2010-02-02,21:00,,1,13,68,,,,
2010-02-02,22:00,,1,13,68,,,,
2010-02-02,23:00,,1,12,68,,,,
2010-02-03,,,,,,5,,3.82,
2010-02-03,00:00,,1,11,68,,,,
2010-02-03,01:00,,1,10,70,,,,
2010-02-03,02:00,,1,10,71,,,,
2010-02-03,03:00,,1,11,69,,,,
2010-02-03,04:00,,1,11,67,,,,
2010-02-03,05:00,,1,12,62,,,,
2010-02-03,06:00,,1,12,63,,,,
2010-02-03,07:00,,1,10,67,,,,
2010-02-03,08:00,,1,11,65,,,,
2010-02-03,09:00,,1,16,61,,,,
2010-02-03,10:00,,1,15,64,,,,
2010-02-03,11:00,,1,14,68,,,,
2010-02-03,12:00,,1,10,74,,,,
2010-02-03,13:00,,1,9,78,,,,
2010-02-03,14:00,,1,9,77,,,,
2010-02-03,15:00,,1,10,76,,,,
2010-02-03,16:00,,1,12,75,,,,
2010-02-03,17:00,,1,15,71,,,,
2010-02-03,18:00,,1,13,74,,,,
2010-02-03,19:00,,1,13,72,,,,
2010-02-03,20:00,,1,15,69,,,,
2010-02-03,21:00,,1,15,68,,,,
2010-02-03,22:00,,1,16,64,,,,
2010-02-03,23:00,,1,15,63,,,,
2010-02-04,,,,,,12,,11.58,
2010-02-04,00:00,,1,15,62,,,,
2010-02-04,01:00,,1,14,62,,,,
2010-02-04,02:00,,1,13,62,,,,
2010-02-04,03:00,,1,18,55,,,,
2010-02-04,04:00,,1,18,50,,,,
2010-02-04,05:00,,1,16,53,,,,
2010-02-04,06:00,,1,15,55,,,,
2010-02-04,07:00,,1,14,55,,,,
2010-02-04,08:00,,1,19,53,,,,
2010-02-04,09:00,,2,27,46,,,,
2010-02-04,10:00,,6,35,39,,,,
2010-02-04,11:00,,8,30,43,,,,
2010-02-04,12:00,,4,21,49,,,,
2010-02-04,13:00,,4,20,49,,,,
2010-02-04,14:00,,4,19,50,,,,
2010-02-04,15:00,,1,13,57,,,,
2010-02-04,16:00,,1,15,56,,,,
2010-02-04,17:00,,1,18,54,,,,
2010-02-04,18:00,,1,19,52,,,,
2010-02-04,19:00,,1,25,43,,,,
2010-02-04,20:00,,1,34,30,,,,
2010-02-04,21:00,,1,31,35,,,,
2010-02-04,22:00,,1,35,31,,,,
2010-02-04,23:00,,1,34,32,,,,
2010-02-05,,,,,,32,,28.74,
2010-02-05,00:00,,1,45,21,,,,
2010-02-05,01:00,,1,30,34,,,,
2010-02-05,02:00,,1,22,48,,,,
2010-02-05,03:00,,1,21,51,,,,
2010-02-05,04:00,,1,18,59,,,,
2010-02-05,05:00,,1,15,67,,,,
2010-02-05,06:00,,1,15,71,,,,
2010-02-05,07:00,,1,15,72,,,,
2010-02-05,08:00,,1,18,69,,,,
2010-02-05,09:00,,1,20,66,,,,
2010-02-05,10:00,,2,20,67,,,,
2010-02-05,11:00,,3,20,70,,,,
2010-02-05,12:00,,2,17,80,,,,
2010-02-05,13:00,,2,16,84,,,,
2010-02-05,14:00,,1,17,86,,,,
2010-02-05,15:00,,1,15,86,,,,
2010-02-05,16:00,,1,17,83,,,,
2010-02-05,17:00,,1,18,79,,,,
2010-02-05,18:00,,1,20,74,,,,
2010-02-05,19:00,,1,24,69,,,,
2010-02-05,20:00,,1,29,61,,,,
2010-02-05,21:00,,1,24,65,,,,
2010-02-05,22:00,,1,20,66,,,,
2010-02-05,23:00,,1,18,68,,,,
2010-02-06,,,,,,50,,46.01,
2010-02-06,00:00,,1,18,66,,,,
2010-02-06,01:00,,1,17,64,,,,
