Datum,Zeit,BEN,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2010-07-01,,,,,,32,,,
2010-07-01,01:00,0.8,4,22,,,,,1.0
2010-07-01,02:00,0.7,6,23,,,,,1.0
2010-07-01,03:00,0.6,5,20,,,,,1.0
2010-07-01,04:00,0.6,8,18,,,,,1.0
2010-07-01,05:00,1.3,15,24,,,,,1.0
2010-07-01,06:00,2.1,48,36,,,,,1.9
2010-07-01,07:00,2.3,53,41,,,,,2.5
2010-07-01,08:00,1.6,23,28,,,,,1.1
2010-07-01,09:00,0.9,7,20,,,,,1.0
2010-07-01,10:00,0.8,11,22,,,,,1.1
2010-07-01,11:00,0.7,7,12,,,,,1.0
2010-07-01,12:00,0.3,7,17,,,,,1.1
2010-07-01,13:00,0.4,16,24,,,,,1.5
2010-07-01,14:00,0.7,49,41,,,,,2.7
2010-07-01,15:00,0.8,19,27,,,,,1.1
2010-07-01,16:00,0.6,5,14,,,,,1.0
2010-07-01,17:00,0.8,17,32,,,,,1.1
2010-07-01,18:00,1.7,24,52,,,,,2.1
2010-07-01,19:00,1.4,4,15,,,,,1.0
2010-07-01,20:00,0.4,1,13,,,,,1.0
2010-07-01,21:00,1.1,7,28,,,,,1.0
2010-07-01,22:00,1.7,20,44,,,,,1.0
2010-07-01,23:00,1.9,9,27,,,,,1.0
2010-07-02,,,,,,31,,,
2010-07-02,00:00,1.5,8,27,,,,,1.0
2010-07-02,01:00,0.9,4,14,,,,,1.0
2010-07-02,02:00,0.7,7,19,,,,,1.0
2010-07-02,03:00,0.6,5,18,,,,,1.0
2010-07-02,04:00,0.7,10,19,,,,,1.0
2010-07-02,05:00,1.5,33,31,,,,,1.6
2010-07-02,06:00,2.2,32,49,,,,,1.5
2010-07-02,07:00,2.1,25,39,,,,,1.4
2010-07-02,08:00,1.6,27,40,,,,,2.0
2010-07-02,09:00,1.3,22,35,,,,,2.1
2010-07-02,10:00,1.3,19,31,,,,,2.6
2010-07-02,11:00,0.7,18,36,,,,,3.5
2010-07-02,12:00,0.8,16,35,,,,,5.6
2010-07-02,13:00,1.2,29,42,,,,,6.3
2010-07-02,14:00,1.0,24,37,,,,,4.1
2010-07-02,15:00,1.8,31,47,,,,,2.7
2010-07-02,16:00,0.7,6,13,,,,,1.4
2010-07-02,17:00,0.4,12,23,,,,,1.3
2010-07-02,18:00,0.8,5,15,,,,,1.0
2010-07-02,19:00,0.5,1,9,,,,,1.0
2010-07-02,20:00,0.3,1,7,,,,,1.0
2010-07-02,21:00,0.5,1,11,,,,,1.0
2010-07-02,22:00,,17,53,,,,,1.3
2010-07-02,23:00,,21,54,,,,,1.2
2010-07-03,,,,,,24,,,
2010-07-03,00:00,,19,37,,,,,1.0
2010-07-03,01:00,2.0,8,28,,,,,1.0
2010-07-03,02:00,1.3,8,25,,,,,1.0
2010-07-03,03:00,1.2,7,25,,,,,1.0
2010-07-03,04:00,1.4,17,20,,,,,1.0
2010-07-03,05:00,1.6,16,24,,,,,1.0
2010-07-03,06:00,1.2,3,18,,,,,1.0
2010-07-03,07:00,1.5,20,22,,,,,1.1
2010-07-03,08:00,1.3,6,16,,,,,1.0
2010-07-03,09:00,0.6,1,10,,,,,1.0
2010-07-03,10:00,0.4,4,10,,,,,1.0
2010-07-03,11:00,0.7,4,10,,,,,1.0
2010-07-03,12:00,0.3,4,8,,,,,1.0
2010-07-03,13:00,0.5,6,13,,,,,1.0
2010-07-03,14:00,0.3,,,,,,,1.0
2010-07-03,15:00,0.5,3,9,,,,,1.0
2010-07-03,16:00,0.3,2,7,,,,,1.0
2010-07-03,17:00,0.3,2,6,,,,,1.0
2010-07-03,18:00,0.3,2,7,,,,,1.0
2010-07-03,19:00,0.3,1,6,,,,,1.0
2010-07-03,20:00,0.4,1,7,,,,,1.0
2010-07-03,21:00,0.9,1,12,,,,,1.0
