Datum,Zeit,BEN,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2010-07-01,,,,,,23,,,
2010-07-01,01:00,,1,8,44,,,,
2010-07-01,02:00,,1,9,37,,,,
2010-07-01,03:00,,1,8,33,,,,
2010-07-01,04:00,,1,9,28,,,,
2010-07-01,05:00,,1,12,15,,,,
2010-07-01,06:00,,2,12,17,,,,
2010-07-01,07:00,,3,12,38,,,,
2010-07-01,08:00,,1,11,61,,,,
2010-07-01,09:00,,1,8,89,,,,
2010-07-01,10:00,,1,8,91,,,,
2010-07-01,11:00,,1,9,103,,,,
2010-07-01,12:00,,1,7,122,,,,
2010-07-01,13:00,,1,6,128,,,,
2010-07-01,14:00,,1,12,113,,,,
2010-07-01,15:00,,1,5,120,,,,
2010-07-01,16:00,,1,6,124,,,,
2010-07-01,17:00,,1,5,129,,,,
2010-07-01,18:00,,1,5,133,,,,
2010-07-01,19:00,,1,5,136,,,,
2010-07-01,20:00,,1,9,106,,,,
2010-07-01,21:00,,1,13,70,,,,
2010-07-01,22:00,,1,11,63,,,,
2010-07-01,23:00,,1,12,52,,,,
2010-07-02,,,,,,22,,,
2010-07-02,00:00,,1,13,53,,,,
2010-07-02,01:00,,1,13,35,,,,
2010-07-02,02:00,,1,11,38,,,,
2010-07-02,03:00,,1,11,32,,,,
2010-07-02,04:00,,1,12,27,,,,
2010-07-02,05:00,,1,10,30,,,,
2010-07-02,06:00,,1,13,36,,,,
2010-07-02,07:00,,1,11,71,,,,
2010-07-02,08:00,,1,10,88,,,,
2010-07-02,09:00,,1,11,108,,,,
2010-07-02,10:00,,1,19,123,,,,
2010-07-02,11:00,,1,13,137,,,,
2010-07-02,12:00,,1,6,146,,,,
2010-07-02,13:00,,1,5,133,,,,
2010-07-02,14:00,,1,5,133,,,,
2010-07-02,15:00,,1,5,135,,,,
2010-07-02,16:00,,1,4,135,,,,
2010-07-02,17:00,,1,4,134,,,,
2010-07-02,18:00,,1,5,131,,,,
2010-07-02,19:00,,1,4,127,,,,
2010-07-02,20:00,,1,11,116,,,,
2010-07-02,21:00,,1,14,94,,,,
2010-07-02,22:00,,1,11,74,,,,
2010-07-02,23:00,,1,12,56,,,,
2010-07-03,,,,,,24,,,
2010-07-03,00:00,,1,11,43,,,,
2010-07-03,01:00,,1,10,43,,,,
2010-07-03,02:00,,1,10,40,,,,
2010-07-03,03:00,,1,10,32,,,,
2010-07-03,04:00,,1,13,21,,,,
2010-07-03,05:00,,1,16,16,,,,
2010-07-03,06:00,,1,15,38,,,,
2010-07-03,07:00,,1,16,73,,,,
2010-07-03,08:00,,1,13,90,,,,
2010-07-03,09:00,,1,10,112,,,,
2010-07-03,10:00,,1,5,121,,,,
2010-07-03,11:00,,1,4,118,,,,
2010-07-03,12:00,,1,4,131,,,,
2010-07-03,13:00,,1,4,128,,,,
2010-07-03,14:00,,1,4,131,,,,
2010-07-03,15:00,,1,5,130,,,,
2010-07-03,16:00,,1,4,137,,,,
2010-07-03,17:00,,1,4,139,,,,
2010-07-03,18:00,,1,4,140,,,,
2010-07-03,19:00,,1,4,132,,,,
2010-07-03,20:00,,1,5,120,,,,
2010-07-03,21:00,,1,8,102,,,,
2010-07-03,22:00,,1,6,105,,,,
2010-07-03,23:00,,1,5,109,,,,
2010-07-04,,,,,,19,,,
2010-07-04,00:00,,1,8,101,,,,
2010-07-04,01:00,,1,7,95,,,,
2010-07-04,02:00,,1,9,89,,,,
2010-07-04,03:00,,1,12,74,,,,
2010-07-04,04:00,,1,10,69,,,,
2010-07-04,05:00,,1,11,50,,,,
2010-07-04,06:00,,1,10,58,,,,
2010-07-04,07:00,,1,9,76,,,,
2010-07-04,08:00,,1,8,85,,,,
2010-07-04,09:00,,1,5,104,,,,
2010-07-04,10:00,,1,4,114,,,,
2010-07-04,11:00,,1,4,114,,,,
2010-07-04,12:00,,1,4,117,,,,
2010-07-04,13:00,,1,3,120,,,,
2010-07-04,14:00,,1,3,120,,,,
2010-07-04,15:00,,1,4,119,,,,
2010-07-04,16:00,,1,4,116,,,,
2010-07-04,17:00,,1,4,113,,,,
2010-07-04,18:00,,1,7,109,,,,
2010-07-04,19:00,,1,5,108,,,,
2010-07-04,20:00,,1,5,111,,,,
2010-07-04,21:00,,1,8,95,,,,
2010-07-04,22:00,,1,11,65,,,,
2010-07-04,23:00,,1,10,58,,,,
2010-07-05,,,,,,19,,,
2010-07-05,00:00,,1,13,54,,,,
2010-07-05,01:00,,1,10,60,,,,
2010-07-05,02:00,,1,10,49,,,,
2010-07-05,03:00,,1,10,57,,,,
2010-07-05,04:00,,1,11,72,,,,
2010-07-05,05:00,,1,9,76,,,,
2010-07-05,06:00,,1,11,69,,,,
2010-07-05,07:00,,1,14,72,,,,
2010-07-05,08:00,,1,16,71,,,,
2010-07-05,09:00,,1,17,74,,,,
2010-07-05,10:00,,1,17,82,,,,
2010-07-05,11:00,,1,12,88,,,,
2010-07-05,12:00,,1,14,111,,,,
2010-07-05,13:00,,1,11,127,,,,
2010-07-05,14:00,,1,10,137,,,,
2010-07-05,15:00,,1,10,144,,,,
2010-07-05,16:00,,1,10,142,,,,
2010-07-05,17:00,,1,7,143,,,,
2010-07-05,18:00,,1,7,128,,,,
2010-07-05,19:00,,1,8,113,,,,
2010-07-05,20:00,,1,6,112,,,,
2010-07-05,21:00,,1,4,120,,,,
2010-07-05,22:00,,1,5,90,,,,
2010-07-05,23:00,,1,6,74,,,,
2010-07-06,,,,,,15,,,
2010-07-06,00:00,,1,7,95,,,,
2010-07-06,01:00,,1,6,103,,,,
2010-07-06,02:00,,1,5,105,,,,
2010-07-06,03:00,,1,5,96,,,,
2010-07-06,04:00,,1,4,96,,,,
2010-07-06,05:00,,1,5,95,,,,
2010-07-06,06:00,,1,6,84,,,,
2010-07-06,07:00,,1,6,70,,,,
2010-07-06,08:00,,1,7,62,,,,
2010-07-06,09:00,,1,8,60,,,,
2010-07-06,10:00,,1,8,56,,,,
2010-07-06,11:00,,1,7,52,,,,
2010-07-06,12:00,,1,6,50,,,,
2010-07-06,13:00,,1,7,48,,,,
2010-07-06,14:00,,1,5,49,,,,
2010-07-06,15:00,,1,5,47,,,,
2010-07-06,16:00,,1,5,51,,,,
2010-07-06,17:00,,1,4,59,,,,
2010-07-06,18:00,,1,4,62,,,,
2010-07-06,19:00,,1,4,72,,,,
2010-07-06,20:00,,1,5,64,,,,
2010-07-06,21:00,,1,5,57,,,,
2010-07-06,22:00,,1,5,49,,,,
2010-07-06,23:00,,1,6,45,,,,
2010-07-07,,,,,,13,,,
2010-07-07,00:00,,1,6,40,,,,
2010-07-07,01:00,,1,6,36,,,,
2010-07-07,02:00,,1,7,32,,,,
2010-07-07,03:00,,1,7,39,,,,
2010-07-07,04:00,,1,7,40,,,,
2010-07-07,05:00,,1,8,39,,,,
2010-07-07,06:00,,1,8,40,,,,
2010-07-07,07:00,,1,6,41,,,,
2010-07-07,08:00,,2,10,42,,,,
