Datum,Zeit,BEN,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2011-03-01,,,,,,86,,63.56,
2011-03-01,01:00,,27,71,,,,,
2011-03-01,02:00,,42,67,,,,,
2011-03-01,03:00,,50,63,,,,,
2011-03-01,04:00,,22,51,,,,,
2011-03-01,05:00,,32,51,,,,,
2011-03-01,06:00,,69,63,,,,,
2011-03-01,07:00,,62,65,,,,,
2011-03-01,08:00,,72,70,,,,,
2011-03-01,09:00,,57,61,,,,,
2011-03-01,10:00,,36,51,,,,,
2011-03-01,11:00,,23,41,,,,,
2011-03-01,12:00,,25,43,,,,,
2011-03-01,13:00,,30,46,,,,,
2011-03-01,14:00,,35,49,,,,,
2011-03-01,15:00,,24,48,,,,,
2011-03-01,16:00,,19,46,,,,,
2011-03-01,17:00,,18,49,,,,,
2011-03-01,18:00,,16,54,,,,,
2011-03-01,19:00,,8,38,,,,,
2011-03-01,20:00,,9,45,,,,,
2011-03-01,21:00,,13,53,,,,,
2011-03-01,22:00,,20,60,,,,,
2011-03-01,23:00,,15,57,,,,,
2011-03-02,,,,,,56,,40.48,
2011-03-02,00:00,,20,54,,,,,
2011-03-02,01:00,,16,51,,,,,
2011-03-02,02:00,,4,46,,,,,
2011-03-02,03:00,,4,43,,,,,
2011-03-02,04:00,,2,36,,,,,
2011-03-02,05:00,,12,39,,,,,
2011-03-02,06:00,,97,61,,,,,
2011-03-02,07:00,,70,62,,,,,
2011-03-02,08:00,,126,80,,,,,
2011-03-02,09:00,,61,54,,,,,
2011-03-02,10:00,,27,40,,,,,
2011-03-02,11:00,,15,31,,,,,
2011-03-02,12:00,,13,30,,,,,
2011-03-02,13:00,,14,28,,,,,
2011-03-02,14:00,,9,26,,,,,
2011-03-02,15:00,,6,19,,,,,
2011-03-02,16:00,,6,21,,,,,
2011-03-02,17:00,,4,18,,,,,
2011-03-02,18:00,,4,17,,,,,
2011-03-02,19:00,,3,19,,,,,
2011-03-02,20:00,,2,20,,,,,
2011-03-02,21:00,,4,24,,,,,
2011-03-02,22:00,,5,33,,,,,
2011-03-02,23:00,,16,43,,,,,
2011-03-03,,,,,,55,,35.09,
2011-03-03,00:00,,14,39,,,,,
2011-03-03,01:00,,3,23,,,,,
2011-03-03,02:00,,2,20,,,,,
2011-03-03,03:00,,2,21,,,,,
2011-03-03,04:00,,1,20,,,,,
2011-03-03,05:00,,1,22,,,,,
2011-03-03,06:00,,17,34,,,,,
2011-03-03,07:00,,76,63,,,,,
2011-03-03,08:00,,76,69,,,,,
2011-03-03,09:00,,45,60,,,,,
2011-03-03,10:00,,37,48,,,,,
2011-03-03,11:00,,44,50,,,,,
2011-03-03,12:00,,26,34,,,,,
2011-03-03,13:00,,22,34,,,,,
2011-03-03,14:00,,26,32,,,,,
2011-03-03,15:00,,16,29,,,,,
2011-03-03,16:00,,30,43,,,,,
2011-03-03,17:00,,45,63,,,,,
2011-03-03,18:00,,61,77,,,,,
2011-03-03,19:00,,88,93,,,,,
2011-03-03,20:00,,61,82,,,,,
2011-03-03,21:00,,31,61,,,,,
2011-03-03,22:00,,17,47,,,,,
2011-03-03,23:00,,4,30,,,,,
2011-03-04,,,,,,69,,43.32,
2011-03-04,00:00,,2,22,,,,,
2011-03-04,01:00,,1,21,,,,,
2011-03-04,02:00,,5,28,,,,,
2011-03-04,03:00,,12,38,,,,,
2011-03-04,04:00,,17,40,,,,,
2011-03-04,05:00,,13,40,,,,,
2011-03-04,06:00,,74,72,,,,,
2011-03-04,07:00,,206,103,,,,,
2011-03-04,08:00,,305,131,,,,,
2011-03-04,09:00,,212,108,,,,,
2011-03-04,10:00,,133,86,,,,,
2011-03-04,11:00,,111,79,,,,,
2011-03-04,12:00,,87,72,,,,,
2011-03-04,13:00,,96,79,,,,,
2011-03-04,14:00,,45,57,,,,,
2011-03-04,15:00,,42,52,,,,,
2011-03-04,16:00,,27,42,,,,,
2011-03-04,17:00,,26,44,,,,,
2011-03-04,18:00,,50,73,,,,,
2011-03-04,19:00,,97,102,,,,,
2011-03-04,20:00,,115,108,,,,,
2011-03-04,21:00,,124,105,,,,,
2011-03-04,22:00,,173,106,,,,,
2011-03-04,23:00,,115,87,,,,,
2011-03-05,,,,,,77,,52.72,
2011-03-05,00:00,,103,75,,,,,
2011-03-05,01:00,,88,64,,,,,
2011-03-05,02:00,,64,56,,,,,
2011-03-05,03:00,,75,57,,,,,
2011-03-05,04:00,,56,48,,,,,
2011-03-05,05:00,,79,49,,,,,
2011-03-05,06:00,,94,52,,,,,
2011-03-05,07:00,,111,51,,,,,
2011-03-05,08:00,,134,57,,,,,
2011-03-05,09:00,,119,58,,,,,
2011-03-05,10:00,,88,61,,,,,
2011-03-05,11:00,,48,56,,,,,
2011-03-05,12:00,,39,52,,,,,
2011-03-05,13:00,,34,48,,,,,
2011-03-05,14:00,,29,44,,,,,
2011-03-05,15:00,,34,50,,,,,
2011-03-05,16:00,,28,45,,,,,
2011-03-05,17:00,,39,50,,,,,
2011-03-05,18:00,,43,67,,,,,
2011-03-05,19:00,,26,45,,,,,
2011-03-05,20:00,,9,23,,,,,
2011-03-05,21:00,,18,29,,,,,
2011-03-05,22:00,,21,37,,,,,
2011-03-05,23:00,,30,42,,,,,
2011-03-06,,,,,,28,,12.00,
2011-03-06,00:00,,10,26,,,,,
2011-03-06,01:00,,5,18,,,,,
2011-03-06,02:00,,4,16,,,,,
2011-03-06,03:00,,2,12,,,,,
2011-03-06,04:00,,3,11,,,,,
2011-03-06,05:00,,2,10,,,,,
2011-03-06,06:00,,3,8,,,,,
2011-03-06,07:00,,3,9,,,,,
2011-03-06,08:00,,3,11,,,,,
2011-03-06,09:00,,9,13,,,,,
2011-03-06,10:00,,8,13,,,,,
2011-03-06,11:00,,7,12,,,,,
2011-03-06,12:00,,9,13,,,,,
2011-03-06,13:00,,4,7,,,,,
2011-03-06,14:00,,8,10,,,,,
2011-03-06,15:00,,5,9,,,,,
2011-03-06,16:00,,7,12,,,,,
2011-03-06,17:00,,4,10,,,,,
2011-03-06,18:00,,8,22,,,,,
2011-03-06,19:00,,28,51,,,,,
2011-03-06,20:00,,65,91,,,,,
2011-03-06,21:00,,32,64,,,,,
2011-03-06,22:00,,47,72,,,,,
2011-03-06,23:00,,53,76,,,,,
2011-03-07,,,,,,44,,16.70,
2011-03-07,00:00,,21,67,,,,,
2011-03-07,01:00,,19,52,,,,,
2011-03-07,02:00,,32,50,,,,,
2011-03-07,03:00,,15,49,,,,,
2011-03-07,04:00,,29,56,,,,,
2011-03-07,05:00,,64,63,,,,,
2011-03-07,06:00,,178,76,,,,,
2011-03-07,07:00,,206,90,,,,,
2011-03-07,08:00,,238,105,,,,,
2011-03-07,09:00,,175,90,,,,,
2011-03-07,10:00,,97,75,,,,,
2011-03-07,11:00,,34,40,,,,,
2011-03-07,12:00,,28,36,,,,,
2011-03-07,13:00,,20,27,,,,,
2011-03-07,14:00,,55,56,,,,,
2011-03-07,15:00,,65,64,,,,,
2011-03-07,16:00,,84,76,,,,,
2011-03-07,17:00,,87,83,,,,,
2011-03-07,18:00,,95,93,,,,,
2011-03-07,19:00,,50,69,,,,,
2011-03-07,20:00,,66,87,,,,,
2011-03-07,21:00,,59,82,,,,,
2011-03-07,22:00,,52,90,,,,,
2011-03-07,23:00,,44,71,,,,,
2011-03-08,,,,,,43,,19.02,
2011-03-08,00:00,,8,42,,,,,
2011-03-08,01:00,,6,29,,,,,
2011-03-08,02:00,,13,31,,,,,
2011-03-08,03:00,,9,29,,,,,
2011-03-08,04:00,,9,26,,,,,
2011-03-08,05:00,,9,15,,,,,
2011-03-08,06:00,,36,42,,,,,
2011-03-08,07:00,,57,55,,,,,
2011-03-08,08:00,,75,80,,,,,
2011-03-08,09:00,,68,62,,,,,
2011-03-08,10:00,,68,63,,,,,
2011-03-08,11:00,,77,70,,,,,
2011-03-08,12:00,,80,75,,,,,
