Datum,Zeit,BEN,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2011-07-01,,,,,,21,3.57,9.37,
2011-07-01,01:00,1.0,5,37,24,,,,
2011-07-01,02:00,0.8,4,34,23,,,,
2011-07-01,03:00,0.6,5,31,19,,,,
2011-07-01,04:00,0.7,13,45,8,,,,
2011-07-01,05:00,1.2,39,51,5,,,,
2011-07-01,06:00,1.9,76,60,6,,,,
2011-07-01,07:00,2.7,51,51,11,,,,
2011-07-01,08:00,2.2,61,52,20,,,,
2011-07-01,09:00,,47,46,31,,,,
2011-07-01,10:00,,41,43,41,,,,
2011-07-01,11:00,,39,43,50,,,,
2011-07-01,12:00,,13,28,58,,,,
2011-07-01,13:00,1.1,38,46,53,,,,
2011-07-01,14:00,1.6,41,43,52,,,,
2011-07-01,15:00,1.6,39,47,54,,,,
2011-07-01,16:00,1.9,39,51,48,,,,
2011-07-01,17:00,1.7,36,48,52,,,,
2011-07-01,18:00,1.8,28,45,52,,,,
2011-07-01,19:00,1.5,22,45,48,,,,
2011-07-01,20:00,1.4,20,41,46,,,,
2011-07-01,21:00,1.4,20,45,37,,,,
2011-07-01,22:00,1.5,19,36,47,,,,
2011-07-01,23:00,1.6,14,35,45,,,,
2011-07-02,,,,,,11,,6.24,
2011-07-02,00:00,1.3,14,34,41,,,,
2011-07-02,01:00,1.4,12,25,47,,,,
2011-07-02,02:00,0.9,17,26,41,,,,
2011-07-02,03:00,1.1,7,22,41,,,,
2011-07-02,04:00,0.8,9,21,39,,,,
2011-07-02,05:00,0.7,17,23,34,,,,
2011-07-02,06:00,1.0,16,21,37,,,,
2011-07-02,07:00,0.9,10,18,46,,,,
2011-07-02,08:00,0.7,14,17,50,,,,
2011-07-02,09:00,0.9,15,20,50,,,,
2011-07-02,10:00,1.1,19,23,50,,,,
2011-07-02,11:00,1.0,19,22,51,,,,
2011-07-02,12:00,1.3,18,22,49,,,,
2011-07-02,13:00,1.5,27,35,46,,,,
2011-07-02,14:00,1.7,23,29,45,,,,
2011-07-02,15:00,1.4,24,28,50,,,,
2011-07-02,16:00,1.2,23,27,54,,,,
2011-07-02,17:00,1.2,18,30,47,,,,
2011-07-02,18:00,1.2,28,34,43,,,,
2011-07-02,19:00,1.4,20,32,45,,,,
2011-07-02,20:00,1.3,21,30,44,,,,
2011-07-02,21:00,1.2,14,23,47,,,,
2011-07-02,22:00,1.4,22,25,47,,,,
2011-07-02,23:00,1.4,16,24,49,,,,
2011-07-03,,,,,,5,,2.63,
2011-07-03,00:00,1.2,9,16,51,,,,
2011-07-03,01:00,1.2,8,16,49,,,,
2011-07-03,02:00,0.7,8,14,50,,,,
2011-07-03,03:00,0.6,8,14,49,,,,
2011-07-03,04:00,0.6,9,15,47,,,,
2011-07-03,05:00,0.7,10,13,43,,,,
2011-07-03,06:00,0.7,5,13,42,,,,
2011-07-03,07:00,0.7,10,15,40,,,,
2011-07-03,08:00,0.7,10,15,37,,,,
2011-07-03,09:00,0.9,15,18,35,,,,
2011-07-03,10:00,1.1,20,23,33,,,,
2011-07-03,11:00,1.7,19,21,33,,,,
2011-07-03,12:00,1.6,20,24,33,,,,
2011-07-03,13:00,1.6,25,28,30,,,,
2011-07-03,14:00,1.7,24,26,31,,,,
2011-07-03,15:00,1.4,17,22,35,,,,
2011-07-03,16:00,1.4,23,25,34,,,,
2011-07-03,17:00,1.4,21,24,33,,,,
2011-07-03,18:00,1.2,15,22,35,,,,
2011-07-03,19:00,1.1,15,21,33,,,,
2011-07-03,20:00,1.1,13,20,33,,,,
2011-07-03,21:00,1.0,8,17,33,,,,
2011-07-03,22:00,0.9,10,17,32,,,,
2011-07-03,23:00,0.9,7,16,31,,,,
2011-07-04,,,,,,11,,5.81,
2011-07-04,00:00,0.7,6,13,34,,,,
2011-07-04,01:00,0.6,3,11,35,,,,
2011-07-04,02:00,0.5,3,11,35,,,,
2011-07-04,03:00,0.6,7,13,33,,,,
2011-07-04,04:00,0.6,8,15,30,,,,
2011-07-04,05:00,1.0,24,26,23,,,,
2011-07-04,06:00,1.4,43,35,17,,,,
2011-07-04,07:00,1.4,67,45,11,,,,
2011-07-04,08:00,1.7,69,44,12,,,,
2011-07-04,09:00,1.6,52,40,16,,,,
2011-07-04,10:00,1.5,52,38,15,,,,
2011-07-04,11:00,1.6,51,42,12,,,,
2011-07-04,12:00,1.9,53,41,14,,,,
2011-07-04,13:00,1.6,43,32,14,,,,
2011-07-04,14:00,2.1,42,38,12,,,,
2011-07-04,15:00,2.0,36,41,17,,,,
2011-07-04,16:00,1.9,35,40,20,,,,
2011-07-04,17:00,1.9,33,42,18,,,,
2011-07-04,18:00,1.7,25,36,19,,,,
2011-07-04,19:00,1.7,29,37,16,,,,
2011-07-04,20:00,1.8,23,32,16,,,,
2011-07-04,21:00,1.2,19,29,15,,,,
2011-07-04,22:00,1.6,15,28,14,,,,
2011-07-04,23:00,,13,26,15,,,,
2011-07-05,,,,,,17,,8.59,
2011-07-05,00:00,,9,24,14,,,,
2011-07-05,01:00,,3,16,19,,,,
2011-07-05,02:00,,10,20,18,,,,
2011-07-05,03:00,0.8,5,16,19,,,,
2011-07-05,04:00,0.7,9,19,17,,,,
2011-07-05,05:00,0.9,23,28,13,,,,
2011-07-05,06:00,1.2,42,36,9,,,,
2011-07-05,07:00,1.6,55,39,6,,,,
2011-07-05,08:00,1.8,73,44,5,,,,
2011-07-05,09:00,2.0,67,43,9,,,,
2011-07-05,10:00,1.4,58,40,20,,,,
2011-07-05,11:00,1.4,38,39,34,,,,
2011-07-05,12:00,1.2,36,39,44,,,,
2011-07-05,13:00,1.3,30,39,51,,,,
2011-07-05,14:00,1.4,37,46,55,,,,
2011-07-05,15:00,1.5,35,55,52,,,,
2011-07-05,16:00,1.4,28,51,52,,,,
2011-07-05,17:00,1.7,36,58,47,,,,
2011-07-05,18:00,1.8,19,44,59,,,,
2011-07-05,19:00,1.8,16,44,56,,,,
2011-07-05,20:00,1.2,15,46,48,,,,
2011-07-05,21:00,1.8,17,54,30,,,,
2011-07-05,22:00,2.0,20,65,8,,,,
2011-07-05,23:00,2.8,28,68,1,,,,
2011-07-06,,,,,,18,,10.14,
2011-07-06,00:00,3.0,23,47,1,,,,
2011-07-06,01:00,2.3,7,35,1,,,,
2011-07-06,02:00,1.8,7,27,3,,,,
2011-07-06,03:00,1.3,3,20,5,,,,
2011-07-06,04:00,1.0,5,19,3,,,,
2011-07-06,05:00,1.0,15,19,4,,,,
2011-07-06,06:00,1.6,38,26,4,,,,
2011-07-06,07:00,1.8,38,28,9,,,,
2011-07-06,08:00,1.7,26,31,22,,,,
2011-07-06,09:00,,27,36,36,,,,
2011-07-06,10:00,,22,36,61,,,,
2011-07-06,11:00,,21,38,73,,,,
2011-07-06,12:00,1.1,17,31,89,,,,
2011-07-06,13:00,1.0,28,46,91,,,,
