Datum,Zeit,BEN,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2011-09-01,,,,,,21,,,
2011-09-01,01:00,,1,19,,,,,
2011-09-01,02:00,,1,19,,,,,
2011-09-01,03:00,,3,25,,,,,
2011-09-01,04:00,,9,33,,,,,
2011-09-01,05:00,,7,25,,,,,
2011-09-01,06:00,,31,35,,,,,
2011-09-01,07:00,,42,39,,,,,
2011-09-01,08:00,,22,30,,,,,
2011-09-01,09:00,,21,31,,,,,
2011-09-01,10:00,,19,28,,,,,
2011-09-01,11:00,,17,30,,,,,
2011-09-01,12:00,,8,23,,,,,
2011-09-01,13:00,,9,23,,,,,
2011-09-01,14:00,,15,25,,,,,
2011-09-01,15:00,,17,30,,,,,
2011-09-01,16:00,,9,24,,,,,
2011-09-01,17:00,,2,15,,,,,
2011-09-01,18:00,,1,17,,,,,
2011-09-01,19:00,,1,28,,,,,
2011-09-01,20:00,,8,55,,,,,
2011-09-01,21:00,,6,68,,,,,
2011-09-01,22:00,,2,47,,,,,
2011-09-01,23:00,,1,38,,,,,
2011-09-02,,,,,,20,,,
2011-09-02,00:00,,2,30,,,,,
2011-09-02,01:00,,10,37,,,,,
2011-09-02,02:00,,6,33,,,,,
2011-09-02,03:00,,3,27,,,,,
2011-09-02,04:00,,20,27,,,,,
2011-09-02,05:00,,16,25,,,,,
2011-09-02,06:00,,50,29,,,,,
2011-09-02,07:00,,49,33,,,,,
2011-09-02,08:00,,41,32,,,,,
2011-09-02,09:00,,34,39,,,,,
2011-09-02,10:00,,18,33,,,,,
2011-09-02,11:00,,16,33,,,,,
2011-09-02,12:00,,7,23,,,,,
2011-09-02,13:00,,6,20,,,,,
2011-09-02,14:00,,8,24,,,,,
2011-09-02,15:00,,10,25,,,,,
2011-09-02,16:00,,5,23,,,,,
2011-09-02,17:00,,1,15,,,,,
2011-09-02,18:00,,2,19,,,,,
2011-09-02,19:00,,1,27,,,,,
2011-09-02,20:00,,10,56,,,,,
2011-09-02,21:00,,5,69,,,,,
2011-09-02,22:00,,6,69,,,,,
2011-09-02,23:00,,10,64,,,,,
2011-09-03,,,,,,17,,,
2011-09-03,00:00,,14,57,,,,,
2011-09-03,01:00,,12,46,,,,,
2011-09-03,02:00,,3,35,,,,,
2011-09-03,03:00,,8,34,,,,,
2011-09-03,04:00,,8,31,,,,,
2011-09-03,05:00,,3,21,,,,,
2011-09-03,06:00,,7,22,,,,,
2011-09-03,07:00,,8,22,,,,,
2011-09-03,08:00,,13,24,,,,,
2011-09-03,09:00,,15,25,,,,,
2011-09-03,10:00,,9,23,,,,,
2011-09-03,11:00,,4,17,,,,,
2011-09-03,12:00,,1,11,,,,,
2011-09-03,13:00,,1,9,,,,,
2011-09-03,14:00,,4,11,,,,,
2011-09-03,15:00,,1,7,,,,,
2011-09-03,16:00,,1,6,,,,,
2011-09-03,17:00,,1,7,,,,,
2011-09-03,18:00,,1,12,,,,,
2011-09-03,19:00,,2,14,,,,,
2011-09-03,20:00,,1,14,,,,,
2011-09-03,21:00,,1,18,,,,,
2011-09-03,22:00,,1,27,,,,,
2011-09-03,23:00,,4,33,,,,,
2011-09-04,,,,,,14,,,
2011-09-04,00:00,,3,23,,,,,
2011-09-04,01:00,,1,22,,,,,
2011-09-04,02:00,,1,20,,,,,
2011-09-04,03:00,,1,17,,,,,
2011-09-04,04:00,,2,17,,,,,
2011-09-04,05:00,,1,16,,,,,
2011-09-04,06:00,,1,16,,,,,
2011-09-04,07:00,,2,15,,,,,
2011-09-04,08:00,,4,16,,,,,
2011-09-04,09:00,,4,19,,,,,
2011-09-04,10:00,,3,16,,,,,
2011-09-04,11:00,,2,12,,,,,
2011-09-04,12:00,,1,9,,,,,
2011-09-04,13:00,,1,7,,,,,
2011-09-04,14:00,,1,7,,,,,
2011-09-04,15:00,,1,7,,,,,
2011-09-04,16:00,,2,7,,,,,
2011-09-04,17:00,,1,7,,,,,
2011-09-04,18:00,,1,11,,,,,
2011-09-04,19:00,,1,21,,,,,
2011-09-04,20:00,,2,28,,,,,
2011-09-04,21:00,,1,19,,,,,
2011-09-04,22:00,,1,18,,,,,
2011-09-04,23:00,,1,21,,,,,
2011-09-05,,,,,,8,,,
2011-09-05,00:00,,1,14,,,,,
2011-09-05,01:00,,1,6,,,,,
2011-09-05,02:00,,1,6,,,,,
2011-09-05,03:00,,2,9,,,,,
2011-09-05,04:00,,2,15,,,,,
2011-09-05,05:00,,9,26,,,,,
2011-09-05,06:00,,18,31,,,,,
2011-09-05,07:00,,33,50,,,,,
2011-09-05,08:00,,22,37,,,,,
2011-09-05,09:00,,25,34,,,,,
2011-09-05,10:00,,18,28,,,,,
2011-09-05,11:00,,18,27,,,,,
2011-09-05,12:00,,12,19,,,,,
2011-09-05,13:00,,8,17,,,,,
2011-09-05,14:00,,11,20,,,,,
2011-09-05,15:00,,15,22,,,,,
2011-09-05,16:00,,11,22,,,,,
2011-09-05,17:00,,12,25,,,,,
2011-09-05,18:00,,17,28,,,,,
2011-09-05,19:00,,13,22,,,,,
2011-09-05,20:00,,8,25,,,,,
2011-09-05,21:00,,6,25,,,,,
2011-09-05,22:00,,5,17,,,,,
2011-09-05,23:00,,1,10,,,,,
2011-09-06,,,,,,9,,,
2011-09-06,00:00,,1,9,,,,,
2011-09-06,01:00,,1,9,,,,,
2011-09-06,02:00,,1,9,,,,,
2011-09-06,03:00,,3,11,,,,,
2011-09-06,04:00,,1,10,,,,,
2011-09-06,05:00,,11,22,,,,,
2011-09-06,06:00,,18,32,,,,,
2011-09-06,07:00,,25,36,,,,,
2011-09-06,08:00,,10,23,,,,,
2011-09-06,09:00,,18,25,,,,,
2011-09-06,10:00,,14,21,,,,,
2011-09-06,11:00,,12,18,,,,,
2011-09-06,12:00,,10,15,,,,,
2011-09-06,13:00,,8,13,,,,,
2011-09-06,14:00,,13,18,,,,,
2011-09-06,15:00,,11,18,,,,,
2011-09-06,16:00,,10,17,,,,,
2011-09-06,17:00,,9,19,,,,,
2011-09-06,18:00,,9,22,,,,,
2011-09-06,19:00,,7,25,,,,,
2011-09-06,20:00,,3,24,,,,,
2011-09-06,21:00,,2,15,,,,,
2011-09-06,22:00,,1,12,,,,,
2011-09-06,23:00,,1,7,,,,,
2011-09-07,,,,,,8,,,
2011-09-07,00:00,,1,9,,,,,
2011-09-07,01:00,,1,9,,,,,
2011-09-07,02:00,,1,8,,,,,
2011-09-07,03:00,,1,8,,,,,
2011-09-07,04:00,,1,7,,,,,
2011-09-07,05:00,,4,11,,,,,
2011-09-07,06:00,,6,16,,,,,
2011-09-07,07:00,,14,24,,,,,
2011-09-07,08:00,,10,19,,,,,
2011-09-07,09:00,,10,19,,,,,
2011-09-07,10:00,,9,19,,,,,
2011-09-07,11:00,,15,18,,,,,
2011-09-07,12:00,,9,13,,,,,
2011-09-07,13:00,,9,13,,,,,
2011-09-07,14:00,,14,16,,,,,
2011-09-07,15:00,,15,21,,,,,
2011-09-07,16:00,,18,27,,,,,
2011-09-07,17:00,,9,22,,,,,
2011-09-07,18:00,,11,23,,,,,
2011-09-07,19:00,,8,22,,,,,
2011-09-07,20:00,,3,14,,,,,
2011-09-07,21:00,,3,17,,,,,
2011-09-07,22:00,,3,14,,,,,
2011-09-07,23:00,,1,11,,,,,
2011-09-08,,,,,,7,,,
2011-09-08,00:00,,1,11,,,,,
2011-09-08,01:00,,1,8,,,,,
2011-09-08,02:00,,1,10,,,,,
2011-09-08,03:00,,1,11,,,,,
2011-09-08,04:00,,2,10,,,,,
2011-09-08,05:00,,7,17,,,,,
2011-09-08,06:00,,10,21,,,,,
2011-09-08,07:00,,18,28,,,,,
2011-09-08,08:00,,15,25,,,,,
2011-09-08,09:00,,16,24,,,,,
2011-09-08,10:00,,13,19,,,,,
2011-09-08,11:00,,19,21,,,,,
2011-09-08,12:00,,15,18,,,,,
2011-09-08,13:00,,22,23,,,,,
2011-09-08,14:00,,19,23,,,,,
2011-09-08,15:00,,20,25,,,,,
2011-09-08,16:00,,18,26,,,,,
