Datum,Zeit,BEN,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
201-20-10,,,,,,,15.01,,
2011-10-01,,,,,,20,,,
2011-10-01,01:00,,13,41,,,,,
2011-10-01,02:00,,3,31,,,,,
2011-10-01,03:00,,1,24,,,,,
2011-10-01,04:00,,3,31,,,,,
2011-10-01,05:00,,21,44,,,,,
2011-10-01,06:00,,12,39,,,,,
2011-10-01,07:00,,36,47,,,,,
2011-10-01,08:00,,49,51,,,,,
2011-10-01,09:00,,40,49,,,,,
2011-10-01,10:00,,35,46,,,,,
2011-10-01,11:00,,17,29,,,,,
2011-10-01,12:00,,10,21,,,,,
2011-10-01,13:00,,9,17,,,,,
2011-10-01,14:00,,9,18,,,,,
2011-10-01,15:00,,11,22,,,,,
2011-10-01,16:00,,13,27,,,,,
2011-10-01,17:00,,9,32,,,,,
2011-10-01,18:00,,36,76,,,,,
2011-10-01,19:00,,41,85,,,,,
2011-10-01,20:00,,23,61,,,,,
2011-10-01,21:00,,12,41,,,,,
2011-10-01,22:00,,5,34,,,,,
2011-10-01,23:00,,3,33,,,,,
2011-10-02,,,,,,20,,,
2011-10-02,00:00,,2,28,,,,,
2011-10-02,01:00,,3,27,,,,,
2011-10-02,02:00,,1,25,,,,,
2011-10-02,03:00,,1,23,,,,,
2011-10-02,04:00,,2,24,,,,,
2011-10-02,05:00,,4,26,,,,,
2011-10-02,06:00,,1,21,,,,,
2011-10-02,07:00,,6,24,,,,,
2011-10-02,08:00,,13,29,,,,,
2011-10-02,09:00,,21,34,,,,,
2011-10-02,10:00,,14,28,,,,,
2011-10-02,11:00,,11,29,,,,,
2011-10-02,12:00,,2,12,,,,,
2011-10-02,13:00,,3,13,,,,,
2011-10-02,14:00,,3,17,,,,,
2011-10-02,15:00,,5,17,,,,,
2011-10-02,16:00,,13,29,,,,,
2011-10-02,17:00,,9,36,,,,,
2011-10-02,18:00,,31,82,,,,,
2011-10-02,19:00,,33,73,,,,,
2011-10-02,20:00,,10,46,,,,,
2011-10-02,21:00,,8,29,,,,,
2011-10-02,22:00,,5,38,,,,,
2011-10-02,23:00,,3,34,,,,,
2011-10-03,,,,,,20,,,
2011-10-03,00:00,,3,33,,,,,
2011-10-03,01:00,,1,23,,,,,
2011-10-03,02:00,,1,20,,,,,
2011-10-03,03:00,,4,20,,,,,
2011-10-03,04:00,,1,25,,,,,
2011-10-03,05:00,,4,29,,,,,
2011-10-03,06:00,,4,32,,,,,
2011-10-03,07:00,,5,31,,,,,
2011-10-03,08:00,,8,23,,,,,
2011-10-03,09:00,,6,17,,,,,
2011-10-03,10:00,,6,16,,,,,
2011-10-03,11:00,,2,10,,,,,
2011-10-03,12:00,,2,11,,,,,
2011-10-03,13:00,,1,9,,,,,
2011-10-03,14:00,,3,10,,,,,
2011-10-03,15:00,,1,9,,,,,
2011-10-03,16:00,,4,14,,,,,
2011-10-03,17:00,,4,21,,,,,
2011-10-03,18:00,,58,108,,,,,
2011-10-03,19:00,,29,72,,,,,
2011-10-03,20:00,,14,48,,,,,
2011-10-03,21:00,,9,35,,,,,
2011-10-03,22:00,,5,31,,,,,
2011-10-03,23:00,,1,19,,,,,
2011-10-04,,,,,,25,,,
2011-10-04,00:00,,1,11,,,,,
2011-10-04,01:00,,1,9,,,,,
2011-10-04,02:00,,1,10,,,,,
2011-10-04,03:00,,1,11,,,,,
2011-10-04,04:00,,2,15,,,,,
2011-10-04,05:00,,11,36,,,,,
2011-10-04,06:00,,39,62,,,,,
2011-10-04,07:00,,53,78,,,,,
2011-10-04,08:00,,41,68,,,,,
2011-10-04,09:00,,32,49,,,,,
2011-10-04,10:00,,42,59,,,,,
2011-10-04,11:00,,27,44,,,,,
2011-10-04,12:00,,13,30,,,,,
