Datum,Zeit,BEN,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2012-01-01,,,,,,48,,38.88,
2012-01-01,01:00,,45,40,,,,,
2012-01-01,02:00,,45,41,,,,,
2012-01-01,03:00,,20,28,,,,,
2012-01-01,04:00,,13,22,,,,,
2012-01-01,05:00,,11,20,,,,,
2012-01-01,06:00,,7,17,,,,,
2012-01-01,07:00,,7,16,,,,,
2012-01-01,08:00,,6,17,,,,,
2012-01-01,09:00,,12,20,,,,,
2012-01-01,10:00,,18,21,,,,,
2012-01-01,11:00,,105,52,,,,,
2012-01-01,12:00,,67,46,,,,,
2012-01-01,13:00,,96,56,,,,,
2012-01-01,14:00,,67,47,,,,,
2012-01-01,15:00,,59,40,,,,,
2012-01-01,16:00,,64,45,,,,,
2012-01-01,17:00,,64,40,,,,,
2012-01-01,18:00,,96,60,,,,,
2012-01-01,19:00,,111,61,,,,,
2012-01-01,20:00,,60,43,,,,,
2012-01-01,21:00,,51,36,,,,,
2012-01-01,22:00,,39,34,,,,,
2012-01-01,23:00,,23,24,,,,,
2012-01-02,,,,,,9,,6.42,
2012-01-02,00:00,,10,18,,,,,
2012-01-02,01:00,,7,15,,,,,
2012-01-02,02:00,,2,14,,,,,
2012-01-02,03:00,,8,10,,,,,
2012-01-02,04:00,,2,3,,,,,
2012-01-02,05:00,,9,6,,,,,
2012-01-02,06:00,,31,23,,,,,
2012-01-02,07:00,,69,52,,,,,
2012-01-02,08:00,,89,56,,,,,
2012-01-02,09:00,,205,90,,,,,
2012-01-02,10:00,,136,72,,,,,
2012-01-02,11:00,,125,61,,,,,
2012-01-02,12:00,,89,47,,,,,
2012-01-02,13:00,,113,64,,,,,
2012-01-02,14:00,,99,56,,,,,
2012-01-02,15:00,,118,64,,,,,
2012-01-02,16:00,,68,50,,,,,
2012-01-02,17:00,,101,65,,,,,
2012-01-02,18:00,,74,56,,,,,
2012-01-02,19:00,,22,27,,,,,
2012-01-02,20:00,,33,34,,,,,
2012-01-02,21:00,,52,43,,,,,
2012-01-02,22:00,,35,32,,,,,
2012-01-02,23:00,,27,23,,,,,
2012-01-03,,,,,,12,,5.85,
2012-01-03,00:00,,13,16,,,,,
2012-01-03,01:00,,12,17,,,,,
2012-01-03,02:00,,8,12,,,,,
2012-01-03,03:00,,2,9,,,,,
2012-01-03,04:00,,9,10,,,,,
2012-01-03,05:00,,24,19,,,,,
2012-01-03,06:00,,73,51,,,,,
2012-01-03,07:00,,128,74,,,,,
2012-01-03,08:00,,211,96,,,,,
2012-01-03,09:00,,121,62,,,,,
2012-01-03,10:00,,116,54,,,,,
2012-01-03,11:00,,97,47,,,,,
2012-01-03,12:00,,93,48,,,,,
2012-01-03,13:00,,62,35,,,,,
2012-01-03,14:00,,115,56,,,,,
2012-01-03,15:00,,106,61,,,,,
2012-01-03,16:00,,159,87,,,,,
2012-01-03,17:00,,204,107,,,,,
2012-01-03,18:00,,130,79,,,,,
2012-01-03,19:00,,98,70,,,,,
2012-01-03,20:00,,45,37,,,,,
2012-01-03,21:00,,38,35,,,,,
2012-01-03,22:00,,33,24,,,,,
2012-01-03,23:00,,21,23,,,,,
2012-01-04,,,,,,15,,5.69,
2012-01-04,00:00,,7,8,,,,,
2012-01-04,01:00,,5,7,,,,,
2012-01-04,02:00,,1,5,,,,,
2012-01-04,03:00,,9,5,,,,,
2012-01-04,04:00,,4,7,,,,,
2012-01-04,05:00,,10,8,,,,,
2012-01-04,06:00,,28,23,,,,,
2012-01-04,07:00,,63,43,,,,,
2012-01-04,08:00,,92,56,,,,,
2012-01-04,09:00,,88,57,,,,,
2012-01-04,10:00,,82,46,,,,,
2012-01-04,11:00,,77,40,,,,,
2012-01-04,12:00,,67,42,,,,,
2012-01-04,13:00,,48,33,,,,,
2012-01-04,14:00,,35,25,,,,,
2012-01-04,15:00,,45,34,,,,,
2012-01-04,16:00,,70,46,,,,,
2012-01-04,17:00,,96,61,,,,,
2012-01-04,18:00,,91,60,,,,,
2012-01-04,19:00,,100,60,,,,,
2012-01-04,20:00,,54,46,,,,,
2012-01-04,21:00,,46,36,,,,,
2012-01-04,22:00,,27,21,,,,,
2012-01-04,23:00,,23,21,,,,,
2012-01-05,,,,,,7,,3.85,
2012-01-05,00:00,,11,11,,,,,
2012-01-05,01:00,,12,9,,,,,
2012-01-05,02:00,,4,6,,,,,
2012-01-05,03:00,,8,5,,,,,
2012-01-05,04:00,,3,5,,,,,
2012-01-05,05:00,,7,5,,,,,
2012-01-05,06:00,,20,12,,,,,
2012-01-05,07:00,,37,22,,,,,
2012-01-05,08:00,,48,29,,,,,
2012-01-05,09:00,,59,27,,,,,
