Datum,Zeit,BEN,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2012-03-01,,,,,,21,,20.46,
2012-03-01,01:00,,1,18,13,,,,1.0
2012-03-01,02:00,,1,18,13,,,,1.0
2012-03-01,03:00,,1,14,15,,,,1.0
2012-03-01,04:00,,1,9,19,,,,1.0
2012-03-01,05:00,,1,10,18,,,,1.0
2012-03-01,06:00,,1,12,16,,,,1.0
2012-03-01,07:00,,1,16,11,,,,1.0
2012-03-01,08:00,,7,24,4,,,,1.0
2012-03-01,09:00,,11,24,5,,,,1.0
2012-03-01,10:00,,12,21,7,,,,1.0
2012-03-01,11:00,,14,23,7,,,,1.0
2012-03-01,12:00,,6,16,18,,,,1.4
2012-03-01,13:00,,4,14,20,,,,2.4
2012-03-01,14:00,,4,19,16,,,,1.0
2012-03-01,15:00,,4,20,18,,,,1.3
2012-03-01,16:00,,4,23,16,,,,1.8
2012-03-01,17:00,,3,29,14,,,,1.2
2012-03-01,18:00,,2,29,13,,,,4.8
2012-03-01,19:00,,3,34,7,,,,5.6
2012-03-01,20:00,,2,31,10,,,,4.5
2012-03-01,21:00,,1,26,13,,,,3.1
2012-03-01,22:00,,2,34,4,,,,2.7
2012-03-01,23:00,,4,36,2,,,,1.4
2012-03-02,,,,,,38,,33.20,
2012-03-02,00:00,,1,28,8,,,,1.8
2012-03-02,01:00,,1,22,14,,,,1.4
2012-03-02,02:00,,1,17,21,,,,1.2
2012-03-02,03:00,,1,15,24,,,,1.4
2012-03-02,04:00,,1,14,23,,,,1.0
2012-03-02,05:00,,1,12,26,,,,1.0
2012-03-02,06:00,,1,14,26,,,,1.0
2012-03-02,07:00,,2,21,17,,,,1.0
2012-03-02,08:00,,8,30,9,,,,1.4
2012-03-02,09:00,,7,26,13,,,,2.2
2012-03-02,10:00,,8,23,17,,,,1.9
2012-03-02,11:00,,7,17,31,,,,2.2
2012-03-02,12:00,,3,12,42,,,,2.1
2012-03-02,13:00,,1,10,53,,,,1.8
2012-03-02,14:00,,1,7,55,,,,1.8
