Datum,Zeit,BEN,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2012-10-01,,,,,,34,,,
2012-10-01,01:00,,23,42,,,,,
2012-10-01,02:00,,32,38,,,,,
2012-10-01,03:00,,33,36,,,,,
2012-10-01,04:00,,7,31,,,,,
2012-10-01,05:00,,14,31,,,,,
2012-10-01,06:00,,27,32,,,,,
2012-10-01,07:00,,114,50,,,,,
2012-10-01,08:00,,139,56,,,,,
2012-10-01,09:00,,63,46,,,,,
2012-10-01,10:00,,75,55,,,,,
2012-10-01,11:00,,43,49,,,,,
2012-10-01,12:00,,38,48,,,,,
2012-10-01,13:00,,36,46,,,,,
2012-10-01,14:00,,28,39,,,,,
2012-10-01,15:00,,43,56,,,,,
2012-10-01,16:00,,19,35,,,,,
2012-10-01,17:00,,53,57,,,,,
2012-10-01,18:00,,108,91,,,,,
2012-10-01,19:00,,70,86,,,,,
2012-10-01,20:00,,58,76,,,,,
2012-10-01,21:00,,18,53,,,,,
2012-10-01,22:00,,2,30,,,,,
2012-10-01,23:00,,2,30,,,,,
2012-10-02,,,,,,31,,,
2012-10-02,00:00,,7,29,,,,,
2012-10-02,01:00,,9,31,,,,,
2012-10-02,02:00,,3,27,,,,,
2012-10-02,03:00,,19,37,,,,,
2012-10-02,04:00,,16,34,,,,,
2012-10-02,05:00,,8,30,,,,,
2012-10-02,06:00,,13,35,,,,,
2012-10-02,07:00,,87,51,,,,,
2012-10-02,08:00,,19,33,,,,,
2012-10-02,09:00,,71,45,,,,,
2012-10-02,10:00,,17,29,,,,,
2012-10-02,11:00,,37,38,,,,,
2012-10-02,12:00,,38,42,,,,,
2012-10-02,13:00,,14,29,,,,,
2012-10-02,14:00,,18,31,,,,,
2012-10-02,15:00,,33,42,,,,,
2012-10-02,16:00,,39,50,,,,,
2012-10-02,17:00,,6,22,,,,,
2012-10-02,18:00,,15,30,,,,,
2012-10-02,19:00,,79,77,,,,,
2012-10-02,20:00,,132,87,,,,,
2012-10-02,21:00,,70,75,,,,,
2012-10-02,22:00,,39,55,,,,,
2012-10-02,23:00,,2,29,,,,,
2012-10-03,,,,,,17,,,
2012-10-03,00:00,,1,23,,,,,
2012-10-03,01:00,,1,16,,,,,
2012-10-03,02:00,,1,14,,,,,
2012-10-03,03:00,,1,13,,,,,
2012-10-03,04:00,,2,23,,,,,
2012-10-03,05:00,,1,18,,,,,
2012-10-03,06:00,,1,14,,,,,
2012-10-03,07:00,,1,13,,,,,
2012-10-03,08:00,,1,16,,,,,
2012-10-03,09:00,,5,20,,,,,
2012-10-03,10:00,,15,26,,,,,
2012-10-03,11:00,,21,27,,,,,
2012-10-03,12:00,,10,17,,,,,
2012-10-03,13:00,,16,21,,,,,
2012-10-03,14:00,,17,23,,,,,
2012-10-03,15:00,,2,6,,,,,
2012-10-03,16:00,,5,9,,,,,
2012-10-03,17:00,,6,10,,,,,
2012-10-03,18:00,,31,44,,,,,
2012-10-03,19:00,,29,46,,,,,
2012-10-03,20:00,,2,20,,,,,
2012-10-03,21:00,,1,14,,,,,
2012-10-03,22:00,,1,12,,,,,
2012-10-03,23:00,,1,11,,,,,
2012-10-04,,,,,,12,,,
2012-10-04,00:00,,1,8,,,,,
2012-10-04,01:00,,1,6,,,,,
2012-10-04,02:00,,1,6,,,,,
2012-10-04,03:00,,1,7,,,,,
2012-10-04,04:00,,1,9,,,,,
2012-10-04,05:00,,4,15,,,,,
2012-10-04,06:00,,6,20,,,,,
2012-10-04,07:00,,7,30,,,,,
2012-10-04,08:00,,5,26,,,,,
2012-10-04,09:00,,5,21,,,,,
2012-10-04,10:00,,7,21,,,,,
2012-10-04,11:00,,10,22,,,,,
2012-10-04,12:00,,19,26,,,,,
2012-10-04,13:00,,28,28,,,,,
2012-10-04,14:00,,25,33,,,,,
2012-10-04,15:00,,44,45,,,,,
2012-10-04,16:00,,10,22,,,,,
2012-10-04,17:00,,11,21,,,,,
2012-10-04,18:00,,2,10,,,,,
2012-10-04,19:00,,1,9,,,,,
2012-10-04,20:00,,1,10,,,,,
2012-10-04,21:00,,2,12,,,,,
2012-10-04,22:00,,2,12,,,,,
2012-10-04,23:00,,6,17,,,,,
2012-10-05,,,,,,12,,,
2012-10-05,00:00,,8,22,,,,,
2012-10-05,01:00,,3,16,,,,,
2012-10-05,02:00,,2,14,,,,,
2012-10-05,03:00,,5,17,,,,,
2012-10-05,04:00,,12,20,,,,,
2012-10-05,05:00,,2,20,,,,,
2012-10-05,06:00,,6,19,,,,,
2012-10-05,07:00,,7,22,,,,,
2012-10-05,08:00,,7,22,,,,,
2012-10-05,09:00,,6,21,,,,,
2012-10-05,10:00,,6,21,,,,,
2012-10-05,11:00,,8,22,,,,,
2012-10-05,12:00,,5,16,,,,,
2012-10-05,13:00,,9,19,,,,,
2012-10-05,14:00,,38,34,,,,,
2012-10-05,15:00,,25,25,,,,,
2012-10-05,16:00,,17,18,,,,,
2012-10-05,17:00,,23,24,,,,,
2012-10-05,18:00,,14,18,,,,,
2012-10-05,19:00,,14,18,,,,,
2012-10-05,20:00,,12,15,,,,,
2012-10-05,21:00,,2,10,,,,,
2012-10-05,22:00,,1,9,,,,,
2012-10-05,23:00,,1,10,,,,,
2012-10-06,,,,,,12,,,
2012-10-06,00:00,,3,16,,,,,
2012-10-06,01:00,,2,9,,,,,
2012-10-06,02:00,,1,8,,,,,
2012-10-06,03:00,,5,14,,,,,
2012-10-06,04:00,,5,15,,,,,
2012-10-06,05:00,,2,12,,,,,
2012-10-06,06:00,,2,13,,,,,
2012-10-06,07:00,,15,18,,,,,
