Datum,Zeit,BEN,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2012-10-01,,,,,,22,,11.11,
2012-10-01,01:00,,1,26,13,,,,
2012-10-01,02:00,,2,24,15,,,,
2012-10-01,03:00,,2,25,11,,,,
2012-10-01,04:00,,4,28,3,,,,
2012-10-01,05:00,,7,29,1,,,,
2012-10-01,06:00,,13,25,1,,,,
2012-10-01,07:00,,34,28,1,,,,
2012-10-01,08:00,,52,35,1,,,,
2012-10-01,09:00,,27,35,12,,,,
2012-10-01,10:00,,17,33,24,,,,
2012-10-01,11:00,,7,25,,,,,
2012-10-01,12:00,,5,21,,,,,
2012-10-01,14:00,,3,14,,,,,
2012-10-01,15:00,,2,14,69,,,,
2012-10-01,16:00,,3,17,64,,,,
2012-10-01,17:00,,2,21,58,,,,
2012-10-01,18:00,,1,22,49,,,,
2012-10-01,19:00,,1,42,25,,,,
2012-10-01,20:00,,3,53,11,,,,
2012-10-01,21:00,,3,42,15,,,,
2012-10-01,22:00,,2,32,18,,,,
2012-10-01,23:00,,1,22,24,,,,
2012-10-02,,,,,,20,,10.57,
2012-10-02,00:00,,1,16,35,,,,
2012-10-02,01:00,,2,16,29,,,,
2012-10-02,02:00,,1,15,24,,,,
2012-10-02,03:00,,2,19,16,,,,
2012-10-02,04:00,,1,18,16,,,,
2012-10-02,05:00,,3,24,14,,,,
2012-10-02,06:00,,6,28,9,,,,
2012-10-02,07:00,,16,35,3,,,,
2012-10-02,08:00,,20,32,6,,,,
2012-10-02,09:00,,15,26,15,,,,
2012-10-02,15:00,,4,17,71,,,,
2012-10-02,16:00,,4,19,70,,,,
2012-10-02,17:00,,3,20,66,,,,
2012-10-02,18:00,,1,21,58,,,,
2012-10-02,19:00,,8,40,32,,,,
2012-10-02,20:00,,18,55,15,,,,
2012-10-02,21:00,,1,38,30,,,,
2012-10-02,22:00,,1,27,32,,,,
2012-10-02,23:00,,1,25,31,,,,
2012-10-03,,,,,,12,,6.66,
2012-10-03,00:00,,1,21,33,,,,
2012-10-03,01:00,,1,17,37,,,,
2012-10-03,02:00,,1,15,39,,,,
2012-10-03,03:00,,1,14,38,,,,
2012-10-03,04:00,,1,12,39,,,,
2012-10-03,05:00,,1,14,38,,,,
2012-10-03,06:00,,1,13,40,,,,
2012-10-03,07:00,,1,17,35,,,,
2012-10-03,08:00,,2,15,41,,,,
2012-10-03,09:00,,3,16,43,,,,
2012-10-03,10:00,,3,12,54,,,,
2012-10-03,11:00,,2,9,66,,,,
2012-10-03,12:00,,2,7,73,,,,
2012-10-03,13:00,,1,6,78,,,,
2012-10-03,14:00,,2,5,78,,,,
