Datum,Zeit,BEN,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2014-01-01,,,,,,60,,,
2014-01-01,01:00,,29,33,,,,,
2014-01-01,02:00,,18,33,,,,,
2014-01-01,03:00,,12,31,,,,,
2014-01-01,04:00,,12,32,,,,,
2014-01-01,05:00,,8,31,,,,,
2014-01-01,06:00,,11,29,,,,,
2014-01-01,07:00,,3,18,,,,,
2014-01-01,08:00,,2,12,,,,,
2014-01-01,09:00,,3,8,,,,,
2014-01-01,10:00,,3,8,,,,,
2014-01-01,11:00,,6,11,,,,,
2014-01-01,12:00,,6,11,,,,,
2014-01-01,13:00,,8,13,,,,,
2014-01-01,14:00,,9,14,,,,,
2014-01-01,15:00,,11,17,,,,,
2014-01-01,16:00,,13,20,,,,,
2014-01-01,17:00,,9,19,,,,,
2014-01-01,18:00,,13,21,,,,,
2014-01-01,19:00,,11,19,,,,,
2014-01-01,20:00,,8,18,,,,,
2014-01-01,21:00,,12,22,,,,,
2014-01-01,22:00,,6,20,,,,,
2014-01-01,23:00,,4,18,,,,,
2014-01-02,,,,,,17,,,
2014-01-02,00:00,,1,14,,,,,
2014-01-02,01:00,,5,16,,,,,
2014-01-02,02:00,,4,18,,,,,
2014-01-02,03:00,,10,25,,,,,
2014-01-02,04:00,,24,26,,,,,
2014-01-02,05:00,,17,21,,,,,
2014-01-02,06:00,,43,36,,,,,
2014-01-02,07:00,,62,43,,,,,
2014-01-02,08:00,,71,48,,,,,
2014-01-02,09:00,,83,53,,,,,
2014-01-02,10:00,,87,50,,,,,
2014-01-02,11:00,,62,42,,,,,
2014-01-02,12:00,,56,41,,,,,
2014-01-02,13:00,,33,32,,,,,
2014-01-02,14:00,,35,31,,,,,
2014-01-02,15:00,,38,29,,,,,
2014-01-02,16:00,,32,31,,,,,
2014-01-02,17:00,,31,30,,,,,
2014-01-02,18:00,,21,25,,,,,
2014-01-02,19:00,,16,23,,,,,
2014-01-02,20:00,,10,20,,,,,
2014-01-02,21:00,,7,18,,,,,
2014-01-02,22:00,,6,17,,,,,
2014-01-02,23:00,,5,18,,,,,
2014-01-03,,,,,,12,,,
2014-01-03,00:00,,2,15,,,,,
2014-01-03,01:00,,4,13,,,,,
2014-01-03,02:00,,3,12,,,,,
2014-01-03,03:00,,2,12,,,,,
2014-01-03,04:00,,8,17,,,,,
2014-01-03,05:00,,7,14,,,,,
2014-01-03,06:00,,11,17,,,,,
2014-01-03,07:00,,24,27,,,,,
2014-01-03,08:00,,25,29,,,,,
2014-01-03,09:00,,49,40,,,,,
2014-01-03,10:00,,63,42,,,,,
2014-01-03,11:00,,59,40,,,,,
2014-01-03,12:00,,38,31,,,,,
2014-01-03,13:00,,45,38,,,,,
2014-01-03,14:00,,31,29,,,,,
2014-01-03,15:00,,27,28,,,,,
2014-01-03,16:00,,32,34,,,,,
2014-01-03,17:00,,26,30,,,,,
2014-01-03,18:00,,22,27,,,,,
2014-01-03,19:00,,14,23,,,,,
2014-01-03,20:00,,8,19,,,,,
2014-01-03,21:00,,5,16,,,,,
2014-01-03,22:00,,5,17,,,,,
2014-01-03,23:00,,6,18,,,,,
2014-01-04,,,,,,12,,,
2014-01-04,00:00,,3,12,,,,,
2014-01-04,01:00,,2,8,,,,,
2014-01-04,02:00,,1,5,,,,,
2014-01-04,03:00,,2,7,,,,,
2014-01-04,04:00,,3,11,,,,,
2014-01-04,05:00,,2,9,,,,,
2014-01-04,06:00,,4,9,,,,,
2014-01-04,07:00,,8,13,,,,,
2014-01-04,08:00,,12,13,,,,,
2014-01-04,09:00,,25,28,,,,,
2014-01-04,10:00,,41,41,,,,,
2014-01-04,11:00,,58,43,,,,,
2014-01-04,12:00,,44,43,,,,,
2014-01-04,13:00,,46,46,,,,,
2014-01-04,14:00,,41,44,,,,,
2014-01-04,15:00,,38,39,,,,,
