Datum,Zeit,BEN,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2014-01-01,,,,,,28,17.36,,
2014-01-01,01:00,1.1,9,28,20,,,,
2014-01-01,02:00,0.9,1,14,35,,,,
2014-01-01,03:00,0.9,1,13,37,,,,
2014-01-01,04:00,0.7,1,16,34,,,,
2014-01-01,05:00,0.7,1,15,33,,,,
2014-01-01,06:00,0.8,1,13,36,,,,
2014-01-01,07:00,0.8,1,11,37,,,,
2014-01-01,08:00,0.8,1,13,35,,,,
2014-01-01,09:00,0.7,1,12,34,,,,
2014-01-01,10:00,0.8,1,10,35,,,,
2014-01-01,11:00,0.8,1,14,33,,,,
2014-01-01,12:00,1.0,1,17,32,,,,
2014-01-01,13:00,0.9,1,18,35,,,,
2014-01-01,14:00,0.7,1,16,39,,,,
2014-01-01,15:00,0.7,1,17,36,,,,
2014-01-01,16:00,0.8,1,22,29,,,,
2014-01-01,17:00,0.7,1,33,20,,,,
2014-01-01,18:00,1.0,9,45,6,,,,
2014-01-01,19:00,2.1,73,53,2,,,,
2014-01-01,20:00,3.1,92,53,2,,,,
2014-01-01,21:00,2.2,1,17,24,,,,
2014-01-01,22:00,1.0,1,14,33,,,,
2014-01-01,23:00,0.8,1,22,29,,,,
2014-01-02,,,,,,15,,,
2014-01-02,00:00,0.7,1,10,48,,,,
2014-01-02,01:00,0.5,1,6,50,,,,
2014-01-02,02:00,0.5,1,5,51,,,,
2014-01-02,03:00,0.5,1,8,47,,,,
2014-01-02,04:00,0.6,1,11,42,,,,
2014-01-02,05:00,0.6,1,15,37,,,,
2014-01-02,06:00,0.7,1,17,31,,,,
2014-01-02,07:00,0.9,1,16,32,,,,
2014-01-02,08:00,1.0,1,16,29,,,,
2014-01-02,09:00,1.0,2,23,22,,,,
2014-01-02,10:00,1.0,3,19,26,,,,
2014-01-02,11:00,1.1,5,19,23,,,,
2014-01-02,12:00,1.2,7,20,28,,,,
2014-01-02,13:00,1.1,8,24,24,,,,
2014-01-02,14:00,1.4,6,26,25,,,,
2014-01-02,15:00,,19,33,23,,,,
2014-01-02,16:00,,6,28,42,,,,
2014-01-02,17:00,,2,20,51,,,,
2014-01-02,18:00,,3,31,36,,,,
2014-01-02,19:00,1.2,4,40,27,,,,
2014-01-02,20:00,1.0,1,18,43,,,,
2014-01-02,21:00,0.7,1,17,42,,,,
2014-01-02,22:00,0.6,1,17,41,,,,
2014-01-02,23:00,0.5,1,15,44,,,,
2014-01-03,,,,,,9,,,
2014-01-03,00:00,0.5,1,14,45,,,,
2014-01-03,01:00,0.4,1,12,46,,,,
2014-01-03,02:00,0.4,1,18,37,,,,
2014-01-03,03:00,0.4,1,14,42,,,,
2014-01-03,04:00,0.4,1,11,45,,,,
2014-01-03,05:00,0.3,1,12,48,,,,
2014-01-03,06:00,0.4,10,40,19,,,,
2014-01-03,07:00,1.1,53,62,1,,,,
2014-01-03,08:00,1.2,95,62,2,,,,
2014-01-03,09:00,1.6,44,51,10,,,,
2014-01-03,10:00,1.1,34,50,13,,,,
2014-01-03,11:00,1.9,27,50,19,,,,
2014-01-03,12:00,0.9,11,29,41,,,,
2014-01-03,13:00,0.7,9,23,47,,,,
2014-01-03,14:00,0.7,5,22,51,,,,
2014-01-03,15:00,0.5,4,26,51,,,,
2014-01-03,16:00,0.9,6,28,46,,,,
2014-01-03,17:00,1.2,1,24,48,,,,
2014-01-03,18:00,0.6,1,26,45,,,,
2014-01-03,19:00,0.5,1,21,44,,,,
2014-01-03,20:00,0.6,1,21,42,,,,
2014-01-03,21:00,0.5,1,20,44,,,,
2014-01-03,22:00,0.4,1,13,50,,,,
2014-01-03,23:00,0.4,1,14,47,,,,
2014-01-04,,,,,,10,,,
2014-01-04,00:00,0.4,1,8,55,,,,
2014-01-04,01:00,0.3,1,8,54,,,,
2014-01-04,02:00,0.2,1,7,56,,,,
2014-01-04,03:00,0.3,1,7,55,,,,
2014-01-04,04:00,0.2,1,7,54,,,,
2014-01-04,05:00,0.2,1,8,53,,,,
2014-01-04,06:00,0.2,1,8,58,,,,
2014-01-04,07:00,0.2,1,11,57,,,,
2014-01-04,08:00,0.3,1,22,44,,,,
2014-01-04,09:00,0.5,28,59,13,,,,
2014-01-04,10:00,1.2,3,25,45,,,,
2014-01-04,11:00,0.6,2,17,50,,,,
2014-01-04,12:00,0.5,4,18,49,,,,
2014-01-04,13:00,0.6,3,22,49,,,,
2014-01-04,14:00,0.6,5,26,49,,,,
2014-01-04,15:00,0.4,1,15,55,,,,
2014-01-04,16:00,0.8,12,36,35,,,,
2014-01-04,17:00,1.0,7,30,37,,,,
2014-01-04,18:00,0.9,6,41,27,,,,
2014-01-04,19:00,1.3,3,29,28,,,,
2014-01-04,20:00,1.1,1,28,26,,,,
