Datum,Zeit,BEN,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2014-06-01,,,,,,12,,,
2014-06-01,01:00,,1,3,108,,,,2.2
2014-06-01,02:00,,1,3,99,,,,2.1
2014-06-01,03:00,,1,3,94,,,,2.0
2014-06-01,04:00,,1,4,88,,,,1.9
2014-06-01,05:00,,1,4,86,,,,1.8
2014-06-01,06:00,,1,5,79,,,,1.9
2014-06-01,07:00,,1,5,70,,,,1.7
2014-06-01,08:00,,1,4,69,,,,1.6
2014-06-01,09:00,,1,2,83,,,,1.6
2014-06-01,10:00,,1,1,102,,,,1.5
2014-06-01,11:00,,1,1,109,,,,1.6
2014-06-01,12:00,,1,1,109,,,,1.6
2014-06-01,13:00,,1,1,114,,,,1.5
2014-06-01,14:00,,1,1,112,,,,1.5
2014-06-01,15:00,,1,1,115,,,,1.5
2014-06-01,16:00,,1,1,120,,,,1.4
2014-06-01,17:00,,1,1,117,,,,1.5
2014-06-01,18:00,,1,1,116,,,,1.5
2014-06-01,19:00,,1,1,111,,,,1.4
2014-06-01,20:00,,1,2,104,,,,1.4
2014-06-01,21:00,,1,3,98,,,,1.4
2014-06-01,22:00,,1,2,101,,,,1.6
2014-06-01,23:00,,1,2,97,,,,1.4
2014-06-02,,,,,,12,,,
2014-06-02,00:00,,1,2,98,,,,1.5
2014-06-02,01:00,,1,2,99,,,,1.6
2014-06-02,02:00,,1,3,100,,,,1.8
2014-06-02,03:00,,1,3,98,,,,1.6
2014-06-02,04:00,,1,2,99,,,,1.5
2014-06-02,05:00,,1,2,100,,,,1.5
2014-06-02,06:00,,1,2,100,,,,1.5
2014-06-02,07:00,,1,2,91,,,,1.4
2014-06-02,08:00,,1,2,82,,,,1.4
2014-06-02,09:00,,1,1,102,,,,1.6
2014-06-02,10:00,,1,1,104,,,,1.4
2014-06-02,11:00,,1,1,108,,,,1.5
2014-06-02,12:00,,1,2,109,,,,1.5
2014-06-02,13:00,,1,2,111,,,,1.9
2014-06-02,14:00,,1,1,111,,,,1.7
2014-06-02,15:00,0.2,1,1,112,,,,1.5
2014-06-02,16:00,0.2,1,1,114,,,,1.5
2014-06-02,17:00,0.2,1,1,115,,,,1.6
2014-06-02,18:00,0.2,1,1,118,,,,1.5
2014-06-02,19:00,0.2,1,2,114,,,,1.5
2014-06-02,20:00,0.2,1,2,111,,,,1.4
2014-06-02,21:00,0.2,1,2,105,,,,1.6
2014-06-02,22:00,0.2,1,3,97,,,,1.4
2014-06-02,23:00,0.2,1,2,103,,,,1.5
2014-06-03,,,,,,10,,,
2014-06-03,00:00,0.2,1,2,103,,,,1.7
2014-06-03,01:00,0.2,1,3,101,,,,1.8
2014-06-03,02:00,0.2,1,2,99,,,,1.7
2014-06-03,03:00,0.2,1,2,99,,,,1.7
2014-06-03,04:00,0.2,1,2,98,,,,1.5
2014-06-03,05:00,0.2,1,2,97,,,,1.6
2014-06-03,06:00,0.2,1,2,92,,,,1.7
2014-06-03,07:00,0.2,1,2,86,,,,1.7
2014-06-03,08:00,0.2,2,4,76,,,,1.6
2014-06-03,09:00,,2,3,79,,,,1.8
2014-06-03,10:00,,1,2,88,,,,1.8
2014-06-03,11:00,,1,1,94,,,,1.4
2014-06-03,12:00,,1,2,90,,,,1.5
2014-06-03,13:00,0.2,1,1,92,,,,1.4
2014-06-03,14:00,0.2,1,1,95,,,,1.4
2014-06-03,15:00,0.1,1,1,98,,,,1.5
2014-06-03,16:00,0.1,1,1,103,,,,1.7
2014-06-03,17:00,0.1,1,1,106,,,,1.8
2014-06-03,18:00,0.2,1,1,108,,,,1.8
2014-06-03,19:00,0.2,1,1,108,,,,1.8
2014-06-03,20:00,0.2,1,3,95,,,,1.8
2014-06-03,21:00,0.2,1,2,109,,,,2.0
2014-06-03,22:00,0.2,1,2,111,,,,2.0
2014-06-03,23:00,0.2,1,2,111,,,,2.0
2014-06-04,,,,,,14,,,
2014-06-04,00:00,0.2,1,2,113,,,,4.1
2014-06-04,01:00,0.2,1,2,108,,,,4.6
2014-06-04,02:00,0.3,1,5,91,,,,9.9
2014-06-04,03:00,0.3,1,11,79,,,,17.9
2014-06-04,04:00,0.6,1,14,73,,,,17.3
2014-06-04,05:00,0.5,1,13,73,,,,11.5
2014-06-04,06:00,0.4,1,10,80,,,,11.3
2014-06-04,07:00,0.4,2,9,81,,,,12.9
2014-06-04,08:00,0.3,3,12,90,,,,26.2
2014-06-04,09:00,0.5,2,8,104,,,,20.4
2014-06-04,10:00,0.7,2,10,128,,,,21.6
2014-06-04,11:00,,3,11,110,,,,30.5
2014-06-04,12:00,,3,10,106,,,,18.5
2014-06-04,13:00,0.3,2,14,99,,,,11.9
2014-06-04,14:00,0.2,1,3,119,,,,4.1
2014-06-04,15:00,0.2,1,3,119,,,,4.4
2014-06-04,16:00,0.2,1,2,121,,,,2.3
2014-06-04,17:00,0.2,1,2,121,,,,3.4
2014-06-04,18:00,2.5,2,10,130,,,,20.7
2014-06-04,19:00,3.1,1,7,126,,,,18.9
2014-06-04,20:00,3.3,1,10,117,,,,19.0
2014-06-04,21:00,0.6,1,7,120,,,,6.9
2014-06-04,22:00,0.2,1,4,128,,,,17.0
2014-06-04,23:00,1.6,1,15,113,,,,25.5
2014-06-05,,,,,,6,,,
2014-06-05,00:00,0.7,1,14,116,,,,20.5
2014-06-05,01:00,0.6,1,7,112,,,,11.4
2014-06-05,02:00,0.2,1,3,110,,,,4.2
2014-06-05,03:00,0.2,1,2,103,,,,2.1
2014-06-05,04:00,0.2,1,1,92,,,,1.7
2014-06-05,05:00,0.2,1,1,84,,,,1.8
2014-06-05,06:00,0.2,1,1,73,,,,1.3
2014-06-05,07:00,0.2,1,1,67,,,,1.1
2014-06-05,08:00,0.1,1,1,67,,,,0.5
2014-06-05,09:00,0.1,1,1,70,,,,0.5
2014-06-05,10:00,0.1,1,1,76,,,,1.1
2014-06-05,11:00,0.1,1,1,82,,,,1.1
2014-06-05,12:00,0.1,1,1,87,,,,1.2
2014-06-05,13:00,0.1,1,1,90,,,,1.3
2014-06-05,14:00,0.1,1,1,90,,,,1.3
2014-06-05,15:00,0.1,1,1,95,,,,1.4
2014-06-05,16:00,0.1,1,1,99,,,,1.3
2014-06-05,17:00,0.1,1,1,97,,,,1.3
2014-06-05,18:00,0.1,1,1,95,,,,1.4
2014-06-05,19:00,0.1,1,1,95,,,,1.5
2014-06-05,20:00,0.1,1,2,95,,,,1.3
2014-06-05,21:00,0.2,1,2,100,,,,1.4
2014-06-05,22:00,0.2,1,1,100,,,,1.5
2014-06-05,23:00,0.2,1,1,100,,,,1.6
2014-06-06,,,,,,12,,,
2014-06-06,00:00,0.1,1,1,102,,,,1.3
2014-06-06,01:00,0.1,1,1,105,,,,1.4
2014-06-06,02:00,0.1,1,1,108,,,,1.4
2014-06-06,03:00,0.1,1,1,108,,,,1.3
2014-06-06,04:00,0.1,1,1,107,,,,1.9
2014-06-06,05:00,0.2,1,4,103,,,,7.1
2014-06-06,06:00,0.4,1,6,94,,,,12.8
2014-06-06,07:00,0.7,3,11,81,,,,23.4
2014-06-06,08:00,0.8,4,12,81,,,,26.4
2014-06-06,09:00,0.4,1,3,98,,,,7.7
2014-06-06,10:00,0.3,1,3,111,,,,8.0
2014-06-06,11:00,1.0,2,4,102,,,,15.2
2014-06-06,12:00,0.4,2,4,100,,,,6.8
2014-06-06,13:00,0.2,1,2,103,,,,3.2
2014-06-06,14:00,0.2,1,2,106,,,,3.3
2014-06-06,15:00,0.2,1,2,109,,,,4.0
2014-06-06,16:00,0.1,1,2,111,,,,4.7
2014-06-06,17:00,0.1,1,4,116,,,,5.9
2014-06-06,18:00,0.2,1,4,121,,,,6.2
2014-06-06,19:00,0.4,1,4,125,,,,6.7
2014-06-06,20:00,0.5,1,4,126,,,,4.3
2014-06-06,21:00,0.3,1,4,127,,,,3.7
2014-06-06,22:00,0.2,1,5,124,,,,4.8
2014-06-06,23:00,0.2,1,5,119,,,,8.5
2014-06-07,,,,,,15,,,
2014-06-07,00:00,,1,12,106,,,,29.7
2014-06-07,01:00,,1,14,101,,,,40.6
2014-06-07,02:00,,1,10,106,,,,28.7
2014-06-07,03:00,,1,6,109,,,,11.7
2014-06-07,04:00,0.2,1,7,104,,,,12.6
2014-06-07,05:00,0.2,1,10,101,,,,13.2
2014-06-07,06:00,0.2,2,9,99,,,,12.2
2014-06-07,07:00,0.2,2,7,98,,,,9.6
2014-06-07,08:00,0.2,2,5,101,,,,8.9
2014-06-07,09:00,0.5,2,6,114,,,,10.3
2014-06-07,10:00,1.4,2,7,132,,,,15.8
2014-06-07,11:00,2.2,2,8,156,,,,21.7
2014-06-07,12:00,1.4,2,6,117,,,,22.9
2014-06-07,13:00,0.6,2,7,120,,,,16.5
2014-06-07,14:00,0.2,1,3,130,,,,6.9
2014-06-07,15:00,0.2,1,2,125,,,,4.4
2014-06-07,16:00,0.2,1,2,130,,,,4.9
2014-06-07,17:00,0.2,1,2,130,,,,4.3
2014-06-07,18:00,0.2,1,2,129,,,,4.4
2014-06-07,19:00,0.2,1,4,124,,,,8.0
2014-06-07,20:00,0.5,1,2,123,,,,5.8
2014-06-07,21:00,0.4,1,4,124,,,,13.7
2014-06-07,22:00,0.3,1,7,121,,,,14.7
2014-06-07,23:00,0.3,1,12,119,,,,24.6
2014-06-08,,,,,,17,,,
2014-06-08,00:00,0.2,1,4,127,,,,8.2
2014-06-08,01:00,0.2,1,6,115,,,,9.1
2014-06-08,02:00,0.4,1,9,108,,,,12.6
2014-06-08,03:00,0.5,1,16,101,,,,24.3
2014-06-08,04:00,0.4,1,9,111,,,,15.1
2014-06-08,05:00,0.5,1,14,112,,,,19.2
2014-06-08,06:00,0.2,1,8,119,,,,12.9
2014-06-08,07:00,0.2,1,4,121,,,,7.6
2014-06-08,08:00,0.2,1,1,128,,,,4.0
2014-06-08,09:00,0.2,1,1,127,,,,3.9
2014-06-08,10:00,0.2,1,1,135,,,,4.6
2014-06-08,11:00,0.2,1,1,140,,,,3.9
2014-06-08,12:00,0.2,1,3,138,,,,6.4
2014-06-08,13:00,0.2,1,2,139,,,,6.2
2014-06-08,14:00,0.2,1,1,136,,,,3.7
2014-06-08,15:00,0.1,1,1,125,,,,3.1
2014-06-08,16:00,0.1,1,1,127,,,,3.7
2014-06-08,17:00,0.2,1,1,131,,,,4.6
2014-06-08,18:00,0.3,1,1,133,,,,6.2
2014-06-08,19:00,0.3,1,2,136,,,,8.6
2014-06-08,20:00,0.2,1,2,133,,,,4.3
2014-06-08,21:00,0.2,1,3,143,,,,4.6
2014-06-08,22:00,0.3,1,4,141,,,,5.6
2014-06-08,23:00,0.2,1,4,133,,,,6.7
2014-06-09,,,,,,16,,,
2014-06-09,00:00,0.2,1,8,119,,,,14.9
2014-06-09,01:00,0.4,1,16,101,,,,28.5
2014-06-09,02:00,0.4,1,10,103,,,,17.5
2014-06-09,03:00,0.4,1,9,103,,,,21.4
2014-06-09,04:00,0.7,1,5,105,,,,12.9
2014-06-09,05:00,0.4,1,2,106,,,,8.5
2014-06-09,06:00,0.4,1,4,101,,,,12.0
2014-06-09,07:00,1.0,2,7,94,,,,22.3
2014-06-09,08:00,0.7,3,11,88,,,,24.6
2014-06-09,09:00,0.4,2,7,94,,,,16.6
2014-06-09,10:00,0.4,1,4,110,,,,10.8
2014-06-09,11:00,0.8,1,4,136,,,,16.7
2014-06-09,12:00,1.4,1,2,125,,,,10.1
2014-06-09,13:00,0.4,1,3,128,,,,9.6
2014-06-09,14:00,1.1,1,6,161,,,,29.4
2014-06-09,15:00,0.9,1,5,144,,,,18.7
2014-06-09,16:00,0.6,1,3,135,,,,12.9
2014-06-09,17:00,0.6,1,3,126,,,,15.9
2014-06-09,18:00,0.4,1,3,128,,,,11.8
2014-06-09,19:00,0.2,1,1,124,,,,3.2
2014-06-09,20:00,0.2,1,2,134,,,,3.1
2014-06-09,21:00,0.3,1,3,140,,,,4.3
2014-06-09,22:00,0.5,1,36,114,,,,97.0
2014-06-09,23:00,1.5,1,36,112,,,,71.6
2014-06-10,,,,,,18,,,
2014-06-10,00:00,2.3,1,5,142,,,,21.8
2014-06-10,01:00,0.6,1,4,138,,,,27.6
2014-06-10,02:00,,1,9,126,,,,26.8
2014-06-10,03:00,,1,28,96,,,,36.4
2014-06-10,04:00,,1,8,115,,,,13.5
2014-06-10,05:00,,1,9,110,,,,11.1
2014-06-10,06:00,,1,8,106,,,,10.8
2014-06-10,07:00,,2,6,99,,,,7.5
2014-06-10,08:00,,2,7,91,,,,6.5
