Datum,Zeit,BEN,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2014-10-01,,,,,,29,,,
2014-10-01,01:00,,5,9,2,,,,1.1
2014-10-01,02:00,,4,10,2,,,,1.4
2014-10-01,03:00,,5,10,2,,,,1.1
2014-10-01,04:00,,5,8,2,,,,0.5
2014-10-01,05:00,,7,9,2,,,,0.5
2014-10-01,06:00,,18,8,2,,,,0.5
2014-10-01,07:00,,23,8,1,,,,0.5
2014-10-01,08:00,,37,13,2,,,,1.1
2014-10-01,09:00,,50,24,2,,,,2.2
2014-10-01,10:00,,37,34,5,,,,2.4
2014-10-01,11:00,,10,26,24,,,,2.3
2014-10-01,12:00,,5,20,36,,,,2.7
2014-10-01,13:00,,5,20,41,,,,2.4
2014-10-01,14:00,,4,16,55,,,,1.9
2014-10-01,15:00,,5,20,54,,,,1.6
2014-10-01,16:00,,5,20,57,,,,3.0
2014-10-01,17:00,,3,20,51,,,,6.4
2014-10-01,18:00,,8,23,43,,,,1.8
2014-10-01,19:00,,37,47,11,,,,1.3
2014-10-01,20:00,,12,37,5,,,,0.5
2014-10-01,21:00,,6,26,3,,,,0.5
2014-10-01,22:00,,4,17,3,,,,0.5
2014-10-01,23:00,,6,15,3,,,,0.5
2014-10-02,,,,,,22,,,
2014-10-02,00:00,,6,15,2,,,,0.5
2014-10-02,01:00,,6,11,1,,,,0.5
2014-10-02,02:00,,9,13,1,,,,0.5
2014-10-02,03:00,,9,14,2,,,,0.5
2014-10-02,04:00,,15,16,2,,,,0.5
2014-10-02,05:00,,11,18,1,,,,0.5
2014-10-02,06:00,,29,18,1,,,,0.5
2014-10-02,07:00,,40,21,2,,,,0.5
2014-10-02,08:00,,22,20,3,,,,0.5
2014-10-02,09:00,,23,22,6,,,,1.3
2014-10-02,10:00,,22,27,9,,,,1.9
2014-10-02,11:00,,10,23,35,,,,2.7
2014-10-02,12:00,,2,8,71,,,,5.5
2014-10-02,13:00,,1,5,78,,,,1.3
2014-10-02,14:00,,2,8,76,,,,1.2
2014-10-02,15:00,,3,10,74,,,,1.3
2014-10-02,16:00,,1,7,80,,,,1.2
2014-10-02,17:00,,1,8,68,,,,1.2
2014-10-02,18:00,,2,21,46,,,,1.1
2014-10-02,19:00,,3,29,25,,,,0.5
2014-10-02,20:00,,1,15,32,,,,0.5
2014-10-02,21:00,,3,21,12,,,,0.5
2014-10-02,22:00,,5,21,3,,,,0.5
2014-10-02,23:00,,6,16,2,,,,0.5
2014-10-03,,,,,,27,,,
2014-10-03,00:00,,6,11,1,,,,0.5
2014-10-03,01:00,,5,14,2,,,,0.5
2014-10-03,02:00,,3,14,2,,,,0.5
2014-10-03,03:00,,1,11,11,,,,0.5
