Datum,Zeit,BEN,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2015-03-01,01:00,,1,18,41,,,,47.0
2015-03-01,02:00,,1,9,50,,,,5.4
2015-03-01,03:00,,1,8,48,,,,3.0
2015-03-01,04:00,,1,19,40,,,,65.7
2015-03-01,05:00,,1,16,41,,,,40.8
2015-03-01,06:00,,1,17,40,,,,40.9
2015-03-01,07:00,,1,8,45,,,,8.9
2015-03-01,08:00,,1,6,48,,,,5.1
2015-03-01,09:00,,1,7,45,,,,3.5
2015-03-01,10:00,,2,6,49,,,,3.3
2015-03-01,11:00,,2,6,46,,,,2.2
2015-03-01,12:00,,2,7,43,,,,1.0
2015-03-01,13:00,,2,7,45,,,,1.9
2015-03-01,14:00,,3,9,46,,,,11.7
2015-03-01,15:00,,3,9,49,,,,13.4
2015-03-01,16:00,,3,9,46,,,,10.9
2015-03-01,17:00,,1,10,49,,,,5.9
2015-03-01,18:00,,1,9,51,,,,3.8
2015-03-01,19:00,,1,15,38,,,,12.6
2015-03-01,20:00,,1,6,58,,,,3.0
2015-03-01,21:00,,1,10,42,,,,3.3
2015-03-01,22:00,,1,11,40,,,,4.6
2015-03-01,23:00,,1,8,49,,,,3.6
2015-03-02,00:00,,1,5,67,,,,2.6
2015-03-02,01:00,,1,2,84,,,,1.9
2015-03-02,02:00,,1,2,85,,,,1.9
2015-03-02,03:00,,1,3,71,,,,2.4
2015-03-02,04:00,,1,8,56,,,,9.4
2015-03-02,05:00,,1,20,32,,,,52.0
2015-03-02,06:00,,1,16,43,,,,38.5
2015-03-02,07:00,,1,7,54,,,,5.7
2015-03-02,08:00,,1,4,65,,,,2.6
2015-03-02,09:00,,1,4,77,,,,1.8
2015-03-02,10:00,,1,4,79,,,,1.8
2015-03-02,11:00,,1,4,80,,,,1.8
2015-03-02,12:00,,1,4,81,,,,1.7
2015-03-02,13:00,,1,3,82,,,,1.7
2015-03-02,14:00,,1,3,85,,,,1.7
2015-03-02,15:00,,1,4,88,,,,1.9
2015-03-02,16:00,,1,5,85,,,,1.8
2015-03-02,17:00,,1,4,86,,,,1.6
2015-03-02,18:00,,1,5,84,,,,1.6
2015-03-02,19:00,,1,6,79,,,,1.9
2015-03-02,20:00,,1,7,76,,,,1.9
2015-03-02,21:00,,1,6,78,,,,1.8
2015-03-02,22:00,,1,5,79,,,,1.8
2015-03-02,23:00,,1,5,79,,,,3.7
2015-03-03,00:00,,1,4,79,,,,1.6
2015-03-03,01:00,,1,5,75,,,,1.5
2015-03-03,02:00,,1,4,73,,,,1.6
2015-03-03,03:00,,1,4,72,,,,1.4
2015-03-03,04:00,,1,4,74,,,,1.5
2015-03-03,05:00,,1,4,73,,,,1.4
2015-03-03,06:00,,1,4,70,,,,1.6
2015-03-03,07:00,,1,5,68,,,,1.6
2015-03-03,08:00,,1,5,68,,,,1.6
2015-03-03,09:00,,1,4,71,,,,1.6
2015-03-03,10:00,,2,4,73,,,,1.6
2015-03-03,11:00,,2,4,77,,,,1.6
2015-03-03,12:00,,1,3,74,,,,1.4
2015-03-03,13:00,,1,2,64,,,,1.1
2015-03-03,14:00,,1,2,71,,,,1.3
2015-03-03,15:00,,1,2,74,,,,1.3
2015-03-03,16:00,,1,2,75,,,,1.4
2015-03-03,17:00,,1,3,75,,,,1.4
2015-03-03,18:00,,1,3,75,,,,1.6
2015-03-03,19:00,,1,10,68,,,,28.3
2015-03-03,20:00,,1,9,68,,,,21.3
2015-03-03,21:00,,1,8,68,,,,7.2
2015-03-03,22:00,,1,7,69,,,,5.3
2015-03-03,23:00,,1,6,71,,,,5.3
2015-03-04,00:00,,1,5,74,,,,3.6
2015-03-04,01:00,,1,2,78,,,,1.6
2015-03-04,02:00,,1,1,79,,,,1.7
2015-03-04,03:00,,1,3,71,,,,1.7
2015-03-04,04:00,,1,2,73,,,,1.7
2015-03-04,05:00,,1,3,70,,,,2.4
2015-03-04,06:00,,1,4,67,,,,3.0
2015-03-04,07:00,,1,4,65,,,,2.0
2015-03-04,08:00,,1,3,69,,,,1.6
2015-03-04,09:00,,1,4,70,,,,1.6
2015-03-04,10:00,,1,4,68,,,,1.7
2015-03-04,11:00,,2,3,71,,,,1.7
2015-03-04,12:00,,2,3,73,,,,1.6
2015-03-04,13:00,,2,3,73,,,,1.5
2015-03-04,14:00,,1,3,74,,,,1.5
2015-03-04,15:00,,1,3,74,,,,1.5
2015-03-04,16:00,,1,4,72,,,,1.5
2015-03-04,17:00,,1,4,71,,,,1.5
2015-03-04,18:00,,1,6,68,,,,1.5
2015-03-04,19:00,,1,6,67,,,,1.5
2015-03-04,20:00,,1,6,66,,,,1.6
2015-03-04,21:00,,1,7,64,,,,1.6
2015-03-04,22:00,,1,7,62,,,,1.6
2015-03-04,23:00,,1,7,62,,,,1.5
2015-03-05,00:00,,1,7,61,,,,1.5
2015-03-05,01:00,,1,6,62,,,,1.5
2015-03-05,02:00,,1,5,62,,,,1.4
2015-03-05,03:00,,1,5,62,,,,1.5
2015-03-05,04:00,,1,5,62,,,,1.4
2015-03-05,05:00,,1,4,62,,,,1.3
2015-03-05,06:00,,1,4,60,,,,1.2
2015-03-05,07:00,,1,5,59,,,,1.2
2015-03-05,08:00,,1,5,61,,,,1.2
2015-03-05,09:00,,2,5,59,,,,1.2
2015-03-05,10:00,,2,4,64,,,,1.3
2015-03-05,11:00,,2,4,66,,,,1.3
2015-03-05,12:00,,2,4,69,,,,1.4
2015-03-05,13:00,,2,4,72,,,,1.4
2015-03-05,14:00,,2,3,71,,,,1.3
2015-03-05,15:00,,2,3,74,,,,1.4
2015-03-05,16:00,,2,6,72,,,,1.4
2015-03-05,17:00,,2,7,71,,,,1.3
2015-03-05,18:00,,1,6,71,,,,1.4
2015-03-05,19:00,,1,7,67,,,,1.4
2015-03-05,20:00,,1,6,67,,,,1.3
2015-03-05,21:00,,1,8,63,,,,1.3
2015-03-05,22:00,,1,7,63,,,,1.2
2015-03-05,23:00,,2,7,63,,,,1.3
2015-03-06,00:00,,1,5,62,,,,1.2
2015-03-06,01:00,,1,7,60,,,,1.2
2015-03-06,02:00,,1,8,57,,,,1.2
2015-03-06,03:00,,1,8,55,,,,1.1
2015-03-06,04:00,,1,9,53,,,,1.1
2015-03-06,05:00,,2,12,47,,,,1.0
2015-03-06,06:00,,2,12,47,,,,0.5
2015-03-06,07:00,,3,7,53,,,,1.1
2015-03-06,08:00,,1,5,56,,,,1.4
2015-03-06,09:00,,1,5,53,,,,2.0
2015-03-06,10:00,,1,5,51,,,,3.3
2015-03-06,11:00,,2,5,55,,,,4.5
2015-03-06,12:00,,2,4,55,,,,2.2
2015-03-06,13:00,,2,5,57,,,,1.5
2015-03-06,14:00,,2,7,55,,,,1.5
2015-03-06,15:00,,2,7,59,,,,1.4
2015-03-06,16:00,,1,7,62,,,,1.4
2015-03-06,17:00,,1,8,62,,,,1.4
2015-03-06,18:00,,1,9,58,,,,1.3
2015-03-06,19:00,,1,11,53,,,,1.2
2015-03-06,20:00,,1,14,49,,,,2.0
2015-03-06,21:00,,1,12,51,,,,2.5
2015-03-06,22:00,,1,11,50,,,,1.7
2015-03-06,23:00,,1,10,50,,,,1.8
2015-03-07,00:00,,1,10,47,,,,1.7
2015-03-07,01:00,,1,9,51,,,,2.1
2015-03-07,02:00,,1,8,50,,,,2.0
2015-03-07,03:00,,1,8,51,,,,2.1
2015-03-07,04:00,,1,7,54,,,,2.2
2015-03-07,05:00,,1,6,54,,,,2.0
2015-03-07,06:00,,1,5,59,,,,2.0
2015-03-07,07:00,,1,4,66,,,,1.8
2015-03-07,08:00,,1,3,70,,,,2.3
2015-03-07,09:00,,3,8,67,,,,28.4
2015-03-07,10:00,,2,5,75,,,,10.0
2015-03-07,11:00,,3,7,73,,,,26.5
2015-03-07,12:00,,3,7,73,,,,25.3
2015-03-07,13:00,,2,4,76,,,,13.2
2015-03-07,14:00,,2,4,80,,,,13.1
2015-03-07,15:00,,2,4,80,,,,9.0
2015-03-07,16:00,,2,6,79,,,,13.5
2015-03-07,17:00,,1,7,77,,,,12.5
2015-03-07,18:00,,1,7,74,,,,3.7
2015-03-07,19:00,,1,12,67,,,,5.5
2015-03-07,20:00,,1,9,70,,,,4.2
2015-03-07,21:00,,1,8,70,,,,12.4
2015-03-07,22:00,,1,24,52,,,,96.9
2015-03-07,23:00,,1,16,57,,,,46.3
2015-03-08,00:00,,1,20,53,,,,32.5
2015-03-08,01:00,,1,26,46,,,,54.1
2015-03-08,02:00,,1,33,37,,,,72.3
2015-03-08,03:00,,1,24,45,,,,43.3
2015-03-08,04:00,,1,17,53,,,,29.9
2015-03-08,05:00,,1,20,50,,,,55.8
2015-03-08,06:00,,1,15,50,,,,39.8
2015-03-08,07:00,,1,13,52,,,,30.0
2015-03-08,08:00,,1,13,55,,,,30.4
2015-03-08,09:00,,2,11,64,,,,13.8
2015-03-08,10:00,,3,8,67,,,,18.2
2015-03-08,11:00,,4,9,67,,,,20.6
2015-03-08,12:00,,3,10,82,,,,27.2
2015-03-08,13:00,,5,12,84,,,,27.2
2015-03-08,14:00,,4,10,76,,,,9.5
2015-03-08,15:00,,3,8,80,,,,12.0
2015-03-08,16:00,,2,9,80,,,,8.9
2015-03-08,17:00,,2,9,77,,,,7.4
2015-03-08,18:00,,1,14,68,,,,7.7
2015-03-08,19:00,,1,17,63,,,,7.9
2015-03-08,20:00,,1,10,74,,,,8.1
2015-03-08,21:00,,1,10,76,,,,12.9
2015-03-08,22:00,,1,11,74,,,,12.1
2015-03-08,23:00,,1,17,67,,,,15.0
2015-03-09,00:00,,1,17,67,,,,15.6
2015-03-09,01:00,,1,11,73,,,,10.6
2015-03-09,02:00,,1,12,73,,,,15.5
2015-03-09,03:00,,1,10,80,,,,11.4
2015-03-09,04:00,,1,9,73,,,,11.8
2015-03-09,05:00,,1,11,65,,,,13.2
2015-03-09,06:00,,1,12,68,,,,14.8
2015-03-09,07:00,,1,7,80,,,,10.3
2015-03-09,08:00,,1,7,80,,,,9.6
2015-03-09,09:00,,1,7,75,,,,7.8
2015-03-09,10:00,,3,8,66,,,,4.7
2015-03-09,11:00,,4,11,63,,,,9.6
2015-03-09,12:00,,5,12,66,,,,14.3
2015-03-09,13:00,,4,11,64,,,,8.1
2015-03-09,14:00,,5,11,57,,,,3.6
2015-03-09,15:00,,4,11,60,,,,3.3
2015-03-09,16:00,,3,11,64,,,,3.4
2015-03-09,17:00,,2,11,66,,,,3.4
2015-03-09,18:00,,2,15,65,,,,3.3
2015-03-09,19:00,,1,18,62,,,,3.8
2015-03-09,20:00,,,,59,,,,3.8
2015-03-09,21:00,,,,61,,,,14.8
2015-03-09,22:00,,,,65,,,,21.5
2015-03-09,23:00,,,,62,,,,22.2
2015-03-10,00:00,,,,57,,,,26.7
2015-03-10,01:00,,,,61,,,,22.5
2015-03-10,02:00,,,,61,,,,22.6
2015-03-10,03:00,,,,73,,,,14.9
2015-03-10,04:00,,,,75,,,,15.4
2015-03-10,05:00,,,,68,,,,18.6
2015-03-10,06:00,,,,67,,,,18.7
2015-03-10,07:00,,,,73,,,,21.4
2015-03-10,08:00,,,,82,,,,7.1
2015-03-10,09:00,,,,86,,,,7.3
2015-03-10,10:00,,,,85,,,,9.3
2015-03-10,11:00,,,,81,,,,7.0
2015-03-10,12:00,,,,81,,,,5.2
2015-03-10,13:00,,,,85,,,,5.1
2015-03-10,14:00,,,,87,,,,6.1
2015-03-10,15:00,,,,82,,,,5.4
2015-03-10,16:00,,,,80,,,,5.2
2015-03-10,17:00,,,,71,,,,3.7
2015-03-10,18:00,,,,66,,,,4.8
2015-03-10,19:00,,,,53,,,,6.0
2015-03-10,20:00,,,,37,,,,1.7
2015-03-10,21:00,,,,45,,,,1.3
2015-03-10,22:00,,,,22,,,,0.5
2015-03-10,23:00,,,,34,,,,0.5
2015-03-11,00:00,,,,56,,,,1.5
2015-03-11,01:00,,,,57,,,,1.4
2015-03-11,02:00,,,,57,,,,1.3
2015-03-11,03:00,,,,59,,,,1.3
2015-03-11,04:00,,,,65,,,,1.3
2015-03-11,05:00,,,,67,,,,1.3
2015-03-11,06:00,,,,70,,,,1.4
2015-03-11,07:00,,,,72,,,,1.4
2015-03-11,08:00,,,,70,,,,1.3
2015-03-11,09:00,,,,73,,,,1.3
2015-03-11,10:00,,,,74,,,,1.4
2015-03-11,11:00,,1,5,75,,,,1.4
2015-03-11,12:00,,1,7,72,,,,1.3
2015-03-11,13:00,,1,8,70,,,,1.3
2015-03-11,14:00,,1,8,70,,,,1.3
2015-03-11,15:00,,1,6,69,,,,1.3
2015-03-11,16:00,,1,8,67,,,,1.3
2015-03-11,17:00,,2,10,63,,,,1.3
2015-03-11,18:00,,1,9,63,,,,1.2
2015-03-11,19:00,,1,10,60,,,,1.2
2015-03-11,20:00,,1,10,57,,,,1.1
2015-03-11,21:00,,1,12,52,,,,1.0
2015-03-11,22:00,,1,11,50,,,,0.5
2015-03-11,23:00,,1,10,49,,,,1.0
2015-03-12,00:00,,1,13,46,,,,0.5
2015-03-12,01:00,,1,13,45,,,,0.5
2015-03-12,02:00,,1,8,53,,,,1.1
2015-03-12,03:00,,1,8,54,,,,1.1
2015-03-12,04:00,,1,5,59,,,,1.2
2015-03-12,05:00,,1,5,60,,,,1.2
2015-03-12,06:00,,1,5,57,,,,1.1
2015-03-12,07:00,,1,5,60,,,,1.2
2015-03-12,08:00,,1,5,61,,,,1.2
2015-03-12,13:00,,2,7,,,,,2.9
2015-03-12,14:00,,2,9,,,,,1.8
2015-03-12,15:00,,2,10,,,,,1.4
2015-03-12,16:00,,2,10,,,,,1.2
2015-03-12,17:00,,1,11,,,,,1.1
2015-03-12,18:00,,1,10,,,,,1.1
2015-03-12,19:00,,3,10,,,,,3.1
2015-03-12,20:00,,1,10,,,,,3.4
2015-03-12,21:00,,1,8,,,,,1.2
2015-03-12,22:00,,1,8,,,,,1.2
2015-03-12,23:00,,1,5,,,,,2.0
2015-03-13,00:00,,1,6,,,,,2.1
2015-03-13,01:00,,1,6,,,,,1.1
2015-03-13,02:00,,1,7,,,,,1.1
2015-03-13,03:00,,1,7,,,,,1.0
2015-03-13,04:00,,1,7,,,,,0.5
2015-03-13,05:00,,1,8,,,,,0.5
2015-03-13,06:00,,1,8,,,,,0.5
2015-03-13,07:00,,1,7,,,,,0.5
2015-03-13,08:00,,1,6,,,,,1.1
2015-03-13,09:00,,1,7,,,,,1.1
2015-03-13,10:00,,2,10,,,,,0.5
2015-03-13,11:00,,5,12,,,,,0.5
2015-03-13,12:00,,3,9,,,,,1.1
2015-03-13,13:00,,2,7,63,,,,1.3
2015-03-13,14:00,,2,8,64,,,,1.4
2015-03-13,15:00,,2,9,59,,,,1.3
2015-03-13,16:00,,2,11,56,,,,1.2
2015-03-13,17:00,,2,13,53,,,,1.8
2015-03-13,18:00,,1,15,53,,,,1.8
2015-03-13,19:00,,1,15,51,,,,1.9
2015-03-13,20:00,,1,11,51,,,,1.2
2015-03-13,21:00,,1,10,52,,,,1.0
2015-03-13,22:00,,1,10,51,,,,1.0
2015-03-13,23:00,,1,9,50,,,,0.5
2015-03-14,00:00,,1,9,49,,,,0.5
2015-03-14,01:00,,1,8,47,,,,0.5
2015-03-14,02:00,,1,9,45,,,,0.5
2015-03-14,03:00,,1,8,43,,,,0.5
2015-03-14,04:00,,1,8,40,,,,0.5
2015-03-14,05:00,,1,7,38,,,,0.5
2015-03-14,06:00,,1,7,37,,,,0.5
2015-03-14,07:00,,1,8,33,,,,0.5
2015-03-14,08:00,,1,7,33,,,,0.5
2015-03-14,09:00,,2,6,35,,,,0.5
2015-03-14,10:00,,3,6,34,,,,0.5
2015-03-14,11:00,,3,7,35,,,,0.5
2015-03-14,12:00,,3,6,41,,,,0.5
2015-03-14,13:00,,3,5,41,,,,0.5
2015-03-14,14:00,,2,5,44,,,,0.5
2015-03-14,15:00,,2,6,43,,,,0.5
2015-03-14,16:00,,2,8,41,,,,0.5
2015-03-14,17:00,,1,8,47,,,,1.0
2015-03-14,18:00,,1,8,42,,,,0.5
2015-03-14,19:00,,1,9,35,,,,0.5
2015-03-14,20:00,,1,9,33,,,,0.5
2015-03-14,21:00,,1,10,31,,,,0.5
2015-03-14,22:00,,1,10,29,,,,0.5
2015-03-14,23:00,,1,9,30,,,,0.5
2015-03-15,00:00,,1,9,29,,,,0.5
2015-03-15,01:00,,1,9,29,,,,0.5
2015-03-15,02:00,,1,8,31,,,,1.4
2015-03-15,03:00,,1,6,42,,,,2.0
2015-03-15,04:00,,1,5,47,,,,1.7
2015-03-15,05:00,,1,5,46,,,,1.8
2015-03-15,06:00,,2,6,44,,,,2.2
2015-03-15,07:00,,1,6,43,,,,2.3
2015-03-15,08:00,,1,6,43,,,,2.7
2015-03-15,09:00,,1,6,40,,,,4.0
2015-03-15,10:00,,2,8,35,,,,5.7
2015-03-15,11:00,,3,9,33,,,,7.6
2015-03-15,12:00,,4,9,31,,,,7.7
2015-03-15,13:00,,3,11,32,,,,8.8
2015-03-15,14:00,,2,10,43,,,,6.1
2015-03-15,15:00,,2,10,52,,,,5.7
2015-03-15,16:00,,1,10,56,,,,5.9
2015-03-15,17:00,,1,9,59,,,,5.7
2015-03-15,18:00,,1,9,66,,,,6.4
2015-03-15,19:00,,1,9,69,,,,6.5
2015-03-15,20:00,,1,8,72,,,,6.9
2015-03-15,21:00,,1,7,76,,,,9.2
2015-03-15,22:00,,1,7,78,,,,9.3
2015-03-15,23:00,,1,5,80,,,,5.8
2015-03-16,00:00,,1,5,79,,,,5.6
2015-03-16,01:00,,1,6,79,,,,5.5
2015-03-16,02:00,,1,6,79,,,,5.9
2015-03-16,03:00,,1,6,80,,,,5.8
2015-03-16,04:00,,1,6,79,,,,5.6
2015-03-16,05:00,,1,7,81,,,,6.3
2015-03-16,06:00,,1,7,82,,,,8.0
2015-03-16,07:00,,1,7,82,,,,8.3
2015-03-16,08:00,,1,6,83,,,,5.6
2015-03-16,09:00,,1,5,84,,,,5.0
2015-03-16,10:00,,1,6,85,,,,5.8
2015-03-16,11:00,,1,7,82,,,,6.0
2015-03-16,12:00,,1,7,83,,,,4.7
2015-03-16,13:00,,1,5,89,,,,2.9
2015-03-16,14:00,,1,5,91,,,,2.3
2015-03-16,15:00,,1,5,94,,,,2.4
2015-03-16,16:00,,1,6,90,,,,3.0
2015-03-16,17:00,,1,7,91,,,,2.7
2015-03-16,18:00,,1,9,86,,,,4.7
2015-03-16,19:00,,1,10,83,,,,6.0
2015-03-16,20:00,,1,11,81,,,,8.0
2015-03-16,21:00,,1,10,80,,,,7.3
2015-03-16,22:00,,1,11,74,,,,12.3
2015-03-16,23:00,,1,11,73,,,,9.3
2015-03-17,00:00,,1,9,76,,,,5.8
2015-03-17,01:00,,1,9,75,,,,6.1
2015-03-17,02:00,,1,8,76,,,,5.7
2015-03-17,03:00,,1,8,76,,,,5.4
2015-03-17,04:00,,1,8,75,,,,5.3
2015-03-17,05:00,,1,7,75,,,,5.0
2015-03-17,06:00,,1,7,76,,,,4.7
2015-03-17,07:00,,1,7,77,,,,4.9
2015-03-17,08:00,,1,8,79,,,,4.7
2015-03-17,09:00,,1,7,79,,,,4.8
2015-03-17,10:00,,1,7,81,,,,5.4
2015-03-17,11:00,,2,6,84,,,,6.0
2015-03-17,12:00,,2,7,87,,,,6.6
2015-03-17,13:00,,1,8,91,,,,5.8
2015-03-17,14:00,,1,6,99,,,,4.8
2015-03-17,15:00,,1,7,98,,,,4.8
2015-03-17,16:00,,1,8,95,,,,5.7
2015-03-17,17:00,,1,9,94,,,,5.8
2015-03-17,18:00,,1,8,95,,,,4.8
2015-03-17,19:00,,1,8,95,,,,5.7
2015-03-17,20:00,,1,8,93,,,,7.7
2015-03-17,21:00,,1,9,89,,,,8.2
2015-03-17,22:00,,1,11,88,,,,6.2
2015-03-17,23:00,,1,7,94,,,,4.9
2015-03-18,00:00,,1,8,94,,,,6.3
2015-03-18,01:00,,1,10,87,,,,7.3
2015-03-18,02:00,,1,10,79,,,,11.2
2015-03-18,03:00,,1,19,69,,,,26.2
2015-03-18,04:00,,1,14,70,,,,16.3
2015-03-18,05:00,,1,12,75,,,,12.9
2015-03-18,06:00,,1,15,69,,,,15.9
2015-03-18,07:00,,1,16,71,,,,16.6
2015-03-18,08:00,,2,14,77,,,,16.1
2015-03-18,09:00,,3,15,78,,,,17.9
2015-03-18,10:00,,3,12,83,,,,18.4
2015-03-18,11:00,,2,11,91,,,,13.7
2015-03-18,12:00,,2,10,99,,,,11.3
2015-03-18,13:00,,1,7,109,,,,7.7
2015-03-18,14:00,,1,9,107,,,,9.5
2015-03-18,15:00,,1,9,113,,,,9.8
2015-03-18,16:00,,1,12,107,,,,13.3
2015-03-18,17:00,,1,13,106,,,,12.6
2015-03-18,18:00,,1,11,107,,,,8.0
2015-03-18,19:00,,1,9,105,,,,5.5
2015-03-18,20:00,,1,10,103,,,,6.8
2015-03-18,21:00,,1,8,103,,,,7.0
2015-03-18,22:00,,1,7,106,,,,6.4
2015-03-18,23:00,,1,10,95,,,,11.6
2015-03-19,00:00,,1,10,91,,,,9.9
2015-03-19,01:00,,1,9,91,,,,9.2
2015-03-19,02:00,,1,8,91,,,,9.1
2015-03-19,03:00,,1,14,83,,,,23.6
2015-03-19,04:00,,1,11,86,,,,13.0
2015-03-19,05:00,,1,9,96,,,,11.7
2015-03-19,06:00,,1,10,101,,,,7.8
2015-03-19,07:00,,1,11,98,,,,7.0
2015-03-19,08:00,,1,9,99,,,,8.3
2015-03-19,09:00,,1,8,107,,,,7.0
2015-03-19,10:00,,1,7,108,,,,6.8
2015-03-19,11:00,,1,9,102,,,,9.2
2015-03-19,12:00,,3,14,91,,,,16.0
2015-03-19,13:00,,4,17,88,,,,21.0
2015-03-19,14:00,,4,16,92,,,,19.1
2015-03-19,15:00,,1,9,105,,,,8.3
2015-03-19,16:00,,1,8,106,,,,6.2
2015-03-19,17:00,,1,10,105,,,,5.1
2015-03-19,18:00,,1,10,104,,,,4.7
2015-03-19,19:00,,1,13,97,,,,4.7
2015-03-19,20:00,,1,12,98,,,,4.9
2015-03-19,21:00,,1,11,100,,,,5.2
2015-03-19,22:00,,1,10,99,,,,5.3
2015-03-19,23:00,,1,7,110,,,,5.7
2015-03-20,00:00,,1,7,112,,,,5.4
2015-03-20,01:00,,1,7,108,,,,7.6
2015-03-20,02:00,,1,12,102,,,,8.8
2015-03-20,03:00,,1,8,106,,,,8.1
2015-03-20,04:00,,1,10,103,,,,13.1
2015-03-20,05:00,,1,10,100,,,,13.5
2015-03-20,06:00,,1,8,105,,,,10.7
2015-03-20,07:00,,1,8,107,,,,6.7
2015-03-20,08:00,,1,13,99,,,,5.7
2015-03-20,09:00,,1,9,103,,,,5.7
2015-03-20,10:00,,1,9,103,,,,6.3
2015-03-20,11:00,,2,15,86,,,,16.4
2015-03-20,12:00,,7,26,70,,,,32.7
2015-03-20,13:00,,6,23,85,,,,22.7
2015-03-20,14:00,,5,24,105,,,,43.7
2015-03-20,15:00,,5,28,110,,,,79.1
2015-03-20,16:00,,4,27,98,,,,67.0
2015-03-20,17:00,,3,27,95,,,,56.1
2015-03-20,18:00,,1,20,86,,,,6.5
2015-03-20,19:00,,1,23,84,,,,6.0
2015-03-20,20:00,,1,15,94,,,,5.2
2015-03-20,21:00,,1,12,95,,,,6.7
2015-03-20,22:00,,1,15,89,,,,11.5
2015-03-20,23:00,,1,17,84,,,,22.9
2015-03-21,00:00,,1,20,79,,,,28.6
2015-03-21,01:00,,1,42,62,,,,83.8
2015-03-21,02:00,,1,28,71,,,,48.5
2015-03-21,03:00,,1,15,87,,,,20.5
2015-03-21,04:00,,1,9,97,,,,9.2
2015-03-21,05:00,,1,8,97,,,,6.6
2015-03-21,06:00,,1,7,98,,,,5.7
2015-03-21,07:00,,1,8,101,,,,5.1
2015-03-21,08:00,,1,8,100,,,,5.6
2015-03-21,09:00,,1,7,101,,,,4.4
2015-03-21,10:00,,1,7,104,,,,4.3
2015-03-21,11:00,,1,6,106,,,,3.6
2015-03-21,12:00,,1,6,107,,,,3.2
2015-03-21,13:00,,1,8,104,,,,3.1
2015-03-21,14:00,,1,8,101,,,,3.8
2015-03-21,15:00,,1,9,100,,,,2.9
2015-03-21,16:00,,1,11,96,,,,2.4
2015-03-21,17:00,,1,15,86,,,,3.2
2015-03-21,18:00,,1,16,77,,,,2.8
2015-03-21,19:00,,1,20,65,,,,2.1
2015-03-21,20:00,,1,19,56,,,,1.3
2015-03-21,21:00,,1,18,45,,,,0.5
2015-03-21,22:00,,1,17,49,,,,1.0
2015-03-21,23:00,,1,16,41,,,,0.5
2015-03-22,00:00,,1,15,39,,,,0.5
2015-03-22,01:00,,1,12,42,,,,0.5
2015-03-22,02:00,,1,16,29,,,,0.5
2015-03-22,03:00,,1,17,21,,,,0.5
2015-03-22,04:00,,1,10,34,,,,0.5
2015-03-22,05:00,,1,6,47,,,,0.5
2015-03-22,06:00,,1,4,56,,,,1.1
2015-03-22,07:00,,1,4,58,,,,1.0
2015-03-22,08:00,,1,4,60,,,,1.1
2015-03-22,09:00,,1,4,60,,,,1.1
2015-03-22,10:00,,1,4,61,,,,1.0
2015-03-22,11:00,,1,4,63,,,,1.1
2015-03-22,12:00,,1,4,66,,,,1.1
2015-03-22,13:00,,1,4,64,,,,1.0
2015-03-22,14:00,,1,3,66,,,,1.1
2015-03-22,15:00,,1,4,68,,,,1.1
2015-03-22,16:00,,1,4,70,,,,1.2
2015-03-22,17:00,,1,4,72,,,,1.2
2015-03-22,18:00,,1,5,75,,,,1.3
2015-03-22,19:00,,1,8,73,,,,1.3
2015-03-22,20:00,,1,7,74,,,,1.5
2015-03-22,21:00,,1,6,79,,,,1.7
2015-03-22,22:00,,2,8,79,,,,1.9
2015-03-22,23:00,,1,4,80,,,,2.6
2015-03-23,00:00,,1,4,84,,,,2.1
2015-03-23,01:00,,1,5,78,,,,2.9
2015-03-23,02:00,,1,13,64,,,,8.4
2015-03-23,03:00,,1,13,62,,,,10.9
2015-03-23,04:00,,1,10,61,,,,6.1
2015-03-23,05:00,,1,36,43,,,,60.2
2015-03-23,06:00,,1,39,36,,,,61.0
