Datum,Zeit,BEN,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2015-06-01,,,,,,10,,,
2015-06-01,01:00,0.8,1,4,,,,,0.5
2015-06-01,02:00,0.8,1,5,,,,,0.5
2015-06-01,03:00,1.0,1,6,,,,,0.5
2015-06-01,04:00,0.8,1,7,,,,,0.5
2015-06-01,05:00,0.9,4,14,,,,,0.5
2015-06-01,06:00,0.8,6,16,,,,,0.5
2015-06-01,07:00,0.7,4,13,,,,,0.5
2015-06-01,08:00,0.5,5,19,,,,,0.5
2015-06-01,09:00,0.7,3,14,,,,,1.1
2015-06-01,10:00,0.4,2,11,,,,,1.3
2015-06-01,11:00,0.4,4,14,,,,,0.5
2015-06-01,12:00,0.4,3,7,,,,,1.1
2015-06-01,13:00,0.3,3,11,,,,,1.1
2015-06-01,14:00,0.3,1,5,,,,,1.3
2015-06-01,15:00,0.2,1,5,,,,,1.5
2015-06-01,16:00,0.2,3,12,,,,,1.3
2015-06-01,17:00,0.5,3,12,,,,,1.1
2015-06-01,18:00,0.5,3,14,,,,,0.5
2015-06-01,19:00,0.6,2,14,,,,,0.5
2015-06-01,20:00,0.6,1,11,,,,,0.5
2015-06-01,21:00,0.5,1,12,,,,,0.5
2015-06-01,22:00,0.6,2,11,,,,,0.5
2015-06-01,23:00,0.6,1,7,,,,,0.5
2015-06-02,,,,,,9,,,
2015-06-02,00:00,0.7,1,8,,,,,0.5
2015-06-02,01:00,0.8,1,7,,,,,0.5
2015-06-02,02:00,0.7,1,6,,,,,0.5
2015-06-02,03:00,0.5,1,6,,,,,0.5
2015-06-02,04:00,0.3,1,6,,,,,0.5
2015-06-02,05:00,0.5,3,12,,,,,0.5
2015-06-02,06:00,,4,11,,,,,0.5
2015-06-02,07:00,,2,9,,,,,0.5
2015-06-02,08:00,,1,5,,,,,1.2
2015-06-02,09:00,,1,3,,,,,1.6
2015-06-02,10:00,0.3,1,3,,,,,1.5
2015-06-02,11:00,0.2,1,3,,,,,1.5
2015-06-02,12:00,0.2,1,3,,,,,1.5
2015-06-02,13:00,0.2,1,3,,,,,1.5
2015-06-02,14:00,0.2,1,4,,,,,1.8
2015-06-02,15:00,0.2,1,4,,,,,1.8
2015-06-02,16:00,0.2,1,4,,,,,1.7
2015-06-02,17:00,0.2,1,4,,,,,1.7
2015-06-02,18:00,0.2,1,4,,,,,1.7
2015-06-02,19:00,0.2,1,5,,,,,1.6
2015-06-02,20:00,0.2,1,8,,,,,1.4
2015-06-02,21:00,0.3,1,7,,,,,0.5
2015-06-02,22:00,0.3,1,8,,,,,0.5
2015-06-02,23:00,0.4,1,10,,,,,0.5
2015-06-03,,,,,,13,,,
2015-06-03,00:00,0.4,1,12,,,,,0.5
2015-06-03,01:00,0.5,1,8,,,,,0.5
2015-06-03,02:00,0.4,1,5,,,,,0.5
2015-06-03,03:00,0.5,1,5,,,,,0.5
2015-06-03,04:00,0.5,1,6,,,,,0.5
2015-06-03,05:00,0.5,2,10,,,,,0.5
2015-06-03,06:00,0.5,8,12,,,,,0.5
