Datum,Zeit,BEN,NO,NO2,O3,PM10,PM10_Pb,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2016-07-12,12:00,,,,76,,,,
2016-07-12,13:00,,,,77,,,,
2016-07-12,14:00,,,,79,,,,
2016-07-12,15:00,,,,75,,,,
2016-07-12,16:00,,,,70,,,,
2016-07-12,17:00,,,,66,,,,
2016-07-12,18:00,,,,62,,,,
2016-07-12,19:00,,,,60,,,,
2016-07-12,20:00,,,,48,,,,
2016-07-12,21:00,,,,41,,,,
2016-07-12,22:00,,,,31,,,,
2016-07-12,23:00,,,,31,,,,
2016-07-13,00:00,,,,32,,,,
2016-07-13,01:00,,,,27,,,,
2016-07-13,02:00,,,,27,,,,
2016-07-13,03:00,,,,22,,,,
2016-07-13,04:00,,,,18,,,,
2016-07-13,05:00,,,,15,,,,
2016-07-13,06:00,,,,12,,,,
2016-07-13,07:00,,,,10,,,,
2016-07-13,08:00,,,,23,,,,
2016-07-13,09:00,,,,41,,,,
2016-07-13,10:00,,,,48,,,,
2016-07-13,11:00,,,,67,,,,
2016-07-13,12:00,,,,73,,,,
2016-07-13,13:00,,,,80,,,,
2016-07-13,14:00,,,,81,,,,
2016-07-13,15:00,,,,83,,,,
2016-07-13,16:00,,,,88,,,,
2016-07-13,17:00,,,,93,,,,
2016-07-13,18:00,,,,86,,,,
2016-07-13,19:00,,,,62,,,,
2016-07-13,20:00,,,,46,,,,
2016-07-13,21:00,,,,35,,,,
2016-07-13,22:00,,,,29,,,,
2016-07-13,23:00,,,,23,,,,
2016-07-14,00:00,,,,27,,,,
2016-07-14,01:00,,,,44,,,,
2016-07-14,02:00,,,,48,,,,
2016-07-14,03:00,,,,54,,,,
2016-07-14,04:00,,,,59,,,,
2016-07-14,05:00,,,,61,,,,
2016-07-14,06:00,,,,56,,,,
2016-07-14,07:00,,,,60,,,,
2016-07-14,08:00,,,,57,,,,
2016-07-14,09:00,,,,53,,,,
2016-07-14,10:00,,,,46,,,,
2016-07-14,11:00,,,,45,,,,
2016-07-14,12:00,,,,49,,,,
2016-07-14,13:00,,,,49,,,,
2016-07-14,14:00,,,,49,,,,
2016-07-14,15:00,,,,51,,,,
2016-07-14,16:00,,,,55,,,,
2016-07-14,17:00,,,,49,,,,
2016-07-14,18:00,,,,61,,,,
2016-07-14,19:00,,,,63,,,,
2016-07-14,20:00,,,,62,,,,
2016-07-14,21:00,,,,51,,,,
2016-07-14,22:00,,,,55,,,,
2016-07-14,23:00,,,,51,,,,
2016-07-15,00:00,,,,50,,,,
2016-07-15,01:00,,,,46,,,,
2016-07-15,02:00,,,,50,,,,
2016-07-15,03:00,,,,46,,,,
2016-07-15,04:00,,,,43,,,,
2016-07-15,05:00,,,,42,,,,
2016-07-15,06:00,,,,43,,,,
2016-07-15,07:00,,,,49,,,,
2016-07-15,08:00,,,,53,,,,
2016-07-15,09:00,,,,55,,,,
2016-07-15,10:00,,,,56,,,,
2016-07-15,11:00,,,,57,,,,
2016-07-15,12:00,,,,58,,,,
2016-07-15,13:00,,,,58,,,,
2016-07-15,14:00,,,,59,,,,
2016-07-15,15:00,,,,59,,,,
2016-07-15,16:00,,,,60,,,,
2016-07-15,17:00,,,,66,,,,
2016-07-15,18:00,,,,69,,,,
2016-07-15,19:00,,,,70,,,,
2016-07-15,20:00,,,,64,,,,
2016-07-15,21:00,,,,45,,,,
2016-07-15,22:00,,,,38,,,,
2016-07-15,23:00,,,,28,,,,
2016-07-16,00:00,,,,20,,,,
2016-07-16,01:00,,,,16,,,,
2016-07-16,02:00,,,,13,,,,
2016-07-16,03:00,,,,9,,,,
2016-07-16,04:00,,,,7,,,,
2016-07-16,05:00,,,,6,,,,
2016-07-16,06:00,,,,5,,,,
2016-07-16,07:00,,,,10,,,,
2016-07-16,08:00,,,,23,,,,
2016-07-16,09:00,,,,58,,,,
2016-07-16,10:00,,,,93,,,,
2016-07-16,11:00,,,,97,,,,
2016-07-16,12:00,,,,98,,,,
2016-07-16,13:00,,,,100,,,,
2016-07-16,14:00,,,,104,,,,
2016-07-16,15:00,,,,107,,,,
2016-07-16,16:00,,,,105,,,,
2016-07-16,17:00,,,,102,,,,
2016-07-16,18:00,,,,100,,,,
2016-07-16,19:00,,,,96,,,,
2016-07-16,20:00,,,,90,,,,
2016-07-16,21:00,,,,80,,,,
2016-07-16,22:00,,,,73,,,,
2016-07-16,23:00,,,,57,,,,
2016-07-17,00:00,,,,52,,,,
2016-07-17,01:00,,,,49,,,,
2016-07-17,02:00,,,,39,,,,
2016-07-17,03:00,,,,38,,,,
2016-07-17,04:00,,,,45,,,,
2016-07-17,05:00,,,,35,,,,
2016-07-17,06:00,,,,31,,,,
2016-07-17,07:00,,,,27,,,,
2016-07-17,08:00,,,,27,,,,
2016-07-17,09:00,,,,22,,,,
