Datum,Zeit,BEN,NO,NO2,O3,PM10,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2016-10-01,,,,,,11,,
2016-10-01,01:00,0.6,1,5,,,,0.5
2016-10-01,02:00,0.6,2,5,,,,0.5
2016-10-01,03:00,0.7,2,5,,,,0.5
2016-10-01,04:00,0.8,1,5,,,,0.5
2016-10-01,05:00,0.8,3,6,,,,0.5
2016-10-01,06:00,0.9,4,6,,,,0.5
2016-10-01,07:00,0.9,7,4,,,,0.5
2016-10-01,08:00,1.0,14,7,,,,0.5
2016-10-01,09:00,1.2,23,11,,,,0.5
2016-10-01,10:00,1.9,6,16,,,,3.8
2016-10-01,11:00,0.7,1,10,,,,5.3
2016-10-01,12:00,0.5,1,9,,,,2.9
2016-10-01,13:00,0.3,1,6,,,,2.0
2016-10-01,14:00,0.2,1,6,,,,1.7
2016-10-01,15:00,0.3,1,9,,,,1.6
2016-10-01,16:00,0.3,1,12,,,,1.5
2016-10-01,17:00,0.3,3,16,,,,1.3
2016-10-01,18:00,0.4,2,15,,,,1.2
2016-10-01,19:00,0.4,1,10,,,,1.4
2016-10-01,20:00,0.2,1,3,,,,1.1
2016-10-01,21:00,0.2,2,6,,,,0.5
2016-10-01,22:00,0.4,1,6,,,,0.5
2016-10-01,23:00,0.4,1,4,,,,0.5
2016-10-02,,,,,,5,,
2016-10-02,00:00,0.3,1,4,,,,0.5
2016-10-02,01:00,0.3,1,3,,,,0.5
2016-10-02,02:00,0.3,1,3,,,,0.5
2016-10-02,03:00,0.4,1,2,,,,0.5
2016-10-02,04:00,0.1,1,1,,,,0.5
2016-10-02,05:00,0.1,1,2,,,,0.5
2016-10-02,06:00,0.2,1,3,,,,0.5
2016-10-02,07:00,0.2,1,3,,,,0.5
2016-10-02,08:00,0.4,4,10,,,,0.5
2016-10-02,09:00,1.5,3,10,,,,0.5
2016-10-02,10:00,1.0,3,8,,,,1.1
2016-10-02,11:00,0.3,1,4,,,,1.3
2016-10-02,12:00,,1,3,,,,1.2
2016-10-02,13:00,,1,3,,,,1.1
2016-10-02,14:00,,1,4,,,,1.1
2016-10-02,15:00,,1,7,,,,0.5
2016-10-02,16:00,,1,8,,,,0.5
2016-10-02,17:00,0.5,1,8,,,,0.5
2016-10-02,18:00,0.5,2,10,,,,0.5
2016-10-02,19:00,0.5,2,8,,,,0.5
2016-10-02,20:00,0.6,3,10,,,,0.5
2016-10-02,21:00,1.3,1,10,,,,0.5
2016-10-02,22:00,1.4,1,6,,,,0.5
2016-10-02,23:00,0.9,1,4,,,,0.5
2016-10-03,,,,,,5,,
2016-10-03,00:00,0.7,1,3,,,,0.5
2016-10-03,01:00,0.5,1,2,,,,0.5
2016-10-03,02:00,0.3,1,2,,,,0.5
2016-10-03,03:00,0.4,1,3,,,,0.5
2016-10-03,04:00,0.4,1,3,,,,0.5
2016-10-03,05:00,0.3,1,4,,,,0.5
2016-10-03,06:00,0.2,1,4,,,,0.5
2016-10-03,07:00,0.2,1,5,,,,0.5
2016-10-03,08:00,0.1,1,5,,,,0.5
2016-10-03,09:00,0.1,1,6,,,,0.5
2016-10-03,10:00,0.8,1,7,,,,0.5
2016-10-03,11:00,0.7,2,7,,,,0.5
2016-10-03,12:00,0.4,2,6,,,,0.5
2016-10-03,13:00,0.3,2,9,,,,0.5
2016-10-03,14:00,0.4,2,11,,,,0.5
2016-10-03,15:00,0.5,3,9,,,,0.5
2016-10-03,16:00,0.4,2,10,,,,0.5
2016-10-03,17:00,0.5,3,11,,,,0.5
2016-10-03,18:00,0.5,2,11,,,,0.5
2016-10-03,19:00,0.5,1,12,,,,1.1
2016-10-03,20:00,0.4,1,10,,,,1.0
2016-10-03,21:00,0.4,1,8,,,,1.0
2016-10-03,22:00,0.4,1,8,,,,0.5
2016-10-03,23:00,0.3,1,5,,,,0.5
2016-10-04,,,,,,7,,
2016-10-04,00:00,0.2,1,4,,,,0.5
2016-10-04,01:00,0.2,1,5,,,,0.5
2016-10-04,02:00,0.2,1,5,,,,0.5
2016-10-04,03:00,0.2,1,3,,,,0.5
2016-10-04,04:00,0.1,1,7,,,,1.7
2016-10-04,05:00,0.2,1,11,,,,1.1
2016-10-04,06:00,0.3,4,16,,,,0.5
2016-10-04,07:00,0.3,3,12,,,,0.5
2016-10-04,08:00,0.4,2,10,,,,0.5
2016-10-04,09:00,0.4,2,8,,,,1.0
2016-10-04,10:00,0.4,3,9,,,,0.5
2016-10-04,11:00,0.3,3,8,,,,0.5
2016-10-04,12:00,0.3,2,8,,,,0.5
2016-10-04,13:00,0.3,3,9,,,,0.5
2016-10-04,14:00,0.3,7,13,,,,1.1
2016-10-04,15:00,0.3,3,8,,,,1.1
2016-10-04,16:00,0.3,4,11,,,,1.1
2016-10-04,17:00,0.3,5,12,,,,1.1
2016-10-04,18:00,0.4,4,16,,,,0.5
2016-10-04,19:00,1.2,4,17,,,,0.5
2016-10-04,20:00,1.6,5,16,,,,0.5
2016-10-04,21:00,1.8,3,11,,,,0.5
2016-10-04,22:00,1.4,2,6,,,,0.5
2016-10-04,23:00,1.0,4,7,,,,0.5
2016-10-05,,,,,,5,,
2016-10-05,00:00,1.0,3,6,,,,0.5
2016-10-05,01:00,0.6,1,5,,,,0.5
2016-10-05,02:00,0.7,1,3,,,,0.5
2016-10-05,03:00,0.3,1,3,,,,1.1
2016-10-05,04:00,0.2,1,3,,,,0.5
2016-10-05,05:00,0.2,1,8,,,,1.0
2016-10-05,06:00,0.2,6,14,,,,0.5
2016-10-05,07:00,0.3,2,10,,,,1.0
2016-10-05,08:00,0.3,2,11,,,,1.0
2016-10-05,09:00,0.3,3,11,,,,0.5
2016-10-05,10:00,0.4,3,11,,,,0.5
2016-10-05,11:00,0.5,4,13,,,,0.5
2016-10-05,12:00,0.5,4,8,,,,0.5
2016-10-05,13:00,0.5,3,6,,,,0.5
2016-10-05,14:00,0.4,5,8,,,,0.5
2016-10-05,15:00,0.4,4,10,,,,0.5
2016-10-05,16:00,0.4,6,15,,,,0.5
2016-10-05,17:00,0.7,4,12,,,,0.5
