Datum,Zeit,BEN,NO,NO2,O3,PM10,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2016-10-01,,,,,13,,
2016-10-01,01:00,,16,15,,,,
2016-10-01,02:00,,9,13,,,,
2016-10-01,03:00,,13,12,,,,
2016-10-01,04:00,,22,12,,,,
2016-10-01,05:00,,16,14,,,,
2016-10-01,06:00,,4,14,,,,
2016-10-01,07:00,,10,17,,,,
2016-10-01,08:00,,15,21,,,,
2016-10-01,09:00,,18,23,,,,
2016-10-01,10:00,,16,22,,,,
2016-10-01,11:00,,15,26,,,,
2016-10-01,12:00,,13,27,,,,
2016-10-01,13:00,,7,20,,,,
2016-10-01,14:00,,9,22,,,,
2016-10-01,15:00,,9,26,,,,
2016-10-01,16:00,,5,20,,,,
2016-10-01,17:00,,9,29,,,,
2016-10-01,18:00,,12,34,,,,
2016-10-01,19:00,,3,15,,,,
2016-10-01,20:00,,6,20,,,,
2016-10-01,21:00,,5,12,,,,
2016-10-01,22:00,,4,12,,,,
2016-10-01,23:00,,3,12,,,,
2016-10-02,,,,,8,,
2016-10-02,00:00,,2,8,,,,
2016-10-02,01:00,,2,9,,,,
2016-10-02,02:00,,3,12,,,,
2016-10-02,03:00,,2,9,,,,
2016-10-02,04:00,,3,10,,,,
2016-10-02,05:00,,6,14,,,,
2016-10-02,06:00,,7,11,,,,
2016-10-02,07:00,,15,18,,,,
2016-10-02,08:00,,14,20,,,,
2016-10-02,09:00,,9,14,,,,
2016-10-02,10:00,,9,12,,,,
2016-10-02,11:00,,8,13,,,,
2016-10-02,12:00,,11,19,,,,
2016-10-02,13:00,,11,18,,,,
2016-10-02,14:00,,8,15,,,,
2016-10-02,15:00,,13,23,,,,
2016-10-02,16:00,,20,30,,,,
2016-10-02,17:00,,17,26,,,,
2016-10-02,18:00,,22,29,,,,
2016-10-02,19:00,,18,26,,,,
2016-10-02,20:00,,18,24,,,,
2016-10-02,21:00,,11,21,,,,
2016-10-02,22:00,,10,20,,,,
2016-10-02,23:00,,9,12,,,,
2016-10-03,,,,,11,,
2016-10-03,00:00,,7,10,,,,
2016-10-03,01:00,,2,7,,,,
2016-10-03,02:00,,1,4,,,,
2016-10-03,03:00,,1,4,,,,
2016-10-03,04:00,,1,5,,,,
2016-10-03,05:00,,3,6,,,,
2016-10-03,06:00,,3,10,,,,
2016-10-03,07:00,,9,14,,,,
2016-10-03,08:00,,6,12,,,,
2016-10-03,09:00,,12,16,,,,
2016-10-03,10:00,,5,8,,,,
2016-10-03,11:00,,3,5,,,,
2016-10-03,12:00,,1,3,,,,
2016-10-03,13:00,,2,4,,,,
2016-10-03,14:00,,3,5,,,,
2016-10-03,15:00,,3,5,,,,
2016-10-03,16:00,,5,9,,,,
2016-10-03,17:00,,7,14,,,,
2016-10-03,18:00,,4,12,,,,
2016-10-03,19:00,,3,12,,,,
2016-10-03,20:00,,3,9,,,,
2016-10-03,21:00,,2,11,,,,
2016-10-03,22:00,,2,8,,,,
2016-10-03,23:00,,1,7,,,,
2016-10-04,,,,,12,,
2016-10-04,00:00,,1,8,,,,
2016-10-04,01:00,,2,10,,,,
2016-10-04,02:00,,2,9,,,,
2016-10-04,03:00,,2,9,,,,
2016-10-04,04:00,,3,12,,,,
2016-10-04,05:00,,7,14,,,,
2016-10-04,06:00,,6,15,,,,
2016-10-04,07:00,,26,24,,,,
2016-10-04,08:00,,34,26,,,,
2016-10-04,09:00,,20,20,,,,
2016-10-04,10:00,,22,22,,,,
2016-10-04,11:00,,28,22,,,,
2016-10-04,12:00,,16,17,,,,
2016-10-04,13:00,,22,17,,,,
2016-10-04,14:00,,33,22,,,,
2016-10-04,15:00,,29,22,,,,
2016-10-04,16:00,,30,23,,,,
2016-10-04,17:00,,28,27,,,,
2016-10-04,18:00,,43,44,,,,
2016-10-04,19:00,,59,39,,,,
