Datum,Zeit,BEN,NO,NO2,O3,PM10,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2016-11-01,,,,,,13,,
2016-11-01,01:00,,1,8,22,,,
2016-11-01,02:00,,1,8,21,,,
2016-11-01,03:00,,1,9,21,,,
2016-11-01,04:00,,1,7,25,,,
2016-11-01,05:00,,1,8,22,,,
2016-11-01,06:00,,1,8,24,,,
2016-11-01,07:00,,1,10,24,,,
2016-11-01,08:00,,3,15,22,,,
2016-11-01,09:00,,4,14,27,,,
2016-11-01,10:00,,1,6,39,,,
2016-11-01,11:00,,1,5,43,,,
2016-11-01,12:00,,4,10,38,,,
2016-11-01,13:00,,2,7,48,,,
2016-11-01,14:00,,1,7,51,,,
2016-11-01,15:00,,1,8,48,,,
2016-11-01,16:00,,1,13,39,,,
2016-11-01,17:00,,1,17,32,,,
2016-11-01,18:00,,1,14,36,,,
2016-11-01,19:00,,1,15,36,,,
2016-11-01,20:00,,1,15,33,,,
2016-11-01,21:00,,1,13,29,,,
2016-11-01,22:00,,1,14,29,,,
2016-11-01,23:00,,1,13,30,,,
2016-11-02,,,,,,5,,
2016-11-02,00:00,,1,13,27,,,
2016-11-02,01:00,,1,5,72,,,
2016-11-02,02:00,,1,11,61,,,
2016-11-02,03:00,,1,3,67,,,
2016-11-02,04:00,,1,3,66,,,
2016-11-02,05:00,,1,3,61,,,
2016-11-02,06:00,,1,3,57,,,
2016-11-02,07:00,,1,3,54,,,
2016-11-02,08:00,,1,5,54,,,
2016-11-02,09:00,,1,5,51,,,
2016-11-02,10:00,,1,5,52,,,
2016-11-02,11:00,,1,5,52,,,
2016-11-02,12:00,,1,5,53,,,
2016-11-02,13:00,,1,5,54,,,
2016-11-02,14:00,,1,4,51,,,
2016-11-02,15:00,,1,4,52,,,
2016-11-02,16:00,,1,6,50,,,
2016-11-02,17:00,,1,6,49,,,
2016-11-02,18:00,,1,6,50,,,
2016-11-02,19:00,,1,6,51,,,
2016-11-02,20:00,,1,7,49,,,
2016-11-02,21:00,,1,7,50,,,
2016-11-02,22:00,,1,6,51,,,
2016-11-02,23:00,,1,3,49,,,
2016-11-03,,,,,,7,,
2016-11-03,00:00,,1,3,46,,,
2016-11-03,01:00,,1,4,44,,,
2016-11-03,02:00,,1,4,41,,,
2016-11-03,03:00,,1,4,39,,,
2016-11-03,04:00,,1,5,37,,,
2016-11-03,05:00,,1,6,34,,,
2016-11-03,06:00,,1,6,34,,,
2016-11-03,07:00,,1,7,29,,,
2016-11-03,08:00,,1,7,25,,,
2016-11-03,09:00,,1,6,30,,,
2016-11-03,10:00,,1,6,33,,,
2016-11-03,11:00,,1,5,38,,,
2016-11-03,12:00,,1,5,40,,,
2016-11-03,13:00,,1,5,43,,,
2016-11-03,14:00,,1,5,45,,,
2016-11-03,15:00,,1,5,47,,,
2016-11-03,16:00,,1,6,43,,,
2016-11-03,17:00,,3,8,39,,,
2016-11-03,18:00,,1,9,34,,,
2016-11-03,19:00,,1,14,23,,,
2016-11-03,20:00,,1,19,18,,,
2016-11-03,21:00,,1,20,18,,,
2016-11-03,22:00,,1,21,16,,,
2016-11-03,23:00,,1,15,20,,,
2016-11-04,,,,,,15,,
2016-11-04,00:00,,1,13,24,,,
2016-11-04,01:00,,1,12,26,,,
2016-11-04,02:00,,1,13,24,,,
2016-11-04,03:00,,1,12,25,,,
2016-11-04,04:00,,1,11,27,,,
2016-11-04,05:00,,7,13,26,,,
2016-11-04,06:00,,1,13,25,,,
2016-11-04,07:00,,1,19,19,,,
2016-11-04,08:00,,2,24,16,,,
2016-11-04,09:00,,4,22,17,,,
2016-11-04,10:00,,4,19,20,,,
2016-11-04,11:00,,4,19,19,,,
2016-11-04,12:00,,3,15,23,,,
2016-11-04,13:00,,3,12,30,,,
2016-11-04,14:00,,2,12,36,,,
2016-11-04,15:00,,1,11,40,,,
2016-11-04,16:00,,1,13,36,,,
2016-11-04,17:00,,1,13,32,,,
2016-11-04,18:00,,1,12,34,,,
2016-11-04,19:00,,1,14,34,,,
2016-11-04,20:00,,1,13,35,,,
2016-11-04,21:00,,1,12,37,,,
2016-11-04,22:00,,1,12,36,,,
2016-11-04,23:00,,1,13,34,,,
2016-11-05,,,,,,23,,
2016-11-05,00:00,,1,13,32,,,
2016-11-05,01:00,,1,13,31,,,
2016-11-05,02:00,,1,12,30,,,
2016-11-05,03:00,,1,11,30,,,
2016-11-05,04:00,,1,11,30,,,
2016-11-05,05:00,,1,11,28,,,
2016-11-05,06:00,,1,10,30,,,
2016-11-05,07:00,,1,10,32,,,
2016-11-05,08:00,,1,9,33,,,
2016-11-05,09:00,,1,9,34,,,
2016-11-05,10:00,,1,10,33,,,
2016-11-05,11:00,,2,8,37,,,
2016-11-05,12:00,,1,8,36,,,
2016-11-05,13:00,,1,9,35,,,
2016-11-05,14:00,,1,9,34,,,
2016-11-05,15:00,,1,8,36,,,
2016-11-05,16:00,,1,9,36,,,
2016-11-05,17:00,,1,9,36,,,
2016-11-05,18:00,,1,9,35,,,
2016-11-05,19:00,,1,9,33,,,
2016-11-05,20:00,,1,10,33,,,
2016-11-05,21:00,,1,9,30,,,
2016-11-05,22:00,,1,9,28,,,
2016-11-05,23:00,,1,11,28,,,
2016-11-06,,,,,,16,,
2016-11-06,00:00,,1,10,29,,,
2016-11-06,01:00,,1,11,25,,,
2016-11-06,02:00,,1,13,23,,,
2016-11-06,03:00,,1,12,25,,,
2016-11-06,04:00,,1,11,23,,,
2016-11-06,05:00,,1,10,20,,,
2016-11-06,06:00,,1,10,17,,,
2016-11-06,07:00,,1,11,22,,,
2016-11-06,08:00,,1,10,20,,,
2016-11-06,09:00,,1,9,20,,,
2016-11-06,10:00,,1,7,35,,,
2016-11-06,11:00,,1,9,35,,,
2016-11-06,12:00,,1,9,36,,,
2016-11-06,13:00,,1,8,40,,,
2016-11-06,14:00,,1,8,40,,,
2016-11-06,15:00,,1,9,38,,,
2016-11-06,16:00,,1,11,33,,,
2016-11-06,17:00,,1,10,30,,,
2016-11-06,18:00,,1,10,19,,,
2016-11-06,19:00,,1,19,18,,,
2016-11-06,20:00,,1,14,21,,,
2016-11-06,21:00,,1,15,18,,,
2016-11-06,22:00,,1,15,21,,,
2016-11-06,23:00,,1,15,27,,,
2016-11-07,,,,,,8,,
2016-11-07,00:00,,1,15,28,,,
2016-11-07,01:00,,1,13,31,,,
2016-11-07,02:00,,1,13,32,,,
2016-11-07,03:00,,1,11,31,,,
2016-11-07,04:00,,1,11,31,,,
2016-11-07,05:00,,1,10,32,,,
2016-11-07,06:00,,1,11,31,,,
2016-11-07,07:00,,1,9,32,,,
2016-11-07,08:00,,1,9,31,,,
2016-11-07,09:00,,1,8,31,,,
2016-11-07,10:00,,1,8,33,,,
2016-11-07,11:00,,1,9,30,,,
2016-11-07,12:00,,2,10,28,,,
2016-11-07,13:00,,2,12,25,,,
2016-11-07,14:00,,2,11,26,,,
2016-11-07,15:00,,1,13,25,,,
2016-11-07,16:00,,1,15,20,,,
2016-11-07,17:00,,1,14,21,,,
2016-11-07,18:00,,1,10,35,,,
2016-11-07,19:00,,1,9,34,,,
2016-11-07,20:00,,1,7,37,,,
2016-11-07,21:00,,1,5,41,,,
2016-11-07,22:00,,1,6,36,,,
2016-11-07,23:00,,1,8,28,,,
2016-11-08,,,,,,16,,
2016-11-08,00:00,,1,17,16,,,
2016-11-08,01:00,,1,20,12,,,
2016-11-08,02:00,,1,17,17,,,
2016-11-08,03:00,,1,14,22,,,
2016-11-08,04:00,,1,12,23,,,
2016-11-08,05:00,,1,13,16,,,
2016-11-08,06:00,,1,13,14,,,
2016-11-08,07:00,,1,12,15,,,
2016-11-08,08:00,,7,18,12,,,
2016-11-08,09:00,,4,16,14,,,
2016-11-08,10:00,,3,10,26,,,
2016-11-08,11:00,,4,11,29,,,
2016-11-08,12:00,,4,12,35,,,
2016-11-08,13:00,,3,12,39,,,
2016-11-08,14:00,,3,13,37,,,
2016-11-08,15:00,,2,11,39,,,
2016-11-08,16:00,,1,14,35,,,
2016-11-08,17:00,,1,15,35,,,
2016-11-08,18:00,,1,14,33,,,
2016-11-08,19:00,,1,13,35,,,
2016-11-08,20:00,,1,13,34,,,
2016-11-08,21:00,,1,16,30,,,
2016-11-08,22:00,,1,14,32,,,
2016-11-08,23:00,,1,12,33,,,
2016-11-09,00:00,,1,13,29,,,
2016-11-09,01:00,,1,11,28,,,
2016-11-09,02:00,,1,9,31,,,
2016-11-09,03:00,,1,8,27,,,
2016-11-09,04:00,,1,9,25,,,
2016-11-09,05:00,,1,11,27,,,
2016-11-09,06:00,,1,12,20,,,
2016-11-09,07:00,,1,13,12,,,
2016-11-09,08:00,,7,18,8,,,
2016-11-09,09:00,,4,14,13,,,
