Datum,Zeit,BEN,NO,NO2,O3,PM10,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2016-12-01,01:00,0.7,2,21,,,1.8
2016-12-01,02:00,0.6,2,22,,,1.4
2016-12-01,03:00,0.7,2,25,,,1.6
2016-12-01,04:00,0.8,3,26,,,1.5
2016-12-01,05:00,0.8,7,27,,,1.5
2016-12-01,06:00,0.8,18,28,,,1.8
2016-12-01,07:00,1.0,17,28,,,1.6
2016-12-01,08:00,1.1,39,33,,,1.8
2016-12-01,09:00,0.9,37,31,,,1.9
2016-12-01,10:00,0.8,33,31,,,1.7
2016-12-01,11:00,0.9,32,30,,,1.7
2016-12-01,12:00,1.0,28,28,,,1.6
2016-12-01,13:00,0.9,31,28,,,1.8
2016-12-01,14:00,0.9,24,28,,,2.1
2016-12-01,15:00,0.9,28,29,,,1.9
2016-12-01,16:00,1.1,27,27,,,1.9
2016-12-01,17:00,1.1,23,25,,,1.9
2016-12-01,18:00,1.0,20,24,,,1.7
2016-12-01,19:00,0.9,16,21,,,1.8
2016-12-01,20:00,0.8,7,18,,,1.7
2016-12-01,21:00,0.7,8,16,,,1.8
2016-12-01,22:00,0.5,4,13,,,1.9
2016-12-01,23:00,0.6,5,14,,,1.7
2016-12-02,00:00,0.6,2,12,,,1.7
2016-12-02,01:00,0.4,1,9,,,2.1
2016-12-02,02:00,0.3,1,6,,,2.7
2016-12-02,03:00,0.2,1,4,,,3.1
2016-12-02,04:00,0.2,1,5,,,3.1
2016-12-02,05:00,0.2,2,8,,,3.4
