Datum,Zeit,BEN,NO,NO2,O3,PM10,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2016-12-01,,,,,,13,
2016-12-01,01:00,,1,20,28,,
2016-12-01,02:00,,1,23,25,,
2016-12-01,03:00,,1,26,23,,
2016-12-01,04:00,,1,28,22,,
2016-12-01,05:00,,1,29,23,,
2016-12-01,06:00,,1,27,25,,
2016-12-01,07:00,,1,25,27,,
2016-12-01,08:00,,1,23,29,,
2016-12-01,09:00,,1,24,29,,
2016-12-01,10:00,,1,23,29,,
2016-12-01,11:00,,1,23,30,,
2016-12-01,12:00,,1,21,32,,
2016-12-01,13:00,,1,21,34,,
2016-12-01,14:00,,1,21,35,,
2016-12-01,15:00,,1,21,36,,
2016-12-01,16:00,,1,20,37,,
2016-12-01,17:00,,1,19,38,,
2016-12-01,18:00,,1,18,37,,
2016-12-01,19:00,,1,16,39,,
2016-12-01,20:00,,1,15,40,,
2016-12-01,21:00,,1,14,43,,
2016-12-01,22:00,,1,11,47,,
2016-12-01,23:00,,1,14,40,,
2016-12-02,,,,,,8,
2016-12-02,00:00,,1,13,40,,
2016-12-02,01:00,,1,8,51,,
2016-12-02,02:00,,1,3,64,,
2016-12-02,03:00,,1,3,68,,
2016-12-02,04:00,,1,5,75,,
2016-12-02,05:00,,1,7,71,,
2016-12-02,06:00,,1,3,72,,
2016-12-02,07:00,,1,4,67,,
2016-12-02,08:00,,1,5,67,,
2016-12-02,09:00,,1,9,63,,
2016-12-02,10:00,,1,7,68,,
2016-12-02,11:00,,1,5,71,,
2016-12-02,12:00,,1,5,71,,
2016-12-02,13:00,,2,9,69,,
2016-12-02,14:00,,2,12,61,,
2016-12-02,15:00,,2,12,63,,
2016-12-02,16:00,,1,8,61,,
2016-12-02,17:00,,1,9,52,,
2016-12-02,18:00,,1,6,53,,
2016-12-02,19:00,,1,7,54,,
2016-12-02,20:00,,1,6,53,,
2016-12-02,21:00,,1,6,52,,
2016-12-02,22:00,,1,5,51,,
2016-12-02,23:00,,1,7,48,,
2016-12-03,00:00,,1,8,45,,
2016-12-03,01:00,,1,9,42,,
2016-12-03,02:00,,1,9,43,,
2016-12-03,03:00,,1,11,40,,
2016-12-03,04:00,,1,12,34,,
2016-12-03,05:00,,1,12,31,,
