Datum,Zeit,BEN,NO,NO2,O3,PM10,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2017-02-01,,,,,,22,,
2017-02-01,01:00,,23,40,1,,,4.3
2017-02-01,02:00,,13,37,1,,,4.8
2017-02-01,03:00,,11,36,1,,,3.9
2017-02-01,04:00,,12,35,1,,,3.0
2017-02-01,05:00,,11,37,1,,,3.8
2017-02-01,06:00,,18,38,1,,,5.3
2017-02-01,07:00,,51,40,1,,,6.1
2017-02-01,08:00,,85,44,2,,,5.8
2017-02-01,09:00,,65,41,3,,,6.6
2017-02-01,10:00,,48,34,7,,,9.2
2017-02-01,11:00,,47,33,9,,,10.1
2017-02-01,12:00,,41,29,12,,,6.5
2017-02-01,13:00,,39,28,14,,,5.9
2017-02-01,14:00,,36,28,16,,,5.8
2017-02-01,15:00,,35,36,13,,,6.5
2017-02-01,16:00,,26,39,17,,,7.8
2017-02-01,17:00,,27,41,15,,,8.2
2017-02-01,18:00,,24,39,18,,,7.4
2017-02-01,19:00,,19,34,30,,,7.0
2017-02-01,20:00,,21,36,31,,,5.4
2017-02-01,21:00,,10,26,35,,,4.9
2017-02-01,22:00,,9,34,22,,,5.8
2017-02-01,23:00,,16,45,8,,,4.0
2017-02-02,,,,,,41,,
2017-02-02,00:00,,8,37,12,,,2.5
2017-02-02,01:00,,4,36,13,,,2.2
2017-02-02,02:00,,3,34,15,,,1.8
2017-02-02,03:00,,2,31,18,,,1.5
2017-02-02,04:00,,3,32,18,,,1.5
2017-02-02,05:00,,11,44,9,,,1.5
2017-02-02,06:00,,23,48,9,,,2.0
2017-02-02,07:00,,52,61,4,,,3.0
2017-02-02,08:00,,125,68,2,,,3.7
2017-02-02,09:00,,206,75,2,,,4.4
2017-02-02,10:00,,167,67,4,,,3.9
2017-02-02,11:00,,291,76,4,,,5.9
2017-02-02,12:00,,151,64,5,,,5.3
2017-02-02,13:00,,170,71,6,,,6.0
2017-02-02,14:00,,213,80,4,,,5.7
2017-02-02,15:00,,266,85,3,,,6.2
2017-02-02,16:00,,251,82,3,,,6.1
2017-02-02,17:00,,141,69,3,,,4.3
2017-02-02,18:00,,153,69,2,,,4.2
2017-02-02,19:00,,205,77,2,,,4.0
2017-02-02,20:00,,126,62,2,,,3.3
2017-02-02,21:00,,89,56,3,,,3.1
2017-02-02,22:00,,48,49,3,,,2.5
2017-02-02,23:00,,23,46,4,,,2.3
2017-02-03,,,,,,29,,
2017-02-03,00:00,,10,37,7,,,2.0
2017-02-03,01:00,,13,37,5,,,1.7
2017-02-03,02:00,,3,23,18,,,1.5
2017-02-03,03:00,,2,19,21,,,1.3
2017-02-03,04:00,,3,21,20,,,1.1
2017-02-03,05:00,,8,28,15,,,1.1
2017-02-03,06:00,,29,41,9,,,1.3
2017-02-03,07:00,,88,57,2,,,1.8
2017-02-03,08:00,,112,62,2,,,2.1
2017-02-03,09:00,,88,58,4,,,1.9
2017-02-03,10:00,,76,56,8,,,2.6
2017-02-03,11:00,,109,64,8,,,3.9
2017-02-03,12:00,,155,77,7,,,5.2
2017-02-03,13:00,,117,70,8,,,4.6
2017-02-03,14:00,,83,57,17,,,3.2
2017-02-03,15:00,,108,66,8,,,3.3
2017-02-03,16:00,,124,74,4,,,3.6
2017-02-03,17:00,,78,67,3,,,3.0
2017-02-03,18:00,,91,66,2,,,2.9
2017-02-03,19:00,,82,60,3,,,3.1
2017-02-03,20:00,,84,53,4,,,3.1
2017-02-03,21:00,,54,47,3,,,2.9
2017-02-03,22:00,,29,43,3,,,2.5
2017-02-03,23:00,,26,40,3,,,1.7
2017-02-04,,,,,,14,,
2017-02-04,00:00,,38,40,2,,,1.6
2017-02-04,01:00,,12,31,9,,,1.2
2017-02-04,02:00,,2,19,15,,,0.5
2017-02-04,03:00,,2,17,15,,,0.5
2017-02-04,04:00,,2,16,17,,,0.5
2017-02-04,05:00,,5,19,18,,,0.5
2017-02-04,06:00,,13,32,9,,,0.5
2017-02-04,07:00,,21,39,7,,,0.5
2017-02-04,08:00,,24,38,7,,,0.5
2017-02-04,09:00,,54,47,9,,,1.2
2017-02-04,10:00,,40,44,16,,,1.3
2017-02-04,11:00,,36,39,35,,,1.5
2017-02-04,12:00,,14,22,61,,,1.3
2017-02-04,13:00,,13,18,61,,,2.3
2017-02-04,14:00,,13,16,74,,,1.2
2017-02-04,15:00,,11,18,69,,,1.2
2017-02-04,16:00,,13,24,66,,,2.5
2017-02-04,17:00,,29,49,39,,,3.1
2017-02-04,18:00,,48,69,14,,,3.5
2017-02-04,19:00,,90,84,3,,,2.8
2017-02-04,20:00,,57,66,14,,,3.2
2017-02-04,21:00,,5,22,51,,,5.0
2017-02-04,22:00,,7,22,50,,,5.8
2017-02-04,23:00,,6,23,47,,,3.1
2017-02-05,,,,,,9,,
2017-02-05,00:00,,5,21,46,,,2.5
2017-02-05,01:00,,2,16,45,,,2.8
2017-02-05,02:00,,2,18,39,,,2.6
2017-02-05,03:00,,3,11,47,,,1.4
2017-02-05,04:00,,1,8,51,,,0.5
2017-02-05,05:00,,2,7,52,,,0.5
2017-02-05,06:00,,1,5,54,,,0.5
2017-02-05,07:00,,1,5,53,,,0.5
2017-02-05,08:00,,2,9,49,,,0.5
2017-02-05,09:00,,2,7,51,,,0.5
2017-02-05,10:00,,3,8,49,,,0.5
2017-02-05,11:00,,5,9,50,,,0.5
2017-02-05,12:00,,4,8,57,,,0.5
2017-02-05,13:00,,5,7,64,,,0.5
2017-02-05,14:00,,5,7,68,,,0.5
2017-02-05,15:00,,5,8,67,,,0.5
2017-02-05,16:00,,9,17,60,,,0.5
2017-02-05,17:00,,21,41,38,,,0.5
2017-02-05,18:00,,31,55,20,,,1.7
2017-02-05,19:00,,29,62,10,,,3.3
2017-02-05,20:00,,13,50,13,,,2.4
2017-02-05,21:00,,20,52,11,,,2.4
2017-02-05,22:00,,8,32,29,,,2.3
2017-02-05,23:00,,3,30,27,,,2.2
2017-02-06,,,,,,19,,
2017-02-06,00:00,,5,29,23,,,1.9
2017-02-06,01:00,,5,29,22,,,2.5
2017-02-06,02:00,,9,25,34,,,3.6
2017-02-06,03:00,,3,16,45,,,3.4
2017-02-06,04:00,,9,27,35,,,4.0
2017-02-06,05:00,,9,35,24,,,2.7
2017-02-06,06:00,,23,46,14,,,2.1
2017-02-06,07:00,,64,58,7,,,2.7
2017-02-06,08:00,,59,53,6,,,2.8
2017-02-06,09:00,,33,39,11,,,3.4
2017-02-06,10:00,,17,26,20,,,3.8
2017-02-06,11:00,,22,27,20,,,3.0
2017-02-06,12:00,,23,31,15,,,2.3
2017-02-06,13:00,,27,32,9,,,4.7
2017-02-06,14:00,,40,32,5,,,5.1
2017-02-06,15:00,,46,31,4,,,2.5
2017-02-06,16:00,,34,30,4,,,1.7
2017-02-06,17:00,,28,30,3,,,2.3
2017-02-06,18:00,,26,31,2,,,2.6
2017-02-06,19:00,,20,31,2,,,4.5
2017-02-06,20:00,,10,31,2,,,2.5
2017-02-06,21:00,,11,33,2,,,3.0
2017-02-06,22:00,,7,32,2,,,2.4
2017-02-06,23:00,,6,30,4,,,2.4
2017-02-07,,,,,,36,,
2017-02-07,00:00,,2,22,12,,,0.5
2017-02-07,01:00,,2,20,15,,,0.5
2017-02-07,02:00,,1,19,16,,,0.5
2017-02-07,03:00,,2,19,16,,,0.5
2017-02-07,04:00,,2,17,17,,,0.5
2017-02-07,05:00,,3,17,17,,,0.5
2017-02-07,06:00,,10,20,16,,,0.5
2017-02-07,07:00,,20,25,13,,,0.5
2017-02-07,08:00,,21,28,10,,,0.5
2017-02-07,09:00,,18,25,14,,,0.5
2017-02-07,10:00,,17,24,16,,,0.5
2017-02-07,11:00,,18,25,15,,,0.5
2017-02-07,12:00,,19,26,15,,,1.0
2017-02-07,13:00,,24,27,15,,,1.2
2017-02-07,14:00,,23,26,18,,,1.6
2017-02-07,15:00,,18,28,18,,,1.9
2017-02-07,16:00,,31,37,12,,,5.5
2017-02-07,17:00,,25,39,8,,,14.9
2017-02-07,18:00,,24,42,10,,,17.0
2017-02-07,19:00,,19,40,19,,,17.9
2017-02-07,20:00,,12,36,22,,,13.8
2017-02-07,21:00,,9,37,23,,,18.4
2017-02-07,22:00,,7,29,33,,,14.0
2017-02-07,23:00,,3,21,33,,,7.7
2017-02-08,,,,,,46,,
2017-02-08,00:00,,3,17,42,,,6.0
2017-02-08,01:00,,1,18,40,,,10.6
2017-02-08,02:00,,1,19,37,,,11.6
2017-02-08,03:00,,1,15,42,,,8.1
2017-02-08,04:00,,3,19,33,,,12.2
2017-02-08,05:00,,5,29,22,,,24.8
2017-02-08,06:00,,14,33,16,,,23.0
2017-02-08,07:00,,22,36,14,,,20.6
2017-02-08,08:00,,34,44,10,,,23.1
2017-02-08,09:00,,20,32,19,,,5.3
2017-02-08,10:00,,17,25,29,,,3.2
2017-02-08,11:00,,20,25,35,,,3.3
2017-02-08,12:00,,11,20,43,,,3.5
2017-02-08,13:00,,12,19,50,,,3.4
2017-02-08,14:00,,14,21,52,,,3.4
2017-02-08,15:00,,7,19,54,,,2.6
2017-02-08,16:00,,9,22,50,,,2.3
2017-02-08,17:00,,10,26,45,,,2.1
2017-02-08,18:00,,11,30,38,,,2.1
2017-02-08,19:00,,4,20,44,,,1.8
2017-02-08,20:00,,3,22,41,,,1.8
2017-02-08,21:00,,4,24,37,,,2.0
2017-02-08,22:00,,3,24,33,,,2.1
2017-02-08,23:00,,3,24,30,,,2.1
2017-02-09,,,,,,52,,
2017-02-09,00:00,,2,23,28,,,2.2
2017-02-09,01:00,,1,21,27,,,2.2
2017-02-09,02:00,,1,22,25,,,2.1
2017-02-09,03:00,,2,24,22,,,2.0
2017-02-09,04:00,,2,24,19,,,1.9
2017-02-09,05:00,,6,27,16,,,2.0
2017-02-09,06:00,,12,34,10,,,2.2
2017-02-09,07:00,,19,37,8,,,3.3
2017-02-09,08:00,,34,43,4,,,5.3
2017-02-09,09:00,,32,39,13,,,13.4
2017-02-09,10:00,,26,32,20,,,12.2
2017-02-09,11:00,,21,29,29,,,16.2
2017-02-09,12:00,,23,29,30,,,18.4
2017-02-09,13:00,,20,28,36,,,13.4
2017-02-09,14:00,,21,27,41,,,11.1
2017-02-09,15:00,,16,29,36,,,15.1
2017-02-09,16:00,,16,32,40,,,23.0
2017-02-09,17:00,,18,36,43,,,14.5
2017-02-09,18:00,,13,33,48,,,11.2
2017-02-09,19:00,,10,27,51,,,12.9
2017-02-09,20:00,,7,27,48,,,19.0
2017-02-09,21:00,,5,23,52,,,17.9
2017-02-09,22:00,,4,22,52,,,18.2
2017-02-09,23:00,,3,19,53,,,15.4
2017-02-10,,,,,,37,,
2017-02-10,00:00,,2,19,48,,,16.1
2017-02-10,01:00,,1,17,47,,,13.5
2017-02-10,02:00,,1,18,43,,,13.3
2017-02-10,03:00,,2,22,37,,,15.8
2017-02-10,04:00,,2,25,33,,,16.8
2017-02-10,05:00,,3,23,36,,,14.8
2017-02-10,06:00,,13,29,31,,,16.1
2017-02-10,07:00,,19,36,26,,,18.4
2017-02-10,08:00,,20,36,28,,,14.6
2017-02-10,09:00,,21,33,30,,,13.5
2017-02-10,10:00,,17,30,34,,,19.2
2017-02-10,11:00,,22,30,37,,,12.2
2017-02-10,12:00,,23,31,35,,,10.4
2017-02-10,13:00,,23,31,36,,,8.9
2017-02-10,14:00,,25,32,37,,,6.7
2017-02-10,15:00,,24,31,39,,,5.7
2017-02-10,16:00,,20,34,41,,,5.3
2017-02-10,17:00,,14,28,45,,,4.9
2017-02-10,18:00,,17,31,45,,,4.1
2017-02-10,19:00,,10,26,49,,,4.4
2017-02-10,20:00,,10,20,57,,,4.4
