Datum,Zeit,BEN,NO,NO2,O3,PM10,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2017-02-01,,,,,,60,50.72,
2017-02-01,01:00,,5,28,40,,,
2017-02-01,02:00,,2,23,40,,,
2017-02-01,03:00,,4,26,36,,,
2017-02-01,04:00,,9,30,31,,,
2017-02-01,05:00,,12,33,27,,,
2017-02-01,06:00,,27,38,21,,,
2017-02-01,07:00,,120,65,9,,,
2017-02-01,08:00,,78,62,7,,,
2017-02-01,09:00,,130,70,7,,,
2017-02-01,10:00,,96,50,17,,,
2017-02-01,11:00,,60,46,22,,,
2017-02-01,12:00,,47,41,33,,,
2017-02-01,13:00,,57,43,33,,,
2017-02-01,14:00,,59,51,28,,,
2017-02-01,15:00,,59,53,31,,,
2017-02-01,16:00,,126,69,23,,,
2017-02-01,17:00,,184,91,14,,,
2017-02-01,18:00,,190,98,5,,,
2017-02-01,19:00,,134,90,4,,,
2017-02-01,20:00,,96,82,3,,,
2017-02-01,21:00,,73,75,3,,,
2017-02-01,22:00,,53,69,3,,,
2017-02-01,23:00,,45,65,3,,,
2017-02-02,,,,,,41,37.01,
2017-02-02,00:00,,12,56,5,,,
2017-02-02,01:00,,10,52,5,,,
2017-02-02,02:00,,13,56,3,,,
2017-02-02,03:00,,5,49,7,,,
2017-02-02,04:00,,3,40,13,,,
2017-02-02,05:00,,10,43,13,,,
2017-02-02,06:00,,28,49,9,,,
2017-02-02,07:00,,116,71,4,,,
2017-02-02,08:00,,117,76,3,,,
2017-02-02,09:00,,83,65,6,,,
2017-02-02,10:00,,65,52,13,,,
2017-02-02,11:00,,47,51,12,,,
2017-02-02,12:00,,43,45,14,,,
2017-02-02,13:00,,52,44,16,,,
2017-02-02,14:00,,47,41,19,,,
2017-02-02,15:00,,54,45,19,,,
2017-02-02,16:00,,84,58,15,,,
2017-02-02,17:00,,83,61,11,,,
2017-02-02,18:00,,51,56,9,,,
2017-02-02,19:00,,52,59,6,,,
2017-02-02,20:00,,24,52,7,,,
2017-02-02,21:00,,25,53,7,,,
2017-02-02,22:00,,10,45,9,,,
2017-02-02,23:00,,8,42,14,,,
2017-02-03,,,,,,47,42.47,
2017-02-03,00:00,,4,39,16,,,
2017-02-03,01:00,,3,37,18,,,
2017-02-03,02:00,,2,37,19,,,
2017-02-03,03:00,,2,37,19,,,
2017-02-03,04:00,,3,32,22,,,
2017-02-03,05:00,,4,35,19,,,
2017-02-03,06:00,,18,39,15,,,
2017-02-03,07:00,,40,52,8,,,
2017-02-03,08:00,,62,57,6,,,
2017-02-03,09:00,,67,54,10,,,
2017-02-03,10:00,,74,48,15,,,
2017-02-03,11:00,,53,43,19,,,
2017-02-03,12:00,,87,52,18,,,
2017-02-03,13:00,,92,58,18,,,
2017-02-03,14:00,,139,74,11,,,
2017-02-03,15:00,,113,70,14,,,
2017-02-03,16:00,,124,71,13,,,
2017-02-03,17:00,,113,83,7,,,
2017-02-03,18:00,,99,84,3,,,
2017-02-03,19:00,,70,78,2,,,
2017-02-03,20:00,,52,74,2,,,
2017-02-03,21:00,,39,71,2,,,
2017-02-03,22:00,,18,63,6,,,
2017-02-03,23:00,,20,60,7,,,
2017-02-04,,,,,,38,33.78,
2017-02-04,00:00,,13,57,7,,,
2017-02-04,01:00,,16,60,5,,,
