Datum,Zeit,BEN,NO,NO2,O3,PM10,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2017-02-01,01:00,,1,29,11,,
2017-02-01,02:00,,1,28,13,,
2017-02-01,03:00,,1,26,17,,
2017-02-01,04:00,,1,28,14,,
2017-02-01,05:00,,2,28,12,,
2017-02-01,06:00,,1,27,13,,
2017-02-01,07:00,,1,24,17,,
2017-02-01,08:00,,2,26,16,,
2017-02-01,09:00,,7,36,11,,
2017-02-01,10:00,,6,34,13,,
2017-02-01,11:00,,9,31,17,,
2017-02-01,12:00,,5,30,24,,
2017-02-01,13:00,,6,31,24,,
2017-02-01,14:00,,10,34,21,,
2017-02-01,15:00,,7,32,20,,
2017-02-01,16:00,,10,35,14,,
