Datum,Zeit,BEN,NO,NO2,O3,PM10,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2017-04-01,01:00,,,,115,,,4.4
2017-04-01,02:00,,,,114,,,2.2
2017-04-01,03:00,,,,119,,,1.6
2017-04-01,04:00,,,,119,,,3.6
2017-04-01,05:00,,,,122,,,2.3
2017-04-01,06:00,,,,117,,,1.9
2017-04-01,07:00,,,,114,,,2.0
2017-04-01,08:00,,,,109,,,2.5
2017-04-01,09:00,,,,101,,,4.7
2017-04-01,10:00,,,,99,,,5.8
2017-04-01,11:00,,,,109,,,7.8
2017-04-01,12:00,,,,111,,,8.0
2017-04-01,13:00,,,,116,,,7.2
2017-04-01,14:00,,,,112,,,8.2
2017-04-01,15:00,,,,113,,,7.0
2017-04-01,16:00,,,,120,,,6.8
2017-04-01,17:00,,,,125,,,6.4
2017-04-01,18:00,,,,129,,,4.8
2017-04-01,19:00,,,,130,,,6.6
2017-04-01,20:00,,,,134,,,5.6
2017-04-01,21:00,,,,127,,,1.7
2017-04-01,22:00,,,,129,,,1.3
2017-04-01,23:00,,,,122,,,0.5
2017-04-02,00:00,,,,124,,,0.5
2017-04-02,01:00,,,,128,,,0.5
2017-04-02,02:00,,,,124,,,0.5
2017-04-02,03:00,,,,119,,,0.5
2017-04-02,04:00,,,,101,,,0.5
2017-04-02,05:00,,,,96,,,1.3
2017-04-02,06:00,,,,102,,,2.2
2017-04-02,07:00,,,,91,,,0.5
2017-04-02,08:00,,,,92,,,0.5
2017-04-02,09:00,,,,108,,,0.5
2017-04-02,10:00,,,,112,,,0.5
2017-04-02,11:00,,,,103,,,0.5
2017-04-02,12:00,,,,103,,,0.5
2017-04-02,13:00,,,,112,,,0.5
2017-04-02,14:00,,,,114,,,0.5
2017-04-02,15:00,,,,113,,,0.5
2017-04-02,16:00,,,,104,,,1.3
2017-04-02,17:00,,,,96,,,0.5
2017-04-02,18:00,,,,88,,,0.5
2017-04-02,19:00,,,,89,,,0.5
2017-04-02,20:00,,,,95,,,0.5
2017-04-02,21:00,,,,100,,,0.5
2017-04-02,22:00,,,,98,,,0.5
2017-04-02,23:00,,,,105,,,0.5
2017-04-03,00:00,,,,99,,,0.5
2017-04-03,01:00,,,,98,,,0.5
2017-04-03,02:00,,,,94,,,0.5
2017-04-03,03:00,,,,89,,,0.5
2017-04-03,04:00,,,,82,,,0.5
2017-04-03,05:00,,,,88,,,0.5
2017-04-03,06:00,,,,88,,,0.5
2017-04-03,07:00,,,,90,,,0.5
2017-04-03,08:00,,,,92,,,0.5
2017-04-03,09:00,,,,86,,,0.5
2017-04-03,10:00,,,,84,,,0.5
2017-04-03,11:00,,,,88,,,0.5
2017-04-03,12:00,,,,83,,,0.5
2017-04-03,13:00,,,,81,,,0.5
2017-04-03,14:00,,,,82,,,0.5
2017-04-03,15:00,,,,84,,,0.5
2017-04-03,16:00,,,,82,,,0.5
2017-04-03,17:00,,,,81,,,0.5
2017-04-03,18:00,,,,81,,,0.5
2017-04-03,19:00,,,,80,,,0.5
2017-04-03,20:00,,,,81,,,0.5
2017-04-03,21:00,,,,85,,,0.5
2017-04-03,22:00,,,,85,,,0.5
2017-04-03,23:00,,,,82,,,0.5
2017-04-04,00:00,,,,79,,,0.5
2017-04-04,01:00,,,,80,,,0.5
2017-04-04,02:00,,,,74,,,0.5
2017-04-04,03:00,,,,68,,,0.5
2017-04-04,04:00,,,,74,,,0.5
2017-04-04,05:00,,,,73,,,0.5
2017-04-04,06:00,,,,73,,,0.5
2017-04-04,07:00,,,,70,,,0.5
2017-04-04,08:00,,,,71,,,0.5
2017-04-04,09:00,,,,61,,,0.5
2017-04-04,10:00,,,,66,,,0.5
2017-04-04,11:00,,,,72,,,0.5
2017-04-04,12:00,,,,76,,,0.5
2017-04-04,13:00,,,,76,,,0.5
2017-04-04,14:00,,,,70,,,0.5
2017-04-04,15:00,,,,69,,,0.5
2017-04-04,16:00,,,,70,,,0.5
2017-04-04,17:00,,,,69,,,0.5
2017-04-04,18:00,,,,69,,,0.5
2017-04-04,19:00,,,,67,,,0.5
2017-04-04,20:00,,,,70,,,2.4
2017-04-04,21:00,,,,69,,,3.3
2017-04-04,22:00,,,,74,,,7.1
2017-04-04,23:00,,,,73,,,6.6
2017-04-05,00:00,,,,69,,,6.7
2017-04-05,01:00,,,,77,,,2.3
2017-04-05,02:00,,,,80,,,1.4
2017-04-05,03:00,,,,93,,,0.5
2017-04-05,04:00,,,,89,,,0.5
2017-04-05,05:00,,,,103,,,0.5
2017-04-05,06:00,,,,93,,,1.4
2017-04-05,07:00,,,,96,,,0.5
2017-04-05,08:00,,,,97,,,0.5
2017-04-05,09:00,,,,90,,,0.5
2017-04-05,10:00,,,,85,,,4.2
2017-04-05,11:00,,,,86,,,2.3
2017-04-05,12:00,,,,86,,,0.5
2017-04-05,13:00,,,,88,,,0.5
2017-04-05,14:00,,,,90,,,0.5
2017-04-05,15:00,,,,83,,,0.5
2017-04-05,16:00,,,,83,,,0.5
2017-04-05,17:00,,,,81,,,0.5
2017-04-05,18:00,,,,78,,,0.5
2017-04-05,19:00,,,,78,,,0.5
2017-04-05,20:00,,,,71,,,0.5
2017-04-05,21:00,,,,75,,,0.5
2017-04-05,22:00,,,,74,,,0.5
2017-04-05,23:00,,,,72,,,0.5
2017-04-06,00:00,,,,81,,,0.5
2017-04-06,01:00,,,,84,,,0.5
2017-04-06,02:00,,,,84,,,0.5
2017-04-06,03:00,,,,78,,,0.5
2017-04-06,04:00,,,,80,,,0.5
2017-04-06,05:00,,,,80,,,0.5
2017-04-06,06:00,,,,83,,,0.5
2017-04-06,07:00,,,,84,,,0.5
2017-04-06,08:00,,,,85,,,0.5
2017-04-06,09:00,,,,85,,,0.5
2017-04-06,10:00,,,,87,,,0.5
2017-04-06,11:00,,,,87,,,0.5
2017-04-06,12:00,,,,88,,,0.5
2017-04-06,13:00,,,,90,,,0.5
2017-04-06,14:00,,,,91,,,0.5
2017-04-06,15:00,,,,92,,,0.5
2017-04-06,16:00,,,,95,,,0.5
2017-04-06,17:00,,,,95,,,0.5
2017-04-06,18:00,,,,93,,,0.5
2017-04-06,19:00,,,,91,,,0.5
2017-04-06,20:00,,,,89,,,0.5
2017-04-06,21:00,,,,86,,,0.5
2017-04-06,22:00,,,,86,,,0.5
2017-04-06,23:00,,,,85,,,0.5
2017-04-07,00:00,,,,85,,,0.5
2017-04-07,01:00,,,,81,,,0.5
2017-04-07,02:00,,,,75,,,0.5
2017-04-07,03:00,,,,70,,,0.5
2017-04-07,04:00,,,,69,,,0.5
2017-04-07,05:00,,,,67,,,0.5
2017-04-07,06:00,,,,65,,,0.5
2017-04-07,07:00,,,,72,,,0.5
2017-04-07,08:00,,,,76,,,0.5
2017-04-07,09:00,,,,75,,,0.5
2017-04-07,10:00,,,,72,,,0.5
2017-04-07,11:00,,,,69,,,0.5
2017-04-07,12:00,,,,70,,,0.5
2017-04-07,13:00,,,,70,,,0.5
2017-04-07,14:00,,,,71,,,0.5
2017-04-07,15:00,,,,73,,,0.5
2017-04-07,16:00,,,,73,,,0.5
2017-04-07,17:00,,,,72,,,0.5
2017-04-07,18:00,,,,69,,,0.5
2017-04-07,19:00,,,,68,,,0.5
2017-04-07,20:00,,,,67,,,0.5
2017-04-07,21:00,,,,64,,,0.5
2017-04-07,22:00,,,,63,,,0.5
2017-04-07,23:00,,,,61,,,0.5
2017-04-08,00:00,,,,62,,,0.5
2017-04-08,01:00,,,,63,,,0.5
2017-04-08,02:00,,,,61,,,0.5
2017-04-08,03:00,,,,58,,,0.5
2017-04-08,04:00,,,,58,,,0.5
2017-04-08,05:00,,,,58,,,0.5
2017-04-08,06:00,,,,59,,,0.5
2017-04-08,07:00,,,,65,,,0.5
2017-04-08,08:00,,,,64,,,0.5
2017-04-08,09:00,,,,63,,,0.5
2017-04-08,10:00,,,,69,,,0.5
2017-04-08,11:00,,,,70,,,0.5
2017-04-08,12:00,,,,70,,,0.5
2017-04-08,13:00,,,,73,,,0.5
2017-04-08,14:00,,,,74,,,0.5
2017-04-08,15:00,,,,72,,,0.5
2017-04-08,16:00,,,,71,,,0.5
2017-04-08,17:00,,,,68,,,0.5
2017-04-08,18:00,,,,64,,,0.5
2017-04-08,19:00,,,,63,,,0.5
2017-04-08,20:00,,,,72,,,1.1
2017-04-08,21:00,,,,72,,,3.9
2017-04-08,22:00,,,,71,,,5.3
2017-04-08,23:00,,,,67,,,2.3
2017-04-09,00:00,,,,70,,,2.4
2017-04-09,01:00,,,,74,,,2.2
2017-04-09,02:00,,,,77,,,1.7
2017-04-09,03:00,,,,76,,,1.1
2017-04-09,04:00,,,,79,,,0.5
2017-04-09,05:00,,,,76,,,0.5
2017-04-09,06:00,,,,69,,,1.6
2017-04-09,07:00,,,,67,,,2.3
2017-04-09,08:00,,,,66,,,1.9
2017-04-09,09:00,,,,69,,,1.7
2017-04-09,10:00,,,,78,,,1.3
2017-04-09,11:00,,,,86,,,0.5
2017-04-09,12:00,,,,89,,,0.5
2017-04-09,13:00,,,,96,,,0.5
2017-04-09,14:00,,,,100,,,0.5
2017-04-09,15:00,,,,102,,,1.4
2017-04-09,16:00,,,,108,,,1.1
2017-04-09,17:00,,,,111,,,0.5
2017-04-09,18:00,,,,109,,,0.5
2017-04-09,19:00,,,,109,,,0.5
2017-04-09,20:00,,,,113,,,0.5
2017-04-09,21:00,,,,113,,,0.5
2017-04-09,22:00,,,,110,,,9.9
2017-04-09,23:00,,,,113,,,3.2
2017-04-10,00:00,,,,113,,,2.4
2017-04-10,01:00,,,,106,,,5.0
2017-04-10,02:00,,,,101,,,8.3
2017-04-10,03:00,,,,108,,,2.1
2017-04-10,04:00,,,,104,,,0.5
2017-04-10,05:00,,,,107,,,0.5
2017-04-10,06:00,,,,109,,,0.5
2017-04-10,07:00,,,,108,,,0.5
2017-04-10,08:00,,,,109,,,0.5
2017-04-10,09:00,,,,113,,,0.5
2017-04-10,10:00,,,,120,,,1.6
2017-04-10,11:00,,,,121,,,2.3
2017-04-10,12:00,,,,115,,,0.5
2017-04-10,13:00,,,,119,,,0.5
2017-04-10,14:00,,,,124,,,1.1
2017-04-10,15:00,,,,125,,,0.5
2017-04-10,16:00,,,,120,,,0.5
2017-04-10,17:00,,,,106,,,1.2
2017-04-10,18:00,,,,87,,,0.5
2017-04-10,19:00,,,,79,,,0.5
2017-04-10,20:00,,,,74,,,0.5
2017-04-10,21:00,,,,69,,,0.5
2017-04-10,22:00,,,,72,,,0.5
2017-04-10,23:00,,,,84,,,0.5
2017-04-11,00:00,,,,82,,,0.5
2017-04-11,01:00,,,,77,,,0.5
2017-04-11,02:00,,,,75,,,0.5
2017-04-11,03:00,,,,71,,,1.5
2017-04-11,04:00,,,,71,,,1.2
2017-04-11,05:00,,,,70,,,0.5
2017-04-11,06:00,,,,71,,,0.5
2017-04-11,07:00,,,,70,,,0.5
2017-04-11,08:00,,,,66,,,0.5
2017-04-11,09:00,,,,67,,,0.5
2017-04-11,10:00,,,,69,,,0.5
2017-04-11,11:00,,,,77,,,0.5
2017-04-11,12:00,,,,82,,,0.5
2017-04-11,13:00,,,,81,,,0.5
2017-04-11,14:00,,,,83,,,0.5
2017-04-11,15:00,,,,82,,,0.5
2017-04-11,16:00,,,,86,,,0.5
2017-04-11,17:00,,,,83,,,0.5
2017-04-11,18:00,,,,80,,,0.5
2017-04-11,19:00,,,,78,,,0.5
2017-04-11,20:00,,,,75,,,0.5
2017-04-11,21:00,,,,75,,,0.5
2017-04-11,22:00,,,,74,,,0.5
2017-04-11,23:00,,,,74,,,0.5
2017-04-12,00:00,,,,77,,,0.5
2017-04-12,01:00,,,,80,,,0.5
2017-04-12,02:00,,,,77,,,0.5
2017-04-12,03:00,,,,76,,,0.5
2017-04-12,04:00,,,,73,,,0.5
2017-04-12,05:00,,,,70,,,0.5
2017-04-12,06:00,,,,72,,,0.5
2017-04-12,07:00,,,,74,,,0.5
2017-04-12,08:00,,,,74,,,0.5
2017-04-12,09:00,,,,74,,,0.5
2017-04-12,10:00,,,,77,,,0.5
2017-04-12,11:00,,,,75,,,0.5
2017-04-12,12:00,,,,81,,,0.5
2017-04-12,13:00,,,,85,,,0.5
2017-04-12,14:00,,,,93,,,0.5
2017-04-12,15:00,,,,89,,,0.5
2017-04-12,16:00,,,,89,,,0.5
2017-04-12,17:00,,,,88,,,0.5
2017-04-12,18:00,,,,84,,,0.5
2017-04-12,19:00,,,,79,,,0.5
2017-04-12,20:00,,,,80,,,0.5
2017-04-12,21:00,,,,86,,,0.5
2017-04-12,22:00,,,,84,,,0.5
2017-04-12,23:00,,,,84,,,0.5
2017-04-13,00:00,,,,78,,,0.5
2017-04-13,01:00,,,,76,,,0.5
2017-04-13,02:00,,,,70,,,0.5
2017-04-13,03:00,,,,72,,,0.5
2017-04-13,04:00,,,,70,,,0.5
2017-04-13,05:00,,,,68,,,0.5
2017-04-13,06:00,,,,70,,,0.5
2017-04-13,07:00,,,,72,,,0.5
2017-04-13,08:00,,,,69,,,0.5
2017-04-13,09:00,,,,78,,,0.5
2017-04-13,10:00,,,,82,,,0.5
2017-04-13,11:00,,,,85,,,0.5
2017-04-13,12:00,,,,89,,,0.5
2017-04-13,13:00,,,,88,,,0.5
2017-04-13,14:00,,,,90,,,0.5
2017-04-13,15:00,,,,86,,,0.5
2017-04-13,16:00,,,,86,,,0.5
2017-04-13,17:00,,,,77,,,0.5
2017-04-13,18:00,,,,77,,,0.5
2017-04-13,19:00,,,,75,,,0.5
2017-04-13,20:00,,,,73,,,0.5
2017-04-13,21:00,,,,68,,,0.5
2017-04-13,22:00,,,,62,,,0.5
2017-04-13,23:00,,,,65,,,0.5
2017-04-14,00:00,,,,67,,,0.5
2017-04-14,01:00,,,,71,,,0.5
2017-04-14,02:00,,,,69,,,0.5
2017-04-14,03:00,,,,70,,,0.5
2017-04-14,04:00,,,,72,,,0.5
