Datum,Zeit,BEN,NO,NO2,O3,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2017-05-01,01:00,1.1,1,10,92,7.0
2017-05-01,02:00,1.0,1,10,91,6.5
2017-05-01,03:00,0.9,1,10,89,6.0
2017-05-01,04:00,0.8,1,8,89,4.8
2017-05-01,05:00,0.8,1,7,90,4.1
2017-05-01,06:00,0.7,1,9,88,4.0
2017-05-01,07:00,0.7,1,10,82,4.4
2017-05-01,08:00,0.7,1,8,81,4.6
2017-05-01,09:00,0.6,1,6,85,3.5
2017-05-01,10:00,0.6,1,5,92,3.0
2017-05-01,11:00,,1,5,98,2.9
2017-05-01,12:00,,1,5,104,2.3
2017-05-01,13:00,,1,5,108,2.4
2017-05-01,14:00,,1,5,111,2.2
2017-05-01,15:00,,1,5,114,2.6
2017-05-01,16:00,0.5,1,5,116,2.6
