Datum,Zeit,BEN,NO,NO2,O3,PM10,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2017-07-01,01:00,,1,6,59,,
2017-07-01,02:00,,1,6,58,,
2017-07-01,03:00,,1,5,61,,
2017-07-01,04:00,,1,6,58,,
2017-07-01,05:00,,1,6,56,,
2017-07-01,06:00,,1,6,55,,
2017-07-01,07:00,,1,4,55,,
2017-07-01,08:00,,1,3,57,,
2017-07-01,09:00,,1,2,59,,
2017-07-01,10:00,,1,2,60,,
2017-07-01,11:00,,1,2,61,,
2017-07-01,12:00,,1,1,63,,
2017-07-01,13:00,,1,1,63,,
2017-07-01,14:00,,1,1,64,,
2017-07-01,15:00,,1,1,73,,
2017-07-01,16:00,,1,1,74,,
2017-07-01,17:00,,1,1,69,,
2017-07-01,18:00,,1,2,65,,
2017-07-01,19:00,,1,3,57,,
2017-07-01,20:00,,1,3,59,,
2017-07-01,21:00,,1,3,55,,
2017-07-01,22:00,,1,3,53,,
