Datum,Zeit,BEN,NO,NO2,O3,PM10,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2017-08-01,,,,,,17,9.32,
2017-08-01,01:00,,1,19,31,,,1.8
2017-08-01,02:00,,1,11,36,,,2.0
2017-08-01,03:00,,1,9,37,,,1.6
2017-08-01,04:00,,1,11,31,,,1.3
2017-08-01,05:00,,1,17,19,,,2.1
2017-08-01,06:00,,3,24,17,,,1.8
2017-08-01,07:00,,1,18,40,,,1.7
2017-08-01,08:00,,1,14,60,,,1.6
2017-08-01,09:00,,2,13,67,,,1.5
2017-08-01,10:00,,1,9,74,,,1.6
2017-08-01,11:00,,1,8,87,,,1.8
2017-08-01,12:00,,1,9,93,,,1.9
2017-08-01,13:00,,1,8,102,,,2.0
2017-08-01,14:00,,1,7,114,,,2.4
2017-08-01,15:00,,1,9,127,,,2.9
2017-08-01,16:00,,1,12,138,,,2.8
2017-08-01,17:00,,1,8,133,,,2.8
2017-08-01,18:00,,1,14,116,,,2.6
2017-08-01,19:00,,1,13,112,,,2.4
2017-08-01,20:00,,1,9,110,,,2.4
2017-08-01,21:00,,1,6,111,,,2.1
2017-08-01,22:00,,1,11,93,,,2.0
2017-08-01,23:00,,1,10,86,,,2.2
2017-08-02,,,,,,15,8.85,
2017-08-02,00:00,,1,6,85,,,1.7
2017-08-02,01:00,,1,5,74,,,1.7
2017-08-02,02:00,,1,5,67,,,1.5
2017-08-02,03:00,,1,6,50,,,1.4
2017-08-02,04:00,,1,8,41,,,1.4
2017-08-02,05:00,,1,10,32,,,1.2
2017-08-02,06:00,,3,26,16,,,1.0
2017-08-02,07:00,,8,30,17,,,1.2
2017-08-02,08:00,,2,20,35,,,1.5
2017-08-02,09:00,,1,11,53,,,1.8
2017-08-02,10:00,,1,11,67,,,3.2
2017-08-02,11:00,,1,12,69,,,3.3
2017-08-02,12:00,,1,11,78,,,5.1
2017-08-02,13:00,,1,6,93,,,2.3
2017-08-02,14:00,,1,5,101,,,1.9
2017-08-02,15:00,,1,6,101,,,1.9
2017-08-02,16:00,,1,7,104,,,1.8
2017-08-02,17:00,,1,8,107,,,2.0
2017-08-02,18:00,,1,9,109,,,1.9
2017-08-02,19:00,,1,9,106,,,1.9
2017-08-02,20:00,,1,26,81,,,1.8
2017-08-02,21:00,,1,28,68,,,1.7
2017-08-02,22:00,,1,27,55,,,1.8
2017-08-02,23:00,,1,48,21,,,1.4
2017-08-03,00:00,,1,27,30,,,1.5
2017-08-03,01:00,,1,18,32,,,1.3
2017-08-03,02:00,,1,15,32,,,1.3
2017-08-03,03:00,,1,13,28,,,1.2
2017-08-03,04:00,,1,12,27,,,1.1
2017-08-03,05:00,,1,15,17,,,1.0
2017-08-03,06:00,,2,19,13,,,2.7
2017-08-03,07:00,,7,27,9,,,2.9
2017-08-03,08:00,,7,25,20,,,3.2
2017-08-03,09:00,,5,29,27,,,3.8
2017-08-03,10:00,,2,30,29,,,3.7
2017-08-03,11:00,,3,27,46,,,2.3
2017-08-03,12:00,,3,30,45,,,1.6
2017-08-03,13:00,,1,21,52,,,1.5
2017-08-03,14:00,,2,23,49,,,1.5
2017-08-03,15:00,,1,14,73,,,1.9
2017-08-03,16:00,,1,11,82,,,2.2
2017-08-03,17:00,,1,9,90,,,2.4
2017-08-03,18:00,,1,6,89,,,2.4
2017-08-03,19:00,,1,6,85,,,2.9
2017-08-03,20:00,,1,9,87,,,2.1
2017-08-03,21:00,,1,8,82,,,2.4
2017-08-03,22:00,,1,7,79,,,2.6
2017-08-03,23:00,,1,8,77,,,2.6
2017-08-04,00:00,,1,7,74,,,2.4
2017-08-04,01:00,,1,11,62,,,2.9
2017-08-04,02:00,,1,10,52,,,2.3
2017-08-04,03:00,,1,10,49,,,2.5
2017-08-04,04:00,,1,9,47,,,3.2
2017-08-04,05:00,,1,13,41,,,4.4
2017-08-04,06:00,,1,22,34,,,4.8
2017-08-04,07:00,,1,15,45,,,2.5
2017-08-04,08:00,,1,17,41,,,2.8
2017-08-04,09:00,,1,14,46,,,2.3
2017-08-04,10:00,,1,8,71,,,2.4
2017-08-04,11:00,,1,6,86,,,1.8
2017-08-04,12:00,,1,6,88,,,1.6
