Datum,Zeit,BEN,NO,NO2,O3,PM10,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2017-08-01,01:00,,7,5,,,
2017-08-01,02:00,,8,7,,,
2017-08-01,03:00,,16,6,,,
2017-08-01,04:00,,34,12,,,
2017-08-01,05:00,,64,13,,,
2017-08-01,06:00,,23,21,,,
2017-08-01,07:00,,29,24,,,
2017-08-01,08:00,,27,24,,,
2017-08-01,09:00,,32,28,,,
2017-08-01,10:00,,30,26,,,
2017-08-01,11:00,,22,24,,,
2017-08-01,12:00,,14,20,,,
2017-08-01,13:00,,16,26,,,
2017-08-01,14:00,,13,19,,,
2017-08-01,15:00,,17,29,,,
2017-08-01,16:00,,13,21,,,
2017-08-01,17:00,,14,24,,,
2017-08-01,18:00,,20,41,,,
2017-08-01,19:00,,6,11,,,
2017-08-01,20:00,,5,9,,,
2017-08-01,21:00,,5,11,,,
2017-08-01,22:00,,4,12,,,
2017-08-01,23:00,,2,7,,,
2017-08-02,00:00,,3,7,,,
2017-08-02,01:00,,2,4,,,
2017-08-02,02:00,,5,7,,,
2017-08-02,03:00,,4,9,,,
2017-08-02,04:00,,17,21,,,
2017-08-02,05:00,,43,25,,,
2017-08-02,06:00,,63,27,,,
2017-08-02,07:00,,19,18,,,
2017-08-02,08:00,,31,23,,,
2017-08-02,09:00,,31,30,,,
2017-08-02,10:00,,26,28,,,
2017-08-02,11:00,,17,23,,,
2017-08-02,12:00,,15,21,,,
2017-08-02,13:00,,17,23,,,
2017-08-02,14:00,,15,23,,,
2017-08-02,15:00,,14,28,,,
2017-08-02,16:00,,22,40,,,
2017-08-02,17:00,,11,24,,,
2017-08-02,18:00,,7,24,,,
2017-08-02,19:00,,16,38,,,
2017-08-02,20:00,,63,48,,,
2017-08-02,21:00,,18,27,,,
2017-08-02,22:00,,19,17,,,
2017-08-02,23:00,,25,17,,,
2017-08-03,00:00,,6,10,,,
2017-08-03,01:00,,6,6,,,
2017-08-03,02:00,,11,5,,,
2017-08-03,03:00,,15,7,,,
2017-08-03,04:00,,33,9,,,
2017-08-03,05:00,,72,14,,,
2017-08-03,06:00,,34,12,,,
2017-08-03,07:00,,66,26,,,
2017-08-03,08:00,,20,29,,,
2017-08-03,09:00,,23,29,,,
2017-08-03,10:00,,31,34,,,
2017-08-03,11:00,,17,26,,,
2017-08-03,12:00,,28,27,,,
2017-08-03,13:00,,31,28,,,
2017-08-03,14:00,,31,27,,,
2017-08-03,15:00,,27,27,,,
2017-08-03,16:00,,22,29,,,
2017-08-03,17:00,,12,22,,,
2017-08-03,18:00,,9,20,,,
2017-08-03,19:00,,7,20,,,
2017-08-03,20:00,,17,43,,,
2017-08-03,21:00,,28,34,,,
2017-08-03,22:00,,12,25,,,
2017-08-03,23:00,,8,15,,,
2017-08-04,00:00,,9,12,,,
2017-08-04,01:00,,4,8,,,
2017-08-04,02:00,,28,15,,,
2017-08-04,03:00,,19,12,,,
2017-08-04,04:00,,12,13,,,
2017-08-04,05:00,,28,24,,,
2017-08-04,06:00,,53,38,,,
2017-08-04,07:00,,37,34,,,
