Datum,Zeit,BEN,NO,NO2,O3,PM10,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2017-09-01,01:00,,1,5,48,,
2017-09-01,02:00,,1,5,43,,
2017-09-01,03:00,,1,5,38,,
2017-09-01,04:00,,1,4,38,,
2017-09-01,05:00,,1,4,41,,
2017-09-01,06:00,,1,4,38,,
2017-09-01,07:00,,1,5,38,,
2017-09-01,08:00,,1,5,39,,
2017-09-01,09:00,,1,5,38,,
2017-09-01,10:00,,1,4,42,,
2017-09-01,11:00,,1,3,44,,
2017-09-01,12:00,,1,3,41,,
2017-09-01,13:00,,1,4,42,,
2017-09-01,14:00,,1,4,44,,
2017-09-01,15:00,,1,3,46,,
2017-09-01,16:00,,1,3,52,,
2017-09-01,17:00,,1,3,46,,
2017-09-01,18:00,,1,4,45,,
2017-09-01,19:00,,1,4,55,,
2017-09-01,20:00,,1,3,59,,
2017-09-01,21:00,,1,2,63,,
2017-09-01,22:00,,1,2,64,,
2017-09-01,23:00,,1,7,53,,
2017-09-02,00:00,,1,5,53,,
2017-09-02,01:00,,1,7,48,,
2017-09-02,02:00,,1,7,48,,
2017-09-02,03:00,,1,6,44,,
2017-09-02,04:00,,1,14,34,,
2017-09-02,05:00,,1,10,39,,
2017-09-02,06:00,,1,15,35,,
2017-09-02,07:00,,1,15,37,,
2017-09-02,08:00,,3,16,27,,
2017-09-02,09:00,,3,12,25,,
2017-09-02,10:00,,3,10,36,,
2017-09-02,11:00,,2,7,50,,
2017-09-02,12:00,,1,4,59,,
2017-09-02,13:00,,1,3,55,,
2017-09-02,14:00,,1,2,66,,
2017-09-02,15:00,,1,1,63,,
2017-09-02,16:00,,1,2,52,,
2017-09-02,17:00,,1,2,65,,
2017-09-02,18:00,,1,1,77,,
2017-09-02,19:00,,1,3,70,,
2017-09-02,20:00,,1,4,65,,
2017-09-02,21:00,,1,2,66,,
2017-09-02,22:00,,1,1,78,,
2017-09-02,23:00,,1,1,77,,
2017-09-03,00:00,,1,3,64,,
2017-09-03,01:00,,1,5,53,,
2017-09-03,02:00,,1,5,46,,
2017-09-03,03:00,,1,6,43,,
2017-09-03,04:00,,1,7,43,,
2017-09-03,05:00,,1,7,39,,
2017-09-03,06:00,,1,8,39,,
2017-09-03,07:00,,1,5,41,,
2017-09-03,08:00,,1,6,39,,
2017-09-03,09:00,,1,6,33,,
2017-09-03,10:00,,2,5,35,,
