Datum,Zeit,BEN,NO,NO2,O3,PM10_TEOM,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2017-11-01,01:00,,1,9,45,,
2017-11-01,02:00,,1,8,47,,
2017-11-01,03:00,,1,7,49,,
2017-11-01,04:00,,1,8,50,,
2017-11-01,05:00,,1,11,49,,
2017-11-01,06:00,,1,11,51,,
2017-11-01,07:00,,1,19,42,,
2017-11-01,08:00,,3,26,35,,
2017-11-01,09:00,,5,24,35,,
2017-11-01,10:00,,3,21,34,,
2017-11-01,11:00,,11,24,30,,
2017-11-01,12:00,,5,24,27,,
2017-11-01,13:00,,16,23,27,,
2017-11-01,14:00,,8,23,27,,
2017-11-01,15:00,,6,26,21,,
2017-11-01,16:00,,5,29,18,,
2017-11-01,17:00,,3,28,20,,
2017-11-01,18:00,,2,25,21,,
2017-11-01,19:00,,1,25,20,,
2017-11-01,20:00,,1,21,26,,
2017-11-01,21:00,,1,20,27,,
2017-11-01,22:00,,1,14,30,,
2017-11-01,23:00,,1,12,30,,
2017-11-02,00:00,,1,12,28,,
2017-11-02,01:00,,1,9,27,,
2017-11-02,02:00,,1,7,24,,
2017-11-02,03:00,,1,7,27,,
2017-11-02,04:00,,1,5,20,,
2017-11-02,05:00,,1,7,20,,
2017-11-02,06:00,,1,10,19,,
2017-11-02,07:00,,2,18,17,,
2017-11-02,08:00,,1,29,36,,
2017-11-02,09:00,,3,28,39,,
2017-11-02,10:00,,3,19,46,,
2017-11-02,11:00,,3,16,50,,
2017-11-02,12:00,,4,17,42,,
2017-11-02,13:00,,4,20,42,,
2017-11-02,14:00,,4,18,45,,
2017-11-02,15:00,,5,20,42,,
2017-11-02,16:00,,5,26,37,,
2017-11-02,17:00,,3,23,39,,
2017-11-02,18:00,,3,27,36,,
2017-11-02,19:00,,3,26,36,,
2017-11-02,20:00,,2,25,36,,
2017-11-02,21:00,,1,28,29,,
2017-11-02,22:00,,1,27,20,,
2017-11-02,23:00,,1,28,18,,
2017-11-03,00:00,,1,25,25,,
2017-11-03,01:00,,1,20,22,,
2017-11-03,02:00,,1,15,13,,
2017-11-03,03:00,,1,15,11,,
2017-11-03,04:00,,1,15,18,,
2017-11-03,05:00,,1,20,16,,
2017-11-03,06:00,,1,15,9,,
2017-11-03,07:00,,2,23,7,,
2017-11-03,08:00,,10,36,3,,
2017-11-03,09:00,,15,37,5,,
2017-11-03,10:00,,14,31,14,,
2017-11-03,11:00,,8,25,24,,
2017-11-03,12:00,,4,16,41,,
2017-11-03,13:00,,3,13,51,,
2017-11-03,14:00,,2,13,54,,
2017-11-03,15:00,,3,17,52,,
2017-11-03,16:00,,1,16,52,,
2017-11-03,17:00,,1,25,30,,
2017-11-03,18:00,,1,33,8,,
2017-11-03,19:00,,1,35,9,,
2017-11-03,20:00,,1,29,12,,
2017-11-03,21:00,,1,15,17,,
2017-11-03,22:00,,1,12,17,,
2017-11-03,23:00,,1,10,17,,
2017-11-04,00:00,,1,14,15,,
2017-11-04,01:00,,1,7,20,,
2017-11-04,02:00,,1,6,18,,
2017-11-04,03:00,,1,6,19,,
2017-11-04,04:00,,1,6,17,,
2017-11-04,05:00,,1,5,15,,
2017-11-04,06:00,,1,8,17,,
2017-11-04,07:00,,4,14,14,,
2017-11-04,08:00,,3,14,15,,
2017-11-04,09:00,,4,11,14,,
2017-11-04,10:00,,3,12,30,,
2017-11-04,11:00,,2,8,46,,
2017-11-04,12:00,,2,8,49,,
2017-11-04,13:00,,1,8,54,,
2017-11-04,14:00,,1,9,55,,
2017-11-04,15:00,,1,11,50,,
2017-11-04,16:00,,1,12,46,,
2017-11-04,17:00,,1,14,35,,
2017-11-04,18:00,,1,15,30,,
2017-11-04,19:00,,1,11,37,,
2017-11-04,20:00,,1,10,40,,
2017-11-04,21:00,,1,10,39,,
2017-11-04,22:00,,1,10,33,,
2017-11-04,23:00,,1,8,26,,
2017-11-05,00:00,,1,7,32,,
2017-11-05,01:00,,1,6,39,,
2017-11-05,02:00,,1,6,40,,
2017-11-05,03:00,,1,4,34,,
2017-11-05,04:00,,1,4,33,,
2017-11-05,05:00,,1,6,25,,
2017-11-05,06:00,,1,5,34,,
2017-11-05,07:00,,1,6,36,,
2017-11-05,08:00,,1,7,41,,
2017-11-05,09:00,,1,6,51,,
2017-11-05,10:00,,1,16,38,,
2017-11-05,11:00,,3,16,37,,
2017-11-05,12:00,,2,15,39,,
2017-11-05,13:00,,2,13,43,,
2017-11-05,14:00,,1,13,43,,
2017-11-05,15:00,,1,13,35,,
2017-11-05,16:00,,1,11,36,,
2017-11-05,17:00,,1,11,34,,
2017-11-05,18:00,,1,17,22,,
2017-11-05,19:00,,1,10,54,,
2017-11-05,20:00,,1,7,60,,
2017-11-05,21:00,,1,9,59,,
2017-11-05,22:00,,1,9,57,,
2017-11-05,23:00,,1,11,56,,
2017-11-06,00:00,,1,8,58,,
2017-11-06,01:00,,1,7,55,,
2017-11-06,02:00,,1,10,49,,
2017-11-06,03:00,,1,10,46,,
2017-11-06,04:00,,1,10,45,,
2017-11-06,05:00,,1,11,43,,
