Datum,Zeit,BEN,NO,NO2,O3,PM10_HVS,PM10_TEOM,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2017-12-01,,,,,,45.04,,,
2017-12-01,01:00,,55,40,,,27,,
2017-12-01,02:00,,37,36,,,24,,
2017-12-01,03:00,,44,34,,,25,,
2017-12-01,04:00,,48,34,,,28,,
2017-12-01,05:00,,75,35,,,31,,
2017-12-01,06:00,,153,46,,,39,,
2017-12-01,07:00,,207,54,,,51,,
2017-12-01,08:00,,269,72,,,68,,
2017-12-01,09:00,,261,70,,,65,,
2017-12-01,10:00,,219,66,,,58,,
2017-12-01,11:00,,222,69,,,56,,
2017-12-01,12:00,,136,57,,,45,,
2017-12-01,13:00,,147,57,,,44,,
2017-12-01,14:00,,112,58,,,36,,
2017-12-01,15:00,,113,61,,,37,,
2017-12-01,16:00,,101,61,,,34,,
2017-12-01,17:00,,125,65,,,50,,
2017-12-01,18:00,,113,71,,,42,,
2017-12-01,19:00,,111,71,,,50,,
2017-12-01,20:00,,60,60,,,42,,
2017-12-01,21:00,,25,49,,,34,,
2017-12-01,22:00,,31,45,,,30,,
2017-12-01,23:00,,43,50,,,43,,
2017-12-02,,,,,,41.49,,,
2017-12-02,00:00,,51,50,,,39,,
2017-12-02,01:00,,39,47,,,29,,
2017-12-02,02:00,,44,45,,,33,,
2017-12-02,03:00,,27,42,,,24,,
2017-12-02,04:00,,23,45,,,15,,
2017-12-02,05:00,,23,43,,,23,,
2017-12-02,06:00,,39,44,,,24,,
2017-12-02,07:00,,51,42,,,26,,
2017-12-02,08:00,,60,43,,,28,,
2017-12-02,09:00,,81,46,,,31,,
2017-12-02,10:00,,125,49,,,38,,
2017-12-02,11:00,,84,45,,,39,,
2017-12-02,12:00,,60,40,,,25,,
2017-12-02,13:00,,72,45,,,26,,
2017-12-02,14:00,,49,37,,,21,,
2017-12-02,15:00,,85,48,,,28,,
2017-12-02,16:00,,70,53,,,27,,
2017-12-02,17:00,,68,52,,,34,,
2017-12-02,18:00,,85,57,,,40,,
2017-12-02,19:00,,87,62,,,36,,
2017-12-02,20:00,,73,53,,,46,,
2017-12-02,21:00,,42,48,,,43,,
2017-12-02,22:00,,19,41,,,31,,
2017-12-02,23:00,,30,44,,,34,,
2017-12-03,,,,,,19.43,,,
2017-12-03,00:00,,55,54,,,40,,
2017-12-03,01:00,,39,48,,,33,,
2017-12-03,02:00,,14,36,,,20,,
2017-12-03,03:00,,4,24,,,10,,
2017-12-03,04:00,,6,23,,,9,,
2017-12-03,05:00,,4,21,,,7,,
2017-12-03,06:00,,5,23,,,9,,
2017-12-03,07:00,,5,26,,,7,,
2017-12-03,08:00,,4,25,,,12,,
2017-12-03,09:00,,5,22,,,12,,
2017-12-03,10:00,,11,22,,,12,,
2017-12-03,11:00,,12,18,,,11,,
2017-12-03,12:00,,27,30,,,20,,
2017-12-03,13:00,,28,27,,,20,,
2017-12-03,14:00,,32,32,,,9,,
2017-12-03,15:00,,40,34,,,12,,
2017-12-03,16:00,,23,30,,,16,,
2017-12-03,17:00,,49,40,,,18,,
2017-12-03,18:00,,40,39,,,15,,
2017-12-03,19:00,,36,38,,,19,,
2017-12-03,20:00,,47,38,,,17,,
2017-12-03,21:00,,23,29,,,8,,
2017-12-03,22:00,,18,27,,,9,,
2017-12-03,23:00,,7,23,,,9,,
2017-12-04,00:00,,5,23,,,9,,
2017-12-04,01:00,,3,22,,,7,,
2017-12-04,02:00,,3,21,,,7,,
2017-12-04,03:00,,5,24,,,7,,
2017-12-04,04:00,,4,24,,,7,,
2017-12-04,05:00,,4,23,,,8,,
2017-12-04,06:00,,7,24,,,5,,
2017-12-04,07:00,,17,30,,,10,,
2017-12-04,08:00,,21,34,,,9,,
2017-12-04,09:00,,29,34,,,11,,
2017-12-04,10:00,,29,32,,,10,,
2017-12-04,11:00,,26,33,,,10,,
2017-12-04,12:00,,28,32,,,8,,
2017-12-04,13:00,,22,35,,,8,,
2017-12-04,14:00,,20,34,,,,,
2017-12-04,15:00,,35,41,,,34,,
2017-12-04,16:00,,43,56,,,28,,
2017-12-04,17:00,,33,52,,,16,,
2017-12-04,18:00,,27,49,,,17,,
2017-12-04,19:00,,20,46,,,19,,
2017-12-04,20:00,,13,34,,,17,,
2017-12-04,21:00,,8,26,,,15,,
2017-12-04,22:00,,6,19,,,21,,
2017-12-04,23:00,,4,15,,,12,,
2017-12-05,00:00,,3,13,,,11,,
2017-12-05,01:00,,1,9,,,11,,
2017-12-05,02:00,,1,8,,,9,,
2017-12-05,03:00,,1,10,,,8,,
2017-12-05,04:00,,20,23,,,9,,
2017-12-05,05:00,,2,17,,,8,,
2017-12-05,06:00,,4,16,,,9,,
2017-12-05,07:00,,11,26,,,11,,
2017-12-05,08:00,,14,27,,,11,,
2017-12-05,09:00,,11,25,,,15,,
2017-12-05,10:00,,16,28,,,18,,
2017-12-05,11:00,,16,30,,,20,,
2017-12-05,12:00,,13,27,,,19,,
2017-12-05,13:00,,11,23,,,18,,
2017-12-05,14:00,,9,23,,,18,,
2017-12-05,15:00,,12,26,,,16,,
2017-12-05,16:00,,12,27,,,17,,
2017-12-05,17:00,,14,30,,,14,,
2017-12-05,18:00,,13,30,,,15,,
2017-12-05,19:00,,14,30,,,15,,
2017-12-05,20:00,,11,28,,,15,,
2017-12-05,21:00,,5,23,,,16,,
2017-12-05,22:00,,3,20,,,16,,
2017-12-05,23:00,,3,18,,,14,,
2017-12-06,00:00,,2,17,,,13,,
2017-12-06,01:00,,1,14,,,13,,
2017-12-06,02:00,,1,14,,,12,,
2017-12-06,03:00,,1,13,,,12,,
2017-12-06,04:00,,2,13,,,11,,
2017-12-06,05:00,,3,15,,,11,,
2017-12-06,06:00,,3,17,,,10,,
2017-12-06,07:00,,10,24,,,12,,
2017-12-06,08:00,,17,32,,,14,,
2017-12-06,09:00,,20,35,,,20,,
2017-12-06,10:00,,15,30,,,18,,
2017-12-06,11:00,,15,29,,,19,,
2017-12-06,12:00,,14,28,,,17,,
2017-12-06,13:00,,17,29,,,20,,
2017-12-06,14:00,,14,29,,,19,,
2017-12-06,15:00,,24,35,,,21,,
2017-12-06,16:00,,22,37,,,20,,
2017-12-06,17:00,,20,37,,,19,,
2017-12-06,18:00,,16,36,,,18,,
2017-12-06,19:00,,20,35,,,19,,
2017-12-06,20:00,,14,30,,,18,,
2017-12-06,21:00,,11,25,,,17,,
2017-12-06,22:00,,5,19,,,13,,
2017-12-06,23:00,,11,23,,,12,,
2017-12-07,00:00,,14,28,,,18,,
2017-12-07,01:00,,5,16,,,9,,
2017-12-07,02:00,,9,23,,,14,,
2017-12-07,03:00,,2,18,,,12,,
2017-12-07,04:00,,4,18,,,11,,
2017-12-07,05:00,,14,23,,,12,,
2017-12-07,06:00,,27,31,,,15,,
2017-12-07,07:00,,42,45,,,18,,
2017-12-07,08:00,,34,45,,,19,,
2017-12-07,09:00,,18,35,,,20,,
2017-12-07,10:00,,25,36,,,24,,
2017-12-07,11:00,,38,35,,,24,,
2017-12-07,12:00,,49,44,,,22,,
2017-12-07,13:00,,49,46,,,21,,
2017-12-07,14:00,,44,45,,,20,,
2017-12-07,15:00,,47,49,,,19,,
2017-12-07,16:00,,84,65,,,26,,
2017-12-07,17:00,,51,55,,,24,,
2017-12-07,18:00,,42,51,,,30,,
2017-12-07,19:00,,26,44,,,27,,
2017-12-07,20:00,,9,30,,,16,,
2017-12-07,21:00,,4,20,,,16,,
2017-12-07,22:00,,3,19,,,13,,
2017-12-07,23:00,,10,25,,,19,,
2017-12-08,00:00,,12,25,,,16,,
2017-12-08,01:00,,9,23,,,12,,
2017-12-08,02:00,,3,15,,,7,,
2017-12-08,03:00,,5,17,,,8,,
