Datum,Zeit,BEN,NO,NO2,O3,PM10_HVS,PM10_TEOM,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2018-01-01,01:00,,2,9,49,,20,,
2018-01-01,02:00,,1,7,50,,31,,
2018-01-01,03:00,,1,5,55,,8,,
2018-01-01,04:00,,1,4,57,,8,,
2018-01-01,05:00,,1,5,57,,6,,
2018-01-01,06:00,,1,5,59,,7,,
2018-01-01,07:00,,1,5,61,,6,,
2018-01-01,08:00,,1,4,64,,6,,
2018-01-01,09:00,,1,4,71,,8,,
2018-01-01,10:00,,1,4,74,,6,,
2018-01-01,11:00,,1,4,75,,5,,
2018-01-01,12:00,,1,4,74,,5,,
2018-01-01,13:00,,1,5,74,,3,,
2018-01-01,14:00,,1,6,71,,3,,
2018-01-01,15:00,,1,5,77,,3,,
2018-01-01,16:00,,1,5,76,,2,,
2018-01-01,17:00,,1,5,73,,3,,
2018-01-01,18:00,,1,8,69,,3,,
2018-01-01,19:00,,1,7,68,,3,,
2018-01-01,20:00,,1,7,66,,5,,
2018-01-01,21:00,,1,6,65,,6,,
2018-01-01,22:00,,1,5,64,,6,,
2018-01-01,23:00,,1,5,63,,7,,
2018-01-02,00:00,,1,6,60,,7,,
2018-01-02,01:00,,1,6,60,,7,,
2018-01-02,02:00,,1,5,61,,6,,
2018-01-02,03:00,,1,5,61,,5,,
2018-01-02,04:00,,1,5,59,,5,,
2018-01-02,05:00,,1,6,55,,6,,
2018-01-02,06:00,,1,7,53,,7,,
2018-01-02,07:00,,1,9,50,,5,,
2018-01-02,08:00,,4,11,50,,5,,
2018-01-02,09:00,,4,11,50,,2,,
2018-01-02,10:00,,5,12,44,,4,,
2018-01-02,11:00,,7,14,40,,3,,
2018-01-02,12:00,,8,16,40,,2,,
2018-01-02,13:00,,7,15,40,,4,,
2018-01-02,14:00,,7,17,40,,4,,
2018-01-02,15:00,,7,19,45,,6,,
2018-01-02,16:00,,8,20,47,,5,,
2018-01-02,17:00,,5,21,45,,7,,
2018-01-02,18:00,,4,21,43,,7,,
2018-01-02,19:00,,2,20,43,,9,,
2018-01-02,20:00,,2,18,42,,10,,
2018-01-02,21:00,,2,16,45,,9,,
2018-01-02,22:00,,1,13,44,,5,,
2018-01-02,23:00,,1,12,46,,5,,
2018-01-03,00:00,,1,8,50,,5,,
2018-01-03,01:00,,1,6,51,,4,,
2018-01-03,02:00,,1,8,45,,4,,
2018-01-03,03:00,,1,9,46,,5,,
2018-01-03,04:00,,1,6,51,,5,,
2018-01-03,05:00,,1,4,54,,8,,
2018-01-03,06:00,,1,7,51,,7,,
2018-01-03,07:00,,1,7,52,,10,,
2018-01-03,08:00,,1,6,53,,4,,
2018-01-03,09:00,,1,5,55,,2,,
2018-01-03,10:00,,1,6,54,,2,,
2018-01-03,11:00,,1,7,55,,0,,
2018-01-03,12:00,,1,6,57,,1,,
2018-01-03,13:00,,2,7,58,,1,,
2018-01-03,14:00,,2,7,49,,1,,
2018-01-03,15:00,,3,13,57,,0,,
2018-01-03,16:00,,5,15,63,,0,,
2018-01-03,17:00,,3,13,65,,4,,
2018-01-03,18:00,,2,10,68,,4,,
2018-01-03,19:00,,1,7,68,,4,,
2018-01-03,20:00,,1,6,68,,3,,
2018-01-03,21:00,,1,6,68,,2,,
2018-01-03,22:00,,1,5,68,,1,,
2018-01-03,23:00,,1,5,67,,0,,
2018-01-04,00:00,,1,4,68,,4,,
2018-01-04,01:00,,1,4,67,,4,,
2018-01-04,02:00,,1,4,67,,3,,
2018-01-04,03:00,,1,3,69,,2,,
2018-01-04,04:00,,1,3,68,,1,,
2018-01-04,05:00,,1,4,67,,3,,
2018-01-04,06:00,,2,6,66,,3,,
2018-01-04,07:00,,2,7,65,,5,,
2018-01-04,08:00,,4,12,62,,6,,
2018-01-04,09:00,,3,12,60,,6,,
2018-01-04,10:00,,4,12,61,,5,,
2018-01-04,11:00,,3,12,62,,7,,
2018-01-04,13:00,,12,10,62,,,,
2018-01-04,14:00,,,,,,4,,
2018-01-04,15:00,,3,15,59,,8,,
2018-01-04,16:00,,3,15,58,,10,,
2018-01-04,17:00,,1,15,53,,10,,
